ENSG00000003056	ENST00000000412	ENSDNOP00000002730
ENSG00000185897	ENST00000327809	
ENSG00000221931	ENST00000327930	
ENSG00000182771	ENST00000327946	ENSDNOP00000013173
ENSG00000197125	ENST00000328064	ENSDNOP00000016668
ENSG00000185926	ENST00000328188	
ENSG00000182613	ENST00000328275	ENSDNOP00000013389
ENSG00000185821	ENST00000328314	ENSDNOP00000016120
ENSG00000182334	ENST00000328375	ENSDNOP00000015388
ENSG00000183473	ENST00000328544	
ENSG00000186891	ENST00000328596	
ENSG00000184698	ENST00000328611	
ENSG00000186407	ENST00000328630	
ENSG00000183310	ENST00000328782	
ENSG00000183706	ENST00000328795	
ENSG00000182782	ENST00000328880	ENSDNOP00000017473
ENSG00000184140	ENST00000328882	
ENSG00000183024	ENST00000328890	
ENSG00000206306	ENST00000328980	
ENSG00000182687	ENST00000329003	
ENSG00000235568	ENST00000329021	ENSDNOP00000016021
ENSG00000185245	ENST00000329125	
ENSG00000183840	ENST00000329321	
ENSG00000172742	ENST00000329328	ENSDNOP00000011424
ENSG00000185372	ENST00000329365	
ENSG00000185149	ENST00000329476	ENSDNOP00000013822
ENSG00000113763	ENST00000329542	ENSDNOP00000003100
ENSG00000183695	ENST00000329773	
ENSG00000183484	ENST00000329797	
ENSG00000184574	ENST00000329858	
ENSG00000184160	ENST00000330055	ENSDNOP00000017600
ENSG00000182631	ENST00000330120	
ENSG00000182580	ENST00000330394	ENSDNOP00000010644
ENSG00000182634	ENST00000330487	
ENSG00000184022	ENST00000330500	
ENSG00000114013	ENST00000330540	ENSDNOP00000001479
ENSG00000183389	ENST00000330728	ENSDNOP00000008545
ENSG00000167850	ENST00000330793	
ENSG00000183130	ENST00000330803	
ENSG00000183813	ENST00000330953	ENSDNOP00000012423
ENSG00000185291	ENST00000331035	
ENSG00000183729	ENST00000331251	
ENSG00000183748	ENST00000331429	ENSDNOP00000017316
ENSG00000184166	ENST00000331459	ENSDNOP00000016152
ENSG00000172116	ENST00000331469	ENSDNOP00000016864
ENSG00000178852	ENST00000331493	ENSDNOP00000002852
ENSG00000182652	ENST00000331723	
ENSG00000185920	ENST00000331920	ENSDNOP00000010183
ENSG00000184321	ENST00000332043	
ENSG00000173482	ENST00000332175	ENSDNOP00000015486
ENSG00000196266	ENST00000332217	
ENSG00000182854	ENST00000332238	
ENSG00000183313	ENST00000332249	ENSDNOP00000001449
ENSG00000182170	ENST00000332314	
ENSG00000184451	ENST00000332438	ENSDNOP00000010739
ENSG00000183134	ENST00000332539	
ENSG00000115590	ENST00000332549	ENSDNOP00000006976
ENSG00000184194	ENST00000332582	ENSDNOP00000002401
ENSG00000184933	ENST00000332601	
ENSG00000232382	ENST00000332650	
ENSG00000182974	ENST00000332663	
ENSG00000185097	ENST00000332831	
ENSG00000221890	ENST00000333039	
ENSG00000173662	ENST00000333172	
ENSG00000007908	ENST00000333360	ENSDNOP00000015390
ENSG00000182885	ENST00000333493	ENSDNOP00000006202
ENSG00000184394	ENST00000333629	ENSDNOP00000016589
ENSG00000182256	ENST00000333743	ENSDNOP00000004137
ENSG00000186119	ENST00000333976	
ENSG00000136160	ENST00000334286	ENSDNOP00000000112
ENSG00000152990	ENST00000334304	ENSDNOP00000006656
ENSG00000186306	ENST00000334438	ENSDNOP00000007114
ENSG00000186265	ENST00000334529	ENSDNOP00000004392
ENSG00000186919	ENST00000334586	
ENSG00000110148	ENST00000334619	ENSDNOP00000000011
ENSG00000186440	ENST00000334632	ENSDNOP00000017662
ENSG00000186881	ENST00000334726	ENSDNOP00000013352
ENSG00000180264	ENST00000334810	ENSDNOP00000011950
ENSG00000184155	ENST00000334857	
ENSG00000186723	ENST00000334920	
ENSG00000186943	ENST00000335040	
ENSG00000197403	ENST00000335094	ENSDNOP00000014013
ENSG00000186092	ENST00000335137	
ENSG00000221954	ENST00000335238	
ENSG00000197233	ENST00000335302	
ENSG00000186038	ENST00000335304	ENSDNOP00000016987
ENSG00000107731	ENST00000335350	ENSDNOP00000000655
ENSG00000186509	ENST00000335397	
ENSG00000186113	ENST00000335605	ENSDNOP00000015875
ENSG00000186297	ENST00000335625	ENSDNOP00000000355
ENSG00000257008	ENST00000335666	ENSDNOP00000005480
ENSG00000125498	ENST00000336077	ENSDNOP00000009600
ENSG00000148680	ENST00000336152	ENSDNOP00000016472
ENSG00000044524	ENST00000336596	ENSDNOP00000007166
ENSG00000125510	ENST00000336866	ENSDNOP00000001207
ENSG00000135124	ENST00000337233	ENSDNOP00000009003
ENSG00000187800	ENST00000338302	ENSDNOP00000011881
ENSG00000164129	ENST00000338566	
ENSG00000171054	ENST00000338616	ENSDNOP00000010312
ENSG00000187474	ENST00000339223	
ENSG00000188340	ENST00000339258	
ENSG00000169962	ENST00000339381	
ENSG00000179603	ENST00000339582	ENSDNOP00000015994
ENSG00000171049	ENST00000340023	
ENSG00000204475	ENST00000340027	
ENSG00000068078	ENST00000340107	
ENSG00000101180	ENST00000340177	
ENSG00000159618	ENST00000340339	
ENSG00000187871	ENST00000340465	ENSDNOP00000011377
ENSG00000072071	ENST00000340736	
ENSG00000239590	ENST00000340750	
ENSG00000159346	ENST00000340990	ENSDNOP00000008089
ENSG00000187918	ENST00000341449	ENSDNOP00000008846
ENSG00000196131	ENST00000341702	
ENSG00000187957	ENST00000341772	ENSDNOP00000003571
ENSG00000122718	ENST00000341959	ENSDNOP00000010285
ENSG00000168575	ENST00000342228	ENSDNOP00000010782
ENSG00000188888	ENST00000342292	ENSDNOP00000007869
ENSG00000243772	ENST00000342376	ENSDNOP00000009600
ENSG00000189181	ENST00000342623	
ENSG00000170412	ENST00000342648	ENSDNOP00000007604
ENSG00000178568	ENST00000342788	ENSDNOP00000006538
ENSG00000092421	ENST00000343348	ENSDNOP00000002302
ENSG00000187857	ENST00000343399	ENSDNOP00000002827
ENSG00000188558	ENST00000343414	
ENSG00000188069	ENST00000343430	
ENSG00000160791	ENST00000343801	
ENSG00000197706	ENST00000343870	
ENSG00000187848	ENST00000343948	
ENSG00000188000	ENST00000344248	ENSDNOP00000016285
ENSG00000187612	ENST00000344514	
ENSG00000188763	ENST00000344575	
ENSG00000187701	ENST00000344889	ENSDNOP00000014128
ENSG00000187747	ENST00000345043	
ENSG00000188778	ENST00000345060	
ENSG00000156642	ENST00000345330	ENSDNOP00000005060
ENSG00000060656	ENST00000345512	ENSDNOP00000005752
ENSG00000189013	ENST00000345540	ENSDNOP00000009600
ENSG00000104921	ENST00000346664	
ENSG00000162594	ENST00000347310	ENSDNOP00000006722
ENSG00000110448	ENST00000347785	ENSDNOP00000012519
ENSG00000116678	ENST00000349533	ENSDNOP00000003567
ENSG00000179468	ENST00000350513	
ENSG00000114739	ENST00000352511	
ENSG00000231192	ENST00000354565	
ENSG00000168079	ENST00000354914	
ENSG00000196098	ENST00000354924	
ENSG00000196189	ENST00000355014	ENSDNOP00000006307
ENSG00000161944	ENST00000355035	ENSDNOP00000010169
ENSG00000197405	ENST00000355085	
ENSG00000197938	ENST00000355273	
ENSG00000197454	ENST00000355281	
ENSG00000166736	ENST00000355556	ENSDNOP00000009932
ENSG00000136869	ENST00000355622	ENSDNOP00000009825
ENSG00000157873	ENST00000355716	
ENSG00000198104	ENST00000355728	
ENSG00000197591	ENST00000355784	
ENSG00000173890	ENST00000355897	
ENSG00000165246	ENST00000355905	ENSDNOP00000002208
ENSG00000198053	ENST00000356025	ENSDNOP00000003929
ENSG00000176937	ENST00000356069	
ENSG00000198657	ENST00000356130	ENSDNOP00000011832
ENSG00000233412	ENST00000356526	
ENSG00000050628	ENST00000356595	ENSDNOP00000008075
ENSG00000173535	ENST00000356864	ENSDNOP00000006731
ENSG00000197081	ENST00000356956	ENSDNOP00000000150
ENSG00000139187	ENST00000356986	ENSDNOP00000000712
ENSG00000196917	ENST00000356987	
ENSG00000196936	ENST00000357191	
ENSG00000196832	ENST00000357366	
ENSG00000105426	ENST00000357368	
ENSG00000197786	ENST00000357377	
ENSG00000121797	ENST00000357392	
ENSG00000197263	ENST00000357438	
ENSG00000180616	ENST00000357585	
ENSG00000197428	ENST00000357605	
ENSG00000196772	ENST00000357627	ENSDNOP00000005844
ENSG00000196277	ENST00000357716	ENSDNOP00000011963
ENSG00000196341	ENST00000357821	ENSDNOP00000007305
ENSG00000135622	ENST00000357877	ENSDNOP00000010156
ENSG00000213694	ENST00000358157	
ENSG00000196411	ENST00000358173	ENSDNOP00000016471
ENSG00000168329	ENST00000358309	
ENSG00000142627	ENST00000358432	ENSDNOP00000011070
ENSG00000188324	ENST00000358433	
ENSG00000196578	ENST00000358642	
ENSG00000072694	ENST00000358671	
ENSG00000196338	ENST00000358741	ENSDNOP00000007862
ENSG00000126895	ENST00000358927	
ENSG00000163513	ENST00000359013	ENSDNOP00000005781
ENSG00000134545	ENST00000359151	
ENSG00000177575	ENST00000359156	ENSDNOP00000000704
ENSG00000176895	ENST00000359350	ENSDNOP00000013088
ENSG00000148604	ENST00000359452	ENSDNOP00000003771
ENSG00000004948	ENST00000359558	ENSDNOP00000005067
ENSG00000196539	ENST00000359594	
ENSG00000196218	ENST00000359596	
ENSG00000196171	ENST00000359610	
ENSG00000198601	ENST00000359682	
ENSG00000197437	ENST00000359688	ENSDNOP00000003285
ENSG00000187258	ENST00000359791	ENSDNOP00000003020
ENSG00000117114	ENST00000359929	ENSDNOP00000010576
ENSG00000142949	ENST00000359947	ENSDNOP00000010503
ENSG00000198128	ENST00000359959	
ENSG00000072274	ENST00000360110	ENSDNOP00000002528
ENSG00000167851	ENST00000360141	
ENSG00000197790	ENST00000360213	ENSDNOP00000008743
ENSG00000198283	ENST00000360374	ENSDNOP00000011062
ENSG00000118257	ENST00000360409	ENSDNOP00000011332
ENSG00000197635	ENST00000360534	ENSDNOP00000002040
ENSG00000239732	ENST00000360658	
ENSG00000164270	ENST00000360693	ENSDNOP00000012392
ENSG00000170683	ENST00000360759	ENSDNOP00000008504
ENSG00000170180	ENST00000360771	ENSDNOP00000012928
ENSG00000119121	ENST00000360774	ENSDNOP00000006456
ENSG00000140538	ENST00000360948	ENSDNOP00000013927
ENSG00000197594	ENST00000360971	ENSDNOP00000012767
ENSG00000198967	ENST00000361284	
ENSG00000196776	ENST00000361309	ENSDNOP00000014872
ENSG00000158458	ENST00000361474	ENSDNOP00000001972
ENSG00000132704	ENST00000361516	ENSDNOP00000015311
ENSG00000198822	ENST00000361669	ENSDNOP00000005499
ENSG00000152822	ENST00000361719	ENSDNOP00000000484
ENSG00000198877	ENST00000361760	
ENSG00000198851	ENST00000361763	ENSDNOP00000000824
ENSG00000105699	ENST00000361790	
ENSG00000198785	ENST00000361820	ENSDNOP00000007933
ENSG00000143297	ENST00000361835	
ENSG00000198829	ENST00000362032	
ENSG00000149295	ENST00000362072	ENSDNOP00000005426
ENSG00000198821	ENST00000362089	
ENSG00000203618	ENST00000366425	ENSDNOP00000017383
ENSG00000175143	ENST00000366474	
ENSG00000162727	ENST00000366476	
ENSG00000196071	ENST00000366478	
ENSG00000203663	ENST00000366479	
ENSG00000187080	ENST00000366480	
ENSG00000241128	ENST00000366485	ENSDNOP00000016069
ENSG00000196242	ENST00000366487	
ENSG00000054277	ENST00000366554	ENSDNOP00000005823
ENSG00000116996	ENST00000366570	ENSDNOP00000006670
ENSG00000077585	ENST00000366592	ENSDNOP00000010326
ENSG00000120436	ENST00000366834	
ENSG00000162769	ENST00000366971	ENSDNOP00000006938
ENSG00000076356	ENST00000367033	ENSDNOP00000008745
ENSG00000203710	ENST00000367049	
ENSG00000117322	ENST00000367057	ENSDNOP00000007262
ENSG00000198049	ENST00000367126	ENSDNOP00000007538
ENSG00000133067	ENST00000367278	ENSDNOP00000014345
ENSG00000170075	ENST00000367282	ENSDNOP00000013921
ENSG00000111981	ENST00000367345	ENSDNOP00000011235
ENSG00000131015	ENST00000367351	ENSDNOP00000011235
ENSG00000153029	ENST00000367580	ENSDNOP00000014010
ENSG00000143324	ENST00000367590	ENSDNOP00000013407
ENSG00000112414	ENST00000367609	ENSDNOP00000011376
ENSG00000203737	ENST00000367685	ENSDNOP00000004828
ENSG00000027697	ENST00000367739	ENSDNOP00000015664
ENSG00000143147	ENST00000367838	
ENSG00000143167	ENST00000367868	ENSDNOP00000013648
ENSG00000162733	ENST00000367922	
ENSG00000162747	ENST00000367964	
ENSG00000203747	ENST00000367969	
ENSG00000143217	ENST00000368012	ENSDNOP00000009705
ENSG00000158769	ENST00000368026	ENSDNOP00000003231
ENSG00000122223	ENST00000368033	ENSDNOP00000011464
ENSG00000026751	ENST00000368043	ENSDNOP00000011266
ENSG00000162739	ENST00000368057	ENSDNOP00000013138
ENSG00000179639	ENST00000368115	ENSDNOP00000003170
ENSG00000213088	ENST00000368121	
ENSG00000180433	ENST00000368144	
ENSG00000203757	ENST00000368145	
ENSG00000186400	ENST00000368150	ENSDNOP00000001272
ENSG00000198965	ENST00000368152	
ENSG00000158473	ENST00000368171	ENSDNOP00000014509
ENSG00000163534	ENST00000368176	ENSDNOP00000013963
ENSG00000160856	ENST00000368184	ENSDNOP00000010019
ENSG00000027644	ENST00000368195	
ENSG00000152894	ENST00000368213	ENSDNOP00000007216
ENSG00000173080	ENST00000368318	ENSDNOP00000013213
ENSG00000160716	ENST00000368476	
ENSG00000160712	ENST00000368485	ENSDNOP00000001464
ENSG00000047936	ENST00000368508	ENSDNOP00000008177
ENSG00000159164	ENST00000369146	
ENSG00000150337	ENST00000369168	ENSDNOP00000001952
ENSG00000043591	ENST00000369295	
ENSG00000135333	ENST00000369303	ENSDNOP00000014889
ENSG00000143127	ENST00000369304	ENSDNOP00000012431
ENSG00000198019	ENST00000369384	ENSDNOP00000001952
ENSG00000116824	ENST00000369478	ENSDNOP00000009866
ENSG00000118432	ENST00000369501	ENSDNOP00000012610
ENSG00000121933	ENST00000369716	ENSDNOP00000003664
ENSG00000125522	ENST00000369768	
ENSG00000166160	ENST00000369929	
ENSG00000147380	ENST00000369935	
ENSG00000135312	ENST00000369947	ENSDNOP00000007145
ENSG00000102076	ENST00000369951	
ENSG00000101204	ENST00000370263	
ENSG00000147402	ENST00000370306	ENSDNOP00000005129
ENSG00000011677	ENST00000370314	ENSDNOP00000008168
ENSG00000102287	ENST00000370328	ENSDNOP00000005384
ENSG00000101188	ENST00000370501	
ENSG00000135298	ENST00000370598	ENSDNOP00000011649
ENSG00000102239	ENST00000370648	ENSDNOP00000001755
ENSG00000162618	ENST00000370742	ENSDNOP00000006577
ENSG00000122420	ENST00000370758	ENSDNOP00000001605
ENSG00000137252	ENST00000370862	ENSDNOP00000011365
ENSG00000185483	ENST00000371079	ENSDNOP00000014483
ENSG00000170927	ENST00000371117	ENSDNOP00000011639
ENSG00000162604	ENST00000371180	
ENSG00000184292	ENST00000371225	
ENSG00000153292	ENST00000371253	ENSDNOP00000009629
ENSG00000186188	ENST00000371483	ENSDNOP00000007815
ENSG00000176884	ENST00000371553	
ENSG00000131724	ENST00000371666	ENSDNOP00000008529
ENSG00000180772	ENST00000371906	
ENSG00000122375	ENST00000372071	
ENSG00000148600	ENST00000372117	ENSDNOP00000007582
ENSG00000117425	ENST00000372192	ENSDNOP00000009522
ENSG00000101017	ENST00000372285	
ENSG00000117400	ENST00000372470	ENSDNOP00000015149
ENSG00000066056	ENST00000372476	
ENSG00000188828	ENST00000372617	ENSDNOP00000009917
ENSG00000124145	ENST00000372733	ENSDNOP00000009257
ENSG00000183317	ENST00000373048	
ENSG00000096264	ENST00000373089	
ENSG00000163873	ENST00000373091	ENSDNOP00000006246
ENSG00000119535	ENST00000373103	ENSDNOP00000014683
ENSG00000095970	ENST00000373113	ENSDNOP00000002991
ENSG00000161911	ENST00000373127	ENSDNOP00000012450
ENSG00000196090	ENST00000373187	ENSDNOP00000009244
ENSG00000106991	ENST00000373203	
ENSG00000112164	ENST00000373256	
ENSG00000173198	ENST00000373304	ENSDNOP00000011431
ENSG00000075073	ENST00000373306	ENSDNOP00000011135
ENSG00000188394	ENST00000373642	ENSDNOP00000005413
ENSG00000121753	ENST00000373658	ENSDNOP00000011176
ENSG00000148215	ENST00000373680	
ENSG00000171501	ENST00000373688	ENSDNOP00000012740
ENSG00000186810	ENST00000373691	
ENSG00000181773	ENST00000374024	
ENSG00000124493	ENST00000374181	ENSDNOP00000009249
ENSG00000147168	ENST00000374202	ENSDNOP00000015983
ENSG00000182749	ENST00000374296	
ENSG00000204174	ENST00000374312	ENSDNOP00000014101
ENSG00000096433	ENST00000374316	
ENSG00000198121	ENST00000374431	
ENSG00000030304	ENST00000374448	ENSDNOP00000007542
ENSG00000188822	ENST00000374472	
ENSG00000101000	ENST00000374477	ENSDNOP00000005757
ENSG00000186912	ENST00000374519	
ENSG00000204217	ENST00000374580	ENSDNOP00000010745
ENSG00000133216	ENST00000374632	ENSDNOP00000006102
ENSG00000177283	ENST00000374694	
ENSG00000131080	ENST00000374719	
ENSG00000165029	ENST00000374736	ENSDNOP00000007135
ENSG00000255800	ENST00000374779	ENSDNOP00000014992
ENSG00000204246	ENST00000374781	
ENSG00000168384	ENST00000374808	
ENSG00000237541	ENST00000374940	ENSDNOP00000003869
ENSG00000106799	ENST00000374994	ENSDNOP00000008649
ENSG00000204293	ENST00000375013	ENSDNOP00000015590
ENSG00000204293	ENST00000375013	ENSDNOP00000008333
ENSG00000236981	ENST00000375024	
ENSG00000204305	ENST00000375076	
ENSG00000204345	ENST00000375352	
ENSG00000179002	ENST00000375371	
ENSG00000169071	ENST00000375708	ENSDNOP00000007966
ENSG00000204420	ENST00000375806	ENSDNOP00000005778
ENSG00000148053	ENST00000376214	ENSDNOP00000014279
ENSG00000028137	ENST00000376259	
ENSG00000080031	ENST00000376350	
ENSG00000151025	ENST00000376351	ENSDNOP00000014774
ENSG00000169508	ENST00000376414	
ENSG00000204580	ENST00000376575	
ENSG00000229698	ENST00000376848	
ENSG00000206512	ENST00000376947	
ENSG00000204681	ENST00000377034	
ENSG00000178726	ENST00000377103	
ENSG00000204687	ENST00000377127	
ENSG00000204688	ENST00000377136	
ENSG00000204690	ENST00000377140	
ENSG00000112462	ENST00000377143	
ENSG00000204694	ENST00000377148	ENSDNOP00000017583
ENSG00000243729	ENST00000377154	ENSDNOP00000017139
ENSG00000204695	ENST00000377160	ENSDNOP00000006275
ENSG00000204701	ENST00000377169	
ENSG00000204702	ENST00000377171	
ENSG00000204703	ENST00000377173	
ENSG00000113749	ENST00000377291	
ENSG00000180758	ENST00000377411	
ENSG00000049249	ENST00000377507	
ENSG00000204882	ENST00000377741	ENSDNOP00000017188
ENSG00000215788	ENST00000377782	ENSDNOP00000015852
ENSG00000158292	ENST00000377893	
ENSG00000168828	ENST00000377981	ENSDNOP00000007065
ENSG00000077943	ENST00000378076	ENSDNOP00000013864
ENSG00000171659	ENST00000378142	ENSDNOP00000011232
ENSG00000205029	ENST00000378396	
ENSG00000139679	ENST00000378434	
ENSG00000182220	ENST00000378438	ENSDNOP00000004732
ENSG00000187730	ENST00000378585	
ENSG00000134569	ENST00000378623	ENSDNOP00000015367
ENSG00000162881	ENST00000378661	
ENSG00000102468	ENST00000378688	ENSDNOP00000006936
ENSG00000169306	ENST00000378993	ENSDNOP00000004672
ENSG00000205213	ENST00000379214	ENSDNOP00000012228
ENSG00000186827	ENST00000379236	
ENSG00000165186	ENST00000379361	ENSDNOP00000014044
ENSG00000171873	ENST00000379453	
ENSG00000138741	ENST00000379645	ENSDNOP00000008281
ENSG00000205327	ENST00000379662	ENSDNOP00000012508
ENSG00000205328	ENST00000379665	ENSDNOP00000016120
ENSG00000205329	ENST00000379667	ENSDNOP00000002679
ENSG00000170782	ENST00000379829	
ENSG00000173698	ENST00000379869	ENSDNOP00000009676
ENSG00000134460	ENST00000379959	ENSDNOP00000007796
ENSG00000178015	ENST00000380007	
ENSG00000120156	ENST00000380036	ENSDNOP00000006228
ENSG00000167359	ENST00000380211	ENSDNOP00000006981
ENSG00000176239	ENST00000380219	ENSDNOP00000013643
ENSG00000183251	ENST00000380224	
ENSG00000126010	ENST00000380289	ENSDNOP00000015341
ENSG00000205494	ENST00000380369	
ENSG00000205495	ENST00000380370	ENSDNOP00000015553
ENSG00000205496	ENST00000380371	
ENSG00000205497	ENST00000380373	
ENSG00000176900	ENST00000380378	
ENSG00000132670	ENST00000380393	ENSDNOP00000016929
ENSG00000120907	ENST00000380586	ENSDNOP00000005330
ENSG00000196664	ENST00000380659	
ENSG00000139514	ENST00000380752	
ENSG00000146938	ENST00000381095	ENSDNOP00000002208
ENSG00000153707	ENST00000381196	ENSDNOP00000012119
ENSG00000182162	ENST00000381297	
ENSG00000134352	ENST00000381298	
ENSG00000120217	ENST00000381577	ENSDNOP00000014482
ENSG00000205809	ENST00000381902	
ENSG00000159110	ENST00000382241	ENSDNOP00000004649
ENSG00000155269	ENST00000382487	
ENSG00000186090	ENST00000382489	ENSDNOP00000016245
ENSG00000112902	ENST00000382496	ENSDNOP00000007472
ENSG00000231679	ENST00000383126	
ENSG00000206291	ENST00000383224	
ENSG00000206292	ENST00000383226	
ENSG00000206305	ENST00000383251	
ENSG00000206308	ENST00000383259	
ENSG00000184984	ENST00000383263	ENSDNOP00000012463
ENSG00000206320	ENST00000383279	
ENSG00000206396	ENST00000383412	
ENSG00000206430	ENST00000383476	
ENSG00000137403	ENST00000383516	
ENSG00000206466	ENST00000383542	
ENSG00000206470	ENST00000383549	
ENSG00000206471	ENST00000383550	
ENSG00000206472	ENST00000383551	
ENSG00000204692	ENST00000383556	
ENSG00000206493	ENST00000383597	
ENSG00000206506	ENST00000383623	
ENSG00000206509	ENST00000383627	
ENSG00000206511	ENST00000383638	
ENSG00000204657	ENST00000383640	
ENSG00000206515	ENST00000383643	
ENSG00000206516	ENST00000383644	
ENSG00000206517	ENST00000383645	
ENSG00000206522	ENST00000383651	
ENSG00000206524	ENST00000383653	
ENSG00000206525	ENST00000383654	
ENSG00000230301	ENST00000383696	
ENSG00000205336	ENST00000388812	ENSDNOP00000000020
ENSG00000136011	ENST00000388887	ENSDNOP00000006487
ENSG00000156886	ENST00000389202	ENSDNOP00000017074
ENSG00000196811	ENST00000389494	ENSDNOP00000013070
ENSG00000080224	ENST00000389672	ENSDNOP00000011716
ENSG00000174948	ENST00000389740	ENSDNOP00000007419
ENSG00000006071	ENST00000389817	ENSDNOP00000011958
ENSG00000184350	ENST00000389832	
ENSG00000212807	ENST00000391496	ENSDNOP00000017124
ENSG00000204689	ENST00000391549	
ENSG00000167633	ENST00000391728	ENSDNOP00000009600
ENSG00000186818	ENST00000391736	
ENSG00000167613	ENST00000391742	ENSDNOP00000002335
ENSG00000131042	ENST00000391749	
ENSG00000135898	ENST00000392040	ENSDNOP00000009344
ENSG00000064989	ENST00000392370	ENSDNOP00000009632
ENSG00000197177	ENST00000392607	
ENSG00000007312	ENST00000392795	ENSDNOP00000001865
ENSG00000213215	ENST00000392899	ENSDNOP00000009216
ENSG00000106123	ENST00000392957	ENSDNOP00000003657
ENSG00000106278	ENST00000393386	ENSDNOP00000008110
ENSG00000114554	ENST00000393409	
ENSG00000175591	ENST00000393597	
ENSG00000184845	ENST00000393752	
ENSG00000144847	ENST00000393775	ENSDNOP00000017173
ENSG00000145864	ENST00000393959	ENSDNOP00000010316
ENSG00000156920	ENST00000394143	
ENSG00000179626	ENST00000394256	
ENSG00000186867	ENST00000394427	ENSDNOP00000014270
ENSG00000119737	ENST00000394705	
ENSG00000188372	ENST00000394857	ENSDNOP00000013250
ENSG00000164082	ENST00000395052	
ENSG00000172772	ENST00000395079	
ENSG00000137868	ENST00000395105	ENSDNOP00000004159
ENSG00000181619	ENST00000395116	
ENSG00000165215	ENST00000395145	ENSDNOP00000015974
ENSG00000126777	ENST00000395309	ENSDNOP00000008777
ENSG00000197471	ENST00000395389	ENSDNOP00000000962
ENSG00000077238	ENST00000395762	
ENSG00000150093	ENST00000396033	ENSDNOP00000016973
ENSG00000179826	ENST00000396275	
ENSG00000183454	ENST00000396573	ENSDNOP00000008098
ENSG00000206503	ENST00000396634	
ENSG00000137101	ENST00000396757	ENSDNOP00000001222
ENSG00000167332	ENST00000396950	ENSDNOP00000001560
ENSG00000180785	ENST00000396952	ENSDNOP00000016573
ENSG00000115232	ENST00000397033	ENSDNOP00000014926
ENSG00000164849	ENST00000397095	
ENSG00000125245	ENST00000397473	ENSDNOP00000003964
ENSG00000162009	ENST00000397547	
ENSG00000197646	ENST00000397747	ENSDNOP00000014484
ENSG00000134160	ENST00000397795	ENSDNOP00000000378
ENSG00000160255	ENST00000397852	
ENSG00000154928	ENST00000398015	ENSDNOP00000011072
ENSG00000152558	ENST00000398136	ENSDNOP00000011879
ENSG00000120088	ENST00000398285	ENSDNOP00000009779
ENSG00000127418	ENST00000398484	
ENSG00000184012	ENST00000398585	ENSDNOP00000016318
ENSG00000231286	ENST00000399088	
ENSG00000206240	ENST00000399450	
ENSG00000171189	ENST00000399907	ENSDNOP00000009435
ENSG00000215522	ENST00000400489	
ENSG00000215644	ENST00000400723	
ENSG00000215764	ENST00000400875	ENSDNOP00000009600
ENSG00000112486	ENST00000400926	
ENSG00000111886	ENST00000402938	ENSDNOP00000004824
ENSG00000182083	ENST00000402971	ENSDNOP00000017481
ENSG00000121764	ENST00000403528	ENSDNOP00000007945
ENSG00000100368	ENST00000403662	ENSDNOP00000008770
ENSG00000179915	ENST00000404971	ENSDNOP00000003897
ENSG00000164199	ENST00000405460	ENSDNOP00000005930
ENSG00000132975	ENST00000405846	ENSDNOP00000013712
ENSG00000170820	ENST00000406846	ENSDNOP00000002677
ENSG00000183671	ENST00000407325	ENSDNOP00000004956
ENSG00000064547	ENST00000407877	
ENSG00000120903	ENST00000407991	ENSDNOP00000007025
ENSG00000221888	ENST00000408896	ENSDNOP00000015970
ENSG00000221933	ENST00000408898	
ENSG00000221938	ENST00000408899	ENSDNOP00000016200
ENSG00000221836	ENST00000408906	ENSDNOP00000016060
ENSG00000221996	ENST00000408920	ENSDNOP00000008585
ENSG00000221813	ENST00000408922	
ENSG00000221977	ENST00000408935	ENSDNOP00000015774
ENSG00000221858	ENST00000408949	
ENSG00000221970	ENST00000408951	ENSDNOP00000017124
ENSG00000221910	ENST00000408955	ENSDNOP00000009216
ENSG00000221989	ENST00000408979	ENSDNOP00000016385
ENSG00000091409	ENST00000409080	ENSDNOP00000006541
ENSG00000222040	ENST00000409345	
ENSG00000121966	ENST00000409817	ENSDNOP00000006928
ENSG00000115594	ENST00000410023	ENSDNOP00000005932
ENSG00000115604	ENST00000410040	ENSDNOP00000004245
ENSG00000227639	ENST00000411447	
ENSG00000228987	ENST00000411505	
ENSG00000234794	ENST00000411524	
ENSG00000229680	ENST00000411574	
ENSG00000006638	ENST00000411851	ENSDNOP00000014057
ENSG00000020181	ENST00000412232	ENSDNOP00000014675
ENSG00000229058	ENST00000412470	
ENSG00000234745	ENST00000412585	
ENSG00000225211	ENST00000412603	
ENSG00000099957	ENST00000413302	
ENSG00000232178	ENST00000414140	
ENSG00000154269	ENST00000414305	ENSDNOP00000011074
ENSG00000233481	ENST00000414415	
ENSG00000113327	ENST00000414552	ENSDNOP00000010700
ENSG00000230726	ENST00000414698	
ENSG00000224103	ENST00000415247	
ENSG00000229252	ENST00000415289	
ENSG00000224395	ENST00000415581	
ENSG00000233904	ENST00000415649	
ENSG00000237216	ENST00000415687	
ENSG00000233141	ENST00000415802	
ENSG00000226000	ENST00000415857	
ENSG00000226832	ENST00000415976	
ENSG00000233209	ENST00000416192	
ENSG00000198223	ENST00000417535	
ENSG00000224320	ENST00000417978	
ENSG00000112218	ENST00000417980	
ENSG00000234954	ENST00000418003	
ENSG00000168959	ENST00000418177	ENSDNOP00000006290
ENSG00000225781	ENST00000418316	
ENSG00000233618	ENST00000418630	
