Ensembl Gene ID	Ensembl Transcript ID	Sloth Ensembl Protein ID
ENSG00000181935	ENST00000314634	ENSCHOP00000003397
ENSG00000181935	ENST00000314634	ENSCHOP00000001010
ENSG00000181939	ENST00000314644	
ENSG00000181958	ENST00000314706	
ENSG00000181961	ENST00000314721	
ENSG00000180708	ENST00000314902	ENSCHOP00000003389
ENSG00000181656	ENST00000315033	ENSCHOP00000010802
ENSG00000180340	ENST00000315323	
ENSG00000150048	ENST00000315330	
ENSG00000176198	ENST00000315409	ENSCHOP00000007110
ENSG00000180658	ENST00000315453	
ENSG00000176219	ENST00000315519	ENSCHOP00000000857
ENSG00000176230	ENST00000315543	
ENSG00000127507	ENST00000315576	
ENSG00000176246	ENST00000315683	ENSCHOP00000010448
ENSG00000176253	ENST00000315693	
ENSG00000137809	ENST00000315757	
ENSG00000176281	ENST00000315915	ENSCHOP00000006119
ENSG00000176294	ENST00000315947	ENSCHOP00000006789
ENSG00000176299	ENST00000315957	ENSCHOP00000010909
ENSG00000244623	ENST00000316368	
ENSG00000180919	ENST00000316529	ENSCHOP00000007227
ENSG00000180919	ENST00000316529	ENSCHOP00000002377
ENSG00000180934	ENST00000316650	
ENSG00000180475	ENST00000316770	
ENSG00000180914	ENST00000316793	ENSCHOP00000003396
ENSG00000180974	ENST00000316987	ENSCHOP00000003402
ENSG00000180988	ENST00000317037	ENSCHOP00000009155
ENSG00000181001	ENST00000317078	ENSCHOP00000000286
ENSG00000181009	ENST00000317093	
ENSG00000181023	ENST00000317121	
ENSG00000181074	ENST00000317254	ENSCHOP00000006986
ENSG00000161649	ENST00000317310	
ENSG00000177151	ENST00000317450	ENSCHOP00000005035
ENSG00000168995	ENST00000317643	
ENSG00000175898	ENST00000317726	
ENSG00000180245	ENST00000317735	ENSCHOP00000008247
ENSG00000178358	ENST00000317834	
ENSG00000177174	ENST00000317861	ENSCHOP00000010426
ENSG00000177186	ENST00000317965	
ENSG00000177201	ENST00000317996	
ENSG00000177212	ENST00000318021	
ENSG00000176695	ENST00000318050	ENSCHOP00000008115
ENSG00000176695	ENST00000318050	ENSCHOP00000008082
ENSG00000177275	ENST00000318244	ENSCHOP00000000877
ENSG00000177275	ENST00000318244	ENSCHOP00000008265
ENSG00000178084	ENST00000318351	ENSCHOP00000002749
ENSG00000105976	ENST00000318493	ENSCHOP00000004659
ENSG00000180871	ENST00000318507	
ENSG00000197309	ENST00000318666	ENSCHOP00000000306
ENSG00000177535	ENST00000318749	ENSCHOP00000009627
ENSG00000179055	ENST00000318763	ENSCHOP00000005217
ENSG00000181104	ENST00000319211	ENSCHOP00000009720
ENSG00000177663	ENST00000319363	
ENSG00000178586	ENST00000319423	
ENSG00000179097	ENST00000319595	ENSCHOP00000010678
ENSG00000221840	ENST00000319760	
ENSG00000176540	ENST00000319813	ENSCHOP00000005476
ENSG00000178623	ENST00000319838	
ENSG00000176547	ENST00000319856	
ENSG00000177462	ENST00000319968	
ENSG00000176555	ENST00000319988	
ENSG00000177476	ENST00000320002	ENSCHOP00000008377
ENSG00000176567	ENST00000320048	
ENSG00000177489	ENST00000320065	ENSCHOP00000000210
ENSG00000177489	ENST00000320065	ENSCHOP00000002547
ENSG00000181803	ENST00000320704	
ENSG00000254737	ENST00000320891	
ENSG00000176269	ENST00000320901	
ENSG00000178201	ENST00000321039	
ENSG00000221866	ENST00000321063	ENSCHOP00000002853
ENSG00000181499	ENST00000321252	
ENSG00000176742	ENST00000321255	
ENSG00000181518	ENST00000321355	ENSCHOP00000000979
ENSG00000176787	ENST00000321522	ENSCHOP00000012380
ENSG00000176798	ENST00000321543	ENSCHOP00000004932
ENSG00000179615	ENST00000321688	
ENSG00000244165	ENST00000321826	
ENSG00000176879	ENST00000321961	
ENSG00000176893	ENST00000322013	
ENSG00000176904	ENST00000322059	ENSCHOP00000012008
ENSG00000176922	ENST00000322101	ENSCHOP00000006899
ENSG00000176231	ENST00000322107	
ENSG00000176925	ENST00000322110	
ENSG00000180929	ENST00000322241	
ENSG00000188269	ENST00000322301	
ENSG00000180016	ENST00000322608	
ENSG00000181609	ENST00000322641	ENSCHOP00000008667
ENSG00000181609	ENST00000322641	ENSCHOP00000000974
ENSG00000181616	ENST00000322653	ENSCHOP00000007270
ENSG00000179695	ENST00000322678	
ENSG00000117335	ENST00000322875	ENSCHOP00000002058
ENSG00000177464	ENST00000323040	
ENSG00000196610	ENST00000323109	
ENSG00000180090	ENST00000323404	
ENSG00000178394	ENST00000323865	
ENSG00000181733	ENST00000324060	ENSCHOP00000000374
ENSG00000004399	ENST00000324093	
ENSG00000178562	ENST00000324106	ENSCHOP00000012182
ENSG00000151617	ENST00000324300	ENSCHOP00000011562
ENSG00000104972	ENST00000324602	
ENSG00000144481	ENST00000324695	ENSCHOP00000006168
ENSG00000176136	ENST00000324750	
ENSG00000162897	ENST00000324852	
ENSG00000114812	ENST00000325123	
ENSG00000181631	ENST00000325602	
ENSG00000181963	ENST00000325719	
ENSG00000106128	ENST00000326139	ENSCHOP00000011912
ENSG00000186074	ENST00000326165	
ENSG00000177693	ENST00000326183	ENSCHOP00000008115
ENSG00000177693	ENST00000326183	ENSCHOP00000008082
ENSG00000179919	ENST00000326258	ENSCHOP00000011711
ENSG00000179934	ENST00000326306	ENSCHOP00000007395
ENSG00000240403	ENST00000326321	ENSCHOP00000007746
ENSG00000180269	ENST00000326571	ENSCHOP00000010480
ENSG00000006327	ENST00000326577	
ENSG00000080644	ENST00000326828	ENSCHOP00000012104
ENSG00000181273	ENST00000326855	ENSCHOP00000004504
ENSG00000181273	ENST00000326855	ENSCHOP00000002122
ENSG00000019169	ENST00000327097	ENSCHOP00000004411
ENSG00000181371	ENST00000327216	
ENSG00000166342	ENST00000327305	ENSCHOP00000003437
ENSG00000104938	ENST00000327325	
ENSG00000184954	ENST00000327335	ENSCHOP00000002021
ENSG00000185385	ENST00000327462	
ENSG00000185436	ENST00000327535	ENSCHOP00000006199
ENSG00000185231	ENST00000327606	
ENSG00000153294	ENST00000327753	ENSCHOP00000001595
ENSG00000185897	ENST00000327809	
ENSG00000221931	ENST00000327930	
ENSG00000182771	ENST00000327946	ENSCHOP00000011097
ENSG00000197125	ENST00000328064	ENSCHOP00000012141
ENSG00000197125	ENST00000328064	ENSCHOP00000012393
ENSG00000185926	ENST00000328188	ENSCHOP00000000223
ENSG00000182613	ENST00000328275	ENSCHOP00000005722
ENSG00000185821	ENST00000328314	
ENSG00000182334	ENST00000328375	ENSCHOP00000005867
ENSG00000183473	ENST00000328544	
ENSG00000182783	ENST00000328570	ENSCHOP00000007104
ENSG00000186891	ENST00000328596	
ENSG00000184698	ENST00000328611	
ENSG00000186407	ENST00000328630	
ENSG00000183310	ENST00000328782	
ENSG00000183706	ENST00000328795	
ENSG00000184881	ENST00000328813	ENSCHOP00000011311
ENSG00000184881	ENST00000328813	ENSCHOP00000012326
ENSG00000182782	ENST00000328880	
ENSG00000184140	ENST00000328882	ENSCHOP00000007144
ENSG00000183024	ENST00000328890	
ENSG00000206306	ENST00000328980	
ENSG00000182687	ENST00000329003	
ENSG00000235568	ENST00000329021	
ENSG00000185245	ENST00000329125	ENSCHOP00000011721
ENSG00000183840	ENST00000329321	ENSCHOP00000008093
ENSG00000205409	ENST00000329322	ENSCHOP00000007398
ENSG00000172742	ENST00000329328	
ENSG00000185372	ENST00000329365	
ENSG00000183303	ENST00000329434	ENSCHOP00000010409
ENSG00000183303	ENST00000329434	ENSCHOP00000011063
ENSG00000183303	ENST00000329434	ENSCHOP00000009098
ENSG00000185149	ENST00000329476	ENSCHOP00000010307
ENSG00000113763	ENST00000329542	
ENSG00000184478	ENST00000329564	ENSCHOP00000006332
ENSG00000183695	ENST00000329773	ENSCHOP00000004626
ENSG00000183484	ENST00000329797	
ENSG00000184574	ENST00000329858	
ENSG00000184160	ENST00000330055	
ENSG00000182631	ENST00000330120	ENSCHOP00000000083
ENSG00000182580	ENST00000330394	
ENSG00000182634	ENST00000330487	
ENSG00000184022	ENST00000330500	ENSCHOP00000006286
ENSG00000114013	ENST00000330540	ENSCHOP00000003469
ENSG00000183389	ENST00000330728	ENSCHOP00000002573
ENSG00000167850	ENST00000330793	
ENSG00000183130	ENST00000330803	
ENSG00000183813	ENST00000330953	ENSCHOP00000001580
ENSG00000185291	ENST00000331035	
ENSG00000183729	ENST00000331251	ENSCHOP00000002158
ENSG00000183748	ENST00000331429	ENSCHOP00000010597
ENSG00000184166	ENST00000331459	
ENSG00000172116	ENST00000331469	
ENSG00000178852	ENST00000331493	ENSCHOP00000003592
ENSG00000182652	ENST00000331723	
ENSG00000185920	ENST00000331920	ENSCHOP00000003562
ENSG00000184321	ENST00000332043	
ENSG00000173482	ENST00000332175	ENSCHOP00000003847
ENSG00000196266	ENST00000332217	
ENSG00000182854	ENST00000332238	ENSCHOP00000001290
ENSG00000183313	ENST00000332249	ENSCHOP00000000406
ENSG00000183313	ENST00000332249	ENSCHOP00000007530
ENSG00000182170	ENST00000332314	
ENSG00000184451	ENST00000332438	
ENSG00000183134	ENST00000332539	
ENSG00000115590	ENST00000332549	ENSCHOP00000007576
ENSG00000184194	ENST00000332582	
ENSG00000184933	ENST00000332601	ENSCHOP00000004243
ENSG00000232382	ENST00000332650	
ENSG00000182974	ENST00000332663	ENSCHOP00000010909
ENSG00000185097	ENST00000332831	
ENSG00000221890	ENST00000333039	
ENSG00000173662	ENST00000333172	ENSCHOP00000005093
ENSG00000007908	ENST00000333360	ENSCHOP00000007058
ENSG00000182885	ENST00000333493	
ENSG00000184394	ENST00000333629	ENSCHOP00000006374
ENSG00000182256	ENST00000333743	ENSCHOP00000000328
ENSG00000186117	ENST00000333973	ENSCHOP00000004522
ENSG00000186117	ENST00000333973	ENSCHOP00000006881
ENSG00000186117	ENST00000333973	ENSCHOP00000009975
ENSG00000186117	ENST00000333973	ENSCHOP00000007901
ENSG00000186119	ENST00000333976	ENSCHOP00000005290
ENSG00000186119	ENST00000333976	ENSCHOP00000009777
ENSG00000186119	ENST00000333976	ENSCHOP00000002671
ENSG00000136160	ENST00000334286	ENSCHOP00000007740
ENSG00000152990	ENST00000334304	ENSCHOP00000004765
ENSG00000186306	ENST00000334438	ENSCHOP00000000448
ENSG00000186265	ENST00000334529	
ENSG00000186919	ENST00000334586	
ENSG00000110148	ENST00000334619	
ENSG00000186440	ENST00000334632	ENSCHOP00000001739
ENSG00000186881	ENST00000334726	ENSCHOP00000006931
ENSG00000186881	ENST00000334726	ENSCHOP00000002200
ENSG00000186881	ENST00000334726	ENSCHOP00000011020
ENSG00000186881	ENST00000334726	ENSCHOP00000002817
ENSG00000180264	ENST00000334810	
ENSG00000184155	ENST00000334857	ENSCHOP00000006923
ENSG00000186723	ENST00000334920	
ENSG00000186943	ENST00000335040	ENSCHOP00000008930
ENSG00000186943	ENST00000335040	ENSCHOP00000002140
ENSG00000186943	ENST00000335040	ENSCHOP00000008535
ENSG00000197403	ENST00000335094	ENSCHOP00000003010
ENSG00000186092	ENST00000335137	ENSCHOP00000008115
ENSG00000186092	ENST00000335137	ENSCHOP00000008082
ENSG00000221954	ENST00000335238	
ENSG00000197233	ENST00000335302	
ENSG00000186038	ENST00000335304	ENSCHOP00000010388
ENSG00000107731	ENST00000335350	
ENSG00000186509	ENST00000335397	ENSCHOP00000007688
ENSG00000186113	ENST00000335605	ENSCHOP00000011235
ENSG00000186297	ENST00000335625	ENSCHOP00000003825
ENSG00000257008	ENST00000335666	ENSCHOP00000005613
ENSG00000125498	ENST00000336077	ENSCHOP00000007746
ENSG00000148680	ENST00000336152	
ENSG00000044524	ENST00000336596	ENSCHOP00000001327
ENSG00000125510	ENST00000336866	
ENSG00000135124	ENST00000337233	
ENSG00000187800	ENST00000338302	ENSCHOP00000000194
ENSG00000164129	ENST00000338566	
ENSG00000188124	ENST00000338569	ENSCHOP00000003735
ENSG00000171054	ENST00000338616	ENSCHOP00000009194
ENSG00000187474	ENST00000339223	
ENSG00000188340	ENST00000339258	
ENSG00000169962	ENST00000339381	
ENSG00000179603	ENST00000339582	ENSCHOP00000006255
ENSG00000171049	ENST00000340023	
ENSG00000204475	ENST00000340027	
ENSG00000068078	ENST00000340107	
ENSG00000101180	ENST00000340177	
ENSG00000159618	ENST00000340339	
ENSG00000187871	ENST00000340465	ENSCHOP00000008790
ENSG00000072071	ENST00000340736	
ENSG00000239590	ENST00000340750	
ENSG00000159346	ENST00000340990	ENSCHOP00000005704
ENSG00000187918	ENST00000341449	ENSCHOP00000006920
ENSG00000187918	ENST00000341449	ENSCHOP00000002693
ENSG00000187918	ENST00000341449	ENSCHOP00000004854
ENSG00000196131	ENST00000341702	ENSCHOP00000008410
ENSG00000196131	ENST00000341702	ENSCHOP00000006300
ENSG00000196131	ENST00000341702	ENSCHOP00000010704
ENSG00000196131	ENST00000341702	ENSCHOP00000001212
ENSG00000196131	ENST00000341702	ENSCHOP00000002267
ENSG00000196131	ENST00000341702	ENSCHOP00000000331
ENSG00000196131	ENST00000341702	ENSCHOP00000003962
ENSG00000187957	ENST00000341772	ENSCHOP00000010832
ENSG00000122718	ENST00000341959	ENSCHOP00000006479
ENSG00000168575	ENST00000342228	ENSCHOP00000000028
ENSG00000188888	ENST00000342292	ENSCHOP00000007566
ENSG00000243772	ENST00000342376	ENSCHOP00000007746
ENSG00000189181	ENST00000342623	
ENSG00000170412	ENST00000342648	
ENSG00000178568	ENST00000342788	ENSCHOP00000010657
ENSG00000196240	ENST00000342927	ENSCHOP00000005035
ENSG00000092421	ENST00000343348	ENSCHOP00000006618
ENSG00000187857	ENST00000343399	ENSCHOP00000003883
ENSG00000188558	ENST00000343414	
ENSG00000188069	ENST00000343430	ENSCHOP00000011058
ENSG00000188069	ENST00000343430	ENSCHOP00000000351
ENSG00000160791	ENST00000343801	ENSCHOP00000010157
ENSG00000197706	ENST00000343870	ENSCHOP00000008417
ENSG00000197706	ENST00000343870	ENSCHOP00000003717
ENSG00000187848	ENST00000343948	
ENSG00000188000	ENST00000344248	ENSCHOP00000000034
ENSG00000187612	ENST00000344514	
ENSG00000188763	ENST00000344575	
ENSG00000187701	ENST00000344889	ENSCHOP00000009650
ENSG00000187701	ENST00000344889	ENSCHOP00000001352
ENSG00000187747	ENST00000345043	
ENSG00000188778	ENST00000345060	
ENSG00000156642	ENST00000345330	ENSCHOP00000002549
ENSG00000060656	ENST00000345512	
ENSG00000189013	ENST00000345540	ENSCHOP00000007746
ENSG00000104921	ENST00000346664	
ENSG00000162594	ENST00000347310	ENSCHOP00000003219
ENSG00000110448	ENST00000347785	
ENSG00000116678	ENST00000349533	ENSCHOP00000009275
ENSG00000179468	ENST00000350513	
ENSG00000114739	ENST00000352511	ENSCHOP00000001211
ENSG00000231192	ENST00000354565	
ENSG00000196661	ENST00000354597	ENSCHOP00000002576
ENSG00000196661	ENST00000354597	ENSCHOP00000004651
ENSG00000196661	ENST00000354597	ENSCHOP00000009494
ENSG00000168079	ENST00000354914	ENSCHOP00000001281
ENSG00000196098	ENST00000354924	ENSCHOP00000008260
ENSG00000196189	ENST00000355014	
ENSG00000161944	ENST00000355035	
ENSG00000197405	ENST00000355085	
ENSG00000197938	ENST00000355273	
ENSG00000197454	ENST00000355281	
ENSG00000166736	ENST00000355556	ENSCHOP00000006799
ENSG00000136869	ENST00000355622	ENSCHOP00000011048
ENSG00000157873	ENST00000355716	
ENSG00000198104	ENST00000355728	ENSCHOP00000002746
ENSG00000198104	ENST00000355728	ENSCHOP00000010190
ENSG00000197591	ENST00000355784	
ENSG00000173890	ENST00000355897	ENSCHOP00000007843
ENSG00000165246	ENST00000355905	ENSCHOP00000002810
ENSG00000198053	ENST00000356025	ENSCHOP00000011038
ENSG00000176937	ENST00000356069	
ENSG00000198657	ENST00000356130	ENSCHOP00000012149
ENSG00000233412	ENST00000356526	
ENSG00000050628	ENST00000356595	ENSCHOP00000002448
ENSG00000173535	ENST00000356864	ENSCHOP00000003126
ENSG00000197081	ENST00000356956	ENSCHOP00000008601
ENSG00000139187	ENST00000356986	ENSCHOP00000008904
ENSG00000196917	ENST00000356987	ENSCHOP00000010164
ENSG00000196936	ENST00000357191	
ENSG00000196832	ENST00000357366	
ENSG00000105426	ENST00000357368	
ENSG00000197786	ENST00000357377	
ENSG00000121797	ENST00000357392	ENSCHOP00000002015
ENSG00000197263	ENST00000357438	ENSCHOP00000008131
ENSG00000180616	ENST00000357585	ENSCHOP00000011496
ENSG00000197428	ENST00000357605	ENSCHOP00000008724
ENSG00000196772	ENST00000357627	ENSCHOP00000004733
ENSG00000196277	ENST00000357716	ENSCHOP00000010526
ENSG00000196341	ENST00000357821	ENSCHOP00000005001
ENSG00000196341	ENST00000357821	ENSCHOP00000011596
ENSG00000135622	ENST00000357877	
ENSG00000213694	ENST00000358157	
ENSG00000196411	ENST00000358173	
ENSG00000168329	ENST00000358309	
ENSG00000142627	ENST00000358432	
ENSG00000188324	ENST00000358433	ENSCHOP00000004143
ENSG00000196578	ENST00000358642	
ENSG00000072694	ENST00000358671	ENSCHOP00000001346
ENSG00000196338	ENST00000358741	
ENSG00000126895	ENST00000358927	
ENSG00000163513	ENST00000359013	
ENSG00000134545	ENST00000359151	
ENSG00000177575	ENST00000359156	ENSCHOP00000001322
ENSG00000176895	ENST00000359350	
ENSG00000148604	ENST00000359452	ENSCHOP00000003845
ENSG00000004948	ENST00000359558	ENSCHOP00000004107
ENSG00000196539	ENST00000359594	
ENSG00000196218	ENST00000359596	
ENSG00000196171	ENST00000359610	ENSCHOP00000010313
ENSG00000198601	ENST00000359682	
ENSG00000197437	ENST00000359688	
ENSG00000187258	ENST00000359791	ENSCHOP00000000687
ENSG00000117114	ENST00000359929	ENSCHOP00000009797
ENSG00000142949	ENST00000359947	
ENSG00000198128	ENST00000359959	
ENSG00000196126	ENST00000360004	
ENSG00000072274	ENST00000360110	ENSCHOP00000006292
ENSG00000167851	ENST00000360141	
ENSG00000197790	ENST00000360213	
ENSG00000198283	ENST00000360374	ENSCHOP00000003569
ENSG00000118257	ENST00000360409	ENSCHOP00000010999
ENSG00000197635	ENST00000360534	ENSCHOP00000008620
ENSG00000239732	ENST00000360658	
ENSG00000164270	ENST00000360693	ENSCHOP00000009894
ENSG00000170683	ENST00000360759	
ENSG00000170180	ENST00000360771	
ENSG00000119121	ENST00000360774	ENSCHOP00000001563
ENSG00000140538	ENST00000360948	ENSCHOP00000001786
ENSG00000197594	ENST00000360971	ENSCHOP00000002689
ENSG00000198967	ENST00000361284	ENSCHOP00000004436
ENSG00000196776	ENST00000361309	ENSCHOP00000005986
ENSG00000158458	ENST00000361474	
ENSG00000132704	ENST00000361516	ENSCHOP00000005610
ENSG00000198822	ENST00000361669	ENSCHOP00000002680
ENSG00000152822	ENST00000361719	
ENSG00000198877	ENST00000361760	
ENSG00000198851	ENST00000361763	
ENSG00000105699	ENST00000361790	
ENSG00000198785	ENST00000361820	ENSCHOP00000004255
ENSG00000143297	ENST00000361835	
ENSG00000198829	ENST00000362032	ENSCHOP00000000793
ENSG00000149295	ENST00000362072	ENSCHOP00000007250
ENSG00000198821	ENST00000362089	
ENSG00000203618	ENST00000366425	
ENSG00000203661	ENST00000366473	ENSCHOP00000007104
ENSG00000175143	ENST00000366474	
ENSG00000196944	ENST00000366475	ENSCHOP00000007104
ENSG00000162727	ENST00000366476	
ENSG00000196071	ENST00000366478	ENSCHOP00000009427
ENSG00000203663	ENST00000366479	
ENSG00000187080	ENST00000366480	
ENSG00000241128	ENST00000366485	ENSCHOP00000002912
ENSG00000241128	ENST00000366485	ENSCHOP00000008822
ENSG00000196242	ENST00000366487	
ENSG00000054277	ENST00000366554	ENSCHOP00000007553
ENSG00000116996	ENST00000366570	ENSCHOP00000007022
ENSG00000077585	ENST00000366592	ENSCHOP00000005385
ENSG00000120436	ENST00000366834	ENSCHOP00000000878
ENSG00000162769	ENST00000366971	ENSCHOP00000011309
ENSG00000076356	ENST00000367033	ENSCHOP00000001617
ENSG00000203710	ENST00000367049	
ENSG00000117322	ENST00000367057	ENSCHOP00000004141
ENSG00000198049	ENST00000367126	ENSCHOP00000003302
ENSG00000133067	ENST00000367278	ENSCHOP00000004811
ENSG00000170075	ENST00000367282	
ENSG00000111981	ENST00000367345	ENSCHOP00000003168
ENSG00000111981	ENST00000367345	ENSCHOP00000002441
ENSG00000131015	ENST00000367351	ENSCHOP00000003168
ENSG00000131015	ENST00000367351	ENSCHOP00000002441
ENSG00000153029	ENST00000367580	ENSCHOP00000007856
ENSG00000143324	ENST00000367590	ENSCHOP00000001971
ENSG00000112414	ENST00000367609	ENSCHOP00000007504
ENSG00000203737	ENST00000367685	ENSCHOP00000002497
ENSG00000027697	ENST00000367739	ENSCHOP00000011674
ENSG00000143147	ENST00000367838	
ENSG00000143167	ENST00000367868	ENSCHOP00000000229
ENSG00000162733	ENST00000367922	ENSCHOP00000001734
ENSG00000162747	ENST00000367964	
ENSG00000203747	ENST00000367969	
ENSG00000143217	ENST00000368012	
ENSG00000158769	ENST00000368026	ENSCHOP00000006910
ENSG00000122223	ENST00000368033	
ENSG00000026751	ENST00000368043	ENSCHOP00000006739
ENSG00000162739	ENST00000368057	ENSCHOP00000007239
ENSG00000179639	ENST00000368115	
ENSG00000213088	ENST00000368121	
ENSG00000180433	ENST00000368144	ENSCHOP00000011330
ENSG00000203757	ENST00000368145	ENSCHOP00000009558
ENSG00000186400	ENST00000368150	ENSCHOP00000010189
ENSG00000186400	ENST00000368150	ENSCHOP00000008441
ENSG00000186400	ENST00000368150	ENSCHOP00000009182
ENSG00000198965	ENST00000368152	ENSCHOP00000007935
ENSG00000158473	ENST00000368171	ENSCHOP00000001052
ENSG00000163534	ENST00000368176	
ENSG00000160856	ENST00000368184	
ENSG00000027644	ENST00000368195	
ENSG00000152894	ENST00000368213	ENSCHOP00000001257
ENSG00000173080	ENST00000368318	
ENSG00000160716	ENST00000368476	ENSCHOP00000003722
ENSG00000160712	ENST00000368485	
ENSG00000047936	ENST00000368508	ENSCHOP00000008598
ENSG00000159164	ENST00000369146	ENSCHOP00000005414
ENSG00000150337	ENST00000369168	ENSCHOP00000004959
ENSG00000043591	ENST00000369295	ENSCHOP00000008979
ENSG00000135333	ENST00000369303	ENSCHOP00000001470
ENSG00000143127	ENST00000369304	ENSCHOP00000005140
ENSG00000198019	ENST00000369384	ENSCHOP00000004959
ENSG00000116824	ENST00000369478	ENSCHOP00000004136
ENSG00000118432	ENST00000369501	
ENSG00000121933	ENST00000369716	ENSCHOP00000011771
ENSG00000125522	ENST00000369768	
ENSG00000166160	ENST00000369929	
ENSG00000147380	ENST00000369935	
ENSG00000135312	ENST00000369947	
ENSG00000102076	ENST00000369951	
ENSG00000101204	ENST00000370263	
ENSG00000147402	ENST00000370306	
ENSG00000011677	ENST00000370314	
ENSG00000102287	ENST00000370328	
ENSG00000101188	ENST00000370501	
ENSG00000135298	ENST00000370598	ENSCHOP00000011257
ENSG00000102239	ENST00000370648	ENSCHOP00000011222
ENSG00000162618	ENST00000370742	ENSCHOP00000008563
ENSG00000122420	ENST00000370758	ENSCHOP00000009425
ENSG00000137252	ENST00000370862	ENSCHOP00000006728
ENSG00000185483	ENST00000371079	ENSCHOP00000007834
ENSG00000170927	ENST00000371117	ENSCHOP00000004005
ENSG00000162604	ENST00000371180	ENSCHOP00000011982
ENSG00000184292	ENST00000371225	
ENSG00000153292	ENST00000371253	ENSCHOP00000009695
ENSG00000186188	ENST00000371483	ENSCHOP00000006117
ENSG00000176884	ENST00000371553	
ENSG00000131724	ENST00000371666	
ENSG00000180772	ENST00000371906	
ENSG00000122375	ENST00000372071	
ENSG00000148600	ENST00000372117	
ENSG00000117425	ENST00000372192	
ENSG00000101017	ENST00000372285	
ENSG00000117400	ENST00000372470	ENSCHOP00000007121
ENSG00000066056	ENST00000372476	
ENSG00000188828	ENST00000372617	
ENSG00000124145	ENST00000372733	
ENSG00000183317	ENST00000373048	
ENSG00000096264	ENST00000373089	
ENSG00000163873	ENST00000373091	ENSCHOP00000011444
ENSG00000119535	ENST00000373103	
ENSG00000095970	ENST00000373113	
ENSG00000161911	ENST00000373127	ENSCHOP00000011968
ENSG00000196090	ENST00000373187	ENSCHOP00000004281
ENSG00000106991	ENST00000373203	ENSCHOP00000005656
ENSG00000112164	ENST00000373256	
ENSG00000173198	ENST00000373304	
ENSG00000075073	ENST00000373306	
ENSG00000188394	ENST00000373642	ENSCHOP00000010950
ENSG00000121753	ENST00000373658	
ENSG00000148215	ENST00000373680	
ENSG00000171501	ENST00000373688	
ENSG00000186810	ENST00000373691	
ENSG00000181773	ENST00000374024	
ENSG00000124493	ENST00000374181	
ENSG00000147168	ENST00000374202	
ENSG00000182749	ENST00000374296	ENSCHOP00000010540
ENSG00000204174	ENST00000374312	ENSCHOP00000003498
ENSG00000096433	ENST00000374316	
ENSG00000198121	ENST00000374431	
ENSG00000030304	ENST00000374448	ENSCHOP00000002382
ENSG00000188822	ENST00000374472	ENSCHOP00000010892
ENSG00000101000	ENST00000374477	ENSCHOP00000002883
ENSG00000186912	ENST00000374519	
ENSG00000204217	ENST00000374580	ENSCHOP00000007711
ENSG00000133216	ENST00000374632	ENSCHOP00000005886
ENSG00000177283	ENST00000374694	
ENSG00000131080	ENST00000374719	
ENSG00000165029	ENST00000374736	ENSCHOP00000010254
ENSG00000255800	ENST00000374779	ENSCHOP00000010271
ENSG00000255800	ENST00000374779	ENSCHOP00000005669
ENSG00000255800	ENST00000374779	ENSCHOP00000010712
ENSG00000255800	ENST00000374779	ENSCHOP00000001421
ENSG00000255800	ENST00000374779	ENSCHOP00000004672
ENSG00000204246	ENST00000374781	ENSCHOP00000007521
ENSG00000204246	ENST00000374781	ENSCHOP00000006568
ENSG00000168384	ENST00000374808	
ENSG00000237541	ENST00000374940	ENSCHOP00000008632
ENSG00000106799	ENST00000374994	ENSCHOP00000009472
ENSG00000204293	ENST00000375013	ENSCHOP00000002576
ENSG00000204293	ENST00000375013	ENSCHOP00000004651
ENSG00000204293	ENST00000375013	ENSCHOP00000009494
ENSG00000236981	ENST00000375024	
ENSG00000204305	ENST00000375076	ENSCHOP00000008639
ENSG00000204345	ENST00000375352	
ENSG00000179002	ENST00000375371	
ENSG00000169071	ENST00000375708	ENSCHOP00000006035
ENSG00000204420	ENST00000375806	
ENSG00000148053	ENST00000376214	ENSCHOP00000011654
ENSG00000028137	ENST00000376259	
ENSG00000080031	ENST00000376350	
ENSG00000151025	ENST00000376351	ENSCHOP00000001789
ENSG00000169508	ENST00000376414	ENSCHOP00000005505
ENSG00000204580	ENST00000376575	
ENSG00000229698	ENST00000376848	
ENSG00000206512	ENST00000376947	
ENSG00000204681	ENST00000377034	ENSCHOP00000006273
ENSG00000178726	ENST00000377103	
ENSG00000204687	ENST00000377127	ENSCHOP00000007470
ENSG00000204688	ENST00000377136	
ENSG00000204690	ENST00000377140	
ENSG00000112462	ENST00000377143	
ENSG00000204694	ENST00000377148	
ENSG00000243729	ENST00000377154	
ENSG00000204695	ENST00000377160	ENSCHOP00000010736
ENSG00000204701	ENST00000377169	
ENSG00000204702	ENST00000377171	
ENSG00000204703	ENST00000377173	ENSCHOP00000001904
ENSG00000204704	ENST00000377175	ENSCHOP00000005786
ENSG00000113749	ENST00000377291	
ENSG00000180758	ENST00000377411	
ENSG00000049249	ENST00000377507	ENSCHOP00000003851
ENSG00000204882	ENST00000377741	
ENSG00000215788	ENST00000377782	
ENSG00000158292	ENST00000377893	
ENSG00000168828	ENST00000377981	
ENSG00000077943	ENST00000378076	ENSCHOP00000003908
ENSG00000171659	ENST00000378142	
ENSG00000205029	ENST00000378396	ENSCHOP00000005290
ENSG00000205029	ENST00000378396	ENSCHOP00000009777
ENSG00000205029	ENST00000378396	ENSCHOP00000002671
