Ensembl Gene ID	Ensembl Transcript ID	Horse Ensembl Protein ID
ENSG00000166206	ENST00000311550	ENSECAP00000020019
ENSG00000186513	ENST00000311591	ENSECAP00000005072
ENSG00000174837	ENST00000312053	ENSECAP00000015167
ENSG00000174600	ENST00000312143	ENSECAP00000000648
ENSG00000174914	ENST00000312153	ENSECAP00000005791
ENSG00000174937	ENST00000312240	ENSECAP00000001271
ENSG00000174937	ENST00000312240	ENSECAP00000005586
ENSG00000174942	ENST00000312253	ENSECAP00000000660
ENSG00000110195	ENST00000312293	ENSECAP00000017417
ENSG00000110195	ENST00000312293	ENSECAP00000009661
ENSG00000174957	ENST00000312298	ENSECAP00000005037
ENSG00000174970	ENST00000312345	
ENSG00000174982	ENST00000312422	ENSECAP00000002954
ENSG00000175514	ENST00000312457	ENSECAP00000013921
ENSG00000226288	ENST00000312614	ENSECAP00000006303
ENSG00000226288	ENST00000312614	ENSECAP00000000616
ENSG00000226288	ENST00000312614	ENSECAP00000000571
ENSG00000226288	ENST00000312614	ENSECAP00000000586
ENSG00000173762	ENST00000312648	ENSECAP00000004519
ENSG00000181689	ENST00000312711	ENSECAP00000005052
ENSG00000181689	ENST00000312711	ENSECAP00000003804
ENSG00000181693	ENST00000313022	ENSECAP00000001169
ENSG00000181698	ENST00000313033	
ENSG00000181408	ENST00000313135	ENSECAP00000003660
ENSG00000176200	ENST00000313253	ENSECAP00000002014
ENSG00000181718	ENST00000313264	ENSECAP00000003998
ENSG00000013725	ENST00000313421	ENSECAP00000009210
ENSG00000181752	ENST00000313447	ENSECAP00000005325
ENSG00000181761	ENST00000313472	ENSECAP00000001169
ENSG00000181767	ENST00000313503	ENSECAP00000001169
ENSG00000181785	ENST00000313555	ENSECAP00000005100
ENSG00000177675	ENST00000313599	ENSECAP00000010829
ENSG00000176495	ENST00000313940	ENSECAP00000001311
ENSG00000176495	ENST00000313940	ENSECAP00000001406
ENSG00000179546	ENST00000314113	ENSECAP00000004011
ENSG00000179817	ENST00000314254	
ENSG00000181903	ENST00000314259	ENSECAP00000004608
ENSG00000178789	ENST00000314401	ENSECAP00000008607
ENSG00000181927	ENST00000314612	ENSECAP00000005776
ENSG00000181935	ENST00000314634	ENSECAP00000005522
ENSG00000181939	ENST00000314644	
ENSG00000181958	ENST00000314706	
ENSG00000181961	ENST00000314721	
ENSG00000180708	ENST00000314902	ENSECAP00000004709
ENSG00000181656	ENST00000315033	
ENSG00000180340	ENST00000315323	ENSECAP00000015209
ENSG00000150048	ENST00000315330	ENSECAP00000007048
ENSG00000176198	ENST00000315409	ENSECAP00000000852
ENSG00000180658	ENST00000315453	
ENSG00000176219	ENST00000315519	ENSECAP00000005020
ENSG00000176230	ENST00000315543	ENSECAP00000005803
ENSG00000176230	ENST00000315543	ENSECAP00000002659
ENSG00000176230	ENST00000315543	ENSECAP00000004751
ENSG00000127507	ENST00000315576	ENSECAP00000015799
ENSG00000127507	ENST00000315576	ENSECAP00000018717
ENSG00000127507	ENST00000315576	ENSECAP00000008739
ENSG00000176246	ENST00000315683	ENSECAP00000005132
ENSG00000176253	ENST00000315693	ENSECAP00000004680
ENSG00000137809	ENST00000315757	ENSECAP00000020852
ENSG00000176281	ENST00000315915	ENSECAP00000004407
ENSG00000176294	ENST00000315947	ENSECAP00000004671
ENSG00000176294	ENST00000315947	ENSECAP00000004414
ENSG00000176294	ENST00000315947	ENSECAP00000005214
ENSG00000176299	ENST00000315957	ENSECAP00000004692
ENSG00000244623	ENST00000316368	ENSECAP00000003706
ENSG00000244623	ENST00000316368	ENSECAP00000003954
ENSG00000180919	ENST00000316529	
ENSG00000180934	ENST00000316650	ENSECAP00000003634
ENSG00000180475	ENST00000316770	ENSECAP00000004670
ENSG00000180914	ENST00000316793	ENSECAP00000015419
ENSG00000180974	ENST00000316987	
ENSG00000180988	ENST00000317037	
ENSG00000181001	ENST00000317078	
ENSG00000181009	ENST00000317093	
ENSG00000181023	ENST00000317121	ENSECAP00000002822
ENSG00000181074	ENST00000317254	ENSECAP00000003364
ENSG00000161649	ENST00000317310	ENSECAP00000016649
ENSG00000177151	ENST00000317450	
ENSG00000168995	ENST00000317643	ENSECAP00000016180
ENSG00000168995	ENST00000317643	ENSECAP00000022417
ENSG00000168995	ENST00000317643	ENSECAP00000016579
ENSG00000175898	ENST00000317726	ENSECAP00000003187
ENSG00000180245	ENST00000317735	ENSECAP00000011283
ENSG00000178358	ENST00000317834	ENSECAP00000004110
ENSG00000177174	ENST00000317861	
ENSG00000177186	ENST00000317965	
ENSG00000177201	ENST00000317996	ENSECAP00000017892
ENSG00000177212	ENST00000318021	ENSECAP00000017892
ENSG00000176695	ENST00000318050	ENSECAP00000005676
ENSG00000176695	ENST00000318050	ENSECAP00000005663
ENSG00000177275	ENST00000318244	
ENSG00000178084	ENST00000318351	ENSECAP00000010892
ENSG00000105976	ENST00000318493	ENSECAP00000008993
ENSG00000180871	ENST00000318507	ENSECAP00000004745
ENSG00000180871	ENST00000318507	ENSECAP00000004791
ENSG00000197309	ENST00000318666	ENSECAP00000005193
ENSG00000177535	ENST00000318749	ENSECAP00000002363
ENSG00000179055	ENST00000318763	ENSECAP00000003371
ENSG00000181104	ENST00000319211	ENSECAP00000002827
ENSG00000177663	ENST00000319363	ENSECAP00000014674
ENSG00000178586	ENST00000319423	
ENSG00000179097	ENST00000319595	ENSECAP00000006393
ENSG00000221840	ENST00000319760	
ENSG00000176540	ENST00000319813	ENSECAP00000004758
ENSG00000178623	ENST00000319838	ENSECAP00000011979
ENSG00000176547	ENST00000319856	ENSECAP00000003064
ENSG00000177462	ENST00000319968	ENSECAP00000017892
ENSG00000176555	ENST00000319988	
ENSG00000177476	ENST00000320002	
ENSG00000176567	ENST00000320048	
ENSG00000177489	ENST00000320065	ENSECAP00000004120
ENSG00000177489	ENST00000320065	ENSECAP00000000729
ENSG00000181803	ENST00000320704	ENSECAP00000001509
ENSG00000254737	ENST00000320891	ENSECAP00000001165
ENSG00000254737	ENST00000320891	ENSECAP00000001110
ENSG00000254737	ENST00000320891	ENSECAP00000005140
ENSG00000254737	ENST00000320891	ENSECAP00000001251
ENSG00000254737	ENST00000320891	ENSECAP00000001364
ENSG00000176269	ENST00000320901	ENSECAP00000002884
ENSG00000178201	ENST00000321039	
ENSG00000221866	ENST00000321063	ENSECAP00000010750
ENSG00000221866	ENST00000321063	ENSECAP00000000526
ENSG00000181499	ENST00000321252	ENSECAP00000000649
ENSG00000176742	ENST00000321255	ENSECAP00000000817
ENSG00000181518	ENST00000321355	ENSECAP00000001903
ENSG00000181518	ENST00000321355	ENSECAP00000004490
ENSG00000176787	ENST00000321522	ENSECAP00000020155
ENSG00000176798	ENST00000321543	ENSECAP00000002292
ENSG00000179615	ENST00000321688	ENSECAP00000004417
ENSG00000244165	ENST00000321826	ENSECAP00000021790
ENSG00000176879	ENST00000321961	
ENSG00000176893	ENST00000322013	ENSECAP00000001869
ENSG00000176904	ENST00000322059	ENSECAP00000020035
ENSG00000176922	ENST00000322101	ENSECAP00000001539
ENSG00000176231	ENST00000322107	ENSECAP00000000863
ENSG00000176231	ENST00000322107	ENSECAP00000000655
ENSG00000176231	ENST00000322107	ENSECAP00000004237
ENSG00000176925	ENST00000322110	ENSECAP00000001489
ENSG00000176925	ENST00000322110	ENSECAP00000001418
ENSG00000180929	ENST00000322241	ENSECAP00000015076
ENSG00000188269	ENST00000322301	
ENSG00000180016	ENST00000322608	ENSECAP00000001007
ENSG00000180016	ENST00000322608	ENSECAP00000000727
ENSG00000180016	ENST00000322608	ENSECAP00000004335
ENSG00000180016	ENST00000322608	ENSECAP00000004485
ENSG00000181609	ENST00000322641	ENSECAP00000001865
ENSG00000181609	ENST00000322641	ENSECAP00000002200
ENSG00000181616	ENST00000322653	ENSECAP00000002294
ENSG00000181616	ENST00000322653	ENSECAP00000002345
ENSG00000179695	ENST00000322678	ENSECAP00000002546
ENSG00000179695	ENST00000322678	ENSECAP00000003817
ENSG00000117335	ENST00000322875	ENSECAP00000010008
ENSG00000177464	ENST00000323040	
ENSG00000196610	ENST00000323109	
ENSG00000180090	ENST00000323404	ENSECAP00000003822
ENSG00000178394	ENST00000323865	ENSECAP00000022930
ENSG00000181733	ENST00000324060	ENSECAP00000003785
ENSG00000181733	ENST00000324060	ENSECAP00000001612
ENSG00000004399	ENST00000324093	ENSECAP00000007794
ENSG00000178562	ENST00000324106	ENSECAP00000020326
ENSG00000151617	ENST00000324300	ENSECAP00000017249
ENSG00000104972	ENST00000324602	
ENSG00000144481	ENST00000324695	ENSECAP00000009733
ENSG00000176136	ENST00000324750	
ENSG00000162897	ENST00000324852	ENSECAP00000000181
ENSG00000114812	ENST00000325123	ENSECAP00000006502
ENSG00000181631	ENST00000325602	ENSECAP00000001162
ENSG00000181963	ENST00000325719	
ENSG00000106128	ENST00000326139	ENSECAP00000013153
ENSG00000186074	ENST00000326165	ENSECAP00000005456
ENSG00000177693	ENST00000326183	ENSECAP00000005676
ENSG00000177693	ENST00000326183	ENSECAP00000005663
ENSG00000179919	ENST00000326258	ENSECAP00000003607
ENSG00000179934	ENST00000326306	ENSECAP00000002923
ENSG00000240403	ENST00000326321	ENSECAP00000014906
ENSG00000240403	ENST00000326321	ENSECAP00000008147
ENSG00000180269	ENST00000326571	ENSECAP00000019379
ENSG00000006327	ENST00000326577	ENSECAP00000019862
ENSG00000080644	ENST00000326828	ENSECAP00000008560
ENSG00000181273	ENST00000326855	ENSECAP00000002871
ENSG00000019169	ENST00000327097	ENSECAP00000010184
ENSG00000181371	ENST00000327216	ENSECAP00000001383
ENSG00000166342	ENST00000327305	ENSECAP00000012022
ENSG00000104938	ENST00000327325	ENSECAP00000018708
ENSG00000184954	ENST00000327335	ENSECAP00000003782
ENSG00000185385	ENST00000327462	
ENSG00000185436	ENST00000327535	ENSECAP00000011149
ENSG00000185231	ENST00000327606	ENSECAP00000002652
ENSG00000153294	ENST00000327753	ENSECAP00000021449
ENSG00000185897	ENST00000327809	ENSECAP00000003557
ENSG00000221931	ENST00000327930	ENSECAP00000004312
ENSG00000182771	ENST00000327946	ENSECAP00000022782
ENSG00000197125	ENST00000328064	ENSECAP00000002724
ENSG00000185926	ENST00000328188	
ENSG00000182613	ENST00000328275	
ENSG00000185821	ENST00000328314	ENSECAP00000002572
ENSG00000182334	ENST00000328375	ENSECAP00000000678
ENSG00000182334	ENST00000328375	ENSECAP00000000871
ENSG00000183473	ENST00000328544	ENSECAP00000004945
ENSG00000182783	ENST00000328570	
ENSG00000186891	ENST00000328596	ENSECAP00000018275
ENSG00000184698	ENST00000328611	ENSECAP00000001408
ENSG00000186407	ENST00000328630	ENSECAP00000006538
ENSG00000183310	ENST00000328782	
ENSG00000183706	ENST00000328795	ENSECAP00000005317
ENSG00000184881	ENST00000328813	
ENSG00000182782	ENST00000328880	ENSECAP00000001010
ENSG00000184140	ENST00000328882	ENSECAP00000002224
ENSG00000184140	ENST00000328882	ENSECAP00000005869
ENSG00000183024	ENST00000328890	ENSECAP00000003941
ENSG00000206306	ENST00000328980	
ENSG00000182687	ENST00000329003	ENSECAP00000009074
ENSG00000235568	ENST00000329021	ENSECAP00000007750
ENSG00000185245	ENST00000329125	ENSECAP00000001701
ENSG00000183840	ENST00000329321	ENSECAP00000003873
ENSG00000183840	ENST00000329321	ENSECAP00000003904
ENSG00000205409	ENST00000329322	
ENSG00000172742	ENST00000329328	ENSECAP00000002150
ENSG00000185372	ENST00000329365	ENSECAP00000001798
ENSG00000185372	ENST00000329365	ENSECAP00000002083
ENSG00000183303	ENST00000329434	ENSECAP00000004310
ENSG00000183303	ENST00000329434	ENSECAP00000003724
ENSG00000183303	ENST00000329434	ENSECAP00000003251
ENSG00000183303	ENST00000329434	ENSECAP00000004233
ENSG00000183303	ENST00000329434	ENSECAP00000003530
ENSG00000183303	ENST00000329434	ENSECAP00000003755
ENSG00000183303	ENST00000329434	ENSECAP00000000779
ENSG00000183303	ENST00000329434	ENSECAP00000001194
ENSG00000183303	ENST00000329434	ENSECAP00000000990
ENSG00000185149	ENST00000329476	ENSECAP00000002721
ENSG00000113763	ENST00000329542	ENSECAP00000006273
ENSG00000184478	ENST00000329564	ENSECAP00000003728
ENSG00000183695	ENST00000329773	
ENSG00000183484	ENST00000329797	ENSECAP00000004578
ENSG00000184574	ENST00000329858	
ENSG00000184160	ENST00000330055	
ENSG00000182631	ENST00000330120	ENSECAP00000010573
ENSG00000182580	ENST00000330394	ENSECAP00000008923
ENSG00000182634	ENST00000330487	ENSECAP00000001165
ENSG00000182634	ENST00000330487	ENSECAP00000001110
ENSG00000182634	ENST00000330487	ENSECAP00000005140
ENSG00000182634	ENST00000330487	ENSECAP00000001251
ENSG00000182634	ENST00000330487	ENSECAP00000001364
ENSG00000184022	ENST00000330500	
ENSG00000114013	ENST00000330540	ENSECAP00000009944
ENSG00000183389	ENST00000330728	ENSECAP00000003537
ENSG00000183389	ENST00000330728	ENSECAP00000003425
ENSG00000167850	ENST00000330793	
ENSG00000183130	ENST00000330803	
ENSG00000183813	ENST00000330953	ENSECAP00000003419
ENSG00000185291	ENST00000331035	
ENSG00000183729	ENST00000331251	ENSECAP00000003468
ENSG00000183748	ENST00000331429	ENSECAP00000009084
ENSG00000184166	ENST00000331459	ENSECAP00000003076
ENSG00000172116	ENST00000331469	ENSECAP00000000773
ENSG00000178852	ENST00000331493	ENSECAP00000013064
ENSG00000182652	ENST00000331723	ENSECAP00000004142
ENSG00000185920	ENST00000331920	ENSECAP00000000389
ENSG00000184321	ENST00000332043	ENSECAP00000001467
ENSG00000173482	ENST00000332175	ENSECAP00000021060
ENSG00000196266	ENST00000332217	ENSECAP00000004034
ENSG00000182854	ENST00000332238	ENSECAP00000004210
ENSG00000183313	ENST00000332249	ENSECAP00000003732
ENSG00000183313	ENST00000332249	ENSECAP00000003869
ENSG00000182170	ENST00000332314	
ENSG00000184451	ENST00000332438	ENSECAP00000000841
ENSG00000183134	ENST00000332539	ENSECAP00000001168
ENSG00000115590	ENST00000332549	ENSECAP00000000293
ENSG00000184194	ENST00000332582	
ENSG00000184933	ENST00000332601	ENSECAP00000002573
ENSG00000232382	ENST00000332650	
ENSG00000182974	ENST00000332663	ENSECAP00000004692
ENSG00000185097	ENST00000332831	ENSECAP00000002884
ENSG00000221890	ENST00000333039	ENSECAP00000016028
ENSG00000173662	ENST00000333172	ENSECAP00000009645
ENSG00000007908	ENST00000333360	ENSECAP00000006957
ENSG00000182885	ENST00000333493	ENSECAP00000008536
ENSG00000184394	ENST00000333629	ENSECAP00000004730
ENSG00000182256	ENST00000333743	ENSECAP00000015585
ENSG00000186117	ENST00000333973	
ENSG00000186119	ENST00000333976	ENSECAP00000000609
ENSG00000186119	ENST00000333976	ENSECAP00000005813
ENSG00000136160	ENST00000334286	ENSECAP00000022427
ENSG00000152990	ENST00000334304	ENSECAP00000012617
ENSG00000186306	ENST00000334438	ENSECAP00000005050
ENSG00000186265	ENST00000334529	ENSECAP00000014007
ENSG00000186919	ENST00000334586	ENSECAP00000007284
ENSG00000110148	ENST00000334619	ENSECAP00000010568
ENSG00000186440	ENST00000334632	ENSECAP00000002982
ENSG00000186881	ENST00000334726	ENSECAP00000002121
ENSG00000180264	ENST00000334810	ENSECAP00000007349
ENSG00000184155	ENST00000334857	ENSECAP00000003313
ENSG00000186723	ENST00000334920	
ENSG00000186943	ENST00000335040	ENSECAP00000000058
ENSG00000186943	ENST00000335040	ENSECAP00000019694
ENSG00000197403	ENST00000335094	ENSECAP00000001669
ENSG00000186092	ENST00000335137	ENSECAP00000005676
ENSG00000186092	ENST00000335137	ENSECAP00000005663
ENSG00000221954	ENST00000335238	
ENSG00000197233	ENST00000335302	ENSECAP00000003896
ENSG00000186038	ENST00000335304	ENSECAP00000011561
ENSG00000107731	ENST00000335350	ENSECAP00000008687
ENSG00000186509	ENST00000335397	ENSECAP00000005099
ENSG00000186509	ENST00000335397	ENSECAP00000004323
ENSG00000186113	ENST00000335605	
ENSG00000186297	ENST00000335625	ENSECAP00000004929
ENSG00000257008	ENST00000335666	ENSECAP00000016696
ENSG00000125498	ENST00000336077	ENSECAP00000014906
ENSG00000125498	ENST00000336077	ENSECAP00000008147
ENSG00000148680	ENST00000336152	ENSECAP00000020432
ENSG00000044524	ENST00000336596	ENSECAP00000021136
ENSG00000125510	ENST00000336866	ENSECAP00000008845
ENSG00000135124	ENST00000337233	ENSECAP00000021335
ENSG00000187800	ENST00000338302	ENSECAP00000018943
ENSG00000164129	ENST00000338566	ENSECAP00000013814
ENSG00000188124	ENST00000338569	ENSECAP00000000708
ENSG00000188124	ENST00000338569	ENSECAP00000001935
ENSG00000188124	ENST00000338569	ENSECAP00000002100
ENSG00000171054	ENST00000338616	ENSECAP00000003902
ENSG00000187474	ENST00000339223	ENSECAP00000004429
ENSG00000187474	ENST00000339223	ENSECAP00000004360
ENSG00000187474	ENST00000339223	ENSECAP00000005808
ENSG00000188340	ENST00000339258	ENSECAP00000000977
ENSG00000169962	ENST00000339381	ENSECAP00000019887
ENSG00000179603	ENST00000339582	ENSECAP00000022854
ENSG00000171049	ENST00000340023	ENSECAP00000004429
ENSG00000171049	ENST00000340023	ENSECAP00000004360
ENSG00000171049	ENST00000340023	ENSECAP00000005808
ENSG00000204475	ENST00000340027	ENSECAP00000009847
ENSG00000068078	ENST00000340107	ENSECAP00000018417
ENSG00000101180	ENST00000340177	ENSECAP00000006167
ENSG00000159618	ENST00000340339	ENSECAP00000018480
ENSG00000187871	ENST00000340465	ENSECAP00000022428
ENSG00000072071	ENST00000340736	ENSECAP00000019645
ENSG00000239590	ENST00000340750	
ENSG00000159346	ENST00000340990	ENSECAP00000007511
ENSG00000187918	ENST00000341449	ENSECAP00000001797
ENSG00000187918	ENST00000341449	ENSECAP00000001290
ENSG00000196131	ENST00000341702	ENSECAP00000000874
ENSG00000187957	ENST00000341772	ENSECAP00000009902
ENSG00000122718	ENST00000341959	ENSECAP00000013204
ENSG00000168575	ENST00000342228	ENSECAP00000000137
ENSG00000188888	ENST00000342292	ENSECAP00000019269
ENSG00000243772	ENST00000342376	ENSECAP00000014906
ENSG00000243772	ENST00000342376	ENSECAP00000008147
ENSG00000189181	ENST00000342623	
ENSG00000170412	ENST00000342648	ENSECAP00000014701
ENSG00000178568	ENST00000342788	ENSECAP00000020577
ENSG00000196240	ENST00000342927	
ENSG00000092421	ENST00000343348	ENSECAP00000005073
ENSG00000187857	ENST00000343399	ENSECAP00000003105
ENSG00000188558	ENST00000343414	
ENSG00000188069	ENST00000343430	ENSECAP00000001328
ENSG00000188069	ENST00000343430	ENSECAP00000001261
ENSG00000160791	ENST00000343801	ENSECAP00000000806
ENSG00000197706	ENST00000343870	ENSECAP00000004167
ENSG00000187848	ENST00000343948	ENSECAP00000014190
ENSG00000188000	ENST00000344248	ENSECAP00000002108
ENSG00000187612	ENST00000344514	ENSECAP00000005914
ENSG00000188763	ENST00000344575	
ENSG00000187701	ENST00000344889	
ENSG00000187747	ENST00000345043	ENSECAP00000002428
ENSG00000188778	ENST00000345060	ENSECAP00000013375
ENSG00000156642	ENST00000345330	ENSECAP00000006428
ENSG00000060656	ENST00000345512	ENSECAP00000010129
ENSG00000189013	ENST00000345540	ENSECAP00000014906
ENSG00000189013	ENST00000345540	ENSECAP00000008147
ENSG00000104921	ENST00000346664	ENSECAP00000007718
ENSG00000162594	ENST00000347310	ENSECAP00000014880
ENSG00000110448	ENST00000347785	ENSECAP00000010456
ENSG00000116678	ENST00000349533	ENSECAP00000012101
ENSG00000179468	ENST00000350513	ENSECAP00000005535
ENSG00000114739	ENST00000352511	ENSECAP00000017382
ENSG00000231192	ENST00000354565	ENSECAP00000003918
ENSG00000231192	ENST00000354565	ENSECAP00000001281
ENSG00000231192	ENST00000354565	ENSECAP00000004814
ENSG00000231192	ENST00000354565	ENSECAP00000004074
ENSG00000231192	ENST00000354565	ENSECAP00000003926
ENSG00000231192	ENST00000354565	ENSECAP00000003837
ENSG00000231192	ENST00000354565	ENSECAP00000003968
ENSG00000196661	ENST00000354597	ENSECAP00000002498
ENSG00000196661	ENST00000354597	ENSECAP00000002261
ENSG00000168079	ENST00000354914	ENSECAP00000011623
ENSG00000196098	ENST00000354924	ENSECAP00000004102
ENSG00000196189	ENST00000355014	ENSECAP00000006671
ENSG00000161944	ENST00000355035	ENSECAP00000021387
ENSG00000197405	ENST00000355085	ENSECAP00000004321
ENSG00000197938	ENST00000355273	ENSECAP00000003918
ENSG00000197938	ENST00000355273	ENSECAP00000001281
ENSG00000197938	ENST00000355273	ENSECAP00000004814
ENSG00000197938	ENST00000355273	ENSECAP00000004074
ENSG00000197938	ENST00000355273	ENSECAP00000003926
ENSG00000197938	ENST00000355273	ENSECAP00000003837
ENSG00000197938	ENST00000355273	ENSECAP00000003968
ENSG00000197454	ENST00000355281	ENSECAP00000001306
ENSG00000197454	ENST00000355281	ENSECAP00000002332
ENSG00000197454	ENST00000355281	ENSECAP00000002986
ENSG00000197454	ENST00000355281	ENSECAP00000002709
ENSG00000166736	ENST00000355556	ENSECAP00000017798
ENSG00000136869	ENST00000355622	ENSECAP00000008292
ENSG00000157873	ENST00000355716	ENSECAP00000006763
ENSG00000157873	ENST00000355716	ENSECAP00000007459
ENSG00000198104	ENST00000355728	ENSECAP00000001019
ENSG00000197591	ENST00000355784	
ENSG00000173890	ENST00000355897	ENSECAP00000004147
ENSG00000165246	ENST00000355905	ENSECAP00000000673
ENSG00000198053	ENST00000356025	ENSECAP00000016711
ENSG00000198053	ENST00000356025	ENSECAP00000020931
ENSG00000198053	ENST00000356025	ENSECAP00000009040
ENSG00000176937	ENST00000356069	ENSECAP00000001366
ENSG00000176937	ENST00000356069	ENSECAP00000001450
ENSG00000176937	ENST00000356069	ENSECAP00000001390
ENSG00000198657	ENST00000356130	
ENSG00000233412	ENST00000356526	ENSECAP00000003918
ENSG00000233412	ENST00000356526	ENSECAP00000001281
ENSG00000233412	ENST00000356526	ENSECAP00000004814
ENSG00000233412	ENST00000356526	ENSECAP00000004074
ENSG00000233412	ENST00000356526	ENSECAP00000003926
ENSG00000233412	ENST00000356526	ENSECAP00000003837
ENSG00000233412	ENST00000356526	ENSECAP00000003968
ENSG00000050628	ENST00000356595	ENSECAP00000011923
ENSG00000173535	ENST00000356864	ENSECAP00000022015
ENSG00000197081	ENST00000356956	ENSECAP00000018546
ENSG00000139187	ENST00000356986	ENSECAP00000022000
ENSG00000196917	ENST00000356987	ENSECAP00000001042
ENSG00000196936	ENST00000357191	ENSECAP00000001306
ENSG00000196936	ENST00000357191	ENSECAP00000002332
ENSG00000196936	ENST00000357191	ENSECAP00000002986
ENSG00000196936	ENST00000357191	ENSECAP00000002709
ENSG00000196832	ENST00000357366	ENSECAP00000005122
ENSG00000196832	ENST00000357366	ENSECAP00000001350
ENSG00000196832	ENST00000357366	ENSECAP00000005472
ENSG00000196832	ENST00000357366	ENSECAP00000005394
ENSG00000196832	ENST00000357366	ENSECAP00000000837
ENSG00000196832	ENST00000357366	ENSECAP00000004864
ENSG00000105426	ENST00000357368	
ENSG00000197786	ENST00000357377	ENSECAP00000004890
ENSG00000121797	ENST00000357392	ENSECAP00000000728
ENSG00000197263	ENST00000357438	ENSECAP00000001245
ENSG00000180616	ENST00000357585	ENSECAP00000018896
ENSG00000197428	ENST00000357605	ENSECAP00000000633
ENSG00000196772	ENST00000357627	ENSECAP00000001250
ENSG00000196277	ENST00000357716	ENSECAP00000013750
ENSG00000196341	ENST00000357821	ENSECAP00000000987
ENSG00000135622	ENST00000357877	ENSECAP00000008622
ENSG00000213694	ENST00000358157	ENSECAP00000002058
ENSG00000196411	ENST00000358173	ENSECAP00000009449
ENSG00000168329	ENST00000358309	ENSECAP00000003025
ENSG00000142627	ENST00000358432	ENSECAP00000006952
ENSG00000188324	ENST00000358433	ENSECAP00000002885
ENSG00000196578	ENST00000358642	
ENSG00000072694	ENST00000358671	ENSECAP00000010823
ENSG00000072694	ENST00000358671	ENSECAP00000020027
ENSG00000072694	ENST00000358671	ENSECAP00000017517
ENSG00000196338	ENST00000358741	ENSECAP00000018642
ENSG00000126895	ENST00000358927	ENSECAP00000020416
ENSG00000163513	ENST00000359013	ENSECAP00000013026
ENSG00000134545	ENST00000359151	ENSECAP00000020588
ENSG00000134545	ENST00000359151	ENSECAP00000019289
ENSG00000177575	ENST00000359156	ENSECAP00000016725
ENSG00000176895	ENST00000359350	ENSECAP00000001745
ENSG00000148604	ENST00000359452	ENSECAP00000016721
ENSG00000004948	ENST00000359558	ENSECAP00000002385
ENSG00000196539	ENST00000359594	
ENSG00000196218	ENST00000359596	ENSECAP00000013498
ENSG00000196171	ENST00000359610	ENSECAP00000002460
ENSG00000198601	ENST00000359682	
ENSG00000197437	ENST00000359688	ENSECAP00000001158
ENSG00000187258	ENST00000359791	ENSECAP00000010898
ENSG00000117114	ENST00000359929	ENSECAP00000022412
ENSG00000142949	ENST00000359947	ENSECAP00000012192
ENSG00000198128	ENST00000359959	ENSECAP00000001306
ENSG00000198128	ENST00000359959	ENSECAP00000002332
ENSG00000198128	ENST00000359959	ENSECAP00000002986
ENSG00000198128	ENST00000359959	ENSECAP00000002709
ENSG00000196126	ENST00000360004	
ENSG00000072274	ENST00000360110	ENSECAP00000021947
ENSG00000167851	ENST00000360141	
ENSG00000197790	ENST00000360213	ENSECAP00000006277
ENSG00000198283	ENST00000360374	ENSECAP00000005827
ENSG00000118257	ENST00000360409	ENSECAP00000015439
ENSG00000197635	ENST00000360534	ENSECAP00000016274
ENSG00000239732	ENST00000360658	ENSECAP00000011919
ENSG00000164270	ENST00000360693	ENSECAP00000011271
ENSG00000170683	ENST00000360759	
ENSG00000170180	ENST00000360771	ENSECAP00000021991
ENSG00000119121	ENST00000360774	ENSECAP00000014000
ENSG00000140538	ENST00000360948	ENSECAP00000010683
ENSG00000197594	ENST00000360971	ENSECAP00000011146
ENSG00000198967	ENST00000361284	ENSECAP00000002556
ENSG00000196776	ENST00000361309	ENSECAP00000016635
ENSG00000158458	ENST00000361474	ENSECAP00000011049
ENSG00000132704	ENST00000361516	
ENSG00000198822	ENST00000361669	ENSECAP00000006741
ENSG00000152822	ENST00000361719	ENSECAP00000021142
ENSG00000198877	ENST00000361760	
ENSG00000198851	ENST00000361763	ENSECAP00000012382
ENSG00000105699	ENST00000361790	ENSECAP00000019969
ENSG00000198785	ENST00000361820	ENSECAP00000010547
ENSG00000143297	ENST00000361835	ENSECAP00000013142
ENSG00000198829	ENST00000362032	ENSECAP00000021794
ENSG00000149295	ENST00000362072	ENSECAP00000011568
ENSG00000198821	ENST00000362089	ENSECAP00000017734
ENSG00000203618	ENST00000366425	
ENSG00000203661	ENST00000366473	
ENSG00000175143	ENST00000366474	ENSECAP00000001336
ENSG00000196944	ENST00000366475	
ENSG00000162727	ENST00000366476	
ENSG00000196071	ENST00000366478	
ENSG00000203663	ENST00000366479	ENSECAP00000001306
ENSG00000203663	ENST00000366479	ENSECAP00000002332
ENSG00000203663	ENST00000366479	ENSECAP00000002986
ENSG00000203663	ENST00000366479	ENSECAP00000002709
ENSG00000187080	ENST00000366480	
ENSG00000241128	ENST00000366485	
ENSG00000196242	ENST00000366487	ENSECAP00000000833
ENSG00000196242	ENST00000366487	ENSECAP00000001172
ENSG00000054277	ENST00000366554	ENSECAP00000012561
ENSG00000116996	ENST00000366570	ENSECAP00000008956
ENSG00000077585	ENST00000366592	ENSECAP00000017399
ENSG00000120436	ENST00000366834	ENSECAP00000003738
ENSG00000162769	ENST00000366971	ENSECAP00000015578
ENSG00000076356	ENST00000367033	ENSECAP00000022929
ENSG00000203710	ENST00000367049	ENSECAP00000012602
ENSG00000117322	ENST00000367057	
ENSG00000198049	ENST00000367126	ENSECAP00000011404
