ENSG00000003056	ENST00000000412	ENSPVAP00000011494
ENSG00000181009	ENST00000317093	
ENSG00000181023	ENST00000317121	ENSPVAP00000004102
ENSG00000181074	ENST00000317254	
ENSG00000161649	ENST00000317310	ENSPVAP00000002826
ENSG00000177151	ENST00000317450	
ENSG00000168995	ENST00000317643	
ENSG00000175898	ENST00000317726	ENSPVAP00000003478
ENSG00000180245	ENST00000317735	ENSPVAP00000005665
ENSG00000178358	ENST00000317834	
ENSG00000177174	ENST00000317861	
ENSG00000177186	ENST00000317965	
ENSG00000177201	ENST00000317996	
ENSG00000177212	ENST00000318021	
ENSG00000176695	ENST00000318050	
ENSG00000177275	ENST00000318244	
ENSG00000178084	ENST00000318351	ENSPVAP00000011335
ENSG00000105976	ENST00000318493	ENSPVAP00000011622
ENSG00000180871	ENST00000318507	ENSPVAP00000006408
ENSG00000197309	ENST00000318666	
ENSG00000177535	ENST00000318749	ENSPVAP00000005698
ENSG00000179055	ENST00000318763	
ENSG00000181104	ENST00000319211	ENSPVAP00000009169
ENSG00000177663	ENST00000319363	ENSPVAP00000002913
ENSG00000178586	ENST00000319423	
ENSG00000179097	ENST00000319595	ENSPVAP00000003424
ENSG00000221840	ENST00000319760	
ENSG00000176540	ENST00000319813	
ENSG00000178623	ENST00000319838	
ENSG00000176547	ENST00000319856	
ENSG00000177462	ENST00000319968	
ENSG00000176555	ENST00000319988	ENSPVAP00000012538
ENSG00000177476	ENST00000320002	
ENSG00000176567	ENST00000320048	
ENSG00000177489	ENST00000320065	
ENSG00000181803	ENST00000320704	ENSPVAP00000000757
ENSG00000254737	ENST00000320891	ENSPVAP00000002687
ENSG00000254737	ENST00000320891	ENSPVAP00000002893
ENSG00000254737	ENST00000320891	ENSPVAP00000010536
ENSG00000176269	ENST00000320901	
ENSG00000178201	ENST00000321039	
ENSG00000221866	ENST00000321063	ENSPVAP00000017038
ENSG00000181499	ENST00000321252	
ENSG00000176742	ENST00000321255	ENSPVAP00000008587
ENSG00000181518	ENST00000321355	ENSPVAP00000010939
ENSG00000176787	ENST00000321522	ENSPVAP00000001383
ENSG00000176798	ENST00000321543	ENSPVAP00000001384
ENSG00000179615	ENST00000321688	
ENSG00000244165	ENST00000321826	
ENSG00000176879	ENST00000321961	
ENSG00000176893	ENST00000322013	ENSPVAP00000009178
ENSG00000176904	ENST00000322059	ENSPVAP00000015204
ENSG00000176922	ENST00000322101	
ENSG00000176231	ENST00000322107	
ENSG00000176925	ENST00000322110	
ENSG00000180929	ENST00000322241	ENSPVAP00000011757
ENSG00000188269	ENST00000322301	
ENSG00000180016	ENST00000322608	ENSPVAP00000012003
ENSG00000181609	ENST00000322641	ENSPVAP00000013507
ENSG00000181616	ENST00000322653	ENSPVAP00000013474
ENSG00000179695	ENST00000322678	ENSPVAP00000013617
ENSG00000117335	ENST00000322875	ENSPVAP00000007253
ENSG00000177464	ENST00000323040	ENSPVAP00000001258
ENSG00000196610	ENST00000323109	
ENSG00000180090	ENST00000323404	ENSPVAP00000001493
ENSG00000178394	ENST00000323865	ENSPVAP00000004761
ENSG00000181733	ENST00000324060	ENSPVAP00000005553
ENSG00000004399	ENST00000324093	ENSPVAP00000013109
ENSG00000178562	ENST00000324106	ENSPVAP00000005334
ENSG00000151617	ENST00000324300	ENSPVAP00000010271
ENSG00000104972	ENST00000324602	
ENSG00000144481	ENST00000324695	ENSPVAP00000005934
ENSG00000176136	ENST00000324750	ENSPVAP00000000922
ENSG00000162897	ENST00000324852	ENSPVAP00000010905
ENSG00000114812	ENST00000325123	ENSPVAP00000003007
ENSG00000181631	ENST00000325602	ENSPVAP00000012601
ENSG00000181963	ENST00000325719	ENSPVAP00000005558
ENSG00000106128	ENST00000326139	ENSPVAP00000009967
ENSG00000186074	ENST00000326165	ENSPVAP00000001294
ENSG00000177693	ENST00000326183	
ENSG00000179919	ENST00000326258	
ENSG00000179934	ENST00000326306	ENSPVAP00000015997
ENSG00000240403	ENST00000326321	
ENSG00000180269	ENST00000326571	ENSPVAP00000007696
ENSG00000006327	ENST00000326577	ENSPVAP00000008482
ENSG00000080644	ENST00000326828	ENSPVAP00000008666
ENSG00000181273	ENST00000326855	ENSPVAP00000006737
ENSG00000019169	ENST00000327097	ENSPVAP00000015457
ENSG00000181371	ENST00000327216	ENSPVAP00000001064
ENSG00000166342	ENST00000327305	ENSPVAP00000012290
ENSG00000104938	ENST00000327325	
ENSG00000184954	ENST00000327335	ENSPVAP00000013618
ENSG00000185385	ENST00000327462	
ENSG00000185436	ENST00000327535	ENSPVAP00000012828
ENSG00000185231	ENST00000327606	ENSPVAP00000001049
ENSG00000153294	ENST00000327753	ENSPVAP00000011918
ENSG00000185897	ENST00000327809	
ENSG00000221931	ENST00000327930	ENSPVAP00000017081
ENSG00000182771	ENST00000327946	ENSPVAP00000003957
ENSG00000197125	ENST00000328064	ENSPVAP00000005219
ENSG00000185926	ENST00000328188	
ENSG00000182613	ENST00000328275	
ENSG00000185821	ENST00000328314	ENSPVAP00000013616
ENSG00000182334	ENST00000328375	ENSPVAP00000012060
ENSG00000183473	ENST00000328544	ENSPVAP00000002158
ENSG00000182783	ENST00000328570	
ENSG00000186891	ENST00000328596	ENSPVAP00000000954
ENSG00000184698	ENST00000328611	ENSPVAP00000014012
ENSG00000186407	ENST00000328630	ENSPVAP00000001293
ENSG00000183310	ENST00000328782	
ENSG00000183706	ENST00000328795	
ENSG00000184881	ENST00000328813	ENSPVAP00000007805
ENSG00000182782	ENST00000328880	ENSPVAP00000001208
ENSG00000184140	ENST00000328882	ENSPVAP00000003627
ENSG00000183024	ENST00000328890	
ENSG00000206306	ENST00000328980	
ENSG00000182687	ENST00000329003	ENSPVAP00000008014
ENSG00000235568	ENST00000329021	ENSPVAP00000006778
ENSG00000185245	ENST00000329125	ENSPVAP00000003587
ENSG00000183840	ENST00000329321	ENSPVAP00000009978
ENSG00000205409	ENST00000329322	ENSPVAP00000013572
ENSG00000172742	ENST00000329328	
ENSG00000185372	ENST00000329365	
ENSG00000183303	ENST00000329434	ENSPVAP00000003130
ENSG00000185149	ENST00000329476	
ENSG00000113763	ENST00000329542	ENSPVAP00000016076
ENSG00000184478	ENST00000329564	ENSPVAP00000010312
ENSG00000183695	ENST00000329773	
ENSG00000183484	ENST00000329797	ENSPVAP00000002577
ENSG00000184574	ENST00000329858	
ENSG00000184160	ENST00000330055	
ENSG00000182631	ENST00000330120	
ENSG00000182580	ENST00000330394	ENSPVAP00000002995
ENSG00000182634	ENST00000330487	ENSPVAP00000002687
ENSG00000182634	ENST00000330487	ENSPVAP00000002893
ENSG00000182634	ENST00000330487	ENSPVAP00000010536
ENSG00000184022	ENST00000330500	
ENSG00000114013	ENST00000330540	ENSPVAP00000016349
ENSG00000183389	ENST00000330728	
ENSG00000167850	ENST00000330793	
ENSG00000183130	ENST00000330803	
ENSG00000183813	ENST00000330953	ENSPVAP00000003930
ENSG00000185291	ENST00000331035	
ENSG00000183729	ENST00000331251	ENSPVAP00000000845
ENSG00000183748	ENST00000331429	ENSPVAP00000005976
ENSG00000184166	ENST00000331459	ENSPVAP00000001022
ENSG00000172116	ENST00000331469	ENSPVAP00000008381
ENSG00000178852	ENST00000331493	ENSPVAP00000007407
ENSG00000182652	ENST00000331723	
ENSG00000185920	ENST00000331920	ENSPVAP00000002449
ENSG00000184321	ENST00000332043	
ENSG00000173482	ENST00000332175	ENSPVAP00000010101
ENSG00000196266	ENST00000332217	
ENSG00000182854	ENST00000332238	ENSPVAP00000003628
ENSG00000183313	ENST00000332249	
ENSG00000182170	ENST00000332314	
ENSG00000184451	ENST00000332438	ENSPVAP00000008296
ENSG00000183134	ENST00000332539	ENSPVAP00000013824
ENSG00000115590	ENST00000332549	ENSPVAP00000013986
ENSG00000184194	ENST00000332582	ENSPVAP00000012946
ENSG00000184933	ENST00000332601	ENSPVAP00000002014
ENSG00000232382	ENST00000332650	
ENSG00000182974	ENST00000332663	ENSPVAP00000001620
ENSG00000185097	ENST00000332831	
ENSG00000221890	ENST00000333039	ENSPVAP00000017016
ENSG00000173662	ENST00000333172	
ENSG00000007908	ENST00000333360	ENSPVAP00000006948
ENSG00000182885	ENST00000333493	ENSPVAP00000001323
ENSG00000184394	ENST00000333629	
ENSG00000182256	ENST00000333743	ENSPVAP00000000396
ENSG00000186117	ENST00000333973	ENSPVAP00000009368
ENSG00000186117	ENST00000333973	ENSPVAP00000001611
ENSG00000186117	ENST00000333973	ENSPVAP00000002846
ENSG00000186117	ENST00000333973	ENSPVAP00000010898
ENSG00000186119	ENST00000333976	
ENSG00000136160	ENST00000334286	ENSPVAP00000000561
ENSG00000152990	ENST00000334304	ENSPVAP00000014947
ENSG00000186306	ENST00000334438	
ENSG00000186265	ENST00000334529	ENSPVAP00000009011
ENSG00000186919	ENST00000334586	ENSPVAP00000008015
ENSG00000110148	ENST00000334619	ENSPVAP00000002273
ENSG00000186440	ENST00000334632	
ENSG00000186881	ENST00000334726	
ENSG00000180264	ENST00000334810	ENSPVAP00000000190
ENSG00000184155	ENST00000334857	
ENSG00000186723	ENST00000334920	ENSPVAP00000016083
ENSG00000186943	ENST00000335040	
ENSG00000197403	ENST00000335094	
ENSG00000186092	ENST00000335137	
ENSG00000221954	ENST00000335238	
ENSG00000197233	ENST00000335302	ENSPVAP00000006457
ENSG00000186038	ENST00000335304	
ENSG00000107731	ENST00000335350	ENSPVAP00000012711
ENSG00000186509	ENST00000335397	ENSPVAP00000005440
ENSG00000186113	ENST00000335605	ENSPVAP00000015302
ENSG00000186297	ENST00000335625	ENSPVAP00000007351
ENSG00000257008	ENST00000335666	ENSPVAP00000016532
ENSG00000257008	ENST00000335666	ENSPVAP00000017084
ENSG00000125498	ENST00000336077	
ENSG00000148680	ENST00000336152	ENSPVAP00000009912
ENSG00000044524	ENST00000336596	ENSPVAP00000005327
ENSG00000125510	ENST00000336866	ENSPVAP00000002900
ENSG00000135124	ENST00000337233	ENSPVAP00000004066
ENSG00000187800	ENST00000338302	ENSPVAP00000014054
ENSG00000164129	ENST00000338566	ENSPVAP00000005264
ENSG00000188124	ENST00000338569	
ENSG00000171054	ENST00000338616	ENSPVAP00000003125
ENSG00000187474	ENST00000339223	ENSPVAP00000013576
ENSG00000187474	ENST00000339223	ENSPVAP00000013757
ENSG00000187474	ENST00000339223	ENSPVAP00000013577
ENSG00000188340	ENST00000339258	ENSPVAP00000016028
ENSG00000188340	ENST00000339258	ENSPVAP00000014240
ENSG00000169962	ENST00000339381	ENSPVAP00000000964
ENSG00000179603	ENST00000339582	ENSPVAP00000000853
ENSG00000171049	ENST00000340023	ENSPVAP00000013576
ENSG00000171049	ENST00000340023	ENSPVAP00000013757
ENSG00000171049	ENST00000340023	ENSPVAP00000013577
ENSG00000204475	ENST00000340027	
ENSG00000068078	ENST00000340107	ENSPVAP00000007112
ENSG00000101180	ENST00000340177	ENSPVAP00000003340
ENSG00000159618	ENST00000340339	
ENSG00000187871	ENST00000340465	ENSPVAP00000012704
ENSG00000072071	ENST00000340736	ENSPVAP00000016566
ENSG00000239590	ENST00000340750	ENSPVAP00000006458
ENSG00000159346	ENST00000340990	ENSPVAP00000012389
ENSG00000187918	ENST00000341449	ENSPVAP00000013922
ENSG00000196131	ENST00000341702	ENSPVAP00000006158
ENSG00000187957	ENST00000341772	ENSPVAP00000006619
ENSG00000122718	ENST00000341959	ENSPVAP00000015601
ENSG00000168575	ENST00000342228	ENSPVAP00000013974
ENSG00000188888	ENST00000342292	ENSPVAP00000010559
ENSG00000243772	ENST00000342376	
ENSG00000189181	ENST00000342623	
ENSG00000170412	ENST00000342648	ENSPVAP00000016481
ENSG00000178568	ENST00000342788	ENSPVAP00000007345
ENSG00000196240	ENST00000342927	
ENSG00000092421	ENST00000343348	ENSPVAP00000007319
ENSG00000187857	ENST00000343399	ENSPVAP00000013614
ENSG00000188558	ENST00000343414	
ENSG00000188069	ENST00000343430	ENSPVAP00000015206
ENSG00000160791	ENST00000343801	ENSPVAP00000004147
ENSG00000197706	ENST00000343870	
ENSG00000187848	ENST00000343948	ENSPVAP00000005333
ENSG00000188000	ENST00000344248	ENSPVAP00000002204
ENSG00000187612	ENST00000344514	
ENSG00000188763	ENST00000344575	ENSPVAP00000001243
ENSG00000187701	ENST00000344889	
ENSG00000187747	ENST00000345043	ENSPVAP00000000534
ENSG00000188778	ENST00000345060	ENSPVAP00000005682
ENSG00000156642	ENST00000345330	ENSPVAP00000014981
ENSG00000060656	ENST00000345512	ENSPVAP00000011787
ENSG00000189013	ENST00000345540	
ENSG00000104921	ENST00000346664	ENSPVAP00000006553
ENSG00000162594	ENST00000347310	ENSPVAP00000016655
ENSG00000110448	ENST00000347785	ENSPVAP00000013301
ENSG00000116678	ENST00000349533	ENSPVAP00000007930
ENSG00000179468	ENST00000350513	
ENSG00000114739	ENST00000352511	ENSPVAP00000012049
ENSG00000231192	ENST00000354565	ENSPVAP00000004709
ENSG00000196661	ENST00000354597	
ENSG00000168079	ENST00000354914	ENSPVAP00000007051
ENSG00000196098	ENST00000354924	
ENSG00000196189	ENST00000355014	ENSPVAP00000015796
ENSG00000161944	ENST00000355035	ENSPVAP00000011101
ENSG00000197405	ENST00000355085	ENSPVAP00000010815
ENSG00000197938	ENST00000355273	ENSPVAP00000004709
ENSG00000197454	ENST00000355281	ENSPVAP00000004536
ENSG00000197454	ENST00000355281	ENSPVAP00000007338
ENSG00000197454	ENST00000355281	ENSPVAP00000000566
ENSG00000197454	ENST00000355281	ENSPVAP00000004338
ENSG00000197454	ENST00000355281	ENSPVAP00000004535
ENSG00000197454	ENST00000355281	ENSPVAP00000007337
ENSG00000197454	ENST00000355281	ENSPVAP00000009621
ENSG00000166736	ENST00000355556	ENSPVAP00000005007
ENSG00000136869	ENST00000355622	ENSPVAP00000013283
ENSG00000157873	ENST00000355716	ENSPVAP00000009761
ENSG00000198104	ENST00000355728	ENSPVAP00000015289
ENSG00000197591	ENST00000355784	
ENSG00000173890	ENST00000355897	ENSPVAP00000013544
ENSG00000165246	ENST00000355905	ENSPVAP00000014024
ENSG00000198053	ENST00000356025	ENSPVAP00000002209
ENSG00000176937	ENST00000356069	
ENSG00000198657	ENST00000356130	ENSPVAP00000005220
ENSG00000233412	ENST00000356526	ENSPVAP00000004709
ENSG00000050628	ENST00000356595	ENSPVAP00000011791
ENSG00000173535	ENST00000356864	ENSPVAP00000005434
ENSG00000197081	ENST00000356956	ENSPVAP00000005051
ENSG00000139187	ENST00000356986	ENSPVAP00000011495
ENSG00000196917	ENST00000356987	
ENSG00000196936	ENST00000357191	ENSPVAP00000004536
ENSG00000196936	ENST00000357191	ENSPVAP00000007338
ENSG00000196936	ENST00000357191	ENSPVAP00000000566
ENSG00000196936	ENST00000357191	ENSPVAP00000004338
ENSG00000196936	ENST00000357191	ENSPVAP00000004535
ENSG00000196936	ENST00000357191	ENSPVAP00000007337
ENSG00000196936	ENST00000357191	ENSPVAP00000009621
ENSG00000196832	ENST00000357366	ENSPVAP00000014471
ENSG00000196832	ENST00000357366	ENSPVAP00000003683
ENSG00000105426	ENST00000357368	ENSPVAP00000000024
ENSG00000197786	ENST00000357377	
ENSG00000121797	ENST00000357392	ENSPVAP00000004144
ENSG00000197263	ENST00000357438	
ENSG00000180616	ENST00000357585	
ENSG00000197428	ENST00000357605	
ENSG00000196772	ENST00000357627	
ENSG00000196277	ENST00000357716	ENSPVAP00000013141
ENSG00000196341	ENST00000357821	ENSPVAP00000009076
ENSG00000135622	ENST00000357877	ENSPVAP00000013191
ENSG00000213694	ENST00000358157	ENSPVAP00000003500
ENSG00000196411	ENST00000358173	ENSPVAP00000011337
ENSG00000168329	ENST00000358309	ENSPVAP00000015995
ENSG00000142627	ENST00000358432	ENSPVAP00000010923
ENSG00000188324	ENST00000358433	ENSPVAP00000000572
ENSG00000196578	ENST00000358642	ENSPVAP00000016416
ENSG00000072694	ENST00000358671	ENSPVAP00000000051
ENSG00000196338	ENST00000358741	ENSPVAP00000015568
ENSG00000126895	ENST00000358927	ENSPVAP00000000431
ENSG00000163513	ENST00000359013	ENSPVAP00000014160
ENSG00000134545	ENST00000359151	ENSPVAP00000006760
ENSG00000177575	ENST00000359156	ENSPVAP00000011163
ENSG00000176895	ENST00000359350	ENSPVAP00000009179
ENSG00000148604	ENST00000359452	ENSPVAP00000004396
ENSG00000004948	ENST00000359558	ENSPVAP00000007245
ENSG00000196539	ENST00000359594	
ENSG00000196218	ENST00000359596	ENSPVAP00000006208
ENSG00000196171	ENST00000359610	
ENSG00000198601	ENST00000359682	
ENSG00000197437	ENST00000359688	
ENSG00000187258	ENST00000359791	ENSPVAP00000016321
ENSG00000117114	ENST00000359929	ENSPVAP00000000813
ENSG00000142949	ENST00000359947	ENSPVAP00000013599
ENSG00000198128	ENST00000359959	ENSPVAP00000004536
ENSG00000198128	ENST00000359959	ENSPVAP00000007338
ENSG00000198128	ENST00000359959	ENSPVAP00000000566
ENSG00000198128	ENST00000359959	ENSPVAP00000004338
ENSG00000198128	ENST00000359959	ENSPVAP00000004535
ENSG00000198128	ENST00000359959	ENSPVAP00000007337
ENSG00000198128	ENST00000359959	ENSPVAP00000009621
ENSG00000196126	ENST00000360004	
ENSG00000072274	ENST00000360110	ENSPVAP00000008632
ENSG00000167851	ENST00000360141	ENSPVAP00000016482
ENSG00000197790	ENST00000360213	
ENSG00000198283	ENST00000360374	
ENSG00000118257	ENST00000360409	ENSPVAP00000006037
ENSG00000197635	ENST00000360534	ENSPVAP00000002491
ENSG00000239732	ENST00000360658	ENSPVAP00000011766
ENSG00000164270	ENST00000360693	ENSPVAP00000006018
ENSG00000170683	ENST00000360759	
ENSG00000170180	ENST00000360771	
ENSG00000119121	ENST00000360774	ENSPVAP00000007401
ENSG00000140538	ENST00000360948	ENSPVAP00000000411
ENSG00000197594	ENST00000360971	ENSPVAP00000014644
ENSG00000198967	ENST00000361284	ENSPVAP00000000798
ENSG00000196776	ENST00000361309	ENSPVAP00000011093
ENSG00000158458	ENST00000361474	ENSPVAP00000009133
ENSG00000132704	ENST00000361516	
ENSG00000198822	ENST00000361669	ENSPVAP00000006989
ENSG00000152822	ENST00000361719	ENSPVAP00000007642
ENSG00000198877	ENST00000361760	
ENSG00000198851	ENST00000361763	ENSPVAP00000005892
ENSG00000105699	ENST00000361790	ENSPVAP00000006124
ENSG00000198785	ENST00000361820	ENSPVAP00000000899
ENSG00000143297	ENST00000361835	ENSPVAP00000013589
ENSG00000198829	ENST00000362032	
ENSG00000149295	ENST00000362072	ENSPVAP00000012121
ENSG00000198821	ENST00000362089	
ENSG00000203618	ENST00000366425	ENSPVAP00000012237
ENSG00000203661	ENST00000366473	
ENSG00000175143	ENST00000366474	
ENSG00000196944	ENST00000366475	
ENSG00000162727	ENST00000366476	
ENSG00000196071	ENST00000366478	
ENSG00000203663	ENST00000366479	ENSPVAP00000004536
ENSG00000203663	ENST00000366479	ENSPVAP00000007338
ENSG00000203663	ENST00000366479	ENSPVAP00000000566
ENSG00000203663	ENST00000366479	ENSPVAP00000004338
ENSG00000203663	ENST00000366479	ENSPVAP00000004535
ENSG00000203663	ENST00000366479	ENSPVAP00000007337
ENSG00000203663	ENST00000366479	ENSPVAP00000009621
ENSG00000187080	ENST00000366480	
ENSG00000241128	ENST00000366485	
ENSG00000196242	ENST00000366487	
ENSG00000054277	ENST00000366554	ENSPVAP00000004199
ENSG00000116996	ENST00000366570	ENSPVAP00000012654
ENSG00000077585	ENST00000366592	ENSPVAP00000006159
ENSG00000120436	ENST00000366834	ENSPVAP00000004797
ENSG00000162769	ENST00000366971	ENSPVAP00000001587
ENSG00000076356	ENST00000367033	ENSPVAP00000016550
ENSG00000203710	ENST00000367049	
ENSG00000117322	ENST00000367057	ENSPVAP00000003451
ENSG00000198049	ENST00000367126	ENSPVAP00000000685
ENSG00000133067	ENST00000367278	ENSPVAP00000002518
ENSG00000170075	ENST00000367282	ENSPVAP00000014075
ENSG00000111981	ENST00000367345	
ENSG00000131015	ENST00000367351	
ENSG00000153029	ENST00000367580	ENSPVAP00000011525
ENSG00000143324	ENST00000367590	ENSPVAP00000011518
ENSG00000112414	ENST00000367609	ENSPVAP00000000933
ENSG00000203737	ENST00000367685	ENSPVAP00000001870
ENSG00000027697	ENST00000367739	ENSPVAP00000000096
ENSG00000143147	ENST00000367838	ENSPVAP00000004801
ENSG00000143167	ENST00000367868	ENSPVAP00000008568
ENSG00000162733	ENST00000367922	ENSPVAP00000005624
ENSG00000162747	ENST00000367964	ENSPVAP00000002636
ENSG00000203747	ENST00000367969	ENSPVAP00000002636
ENSG00000143217	ENST00000368012	ENSPVAP00000005201
ENSG00000158769	ENST00000368026	ENSPVAP00000005193
ENSG00000122223	ENST00000368033	ENSPVAP00000005566
ENSG00000026751	ENST00000368043	ENSPVAP00000005770
ENSG00000162739	ENST00000368057	ENSPVAP00000010317
ENSG00000179639	ENST00000368115	ENSPVAP00000003592
ENSG00000213088	ENST00000368121	
ENSG00000180433	ENST00000368144	
ENSG00000203757	ENST00000368145	ENSPVAP00000009313
ENSG00000186400	ENST00000368150	
ENSG00000198965	ENST00000368152	
ENSG00000158473	ENST00000368171	
ENSG00000163534	ENST00000368176	ENSPVAP00000012525
ENSG00000160856	ENST00000368184	ENSPVAP00000013930
ENSG00000027644	ENST00000368195	ENSPVAP00000007094
ENSG00000152894	ENST00000368213	ENSPVAP00000002002
ENSG00000173080	ENST00000368318	ENSPVAP00000009731
ENSG00000160716	ENST00000368476	
ENSG00000160712	ENST00000368485	ENSPVAP00000002955
ENSG00000047936	ENST00000368508	ENSPVAP00000004074
ENSG00000159164	ENST00000369146	ENSPVAP00000013353
ENSG00000150337	ENST00000369168	ENSPVAP00000001933
ENSG00000043591	ENST00000369295	
ENSG00000135333	ENST00000369303	ENSPVAP00000010074
ENSG00000143127	ENST00000369304	ENSPVAP00000013645
ENSG00000198019	ENST00000369384	ENSPVAP00000001933
ENSG00000116824	ENST00000369478	ENSPVAP00000005946
ENSG00000118432	ENST00000369501	ENSPVAP00000002772
ENSG00000121933	ENST00000369716	ENSPVAP00000000166
ENSG00000125522	ENST00000369768	
ENSG00000166160	ENST00000369929	ENSPVAP00000000444
ENSG00000147380	ENST00000369935	ENSPVAP00000000444
ENSG00000135312	ENST00000369947	
ENSG00000102076	ENST00000369951	ENSPVAP00000000444
ENSG00000101204	ENST00000370263	ENSPVAP00000013303
ENSG00000147402	ENST00000370306	ENSPVAP00000002945
ENSG00000011677	ENST00000370314	ENSPVAP00000003525
ENSG00000102287	ENST00000370328	ENSPVAP00000006382
ENSG00000101188	ENST00000370501	ENSPVAP00000000477
ENSG00000135298	ENST00000370598	ENSPVAP00000013699
ENSG00000102239	ENST00000370648	ENSPVAP00000009693
ENSG00000162618	ENST00000370742	ENSPVAP00000007093
ENSG00000122420	ENST00000370758	ENSPVAP00000003811
ENSG00000137252	ENST00000370862	ENSPVAP00000012699
ENSG00000185483	ENST00000371079	ENSPVAP00000006587
ENSG00000170927	ENST00000371117	ENSPVAP00000015388
ENSG00000162604	ENST00000371180	ENSPVAP00000012771
ENSG00000184292	ENST00000371225	
ENSG00000153292	ENST00000371253	ENSPVAP00000003052
ENSG00000186188	ENST00000371483	ENSPVAP00000010551
ENSG00000176884	ENST00000371553	ENSPVAP00000002219
ENSG00000131724	ENST00000371666	ENSPVAP00000005141
ENSG00000180772	ENST00000371906	ENSPVAP00000010607
ENSG00000122375	ENST00000372071	ENSPVAP00000013821
ENSG00000148600	ENST00000372117	ENSPVAP00000004389
ENSG00000117425	ENST00000372192	ENSPVAP00000009301
ENSG00000101017	ENST00000372285	ENSPVAP00000013684
ENSG00000117400	ENST00000372470	ENSPVAP00000010805
ENSG00000066056	ENST00000372476	ENSPVAP00000010801
ENSG00000188828	ENST00000372617	ENSPVAP00000015443
ENSG00000124145	ENST00000372733	ENSPVAP00000008261
ENSG00000183317	ENST00000373048	ENSPVAP00000009561
ENSG00000096264	ENST00000373089	ENSPVAP00000000584
ENSG00000163873	ENST00000373091	ENSPVAP00000007600
ENSG00000119535	ENST00000373103	ENSPVAP00000008167
ENSG00000095970	ENST00000373113	ENSPVAP00000007860
ENSG00000161911	ENST00000373127	ENSPVAP00000007859
ENSG00000196090	ENST00000373187	ENSPVAP00000004309
ENSG00000106991	ENST00000373203	ENSPVAP00000000913
ENSG00000112164	ENST00000373256	ENSPVAP00000013039
ENSG00000173198	ENST00000373304	
ENSG00000075073	ENST00000373306	ENSPVAP00000008994
ENSG00000188394	ENST00000373642	ENSPVAP00000016605
ENSG00000121753	ENST00000373658	ENSPVAP00000005592
ENSG00000148215	ENST00000373680	ENSPVAP00000016589
ENSG00000171501	ENST00000373688	
ENSG00000186810	ENST00000373691	
ENSG00000181773	ENST00000374024	ENSPVAP00000008011
ENSG00000124493	ENST00000374181	ENSPVAP00000012175
ENSG00000147168	ENST00000374202	ENSPVAP00000015561
ENSG00000182749	ENST00000374296	ENSPVAP00000005991
ENSG00000204174	ENST00000374312	
ENSG00000096433	ENST00000374316	ENSPVAP00000000742
ENSG00000198121	ENST00000374431	ENSPVAP00000014268
ENSG00000030304	ENST00000374448	ENSPVAP00000014267
ENSG00000188822	ENST00000374472	ENSPVAP00000012840
ENSG00000101000	ENST00000374477	ENSPVAP00000016768
ENSG00000186912	ENST00000374519	ENSPVAP00000013535
ENSG00000204217	ENST00000374580	ENSPVAP00000004967
ENSG00000133216	ENST00000374632	ENSPVAP00000008140
ENSG00000177283	ENST00000374694	
ENSG00000131080	ENST00000374719	ENSPVAP00000008332
ENSG00000165029	ENST00000374736	ENSPVAP00000000111
ENSG00000255800	ENST00000374779	
ENSG00000204246	ENST00000374781	
ENSG00000168384	ENST00000374808	
ENSG00000237541	ENST00000374940	
ENSG00000106799	ENST00000374994	ENSPVAP00000008289
ENSG00000204293	ENST00000375013	
ENSG00000236981	ENST00000375024	ENSPVAP00000002687
ENSG00000236981	ENST00000375024	ENSPVAP00000002893
ENSG00000236981	ENST00000375024	ENSPVAP00000010536
ENSG00000204305	ENST00000375076	ENSPVAP00000004875
ENSG00000204345	ENST00000375352	
ENSG00000179002	ENST00000375371	ENSPVAP00000003213
ENSG00000169071	ENST00000375708	ENSPVAP00000004277
ENSG00000204420	ENST00000375806	ENSPVAP00000011679
ENSG00000148053	ENST00000376214	ENSPVAP00000012782
ENSG00000028137	ENST00000376259	ENSPVAP00000014534
ENSG00000080031	ENST00000376350	ENSPVAP00000006886
ENSG00000151025	ENST00000376351	ENSPVAP00000006596
ENSG00000169508	ENST00000376414	ENSPVAP00000014706
ENSG00000204580	ENST00000376575	ENSPVAP00000003968
ENSG00000229698	ENST00000376848	
ENSG00000206512	ENST00000376947	
ENSG00000204681	ENST00000377034	ENSPVAP00000007863
ENSG00000178726	ENST00000377103	
ENSG00000204687	ENST00000377127	
ENSG00000204688	ENST00000377136	
ENSG00000204690	ENST00000377140	
ENSG00000112462	ENST00000377143	
ENSG00000204694	ENST00000377148	
ENSG00000243729	ENST00000377154	
ENSG00000204695	ENST00000377160	
ENSG00000204701	ENST00000377169	
ENSG00000204702	ENST00000377171	
ENSG00000204703	ENST00000377173	
ENSG00000204704	ENST00000377175	
ENSG00000113749	ENST00000377291	ENSPVAP00000013956
ENSG00000180758	ENST00000377411	ENSPVAP00000010731
ENSG00000049249	ENST00000377507	ENSPVAP00000015781
ENSG00000204882	ENST00000377741	ENSPVAP00000011061
ENSG00000215788	ENST00000377782	
ENSG00000158292	ENST00000377893	ENSPVAP00000009214
ENSG00000168828	ENST00000377981	ENSPVAP00000002863
ENSG00000077943	ENST00000378076	ENSPVAP00000016296
ENSG00000171659	ENST00000378142	ENSPVAP00000008720
ENSG00000205029	ENST00000378396	
ENSG00000205030	ENST00000378397	ENSPVAP00000009368
