Ensembl Gene ID	Ensembl Transcript ID	Squirrel Ensembl Protein ID
ENSG00000181104	ENST00000319211	ENSSTOP00000007382
ENSG00000177663	ENST00000319363	ENSSTOP00000012739
ENSG00000178586	ENST00000319423	
ENSG00000179097	ENST00000319595	ENSSTOP00000003326
ENSG00000221840	ENST00000319760	
ENSG00000176540	ENST00000319813	ENSSTOP00000009298
ENSG00000178623	ENST00000319838	
ENSG00000176547	ENST00000319856	
ENSG00000177462	ENST00000319968	
ENSG00000176555	ENST00000319988	
ENSG00000177476	ENST00000320002	ENSSTOP00000007328
ENSG00000176567	ENST00000320048	
ENSG00000177489	ENST00000320065	
ENSG00000181803	ENST00000320704	
ENSG00000254737	ENST00000320891	
ENSG00000176269	ENST00000320901	
ENSG00000178201	ENST00000321039	
ENSG00000221866	ENST00000321063	ENSSTOP00000010196
ENSG00000181499	ENST00000321252	ENSSTOP00000001889
ENSG00000176742	ENST00000321255	ENSSTOP00000003232
ENSG00000181518	ENST00000321355	ENSSTOP00000009315
ENSG00000176787	ENST00000321522	ENSSTOP00000013708
ENSG00000176798	ENST00000321543	ENSSTOP00000005166
ENSG00000179615	ENST00000321688	
ENSG00000244165	ENST00000321826	
ENSG00000176879	ENST00000321961	
ENSG00000176893	ENST00000322013	
ENSG00000176904	ENST00000322059	
ENSG00000176922	ENST00000322101	ENSSTOP00000007694
ENSG00000176231	ENST00000322107	
ENSG00000176925	ENST00000322110	
ENSG00000180929	ENST00000322241	
ENSG00000188269	ENST00000322301	
ENSG00000180016	ENST00000322608	ENSSTOP00000002766
ENSG00000180016	ENST00000322608	ENSSTOP00000008768
ENSG00000180016	ENST00000322608	ENSSTOP00000001180
ENSG00000180016	ENST00000322608	ENSSTOP00000001178
ENSG00000180016	ENST00000322608	ENSSTOP00000002778
ENSG00000180016	ENST00000322608	ENSSTOP00000008676
ENSG00000181609	ENST00000322641	ENSSTOP00000005363
ENSG00000181609	ENST00000322641	ENSSTOP00000004481
ENSG00000181616	ENST00000322653	
ENSG00000179695	ENST00000322678	ENSSTOP00000012400
ENSG00000179695	ENST00000322678	ENSSTOP00000004561
ENSG00000179695	ENST00000322678	ENSSTOP00000001633
ENSG00000117335	ENST00000322875	ENSSTOP00000006045
ENSG00000177464	ENST00000323040	
ENSG00000196610	ENST00000323109	
ENSG00000180090	ENST00000323404	ENSSTOP00000009567
ENSG00000178394	ENST00000323865	
ENSG00000181733	ENST00000324060	ENSSTOP00000002166
ENSG00000004399	ENST00000324093	ENSSTOP00000009995
ENSG00000178562	ENST00000324106	
ENSG00000151617	ENST00000324300	ENSSTOP00000003540
ENSG00000104972	ENST00000324602	
ENSG00000144481	ENST00000324695	ENSSTOP00000013235
ENSG00000176136	ENST00000324750	
ENSG00000162897	ENST00000324852	ENSSTOP00000005823
ENSG00000114812	ENST00000325123	
ENSG00000181631	ENST00000325602	
ENSG00000181963	ENST00000325719	
ENSG00000106128	ENST00000326139	ENSSTOP00000013896
ENSG00000186074	ENST00000326165	ENSSTOP00000008576
ENSG00000177693	ENST00000326183	ENSSTOP00000003255
ENSG00000179919	ENST00000326258	
ENSG00000179934	ENST00000326306	
ENSG00000240403	ENST00000326321	
ENSG00000180269	ENST00000326571	ENSSTOP00000004405
ENSG00000006327	ENST00000326577	ENSSTOP00000009050
ENSG00000080644	ENST00000326828	ENSSTOP00000006845
ENSG00000181273	ENST00000326855	ENSSTOP00000003073
ENSG00000019169	ENST00000327097	ENSSTOP00000013908
ENSG00000181371	ENST00000327216	ENSSTOP00000007393
ENSG00000166342	ENST00000327305	ENSSTOP00000000450
ENSG00000104938	ENST00000327325	
ENSG00000184954	ENST00000327335	ENSSTOP00000009285
ENSG00000185385	ENST00000327462	
ENSG00000185436	ENST00000327535	
ENSG00000185231	ENST00000327606	
ENSG00000153294	ENST00000327753	ENSSTOP00000002573
ENSG00000185897	ENST00000327809	
ENSG00000221931	ENST00000327930	
ENSG00000182771	ENST00000327946	ENSSTOP00000014281
ENSG00000197125	ENST00000328064	
ENSG00000185926	ENST00000328188	ENSSTOP00000002136
ENSG00000185926	ENST00000328188	ENSSTOP00000004546
ENSG00000185926	ENST00000328188	ENSSTOP00000002463
ENSG00000185926	ENST00000328188	ENSSTOP00000011573
ENSG00000182613	ENST00000328275	ENSSTOP00000003058
ENSG00000185821	ENST00000328314	ENSSTOP00000005517
ENSG00000182334	ENST00000328375	ENSSTOP00000005853
ENSG00000183473	ENST00000328544	ENSSTOP00000009764
ENSG00000182783	ENST00000328570	
ENSG00000186891	ENST00000328596	ENSSTOP00000008229
ENSG00000184698	ENST00000328611	
ENSG00000186407	ENST00000328630	
ENSG00000183310	ENST00000328782	
ENSG00000183706	ENST00000328795	
ENSG00000184881	ENST00000328813	
ENSG00000182782	ENST00000328880	
ENSG00000184140	ENST00000328882	ENSSTOP00000008317
ENSG00000183024	ENST00000328890	
ENSG00000206306	ENST00000328980	
ENSG00000182687	ENST00000329003	ENSSTOP00000006646
ENSG00000235568	ENST00000329021	
ENSG00000185245	ENST00000329125	ENSSTOP00000010020
ENSG00000183840	ENST00000329321	ENSSTOP00000008918
ENSG00000205409	ENST00000329322	
ENSG00000172742	ENST00000329328	ENSSTOP00000010966
ENSG00000185372	ENST00000329365	
ENSG00000183303	ENST00000329434	ENSSTOP00000005872
ENSG00000185149	ENST00000329476	
ENSG00000113763	ENST00000329542	ENSSTOP00000003628
ENSG00000184478	ENST00000329564	ENSSTOP00000013704
ENSG00000184478	ENST00000329564	ENSSTOP00000006108
ENSG00000183695	ENST00000329773	
ENSG00000183484	ENST00000329797	ENSSTOP00000005608
ENSG00000184574	ENST00000329858	
ENSG00000184160	ENST00000330055	
ENSG00000182631	ENST00000330120	
ENSG00000182580	ENST00000330394	ENSSTOP00000008468
ENSG00000182634	ENST00000330487	
ENSG00000184022	ENST00000330500	
ENSG00000114013	ENST00000330540	ENSSTOP00000002363
ENSG00000183389	ENST00000330728	ENSSTOP00000013699
ENSG00000167850	ENST00000330793	
ENSG00000183130	ENST00000330803	
ENSG00000183813	ENST00000330953	ENSSTOP00000003072
ENSG00000185291	ENST00000331035	
ENSG00000183729	ENST00000331251	ENSSTOP00000005094
ENSG00000183748	ENST00000331429	ENSSTOP00000004687
ENSG00000184166	ENST00000331459	
ENSG00000172116	ENST00000331469	ENSSTOP00000003724
ENSG00000178852	ENST00000331493	ENSSTOP00000004237
ENSG00000182652	ENST00000331723	
ENSG00000185920	ENST00000331920	ENSSTOP00000010369
ENSG00000184321	ENST00000332043	
ENSG00000173482	ENST00000332175	ENSSTOP00000000820
ENSG00000196266	ENST00000332217	
ENSG00000182854	ENST00000332238	
ENSG00000183313	ENST00000332249	ENSSTOP00000013717
ENSG00000182170	ENST00000332314	
ENSG00000184451	ENST00000332438	
ENSG00000183134	ENST00000332539	
ENSG00000115590	ENST00000332549	ENSSTOP00000007622
ENSG00000184194	ENST00000332582	
ENSG00000184933	ENST00000332601	ENSSTOP00000014521
ENSG00000232382	ENST00000332650	
ENSG00000182974	ENST00000332663	ENSSTOP00000001194
ENSG00000185097	ENST00000332831	
ENSG00000221890	ENST00000333039	
ENSG00000173662	ENST00000333172	ENSSTOP00000010914
ENSG00000007908	ENST00000333360	ENSSTOP00000008043
ENSG00000182885	ENST00000333493	
ENSG00000184394	ENST00000333629	ENSSTOP00000007649
ENSG00000182256	ENST00000333743	ENSSTOP00000000824
ENSG00000186117	ENST00000333973	
ENSG00000186119	ENST00000333976	ENSSTOP00000011887
ENSG00000136160	ENST00000334286	ENSSTOP00000008308
ENSG00000152990	ENST00000334304	ENSSTOP00000007434
ENSG00000186306	ENST00000334438	ENSSTOP00000001039
ENSG00000186265	ENST00000334529	ENSSTOP00000005000
ENSG00000186919	ENST00000334586	ENSSTOP00000006657
ENSG00000110148	ENST00000334619	ENSSTOP00000010182
ENSG00000186440	ENST00000334632	
ENSG00000186881	ENST00000334726	ENSSTOP00000013477
ENSG00000180264	ENST00000334810	ENSSTOP00000008863
ENSG00000184155	ENST00000334857	ENSSTOP00000004098
ENSG00000186723	ENST00000334920	
ENSG00000186943	ENST00000335040	ENSSTOP00000002616
ENSG00000197403	ENST00000335094	
ENSG00000186092	ENST00000335137	ENSSTOP00000003255
ENSG00000221954	ENST00000335238	
ENSG00000197233	ENST00000335302	
ENSG00000186038	ENST00000335304	ENSSTOP00000007365
ENSG00000107731	ENST00000335350	
ENSG00000186509	ENST00000335397	ENSSTOP00000013408
ENSG00000186509	ENST00000335397	ENSSTOP00000005345
ENSG00000186113	ENST00000335605	ENSSTOP00000011195
ENSG00000186297	ENST00000335625	ENSSTOP00000012993
ENSG00000257008	ENST00000335666	
ENSG00000125498	ENST00000336077	
ENSG00000148680	ENST00000336152	
ENSG00000044524	ENST00000336596	ENSSTOP00000013344
ENSG00000125510	ENST00000336866	ENSSTOP00000002657
ENSG00000135124	ENST00000337233	
ENSG00000187800	ENST00000338302	
ENSG00000164129	ENST00000338566	
ENSG00000188124	ENST00000338569	ENSSTOP00000006334
ENSG00000171054	ENST00000338616	
ENSG00000187474	ENST00000339223	
ENSG00000188340	ENST00000339258	ENSSTOP00000007196
ENSG00000169962	ENST00000339381	ENSSTOP00000011664
ENSG00000179603	ENST00000339582	ENSSTOP00000005797
ENSG00000171049	ENST00000340023	
ENSG00000204475	ENST00000340027	
ENSG00000068078	ENST00000340107	ENSSTOP00000000735
ENSG00000101180	ENST00000340177	
ENSG00000159618	ENST00000340339	
ENSG00000187871	ENST00000340465	ENSSTOP00000006119
ENSG00000072071	ENST00000340736	
ENSG00000239590	ENST00000340750	
ENSG00000159346	ENST00000340990	ENSSTOP00000013848
ENSG00000187918	ENST00000341449	
ENSG00000196131	ENST00000341702	
ENSG00000187957	ENST00000341772	ENSSTOP00000012024
ENSG00000122718	ENST00000341959	ENSSTOP00000007707
ENSG00000168575	ENST00000342228	ENSSTOP00000005276
ENSG00000188888	ENST00000342292	ENSSTOP00000000056
ENSG00000243772	ENST00000342376	
ENSG00000189181	ENST00000342623	
ENSG00000170412	ENST00000342648	
ENSG00000178568	ENST00000342788	ENSSTOP00000000168
ENSG00000196240	ENST00000342927	ENSSTOP00000006490
ENSG00000092421	ENST00000343348	ENSSTOP00000001534
ENSG00000187857	ENST00000343399	
ENSG00000188558	ENST00000343414	
ENSG00000188069	ENST00000343430	
ENSG00000160791	ENST00000343801	
ENSG00000197706	ENST00000343870	ENSSTOP00000001159
ENSG00000187848	ENST00000343948	
ENSG00000188000	ENST00000344248	
ENSG00000187612	ENST00000344514	ENSSTOP00000009933
ENSG00000188763	ENST00000344575	
ENSG00000187701	ENST00000344889	
ENSG00000187747	ENST00000345043	
ENSG00000188778	ENST00000345060	ENSSTOP00000004994
ENSG00000156642	ENST00000345330	ENSSTOP00000012115
ENSG00000060656	ENST00000345512	ENSSTOP00000014251
ENSG00000189013	ENST00000345540	
ENSG00000104921	ENST00000346664	
ENSG00000162594	ENST00000347310	ENSSTOP00000004708
ENSG00000110448	ENST00000347785	
ENSG00000116678	ENST00000349533	
ENSG00000179468	ENST00000350513	
ENSG00000114739	ENST00000352511	ENSSTOP00000013315
ENSG00000231192	ENST00000354565	
ENSG00000196661	ENST00000354597	ENSSTOP00000007461
ENSG00000168079	ENST00000354914	ENSSTOP00000000447
ENSG00000196098	ENST00000354924	
ENSG00000196189	ENST00000355014	
ENSG00000161944	ENST00000355035	
ENSG00000197405	ENST00000355085	
ENSG00000197938	ENST00000355273	ENSSTOP00000012235
ENSG00000197454	ENST00000355281	
ENSG00000166736	ENST00000355556	ENSSTOP00000002341
ENSG00000136869	ENST00000355622	
ENSG00000157873	ENST00000355716	
ENSG00000198104	ENST00000355728	ENSSTOP00000004720
ENSG00000197591	ENST00000355784	
ENSG00000173890	ENST00000355897	
ENSG00000165246	ENST00000355905	
ENSG00000198053	ENST00000356025	ENSSTOP00000006901
ENSG00000198053	ENST00000356025	ENSSTOP00000010214
ENSG00000176937	ENST00000356069	
ENSG00000198657	ENST00000356130	ENSSTOP00000007035
ENSG00000233412	ENST00000356526	
ENSG00000050628	ENST00000356595	ENSSTOP00000000796
ENSG00000173535	ENST00000356864	ENSSTOP00000001291
ENSG00000197081	ENST00000356956	ENSSTOP00000008066
ENSG00000139187	ENST00000356986	ENSSTOP00000011187
ENSG00000196917	ENST00000356987	ENSSTOP00000001021
ENSG00000196936	ENST00000357191	
ENSG00000196832	ENST00000357366	
ENSG00000105426	ENST00000357368	
ENSG00000197786	ENST00000357377	ENSSTOP00000013393
ENSG00000197786	ENST00000357377	ENSSTOP00000009006
ENSG00000197786	ENST00000357377	ENSSTOP00000009008
ENSG00000121797	ENST00000357392	
ENSG00000197263	ENST00000357438	
ENSG00000180616	ENST00000357585	
ENSG00000197428	ENST00000357605	ENSSTOP00000012679
ENSG00000196772	ENST00000357627	
ENSG00000196277	ENST00000357716	ENSSTOP00000011493
ENSG00000196341	ENST00000357821	
ENSG00000135622	ENST00000357877	ENSSTOP00000000968
ENSG00000213694	ENST00000358157	ENSSTOP00000000305
ENSG00000196411	ENST00000358173	ENSSTOP00000012314
ENSG00000168329	ENST00000358309	
ENSG00000142627	ENST00000358432	ENSSTOP00000002767
ENSG00000188324	ENST00000358433	ENSSTOP00000001162
ENSG00000188324	ENST00000358433	ENSSTOP00000009921
ENSG00000196578	ENST00000358642	
ENSG00000072694	ENST00000358671	ENSSTOP00000004145
ENSG00000196338	ENST00000358741	ENSSTOP00000014191
ENSG00000126895	ENST00000358927	ENSSTOP00000007473
ENSG00000163513	ENST00000359013	
ENSG00000134545	ENST00000359151	
ENSG00000177575	ENST00000359156	ENSSTOP00000001058
ENSG00000176895	ENST00000359350	
ENSG00000148604	ENST00000359452	ENSSTOP00000009295
ENSG00000004948	ENST00000359558	ENSSTOP00000010634
ENSG00000196539	ENST00000359594	
ENSG00000196218	ENST00000359596	
ENSG00000196171	ENST00000359610	
ENSG00000198601	ENST00000359682	
ENSG00000197437	ENST00000359688	
ENSG00000187258	ENST00000359791	ENSSTOP00000007424
ENSG00000117114	ENST00000359929	ENSSTOP00000008821
ENSG00000142949	ENST00000359947	ENSSTOP00000009612
ENSG00000198128	ENST00000359959	
ENSG00000196126	ENST00000360004	ENSSTOP00000008626
ENSG00000072274	ENST00000360110	ENSSTOP00000003348
ENSG00000167851	ENST00000360141	ENSSTOP00000002085
ENSG00000197790	ENST00000360213	
ENSG00000198283	ENST00000360374	
ENSG00000118257	ENST00000360409	ENSSTOP00000009181
ENSG00000197635	ENST00000360534	ENSSTOP00000004389
ENSG00000239732	ENST00000360658	ENSSTOP00000001592
ENSG00000164270	ENST00000360693	ENSSTOP00000006680
ENSG00000170683	ENST00000360759	ENSSTOP00000001567
ENSG00000170683	ENST00000360759	ENSSTOP00000007036
ENSG00000170683	ENST00000360759	ENSSTOP00000014248
ENSG00000170180	ENST00000360771	ENSSTOP00000009631
ENSG00000119121	ENST00000360774	ENSSTOP00000011903
ENSG00000140538	ENST00000360948	ENSSTOP00000003430
ENSG00000197594	ENST00000360971	ENSSTOP00000002686
ENSG00000198967	ENST00000361284	
ENSG00000196776	ENST00000361309	ENSSTOP00000012295
ENSG00000158458	ENST00000361474	ENSSTOP00000002264
ENSG00000132704	ENST00000361516	ENSSTOP00000014616
ENSG00000198822	ENST00000361669	ENSSTOP00000007350
ENSG00000152822	ENST00000361719	
ENSG00000198877	ENST00000361760	
ENSG00000198851	ENST00000361763	ENSSTOP00000012873
ENSG00000105699	ENST00000361790	ENSSTOP00000004035
ENSG00000198785	ENST00000361820	ENSSTOP00000002210
ENSG00000143297	ENST00000361835	ENSSTOP00000013286
ENSG00000198829	ENST00000362032	
ENSG00000149295	ENST00000362072	ENSSTOP00000003194
ENSG00000198821	ENST00000362089	
ENSG00000203618	ENST00000366425	
ENSG00000203661	ENST00000366473	
ENSG00000175143	ENST00000366474	
ENSG00000196944	ENST00000366475	
ENSG00000162727	ENST00000366476	
ENSG00000196071	ENST00000366478	ENSSTOP00000013441
ENSG00000196071	ENST00000366478	ENSSTOP00000012106
ENSG00000196071	ENST00000366478	ENSSTOP00000014418
ENSG00000196071	ENST00000366478	ENSSTOP00000007373
ENSG00000196071	ENST00000366478	ENSSTOP00000008493
ENSG00000196071	ENST00000366478	ENSSTOP00000003988
ENSG00000196071	ENST00000366478	ENSSTOP00000012224
ENSG00000203663	ENST00000366479	
ENSG00000187080	ENST00000366480	
ENSG00000241128	ENST00000366485	
ENSG00000196242	ENST00000366487	ENSSTOP00000007310
ENSG00000054277	ENST00000366554	ENSSTOP00000011386
ENSG00000116996	ENST00000366570	ENSSTOP00000013212
ENSG00000077585	ENST00000366592	ENSSTOP00000012371
ENSG00000120436	ENST00000366834	
ENSG00000162769	ENST00000366971	ENSSTOP00000012753
ENSG00000076356	ENST00000367033	ENSSTOP00000012601
ENSG00000203710	ENST00000367049	
ENSG00000117322	ENST00000367057	ENSSTOP00000010936
ENSG00000198049	ENST00000367126	ENSSTOP00000000152
ENSG00000133067	ENST00000367278	ENSSTOP00000009343
ENSG00000170075	ENST00000367282	ENSSTOP00000008808
ENSG00000111981	ENST00000367345	ENSSTOP00000001240
ENSG00000111981	ENST00000367345	ENSSTOP00000005792
ENSG00000111981	ENST00000367345	ENSSTOP00000001245
ENSG00000111981	ENST00000367345	ENSSTOP00000014683
ENSG00000131015	ENST00000367351	ENSSTOP00000001240
ENSG00000131015	ENST00000367351	ENSSTOP00000005792
ENSG00000131015	ENST00000367351	ENSSTOP00000001245
ENSG00000131015	ENST00000367351	ENSSTOP00000014683
ENSG00000153029	ENST00000367580	ENSSTOP00000001308
ENSG00000143324	ENST00000367590	
ENSG00000112414	ENST00000367609	ENSSTOP00000010590
ENSG00000203737	ENST00000367685	ENSSTOP00000001977
ENSG00000027697	ENST00000367739	ENSSTOP00000011040
ENSG00000143147	ENST00000367838	
ENSG00000143167	ENST00000367868	ENSSTOP00000009388
ENSG00000162733	ENST00000367922	ENSSTOP00000010422
ENSG00000162747	ENST00000367964	ENSSTOP00000004166
ENSG00000203747	ENST00000367969	ENSSTOP00000004166
ENSG00000143217	ENST00000368012	
ENSG00000158769	ENST00000368026	ENSSTOP00000011073
ENSG00000122223	ENST00000368033	ENSSTOP00000012611
ENSG00000026751	ENST00000368043	ENSSTOP00000010872
ENSG00000162739	ENST00000368057	ENSSTOP00000006437
ENSG00000179639	ENST00000368115	ENSSTOP00000012567
ENSG00000213088	ENST00000368121	
ENSG00000180433	ENST00000368144	ENSSTOP00000007185
ENSG00000203757	ENST00000368145	
ENSG00000186400	ENST00000368150	
ENSG00000198965	ENST00000368152	
ENSG00000158473	ENST00000368171	ENSSTOP00000009436
ENSG00000158473	ENST00000368171	ENSSTOP00000010050
ENSG00000163534	ENST00000368176	ENSSTOP00000014619
ENSG00000163534	ENST00000368176	ENSSTOP00000013874
ENSG00000160856	ENST00000368184	ENSSTOP00000014614
ENSG00000160856	ENST00000368184	ENSSTOP00000007096
ENSG00000160856	ENST00000368184	ENSSTOP00000013314
ENSG00000160856	ENST00000368184	ENSSTOP00000001521
ENSG00000027644	ENST00000368195	ENSSTOP00000007000
ENSG00000152894	ENST00000368213	ENSSTOP00000010926
ENSG00000173080	ENST00000368318	ENSSTOP00000000558
ENSG00000160716	ENST00000368476	
ENSG00000160712	ENST00000368485	ENSSTOP00000008332
ENSG00000047936	ENST00000368508	ENSSTOP00000005958
ENSG00000159164	ENST00000369146	ENSSTOP00000005849
ENSG00000150337	ENST00000369168	
ENSG00000043591	ENST00000369295	
ENSG00000135333	ENST00000369303	ENSSTOP00000003742
ENSG00000143127	ENST00000369304	ENSSTOP00000012497
ENSG00000198019	ENST00000369384	
ENSG00000116824	ENST00000369478	ENSSTOP00000003746
ENSG00000118432	ENST00000369501	
ENSG00000121933	ENST00000369716	ENSSTOP00000000436
ENSG00000125522	ENST00000369768	
ENSG00000166160	ENST00000369929	
ENSG00000147380	ENST00000369935	
ENSG00000135312	ENST00000369947	
ENSG00000102076	ENST00000369951	
ENSG00000101204	ENST00000370263	
ENSG00000147402	ENST00000370306	ENSSTOP00000009267
ENSG00000011677	ENST00000370314	ENSSTOP00000003893
ENSG00000102287	ENST00000370328	ENSSTOP00000001006
ENSG00000101188	ENST00000370501	
ENSG00000135298	ENST00000370598	ENSSTOP00000004907
ENSG00000102239	ENST00000370648	ENSSTOP00000011196
ENSG00000162618	ENST00000370742	
ENSG00000122420	ENST00000370758	ENSSTOP00000001079
ENSG00000137252	ENST00000370862	ENSSTOP00000006105
ENSG00000185483	ENST00000371079	ENSSTOP00000006796
ENSG00000170927	ENST00000371117	ENSSTOP00000012012
ENSG00000162604	ENST00000371180	ENSSTOP00000007754
ENSG00000184292	ENST00000371225	ENSSTOP00000001855
ENSG00000153292	ENST00000371253	ENSSTOP00000003809
ENSG00000186188	ENST00000371483	ENSSTOP00000014407
ENSG00000176884	ENST00000371553	
ENSG00000131724	ENST00000371666	ENSSTOP00000013945
ENSG00000180772	ENST00000371906	ENSSTOP00000011218
ENSG00000122375	ENST00000372071	ENSSTOP00000003006
ENSG00000148600	ENST00000372117	ENSSTOP00000009275
ENSG00000117425	ENST00000372192	ENSSTOP00000005741
ENSG00000101017	ENST00000372285	
ENSG00000117400	ENST00000372470	ENSSTOP00000008242
ENSG00000066056	ENST00000372476	ENSSTOP00000005158
ENSG00000188828	ENST00000372617	ENSSTOP00000008222
ENSG00000124145	ENST00000372733	ENSSTOP00000008348
ENSG00000183317	ENST00000373048	ENSSTOP00000005118
ENSG00000096264	ENST00000373089	
ENSG00000163873	ENST00000373091	ENSSTOP00000009556
ENSG00000119535	ENST00000373103	ENSSTOP00000000559
ENSG00000095970	ENST00000373113	ENSSTOP00000009154
ENSG00000161911	ENST00000373127	ENSSTOP00000011928
ENSG00000196090	ENST00000373187	ENSSTOP00000008013
ENSG00000106991	ENST00000373203	ENSSTOP00000007460
ENSG00000112164	ENST00000373256	ENSSTOP00000005917
ENSG00000173198	ENST00000373304	
ENSG00000075073	ENST00000373306	ENSSTOP00000003051
ENSG00000188394	ENST00000373642	
ENSG00000121753	ENST00000373658	ENSSTOP00000005058
ENSG00000148215	ENST00000373680	
ENSG00000171501	ENST00000373688	
ENSG00000186810	ENST00000373691	ENSSTOP00000007810
ENSG00000181773	ENST00000374024	
ENSG00000124493	ENST00000374181	
ENSG00000147168	ENST00000374202	ENSSTOP00000013077
ENSG00000182749	ENST00000374296	ENSSTOP00000003386
ENSG00000204174	ENST00000374312	
ENSG00000096433	ENST00000374316	ENSSTOP00000000751
ENSG00000198121	ENST00000374431	ENSSTOP00000002101
ENSG00000030304	ENST00000374448	ENSSTOP00000002093
ENSG00000188822	ENST00000374472	ENSSTOP00000010713
ENSG00000101000	ENST00000374477	ENSSTOP00000010687
ENSG00000186912	ENST00000374519	
ENSG00000204217	ENST00000374580	ENSSTOP00000002111
ENSG00000133216	ENST00000374632	ENSSTOP00000013782
ENSG00000177283	ENST00000374694	
ENSG00000131080	ENST00000374719	ENSSTOP00000007491
ENSG00000165029	ENST00000374736	ENSSTOP00000001138
ENSG00000255800	ENST00000374779	
ENSG00000204246	ENST00000374781	
ENSG00000168384	ENST00000374808	
ENSG00000237541	ENST00000374940	
ENSG00000106799	ENST00000374994	ENSSTOP00000012159
ENSG00000204293	ENST00000375013	ENSSTOP00000007461
ENSG00000236981	ENST00000375024	
ENSG00000204305	ENST00000375076	ENSSTOP00000013201
ENSG00000204345	ENST00000375352	
ENSG00000179002	ENST00000375371	
ENSG00000169071	ENST00000375708	ENSSTOP00000001077
ENSG00000204420	ENST00000375806	ENSSTOP00000011713
ENSG00000148053	ENST00000376214	ENSSTOP00000008008
ENSG00000028137	ENST00000376259	
ENSG00000080031	ENST00000376350	
ENSG00000151025	ENST00000376351	ENSSTOP00000004803
ENSG00000169508	ENST00000376414	ENSSTOP00000002158
ENSG00000204580	ENST00000376575	ENSSTOP00000008892
ENSG00000229698	ENST00000376848	
ENSG00000206512	ENST00000376947	
ENSG00000204681	ENST00000377034	ENSSTOP00000002222
ENSG00000178726	ENST00000377103	
ENSG00000204687	ENST00000377127	
ENSG00000204688	ENST00000377136	
ENSG00000204690	ENST00000377140	
ENSG00000112462	ENST00000377143	
ENSG00000204694	ENST00000377148	
ENSG00000243729	ENST00000377154	
ENSG00000204695	ENST00000377160	
ENSG00000204701	ENST00000377169	
ENSG00000204702	ENST00000377171	
ENSG00000204703	ENST00000377173	
ENSG00000204704	ENST00000377175	ENSSTOP00000005047
ENSG00000113749	ENST00000377291	ENSSTOP00000006627
ENSG00000180758	ENST00000377411	
ENSG00000049249	ENST00000377507	ENSSTOP00000009529
ENSG00000204882	ENST00000377741	ENSSTOP00000005253
ENSG00000215788	ENST00000377782	
ENSG00000158292	ENST00000377893	ENSSTOP00000009684
ENSG00000168828	ENST00000377981	
ENSG00000077943	ENST00000378076	ENSSTOP00000006774
ENSG00000171659	ENST00000378142	ENSSTOP00000001400
ENSG00000205029	ENST00000378396	
ENSG00000205030	ENST00000378397	
ENSG00000139679	ENST00000378434	
ENSG00000182220	ENST00000378438	ENSSTOP00000004877
ENSG00000187730	ENST00000378585	
ENSG00000134569	ENST00000378623	ENSSTOP00000004735
ENSG00000162881	ENST00000378661	
ENSG00000102468	ENST00000378688	ENSSTOP00000002559
ENSG00000169306	ENST00000378993	ENSSTOP00000014570
ENSG00000205213	ENST00000379214	ENSSTOP00000007999
ENSG00000186827	ENST00000379236	ENSSTOP00000001533
ENSG00000165186	ENST00000379361	
ENSG00000171873	ENST00000379453	ENSSTOP00000003557
ENSG00000138741	ENST00000379645	ENSSTOP00000013198
ENSG00000205327	ENST00000379662	
ENSG00000205328	ENST00000379665	
ENSG00000205329	ENST00000379667	
ENSG00000205330	ENST00000379668	ENSSTOP00000007612
ENSG00000205330	ENST00000379668	ENSSTOP00000001770
ENSG00000170782	ENST00000379829	ENSSTOP00000008910
ENSG00000173698	ENST00000379869	ENSSTOP00000012482
ENSG00000134460	ENST00000379959	
ENSG00000178015	ENST00000380007	ENSSTOP00000014816
ENSG00000120156	ENST00000380036	ENSSTOP00000009574
ENSG00000167359	ENST00000380211	ENSSTOP00000004493
ENSG00000176239	ENST00000380219	
ENSG00000183251	ENST00000380224	ENSSTOP00000008400
ENSG00000126010	ENST00000380289	ENSSTOP00000000474
ENSG00000182070	ENST00000380367	ENSSTOP00000008383
ENSG00000205494	ENST00000380369	
ENSG00000205495	ENST00000380370	
ENSG00000205496	ENST00000380371	ENSSTOP00000007666
ENSG00000205497	ENST00000380373	ENSSTOP00000007666
ENSG00000176900	ENST00000380378	
ENSG00000132670	ENST00000380393	
ENSG00000120907	ENST00000380586	
ENSG00000196664	ENST00000380659	ENSSTOP00000005428
ENSG00000139514	ENST00000380752	ENSSTOP00000011446
ENSG00000146938	ENST00000381095	
ENSG00000153707	ENST00000381196	ENSSTOP00000002103
ENSG00000182162	ENST00000381297	
ENSG00000134352	ENST00000381298	
ENSG00000120217	ENST00000381577	ENSSTOP00000014163
ENSG00000205809	ENST00000381902	
ENSG00000134539	ENST00000381907	ENSSTOP00000002002
ENSG00000172150	ENST00000381951	
ENSG00000159110	ENST00000382241	ENSSTOP00000001132
ENSG00000155269	ENST00000382487	
ENSG00000186090	ENST00000382489	
ENSG00000112902	ENST00000382496	ENSSTOP00000002295
ENSG00000231679	ENST00000383126	
ENSG00000206291	ENST00000383224	
ENSG00000206292	ENST00000383226	
ENSG00000206305	ENST00000383251	
ENSG00000206308	ENST00000383259	
ENSG00000184984	ENST00000383263	ENSSTOP00000001656
ENSG00000206320	ENST00000383279	
ENSG00000206396	ENST00000383412	
ENSG00000206430	ENST00000383476	
ENSG00000137403	ENST00000383516	
ENSG00000206466	ENST00000383542	
ENSG00000206470	ENST00000383549	
