Ensembl Gene ID	Ensembl Transcript ID	Pig Ensembl Protein ID
ENSG00000172769	ENST00000309403	ENSSSCP00000013991
ENSG00000172774	ENST00000309433	ENSSSCP00000013997
ENSG00000172774	ENST00000309433	ENSSSCP00000013990
ENSG00000163485	ENST00000309502	ENSSSCP00000016411
ENSG00000173391	ENST00000309539	ENSSSCP00000000683
ENSG00000175619	ENST00000309562	ENSSSCP00000015441
ENSG00000175619	ENST00000309562	ENSSSCP00000014044
ENSG00000173679	ENST00000309623	
ENSG00000175398	ENST00000309675	ENSSSCP00000000372
ENSG00000175393	ENST00000309838	ENSSSCP00000015514
ENSG00000173302	ENST00000309926	
ENSG00000174343	ENST00000310169	ENSSSCP00000009372
ENSG00000174343	ENST00000310169	ENSSSCP00000009373
ENSG00000197376	ENST00000310194	ENSSSCP00000000883
ENSG00000172640	ENST00000310248	
ENSG00000173612	ENST00000310357	ENSSSCP00000004600
ENSG00000088053	ENST00000310373	ENSSSCP00000003553
ENSG00000121716	ENST00000310771	ENSSSCP00000008176
ENSG00000121716	ENST00000310771	ENSSSCP00000008165
ENSG00000173250	ENST00000311104	ENSSSCP00000015338
ENSG00000228567	ENST00000311170	
ENSG00000066294	ENST00000311224	ENSSSCP00000006804
ENSG00000250510	ENST00000311268	ENSSSCP00000000725
ENSG00000175485	ENST00000311352	
ENSG00000173567	ENST00000311519	ENSSSCP00000009136
ENSG00000166206	ENST00000311550	ENSSSCP00000005200
ENSG00000186513	ENST00000311591	ENSSSCP00000013998
ENSG00000174837	ENST00000312053	ENSSSCP00000014405
ENSG00000174600	ENST00000312143	ENSSSCP00000010614
ENSG00000174914	ENST00000312153	ENSSSCP00000015435
ENSG00000174914	ENST00000312153	ENSSSCP00000015426
ENSG00000174914	ENST00000312153	ENSSSCP00000014028
ENSG00000174937	ENST00000312240	ENSSSCP00000006220
ENSG00000174937	ENST00000312240	ENSSSCP00000015424
ENSG00000174942	ENST00000312253	ENSSSCP00000015416
ENSG00000174942	ENST00000312253	ENSSSCP00000006227
ENSG00000110195	ENST00000312293	ENSSSCP00000015728
ENSG00000174957	ENST00000312298	ENSSSCP00000015411
ENSG00000174970	ENST00000312345	ENSSSCP00000006207
ENSG00000174982	ENST00000312422	ENSSSCP00000014035
ENSG00000175514	ENST00000312457	ENSSSCP00000013724
ENSG00000226288	ENST00000312614	ENSSSCP00000015689
ENSG00000173762	ENST00000312648	
ENSG00000181689	ENST00000312711	ENSSSCP00000015410
ENSG00000181689	ENST00000312711	ENSSSCP00000006217
ENSG00000181689	ENST00000312711	ENSSSCP00000006224
ENSG00000181689	ENST00000312711	ENSSSCP00000015408
ENSG00000181693	ENST00000313022	ENSSSCP00000006213
ENSG00000181693	ENST00000313022	ENSSSCP00000015401
ENSG00000181693	ENST00000313022	ENSSSCP00000015402
ENSG00000181693	ENST00000313022	ENSSSCP00000006225
ENSG00000181698	ENST00000313033	
ENSG00000181408	ENST00000313135	
ENSG00000176200	ENST00000313253	ENSSSCP00000013962
ENSG00000181718	ENST00000313264	ENSSSCP00000015400
ENSG00000181718	ENST00000313264	ENSSSCP00000006229
ENSG00000181718	ENST00000313264	ENSSSCP00000006214
ENSG00000013725	ENST00000313421	ENSSSCP00000013945
ENSG00000181752	ENST00000313447	ENSSSCP00000006218
ENSG00000181752	ENST00000313447	ENSSSCP00000006223
ENSG00000181761	ENST00000313472	ENSSSCP00000006213
ENSG00000181761	ENST00000313472	ENSSSCP00000015401
ENSG00000181761	ENST00000313472	ENSSSCP00000015402
ENSG00000181761	ENST00000313472	ENSSSCP00000006225
ENSG00000181767	ENST00000313503	ENSSSCP00000006213
ENSG00000181767	ENST00000313503	ENSSSCP00000015401
ENSG00000181767	ENST00000313503	ENSSSCP00000015402
ENSG00000181767	ENST00000313503	ENSSSCP00000006225
ENSG00000181785	ENST00000313555	ENSSSCP00000006210
ENSG00000177675	ENST00000313599	
ENSG00000176495	ENST00000313940	ENSSSCP00000013973
ENSG00000176495	ENST00000313940	ENSSSCP00000013972
ENSG00000176495	ENST00000313940	ENSSSCP00000013971
ENSG00000176495	ENST00000313940	ENSSSCP00000013966
ENSG00000176495	ENST00000313940	ENSSSCP00000013970
ENSG00000176495	ENST00000313940	ENSSSCP00000013967
ENSG00000176495	ENST00000313940	ENSSSCP00000013968
ENSG00000176495	ENST00000313940	ENSSSCP00000013969
ENSG00000179546	ENST00000314113	
ENSG00000179817	ENST00000314254	
ENSG00000181903	ENST00000314259	ENSSSCP00000011922
ENSG00000178789	ENST00000314401	ENSSSCP00000018264
ENSG00000181927	ENST00000314612	ENSSSCP00000015384
ENSG00000181935	ENST00000314634	ENSSSCP00000015453
ENSG00000181935	ENST00000314634	ENSSSCP00000015445
ENSG00000181935	ENST00000314634	ENSSSCP00000015456
ENSG00000181935	ENST00000314634	ENSSSCP00000015469
ENSG00000181935	ENST00000314634	ENSSSCP00000014036
ENSG00000181939	ENST00000314644	
ENSG00000181958	ENST00000314706	
ENSG00000181961	ENST00000314721	
ENSG00000180708	ENST00000314902	ENSSSCP00000006868
ENSG00000181656	ENST00000315033	ENSSSCP00000007317
ENSG00000180340	ENST00000315323	
ENSG00000150048	ENST00000315330	ENSSSCP00000000688
ENSG00000176198	ENST00000315409	ENSSSCP00000002345
ENSG00000176198	ENST00000315409	ENSSSCP00000002352
ENSG00000180658	ENST00000315453	
ENSG00000176219	ENST00000315519	ENSSSCP00000002348
ENSG00000176230	ENST00000315543	ENSSSCP00000002382
ENSG00000127507	ENST00000315576	
ENSG00000176246	ENST00000315683	ENSSSCP00000002385
ENSG00000176246	ENST00000315683	ENSSSCP00000014016
ENSG00000176246	ENST00000315683	ENSSSCP00000002794
ENSG00000176246	ENST00000315683	ENSSSCP00000014015
ENSG00000176253	ENST00000315693	ENSSSCP00000002386
ENSG00000176253	ENST00000315693	ENSSSCP00000002782
ENSG00000137809	ENST00000315757	ENSSSCP00000005336
ENSG00000176281	ENST00000315915	ENSSSCP00000002803
ENSG00000176294	ENST00000315947	ENSSSCP00000002395
ENSG00000176294	ENST00000315947	ENSSSCP00000002807
ENSG00000176294	ENST00000315947	ENSSSCP00000002781
ENSG00000176294	ENST00000315947	ENSSSCP00000002808
ENSG00000176299	ENST00000315957	ENSSSCP00000002809
ENSG00000176299	ENST00000315957	ENSSSCP00000002366
ENSG00000244623	ENST00000316368	ENSSSCP00000008159
ENSG00000244623	ENST00000316368	ENSSSCP00000008151
ENSG00000244623	ENST00000316368	ENSSSCP00000008155
ENSG00000244623	ENST00000316368	ENSSSCP00000008150
ENSG00000244623	ENST00000316368	ENSSSCP00000008153
ENSG00000244623	ENST00000316368	ENSSSCP00000008162
ENSG00000244623	ENST00000316368	ENSSSCP00000008148
ENSG00000244623	ENST00000316368	ENSSSCP00000008149
ENSG00000244623	ENST00000316368	ENSSSCP00000008154
ENSG00000244623	ENST00000316368	ENSSSCP00000008156
ENSG00000180919	ENST00000316529	ENSSSCP00000015567
ENSG00000180934	ENST00000316650	ENSSSCP00000015568
ENSG00000180475	ENST00000316770	ENSSSCP00000013996
ENSG00000180914	ENST00000316793	
ENSG00000180974	ENST00000316987	ENSSSCP00000015579
ENSG00000180988	ENST00000317037	
ENSG00000181001	ENST00000317078	ENSSSCP00000015584
ENSG00000181009	ENST00000317093	ENSSSCP00000015585
ENSG00000181023	ENST00000317121	ENSSSCP00000015591
ENSG00000181074	ENST00000317254	
ENSG00000161649	ENST00000317310	
ENSG00000177151	ENST00000317450	
ENSG00000168995	ENST00000317643	
ENSG00000175898	ENST00000317726	ENSSSCP00000014521
ENSG00000180245	ENST00000317735	ENSSSCP00000009742
ENSG00000178358	ENST00000317834	ENSSSCP00000015531
ENSG00000178358	ENST00000317834	ENSSSCP00000015540
ENSG00000177174	ENST00000317861	
ENSG00000177186	ENST00000317965	ENSSSCP00000015478
ENSG00000177201	ENST00000317996	ENSSSCP00000014844
ENSG00000177212	ENST00000318021	ENSSSCP00000014844
ENSG00000176695	ENST00000318050	ENSSSCP00000002789
ENSG00000176695	ENST00000318050	ENSSSCP00000002378
ENSG00000177275	ENST00000318244	ENSSSCP00000014846
ENSG00000177275	ENST00000318244	ENSSSCP00000014843
ENSG00000178084	ENST00000318351	
ENSG00000105976	ENST00000318493	ENSSSCP00000017620
ENSG00000180871	ENST00000318507	ENSSSCP00000017143
ENSG00000180871	ENST00000318507	ENSSSCP00000017144
ENSG00000197309	ENST00000318666	ENSSSCP00000016096
ENSG00000177535	ENST00000318749	ENSSSCP00000014821
ENSG00000179055	ENST00000318763	ENSSSCP00000005816
ENSG00000179055	ENST00000318763	ENSSSCP00000005815
ENSG00000181104	ENST00000319211	ENSSSCP00000014982
ENSG00000177663	ENST00000319363	ENSSSCP00000000813
ENSG00000178586	ENST00000319423	
ENSG00000179097	ENST00000319595	
ENSG00000221840	ENST00000319760	
ENSG00000176540	ENST00000319813	ENSSSCP00000014033
ENSG00000178623	ENST00000319838	
ENSG00000176547	ENST00000319856	
ENSG00000177462	ENST00000319968	ENSSSCP00000014844
ENSG00000176555	ENST00000319988	ENSSSCP00000014040
ENSG00000176555	ENST00000319988	ENSSSCP00000015437
ENSG00000177476	ENST00000320002	ENSSSCP00000014824
ENSG00000176567	ENST00000320048	ENSSSCP00000014041
ENSG00000176567	ENST00000320048	ENSSSCP00000015438
ENSG00000177489	ENST00000320065	ENSSSCP00000014825
ENSG00000181803	ENST00000320704	ENSSSCP00000002329
ENSG00000254737	ENST00000320891	ENSSSCP00000016091
ENSG00000254737	ENST00000320891	ENSSSCP00000016092
ENSG00000254737	ENST00000320891	ENSSSCP00000016093
ENSG00000176269	ENST00000320901	ENSSSCP00000002379
ENSG00000178201	ENST00000321039	
ENSG00000221866	ENST00000321063	ENSSSCP00000017533
ENSG00000181499	ENST00000321252	ENSSSCP00000016076
ENSG00000176742	ENST00000321255	ENSSSCP00000015646
ENSG00000181518	ENST00000321355	ENSSSCP00000016073
ENSG00000176787	ENST00000321522	ENSSSCP00000015661
ENSG00000176798	ENST00000321543	ENSSSCP00000015669
ENSG00000179615	ENST00000321688	
ENSG00000244165	ENST00000321826	ENSSSCP00000014524
ENSG00000176879	ENST00000321961	ENSSSCP00000015671
ENSG00000176893	ENST00000322013	ENSSSCP00000015672
ENSG00000176904	ENST00000322059	ENSSSCP00000015675
ENSG00000176922	ENST00000322101	ENSSSCP00000015677
ENSG00000176231	ENST00000322107	ENSSSCP00000014720
ENSG00000176231	ENST00000322107	ENSSSCP00000014719
ENSG00000176231	ENST00000322107	ENSSSCP00000014718
ENSG00000176231	ENST00000322107	ENSSSCP00000014717
ENSG00000176925	ENST00000322110	ENSSSCP00000015678
ENSG00000180929	ENST00000322241	
ENSG00000188269	ENST00000322301	
ENSG00000180016	ENST00000322608	ENSSSCP00000018917
ENSG00000180016	ENST00000322608	ENSSSCP00000018914
ENSG00000181609	ENST00000322641	ENSSSCP00000015606
ENSG00000181609	ENST00000322641	ENSSSCP00000015623
ENSG00000181609	ENST00000322641	ENSSSCP00000015607
ENSG00000181609	ENST00000322641	ENSSSCP00000015624
ENSG00000181616	ENST00000322653	ENSSSCP00000015605
ENSG00000179695	ENST00000322678	ENSSSCP00000000337
ENSG00000117335	ENST00000322875	ENSSSCP00000016218
ENSG00000177464	ENST00000323040	
ENSG00000196610	ENST00000323109	
ENSG00000180090	ENST00000323404	
ENSG00000178394	ENST00000323865	ENSSSCP00000017948
ENSG00000181733	ENST00000324060	ENSSSCP00000014460
ENSG00000004399	ENST00000324093	ENSSSCP00000012355
ENSG00000178562	ENST00000324106	ENSSSCP00000017079
ENSG00000151617	ENST00000324300	ENSSSCP00000009635
ENSG00000104972	ENST00000324602	
ENSG00000144481	ENST00000324695	ENSSSCP00000017286
ENSG00000176136	ENST00000324750	
ENSG00000162897	ENST00000324852	ENSSSCP00000016600
ENSG00000114812	ENST00000325123	ENSSSCP00000012026
ENSG00000181631	ENST00000325602	ENSSSCP00000012488
ENSG00000181963	ENST00000325719	ENSSSCP00000015696
ENSG00000181963	ENST00000325719	ENSSSCP00000015695
ENSG00000106128	ENST00000326139	ENSSSCP00000017661
ENSG00000186074	ENST00000326165	ENSSSCP00000018259
ENSG00000177693	ENST00000326183	ENSSSCP00000002789
ENSG00000177693	ENST00000326183	ENSSSCP00000002378
ENSG00000179919	ENST00000326258	
ENSG00000179934	ENST00000326306	
ENSG00000240403	ENST00000326321	ENSSSCP00000003562
ENSG00000180269	ENST00000326571	ENSSSCP00000008393
ENSG00000006327	ENST00000326577	
ENSG00000080644	ENST00000326828	ENSSSCP00000001909
ENSG00000181273	ENST00000326855	ENSSSCP00000014024
ENSG00000019169	ENST00000327097	ENSSSCP00000016656
ENSG00000181371	ENST00000327216	ENSSSCP00000006219
ENSG00000181371	ENST00000327216	ENSSSCP00000015428
ENSG00000181371	ENST00000327216	ENSSSCP00000015422
ENSG00000166342	ENST00000327305	ENSSSCP00000005247
ENSG00000104938	ENST00000327325	
ENSG00000184954	ENST00000327335	
ENSG00000185385	ENST00000327462	
ENSG00000185436	ENST00000327535	ENSSSCP00000003841
ENSG00000185436	ENST00000327535	ENSSSCP00000003839
ENSG00000185231	ENST00000327606	
ENSG00000153294	ENST00000327753	
ENSG00000185897	ENST00000327809	ENSSSCP00000003114
ENSG00000221931	ENST00000327930	ENSSSCP00000016069
ENSG00000182771	ENST00000327946	ENSSSCP00000011040
ENSG00000197125	ENST00000328064	ENSSSCP00000016111
ENSG00000185926	ENST00000328188	
ENSG00000182613	ENST00000328275	
ENSG00000185821	ENST00000328314	ENSSSCP00000000338
ENSG00000182334	ENST00000328375	ENSSSCP00000015524
ENSG00000182334	ENST00000328375	ENSSSCP00000015523
ENSG00000183473	ENST00000328544	
ENSG00000182783	ENST00000328570	
ENSG00000186891	ENST00000328596	ENSSSCP00000003611
ENSG00000184698	ENST00000328611	ENSSSCP00000015685
ENSG00000186407	ENST00000328630	
ENSG00000183310	ENST00000328782	ENSSSCP00000015482
ENSG00000183310	ENST00000328782	ENSSSCP00000015483
ENSG00000183706	ENST00000328795	
ENSG00000184881	ENST00000328813	ENSSSCP00000015650
ENSG00000182782	ENST00000328880	
ENSG00000184140	ENST00000328882	ENSSSCP00000002373
ENSG00000184140	ENST00000328882	ENSSSCP00000002409
ENSG00000184140	ENST00000328882	ENSSSCP00000002414
ENSG00000183024	ENST00000328890	
ENSG00000206306	ENST00000328980	
ENSG00000182687	ENST00000329003	
ENSG00000235568	ENST00000329021	ENSSSCP00000000060
ENSG00000185245	ENST00000329125	ENSSSCP00000018970
ENSG00000183840	ENST00000329321	ENSSSCP00000016648
ENSG00000205409	ENST00000329322	
ENSG00000172742	ENST00000329328	ENSSSCP00000013961
ENSG00000185372	ENST00000329365	
ENSG00000183303	ENST00000329434	ENSSSCP00000015522
ENSG00000185149	ENST00000329476	ENSSSCP00000009597
ENSG00000113763	ENST00000329542	ENSSSCP00000014938
ENSG00000184478	ENST00000329564	ENSSSCP00000015574
ENSG00000184478	ENST00000329564	ENSSSCP00000015573
ENSG00000184478	ENST00000329564	ENSSSCP00000015572
ENSG00000183695	ENST00000329773	
ENSG00000183484	ENST00000329797	ENSSSCP00000002773
ENSG00000184574	ENST00000329858	ENSSSCP00000000745
ENSG00000184160	ENST00000330055	
ENSG00000182631	ENST00000330120	ENSSSCP00000017817
ENSG00000182580	ENST00000330394	ENSSSCP00000012556
ENSG00000182634	ENST00000330487	ENSSSCP00000016091
ENSG00000182634	ENST00000330487	ENSSSCP00000016092
ENSG00000182634	ENST00000330487	ENSSSCP00000016093
ENSG00000184022	ENST00000330500	
ENSG00000114013	ENST00000330540	ENSSSCP00000012649
ENSG00000183389	ENST00000330728	ENSSSCP00000015570
ENSG00000183389	ENST00000330728	ENSSSCP00000015576
ENSG00000183389	ENST00000330728	ENSSSCP00000015571
ENSG00000183389	ENST00000330728	ENSSSCP00000015569
ENSG00000167850	ENST00000330793	
ENSG00000183130	ENST00000330803	
ENSG00000183813	ENST00000330953	
ENSG00000185291	ENST00000331035	
ENSG00000183729	ENST00000331251	
ENSG00000183748	ENST00000331429	
ENSG00000184166	ENST00000331459	ENSSSCP00000018899
ENSG00000184166	ENST00000331459	ENSSSCP00000018900
ENSG00000172116	ENST00000331469	ENSSSCP00000008768
ENSG00000178852	ENST00000331493	ENSSSCP00000018338
ENSG00000182652	ENST00000331723	ENSSSCP00000002811
ENSG00000182652	ENST00000331723	ENSSSCP00000002823
ENSG00000185920	ENST00000331920	
ENSG00000184321	ENST00000332043	ENSSSCP00000015615
ENSG00000184321	ENST00000332043	ENSSSCP00000015626
ENSG00000173482	ENST00000332175	
ENSG00000196266	ENST00000332217	ENSSSCP00000006835
ENSG00000196266	ENST00000332217	ENSSSCP00000006830
ENSG00000182854	ENST00000332238	ENSSSCP00000002413
ENSG00000182854	ENST00000332238	ENSSSCP00000002410
ENSG00000182854	ENST00000332238	ENSSSCP00000002421
ENSG00000182854	ENST00000332238	ENSSSCP00000002374
ENSG00000183313	ENST00000332249	ENSSSCP00000015577
ENSG00000182170	ENST00000332314	
ENSG00000184451	ENST00000332438	ENSSSCP00000018427
ENSG00000183134	ENST00000332539	ENSSSCP00000013940
ENSG00000115590	ENST00000332549	
ENSG00000184194	ENST00000332582	
ENSG00000184933	ENST00000332601	ENSSSCP00000015546
ENSG00000232382	ENST00000332650	
ENSG00000182974	ENST00000332663	ENSSSCP00000002809
ENSG00000182974	ENST00000332663	ENSSSCP00000002366
ENSG00000185097	ENST00000332831	ENSSSCP00000002379
ENSG00000221890	ENST00000333039	ENSSSCP00000000096
ENSG00000173662	ENST00000333172	ENSSSCP00000003667
ENSG00000007908	ENST00000333360	ENSSSCP00000006699
ENSG00000182885	ENST00000333493	ENSSSCP00000003033
ENSG00000184394	ENST00000333629	ENSSSCP00000002359
ENSG00000182256	ENST00000333743	
ENSG00000186117	ENST00000333973	
ENSG00000186119	ENST00000333976	ENSSSCP00000015390
ENSG00000136160	ENST00000334286	ENSSSCP00000010122
ENSG00000136160	ENST00000334286	ENSSSCP00000010123
ENSG00000152990	ENST00000334304	ENSSSCP00000009330
ENSG00000186306	ENST00000334438	
ENSG00000186265	ENST00000334529	
ENSG00000186919	ENST00000334586	ENSSSCP00000018212
ENSG00000110148	ENST00000334619	ENSSSCP00000015561
ENSG00000186440	ENST00000334632	ENSSSCP00000006859
ENSG00000186440	ENST00000334632	ENSSSCP00000006863
ENSG00000186881	ENST00000334726	
ENSG00000180264	ENST00000334810	ENSSSCP00000005988
ENSG00000184155	ENST00000334857	ENSSSCP00000006827
ENSG00000184155	ENST00000334857	ENSSSCP00000006825
ENSG00000186723	ENST00000334920	ENSSSCP00000014714
ENSG00000186723	ENST00000334920	ENSSSCP00000014713
ENSG00000186723	ENST00000334920	ENSSSCP00000014726
ENSG00000186943	ENST00000335040	ENSSSCP00000005808
ENSG00000197403	ENST00000335094	ENSSSCP00000006848
ENSG00000186092	ENST00000335137	ENSSSCP00000002789
ENSG00000186092	ENST00000335137	ENSSSCP00000002378
ENSG00000221954	ENST00000335238	ENSSSCP00000015465
ENSG00000197233	ENST00000335302	ENSSSCP00000005960
ENSG00000186038	ENST00000335304	
ENSG00000107731	ENST00000335350	ENSSSCP00000010956
ENSG00000186509	ENST00000335397	ENSSSCP00000013999
ENSG00000186113	ENST00000335605	ENSSSCP00000013031
ENSG00000186297	ENST00000335625	ENSSSCP00000005199
ENSG00000257008	ENST00000335666	
ENSG00000125498	ENST00000336077	ENSSSCP00000003562
ENSG00000148680	ENST00000336152	ENSSSCP00000011147
ENSG00000044524	ENST00000336596	
ENSG00000125510	ENST00000336866	
ENSG00000135124	ENST00000337233	ENSSSCP00000010479
ENSG00000187800	ENST00000338302	ENSSSCP00000006888
ENSG00000164129	ENST00000338566	ENSSSCP00000009481
ENSG00000188124	ENST00000338569	ENSSSCP00000015537
ENSG00000188124	ENST00000338569	ENSSSCP00000015542
ENSG00000188124	ENST00000338569	ENSSSCP00000015541
ENSG00000188124	ENST00000338569	ENSSSCP00000015543
ENSG00000171054	ENST00000338616	ENSSSCP00000013469
ENSG00000187474	ENST00000339223	
ENSG00000188340	ENST00000339258	ENSSSCP00000006847
ENSG00000169962	ENST00000339381	ENSSSCP00000003624
ENSG00000179603	ENST00000339582	
ENSG00000171049	ENST00000340023	
ENSG00000204475	ENST00000340027	ENSSSCP00000001495
ENSG00000068078	ENST00000340107	ENSSSCP00000009252
ENSG00000101180	ENST00000340177	
ENSG00000159618	ENST00000340339	ENSSSCP00000003035
ENSG00000187871	ENST00000340465	ENSSSCP00000001609
ENSG00000072071	ENST00000340736	ENSSSCP00000014643
ENSG00000239590	ENST00000340750	ENSSSCP00000005935
ENSG00000239590	ENST00000340750	ENSSSCP00000005936
ENSG00000239590	ENST00000340750	ENSSSCP00000005942
ENSG00000239590	ENST00000340750	ENSSSCP00000005941
ENSG00000239590	ENST00000340750	ENSSSCP00000005959
ENSG00000239590	ENST00000340750	ENSSSCP00000005952
ENSG00000239590	ENST00000340750	ENSSSCP00000005948
ENSG00000239590	ENST00000340750	ENSSSCP00000005951
ENSG00000239590	ENST00000340750	ENSSSCP00000005938
ENSG00000159346	ENST00000340990	ENSSSCP00000011655
ENSG00000187918	ENST00000341449	ENSSSCP00000015610
ENSG00000187918	ENST00000341449	ENSSSCP00000015611
ENSG00000196131	ENST00000341702	ENSSSCP00000006180
ENSG00000187957	ENST00000341772	
ENSG00000122718	ENST00000341959	ENSSSCP00000005726
ENSG00000122718	ENST00000341959	ENSSSCP00000005730
ENSG00000168575	ENST00000342228	ENSSSCP00000007489
ENSG00000188888	ENST00000342292	
ENSG00000243772	ENST00000342376	ENSSSCP00000003562
ENSG00000189181	ENST00000342623	
ENSG00000170412	ENST00000342648	
ENSG00000178568	ENST00000342788	ENSSSCP00000017120
ENSG00000196240	ENST00000342927	
ENSG00000092421	ENST00000343348	ENSSSCP00000015130
ENSG00000187857	ENST00000343399	ENSSSCP00000000349
ENSG00000187857	ENST00000343399	ENSSSCP00000000342
ENSG00000188558	ENST00000343414	
ENSG00000188069	ENST00000343430	ENSSSCP00000015680
ENSG00000160791	ENST00000343801	
ENSG00000197706	ENST00000343870	
ENSG00000187848	ENST00000343948	ENSSSCP00000010396
ENSG00000188000	ENST00000344248	ENSSSCP00000014565
ENSG00000187612	ENST00000344514	
ENSG00000188763	ENST00000344575	
ENSG00000187701	ENST00000344889	
ENSG00000187747	ENST00000345043	ENSSSCP00000015602
ENSG00000188778	ENST00000345060	ENSSSCP00000016767
ENSG00000156642	ENST00000345330	ENSSSCP00000002097
ENSG00000060656	ENST00000345512	ENSSSCP00000003894
ENSG00000189013	ENST00000345540	ENSSSCP00000003562
ENSG00000104921	ENST00000346664	ENSSSCP00000014428
ENSG00000162594	ENST00000347310	ENSSSCP00000004111
ENSG00000110448	ENST00000347785	ENSSSCP00000013949
ENSG00000116678	ENST00000349533	
ENSG00000179468	ENST00000350513	
ENSG00000114739	ENST00000352511	ENSSSCP00000012002
ENSG00000231192	ENST00000354565	ENSSSCP00000012773
ENSG00000231192	ENST00000354565	ENSSSCP00000012774
ENSG00000196661	ENST00000354597	ENSSSCP00000016109
ENSG00000196661	ENST00000354597	ENSSSCP00000016110
ENSG00000168079	ENST00000354914	ENSSSCP00000010329
ENSG00000196098	ENST00000354924	ENSSSCP00000012770
ENSG00000196189	ENST00000355014	ENSSSCP00000006922
ENSG00000161944	ENST00000355035	ENSSSCP00000018997
ENSG00000197405	ENST00000355085	
ENSG00000197938	ENST00000355273	ENSSSCP00000012773
ENSG00000197938	ENST00000355273	ENSSSCP00000012774
ENSG00000197454	ENST00000355281	ENSSSCP00000014842
ENSG00000197454	ENST00000355281	ENSSSCP00000014850
ENSG00000197454	ENST00000355281	ENSSSCP00000014847
ENSG00000197454	ENST00000355281	ENSSSCP00000014848
ENSG00000197454	ENST00000355281	ENSSSCP00000014849
ENSG00000166736	ENST00000355556	
ENSG00000136869	ENST00000355622	ENSSSCP00000005897
ENSG00000157873	ENST00000355716	
ENSG00000198104	ENST00000355728	
ENSG00000197591	ENST00000355784	ENSSSCP00000014835
ENSG00000173890	ENST00000355897	
ENSG00000165246	ENST00000355905	ENSSSCP00000012878
ENSG00000198053	ENST00000356025	ENSSSCP00000007645
ENSG00000176937	ENST00000356069	ENSSSCP00000015679
ENSG00000198657	ENST00000356130	
ENSG00000233412	ENST00000356526	ENSSSCP00000012773
ENSG00000233412	ENST00000356526	ENSSSCP00000012774
ENSG00000050628	ENST00000356595	ENSSSCP00000004097
ENSG00000173535	ENST00000356864	ENSSSCP00000010288
ENSG00000173535	ENST00000356864	ENSSSCP00000010284
ENSG00000173535	ENST00000356864	ENSSSCP00000010289
ENSG00000173535	ENST00000356864	ENSSSCP00000010286
ENSG00000197081	ENST00000356956	ENSSSCP00000004368
ENSG00000197081	ENST00000356956	ENSSSCP00000004369
ENSG00000197081	ENST00000356956	ENSSSCP00000004370
ENSG00000139187	ENST00000356986	ENSSSCP00000000704
ENSG00000196917	ENST00000356987	ENSSSCP00000010451
ENSG00000196936	ENST00000357191	ENSSSCP00000014842
ENSG00000196936	ENST00000357191	ENSSSCP00000014850
ENSG00000196936	ENST00000357191	ENSSSCP00000014847
ENSG00000196936	ENST00000357191	ENSSSCP00000014848
ENSG00000196936	ENST00000357191	ENSSSCP00000014849
ENSG00000196832	ENST00000357366	ENSSSCP00000002393
ENSG00000196832	ENST00000357366	ENSSSCP00000002350
ENSG00000196832	ENST00000357366	ENSSSCP00000002398
ENSG00000196832	ENST00000357366	ENSSSCP00000002416
ENSG00000196832	ENST00000357366	ENSSSCP00000002407
ENSG00000196832	ENST00000357366	ENSSSCP00000002394
ENSG00000196832	ENST00000357366	ENSSSCP00000002408
ENSG00000196832	ENST00000357366	ENSSSCP00000002415
ENSG00000105426	ENST00000357368	
ENSG00000197786	ENST00000357377	ENSSSCP00000013989
ENSG00000121797	ENST00000357392	
ENSG00000197263	ENST00000357438	
ENSG00000180616	ENST00000357585	ENSSSCP00000018276
ENSG00000197428	ENST00000357605	ENSSSCP00000015687
ENSG00000196772	ENST00000357627	ENSSSCP00000014829
ENSG00000196277	ENST00000357716	
ENSG00000196341	ENST00000357821	ENSSSCP00000016101
ENSG00000135622	ENST00000357877	ENSSSCP00000008820
ENSG00000213694	ENST00000358157	ENSSSCP00000010228
ENSG00000196411	ENST00000358173	ENSSSCP00000008197
ENSG00000168329	ENST00000358309	
ENSG00000142627	ENST00000358432	ENSSSCP00000003769
ENSG00000188324	ENST00000358433	ENSSSCP00000000330
ENSG00000196578	ENST00000358642	
ENSG00000072694	ENST00000358671	ENSSSCP00000006770
ENSG00000196338	ENST00000358741	ENSSSCP00000013190
ENSG00000126895	ENST00000358927	ENSSSCP00000013598
ENSG00000163513	ENST00000359013	ENSSSCP00000011975
ENSG00000134545	ENST00000359151	
ENSG00000177575	ENST00000359156	
ENSG00000176895	ENST00000359350	ENSSSCP00000015673
ENSG00000148604	ENST00000359452	ENSSSCP00000011038
ENSG00000004948	ENST00000359558	ENSSSCP00000016247
ENSG00000196539	ENST00000359594	ENSSSCP00000015482
ENSG00000196539	ENST00000359594	ENSSSCP00000015483
ENSG00000196218	ENST00000359596	ENSSSCP00000003206
ENSG00000196218	ENST00000359596	ENSSSCP00000003202
ENSG00000196171	ENST00000359610	ENSSSCP00000006853
ENSG00000198601	ENST00000359682	ENSSSCP00000015478
ENSG00000197437	ENST00000359688	
ENSG00000187258	ENST00000359791	ENSSSCP00000017653
ENSG00000117114	ENST00000359929	ENSSSCP00000004069
ENSG00000142949	ENST00000359947	ENSSSCP00000004255
ENSG00000198128	ENST00000359959	ENSSSCP00000014842
ENSG00000198128	ENST00000359959	ENSSSCP00000014850
ENSG00000198128	ENST00000359959	ENSSSCP00000014847
