Ensembl Gene ID	Ensembl Transcript ID	Marmoset Ensembl Protein ID	
ENSG00000152822	ENST00000361719	ENSCJAP00000036105	
ENSG00000152894	ENST00000368213	ENSCJAP00000042163	
ENSG00000152990	ENST00000334304	ENSCJAP00000023897	
ENSG00000153029	ENST00000367580	ENSCJAP00000007976	
ENSG00000153208	ENST00000295408	ENSCJAP00000030450	
ENSG00000153230	ENST00000283225	
ENSG00000153233	ENST00000283228	ENSCJAP00000050068	
ENSG00000153246	ENST00000283243	ENSCJAP00000027567	
ENSG00000153292	ENST00000371253	ENSCJAP00000021937	
ENSG00000153294	ENST00000327753	ENSCJAP00000021757	
ENSG00000153563	ENST00000283635	ENSCJAP00000035994	
ENSG00000153707	ENST00000381196	ENSCJAP00000021831	
ENSG00000154165	ENST00000284311	ENSCJAP00000041707	
ENSG00000154269	ENST00000414305	ENSCJAP00000049525	
ENSG00000154309	ENST00000284476	ENSCJAP00000012205	
ENSG00000154478	ENST00000284674	ENSCJAP00000015136	
ENSG00000154639	ENST00000284878	ENSCJAP00000006182	
ENSG00000154928	ENST00000398015	ENSCJAP00000004973	
ENSG00000155249	ENST00000285600	ENSCJAP00000047189	
ENSG00000155269	ENST00000382487	ENSCJAP00000040022	
ENSG00000155511	ENST00000285900	ENSCJAP00000008594	
ENSG00000155760	ENST00000286201	ENSCJAP00000008985	
ENSG00000156097	ENST00000527748	ENSCJAP00000050464	
ENSG00000156642	ENST00000345330	ENSCJAP00000033311	
ENSG00000156886	ENST00000389202	
ENSG00000156920	ENST00000394143	ENSCJAP00000006805	
ENSG00000157193	ENST00000306052	ENSCJAP00000008477	
ENSG00000157219	ENST00000287907	ENSCJAP00000000264	
ENSG00000157240	ENST00000287934	
ENSG00000157404	ENST00000288135	ENSCJAP00000034112	
ENSG00000157873	ENST00000355716	ENSCJAP00000004643	
ENSG00000158292	ENST00000377893	ENSCJAP00000000263	
ENSG00000158458	ENST00000361474	ENSCJAP00000046561	
ENSG00000158473	ENST00000368171	ENSCJAP00000035306	
ENSG00000158748	ENST00000289753	ENSCJAP00000012373	
ENSG00000158769	ENST00000368026	ENSCJAP00000010129	
ENSG00000158869	ENST00000289902	ENSCJAP00000009056	
ENSG00000159110	ENST00000382241	ENSCJAP00000000110	
ENSG00000159128	ENST00000290219	ENSCJAP00000046112	
ENSG00000159164	ENST00000369146	ENSCJAP00000001346	
ENSG00000159346	ENST00000340990	ENSCJAP00000046497	
ENSG00000159618	ENST00000340339	ENSCJAP00000021989	
ENSG00000159958	ENST00000291232	ENSCJAP00000004278	
ENSG00000159961	ENST00000291231	
ENSG00000160013	ENST00000291294	ENSCJAP00000034679	
ENSG00000160255	ENST00000397852	ENSCJAP00000019503	
ENSG00000160654	ENST00000532917	ENSCJAP00000024275	
ENSG00000160683	ENST00000292174	ENSCJAP00000025039	
ENSG00000160712	ENST00000368485	ENSCJAP00000017542	
ENSG00000160716	ENST00000368476	ENSCJAP00000017473	
ENSG00000160791	ENST00000343801	ENSCJAP00000003789	
ENSG00000160801	ENST00000449590	ENSCJAP00000004093	
ENSG00000160856	ENST00000368184	ENSCJAP00000012254	
ENSG00000160951	ENST00000292513	ENSCJAP00000008547	
ENSG00000161509	ENST00000293190	ENSCJAP00000027194	
ENSG00000161638	ENST00000293379	ENSCJAP00000035223	
ENSG00000161649	ENST00000317310	ENSCJAP00000019319	
ENSG00000161807	ENST00000293614	
ENSG00000161911	ENST00000373127	ENSCJAP00000007466	
ENSG00000161921	ENST00000293778	ENSCJAP00000022210	
ENSG00000161944	ENST00000355035	
ENSG00000162009	ENST00000397547	ENSCJAP00000004818	
ENSG00000162337	ENST00000294304	ENSCJAP00000028987	
ENSG00000162594	ENST00000347310	ENSCJAP00000048612	
ENSG00000162604	ENST00000371180	
ENSG00000162618	ENST00000370742	ENSCJAP00000013343	
ENSG00000162727	ENST00000366476	
ENSG00000162733	ENST00000367922	ENSCJAP00000007701	
ENSG00000162739	ENST00000368057	ENSCJAP00000010556	
ENSG00000162747	ENST00000367964	ENSCJAP00000008591	
ENSG00000162769	ENST00000366971	ENSCJAP00000028892	
ENSG00000162881	ENST00000378661	
ENSG00000162897	ENST00000324852	ENSCJAP00000034262	
ENSG00000163251	ENST00000295417	ENSCJAP00000041103	
ENSG00000163285	ENST00000295452	ENSCJAP00000035366	
ENSG00000163288	ENST00000295454	ENSCJAP00000035278	
ENSG00000163394	ENST00000295589	ENSCJAP00000039143	
ENSG00000163464	ENST00000295683	ENSCJAP00000043223	
ENSG00000163485	ENST00000309502	ENSCJAP00000011879	
ENSG00000163513	ENST00000359013	ENSCJAP00000007959	
ENSG00000163518	ENST00000271532	ENSCJAP00000012216	
ENSG00000163534	ENST00000368176	ENSCJAP00000012296	
ENSG00000163606	ENST00000308611	ENSCJAP00000037800	
ENSG00000163702	ENST00000295981	ENSCJAP00000044672	
ENSG00000163785	ENST00000296084	ENSCJAP00000005080	
ENSG00000163823	ENST00000296140	ENSCJAP00000040531	
ENSG00000163873	ENST00000373091	ENSCJAP00000003451	
ENSG00000163914	ENST00000296271	ENSCJAP00000031639	
ENSG00000163956	ENST00000500728	
ENSG00000164078	ENST00000296474	ENSCJAP00000008290	
ENSG00000164082	ENST00000395052	ENSCJAP00000010440	
ENSG00000164128	ENST00000296533	ENSCJAP00000022770	
ENSG00000164129	ENST00000338566	ENSCJAP00000022813	
ENSG00000164171	ENST00000296585	ENSCJAP00000002802	
ENSG00000164199	ENST00000405460	ENSCJAP00000019757	
ENSG00000164220	ENST00000296641	ENSCJAP00000037253	
ENSG00000164251	ENST00000296677	ENSCJAP00000037162	
ENSG00000164270	ENST00000360693	ENSCJAP00000039467	
ENSG00000164342	ENST00000296795	ENSCJAP00000011150	
ENSG00000164393	ENST00000296862	ENSCJAP00000021768	
ENSG00000164418	ENST00000421544	ENSCJAP00000002825	
ENSG00000164509	ENST00000447346	ENSCJAP00000003725	
ENSG00000164604	ENST00000501255	ENSCJAP00000031290	
ENSG00000164849	ENST00000397095	ENSCJAP00000029051	
ENSG00000164930	ENST00000522566	ENSCJAP00000047621	
ENSG00000165029	ENST00000374736	ENSCJAP00000030832	
ENSG00000165186	ENST00000379361	ENSCJAP00000009327	
ENSG00000165202	ENST00000297913	
ENSG00000165204	ENST00000277309	ENSCJAP00000037314	
ENSG00000165215	ENST00000395145	ENSCJAP00000030838	
ENSG00000165246	ENST00000355905	ENSCJAP00000025303	
ENSG00000165370	ENST00000298110	ENSCJAP00000040901	
ENSG00000165409	ENST00000541158	ENSCJAP00000044080	
ENSG00000165621	ENST00000298440	ENSCJAP00000041441	
ENSG00000165682	ENST00000298527	ENSCJAP00000040378	
ENSG00000165762	ENST00000298642	ENSCJAP00000018423	
ENSG00000166073	ENST00000299092	ENSCJAP00000038935	
ENSG00000166148	ENST00000299178	ENSCJAP00000011245	
ENSG00000166160	ENST00000369929	ENSCJAP00000026548	
ENSG00000166206	ENST00000311550	ENSCJAP00000051510	
ENSG00000166342	ENST00000327305	ENSCJAP00000005723	
ENSG00000166363	ENST00000299454	ENSCJAP00000025404	
ENSG00000166368	ENST00000299459	ENSCJAP00000047268	
ENSG00000166573	ENST00000299727	ENSCJAP00000014789	
ENSG00000166603	ENST00000299766	ENSCJAP00000041448	
ENSG00000166682	ENST00000299882	ENSCJAP00000022437	
ENSG00000166736	ENST00000355556	ENSCJAP00000022083	
ENSG00000166825	ENST00000300060	ENSCJAP00000013199	
ENSG00000166856	ENST00000300098	ENSCJAP00000019576	
ENSG00000166884	ENST00000300127	ENSCJAP00000041410	
ENSG00000167286	ENST00000300692	ENSCJAP00000024255	
ENSG00000167332	ENST00000396950	ENSCJAP00000028787	
ENSG00000167359	ENST00000380211	ENSCJAP00000044586	
ENSG00000167360	ENST00000300778	
ENSG00000167601	ENST00000301178	ENSCJAP00000037360	
ENSG00000167613	ENST00000391742	ENSCJAP00000002186	
ENSG00000167633	ENST00000391728	
ENSG00000167822	ENST00000301529	ENSCJAP00000041279	
ENSG00000167825	ENST00000301532	ENSCJAP00000041283	
ENSG00000167850	ENST00000330793	
ENSG00000167851	ENST00000360141	
ENSG00000168079	ENST00000354914	ENSCJAP00000028494	
ENSG00000168124	ENST00000304646	
ENSG00000168131	ENST00000303324	ENSCJAP00000044926	
ENSG00000168158	ENST00000304936	
ENSG00000168229	ENST00000306051	ENSCJAP00000013029	
ENSG00000168329	ENST00000358309	ENSCJAP00000017765	
ENSG00000168384	ENST00000374808	
ENSG00000168398	ENST00000554311	ENSCJAP00000011793	
ENSG00000168412	ENST00000307161	ENSCJAP00000037733	
ENSG00000168539	ENST00000306960	ENSCJAP00000034450	
ENSG00000168575	ENST00000342228	ENSCJAP00000044789	
ENSG00000168685	ENST00000303115	ENSCJAP00000034071	
ENSG00000168758	ENST00000305476	ENSCJAP00000014858	
ENSG00000168787	ENST00000383555	
ENSG00000168828	ENST00000377981	ENSCJAP00000041309	
ENSG00000168830	ENST00000305344	
ENSG00000168959	ENST00000418177	ENSCJAP00000001194	
ENSG00000168995	ENST00000317643	
ENSG00000169006	ENST00000306928	ENSCJAP00000012916	
ENSG00000169071	ENST00000375708	
ENSG00000169208	ENST00000303532	ENSCJAP00000041740	
ENSG00000169214	ENST00000302084	ENSCJAP00000041231	
ENSG00000169252	ENST00000305988	ENSCJAP00000040422	
ENSG00000169306	ENST00000378993	ENSCJAP00000014102	
ENSG00000169313	ENST00000302632	ENSCJAP00000001943	
ENSG00000169327	ENST00000304418	ENSCJAP00000042374	
ENSG00000169484	ENST00000305045	ENSCJAP00000039443	
ENSG00000169488	ENST00000305051	
ENSG00000169508	ENST00000376414	ENSCJAP00000038975	
ENSG00000169604	ENST00000303714	ENSCJAP00000035521	
ENSG00000169618	ENST00000303786	ENSCJAP00000035401	
ENSG00000169676	ENST00000304374	ENSCJAP00000042994	
ENSG00000169684	ENST00000299565	ENSCJAP00000019215	
ENSG00000169760	ENST00000457714	ENSCJAP00000003808	
ENSG00000169836	ENST00000304883	ENSCJAP00000028885	
ENSG00000169860	ENST00000305097	ENSCJAP00000001797	
ENSG00000169896	ENST00000544665	ENSCJAP00000006033	
ENSG00000169962	ENST00000339381	ENSCJAP00000020529	
ENSG00000169992	ENST00000302926	ENSCJAP00000030116	
ENSG00000170075	ENST00000367282	ENSCJAP00000010740	
ENSG00000170128	ENST00000304244	
ENSG00000170175	ENST00000306071	ENSCJAP00000001275	
ENSG00000170180	ENST00000360771	ENSCJAP00000004930	
ENSG00000170214	ENST00000306675	ENSCJAP00000035418	
ENSG00000170255	ENST00000302797	ENSCJAP00000041467	
ENSG00000170412	ENST00000342648	ENSCJAP00000027443	
ENSG00000170425	ENST00000304222	ENSCJAP00000022399	
ENSG00000170605	ENST00000305377	ENSCJAP00000041177	
ENSG00000170683	ENST00000360759	
ENSG00000170775	ENST00000303921	ENSCJAP00000032334	
ENSG00000170782	ENST00000379829	ENSCJAP00000040894	
ENSG00000170790	ENST00000307322	ENSCJAP00000025404	
ENSG00000170803	ENST00000307401	ENSCJAP00000041725	
ENSG00000170820	ENST00000406846	ENSCJAP00000019656	
ENSG00000170837	ENST00000304411	ENSCJAP00000024088	
ENSG00000170915	ENST00000442253	ENSCJAP00000020927	
ENSG00000170920	ENST00000305444	ENSCJAP00000048755	
ENSG00000170923	ENST00000305456	
ENSG00000170927	ENST00000371117	ENSCJAP00000021224	
ENSG00000170929	ENST00000429566	ENSCJAP00000041474	
ENSG00000170953	ENST00000306842	
ENSG00000170989	ENST00000305352	ENSCJAP00000006394	
ENSG00000171014	ENST00000307033	ENSCJAP00000040765	
ENSG00000171049	ENST00000340023	ENSCJAP00000041071	
ENSG00000171051	ENST00000304748	
ENSG00000171054	ENST00000338616	ENSCJAP00000041651	
ENSG00000171105	ENST00000302850	ENSCJAP00000029645	
ENSG00000171133	ENST00000302681	
ENSG00000171180	ENST00000306687	
ENSG00000171189	ENST00000399907	ENSCJAP00000016091	
ENSG00000171459	ENST00000304720	
ENSG00000171481	ENST00000304820	ENSCJAP00000037311	
ENSG00000171484	ENST00000304833	
ENSG00000171496	ENST00000304865	ENSCJAP00000045325	
ENSG00000171501	ENST00000373688	ENSCJAP00000037323	
ENSG00000171505	ENST00000304880	ENSCJAP00000040478	
ENSG00000171509	ENST00000307765	ENSCJAP00000002742	
ENSG00000171517	ENST00000440886	ENSCJAP00000041917	
ENSG00000171522	ENST00000302472	ENSCJAP00000013786	
ENSG00000171561	ENST00000305159	ENSCJAP00000042842	
ENSG00000171596	ENST00000305141	ENSCJAP00000049020	
ENSG00000171631	ENST00000540342	ENSCJAP00000045768	
ENSG00000171657	ENST00000302548	ENSCJAP00000016550	
ENSG00000171659	ENST00000378142	ENSCJAP00000041237	
ENSG00000171860	ENST00000307637	ENSCJAP00000035205	
ENSG00000171873	ENST00000379453	ENSCJAP00000039559	
ENSG00000171936	ENST00000305892	ENSCJAP00000041698	
ENSG00000171942	ENST00000305899	ENSCJAP00000041699	
ENSG00000171944	ENST00000307388	
ENSG00000172116	ENST00000331469	ENSCJAP00000035959	
ENSG00000172146	ENST00000304094	
ENSG00000172148	ENST00000304105	ENSCJAP00000008219	
ENSG00000172150	ENST00000381951	
ENSG00000172154	ENST00000302124	
ENSG00000172188	ENST00000302231	ENSCJAP00000041286	
ENSG00000172199	ENST00000302270	ENSCJAP00000044867	
ENSG00000172208	ENST00000302329	ENSCJAP00000041290	
ENSG00000172209	ENST00000304402	ENSCJAP00000046310	
ENSG00000172215	ENST00000438735	ENSCJAP00000003777	
ENSG00000172243	ENST00000304084	ENSCJAP00000040350	
ENSG00000172289	ENST00000307552	ENSCJAP00000041130	
ENSG00000172320	ENST00000302030	ENSCJAP00000041411	
ENSG00000172322	ENST00000304361	ENSCJAP00000040366	
ENSG00000172324	ENST00000302040	
ENSG00000172362	ENST00000302572	ENSCJAP00000041254	
ENSG00000172365	ENST00000302581	ENSCJAP00000041255	
ENSG00000172377	ENST00000302610	ENSCJAP00000041262	
ENSG00000172381	ENST00000302622	ENSCJAP00000041264	
ENSG00000172457	ENST00000302957	ENSCJAP00000041269	
ENSG00000172459	ENST00000302969	ENSCJAP00000046900	
ENSG00000172464	ENST00000302981	
ENSG00000172487	ENST00000303039	
ENSG00000172489	ENST00000303059	ENSCJAP00000016789	
ENSG00000172519	ENST00000308940	ENSCJAP00000041699	
ENSG00000172640	ENST00000310248	
ENSG00000172742	ENST00000329328	ENSCJAP00000041116	
ENSG00000172769	ENST00000309403	ENSCJAP00000044393	
ENSG00000172772	ENST00000395079	ENSCJAP00000041259	
ENSG00000172774	ENST00000309433	
ENSG00000172935	ENST00000441623	ENSCJAP00000029261	
ENSG00000172938	ENST00000309106	ENSCJAP00000047984	
ENSG00000173080	ENST00000368318	ENSCJAP00000050335	
ENSG00000173198	ENST00000373304	ENSCJAP00000041769	
ENSG00000173250	ENST00000311104	ENSCJAP00000040423	
ENSG00000173285	ENST00000289451	ENSCJAP00000040718	
ENSG00000173302	ENST00000309926	
ENSG00000173391	ENST00000309539	ENSCJAP00000040341	
ENSG00000173402	ENST00000515359	ENSCJAP00000007268	
ENSG00000173482	ENST00000332175	ENSCJAP00000028614	
ENSG00000173535	ENST00000356864	ENSCJAP00000045176	
ENSG00000173567	ENST00000311519	ENSCJAP00000002662	
ENSG00000173578	ENST00000309285	ENSCJAP00000040530	
ENSG00000173612	ENST00000310357	ENSCJAP00000007944	
ENSG00000173662	ENST00000333172	ENSCJAP00000000367	
ENSG00000173679	ENST00000309623	
ENSG00000173698	ENST00000379869	ENSCJAP00000010375	
ENSG00000173762	ENST00000312648	ENSCJAP00000033199	
ENSG00000173890	ENST00000355897	ENSCJAP00000004673	
ENSG00000174123	ENST00000308973	ENSCJAP00000042919	
ENSG00000174125	ENST00000308979	ENSCJAP00000001425	
ENSG00000174130	ENST00000436693	ENSCJAP00000043662	
ENSG00000174339	ENST00000307832	
ENSG00000174343	ENST00000310169	ENSCJAP00000036027	
ENSG00000174417	ENST00000518632	ENSCJAP00000011852	
ENSG00000174600	ENST00000312143	ENSCJAP00000028209	
ENSG00000174667	ENST00000308682	
ENSG00000174804	ENST00000531380	ENSCJAP00000001124	
ENSG00000174837	ENST00000312053	ENSCJAP00000029884	
ENSG00000174914	ENST00000312153	ENSCJAP00000041271	
ENSG00000174937	ENST00000312240	
ENSG00000174942	ENST00000312253	
ENSG00000174944	ENST00000309170	ENSCJAP00000040855	
ENSG00000174946	ENST00000309180	ENSCJAP00000040856	
ENSG00000174948	ENST00000389740	ENSCJAP00000001681	
ENSG00000174957	ENST00000312298	ENSCJAP00000047090	
ENSG00000174970	ENST00000312345	
ENSG00000174982	ENST00000312422	
ENSG00000175143	ENST00000366474	ENSCJAP00000016313	
ENSG00000175344	ENST00000454250	ENSCJAP00000040112	
ENSG00000175393	ENST00000309838	
ENSG00000175398	ENST00000309675	ENSCJAP00000041189	
ENSG00000175485	ENST00000311352	ENSCJAP00000040897	
ENSG00000175514	ENST00000312457	ENSCJAP00000001609	
ENSG00000175591	ENST00000393597	ENSCJAP00000044500	
ENSG00000175619	ENST00000309562	
ENSG00000175697	ENST00000464295	ENSCJAP00000016111	
ENSG00000175898	ENST00000317726	ENSCJAP00000041473	
ENSG00000176136	ENST00000324750	ENSCJAP00000041191	
ENSG00000176198	ENST00000315409	ENSCJAP00000041744	
ENSG00000176200	ENST00000313253	ENSCJAP00000041115	
ENSG00000176219	ENST00000315519	ENSCJAP00000049823	
ENSG00000176230	ENST00000315543	
ENSG00000176231	ENST00000322107	ENSCJAP00000041698	
ENSG00000176239	ENST00000380219	ENSCJAP00000040487	
ENSG00000176246	ENST00000315683	
ENSG00000176253	ENST00000315693	
ENSG00000176269	ENST00000320901	
ENSG00000176281	ENST00000315915	ENSCJAP00000041749	
ENSG00000176294	ENST00000315947	ENSCJAP00000018420	
ENSG00000176299	ENST00000315957	ENSCJAP00000041748	
ENSG00000176495	ENST00000313940	ENSCJAP00000041251	
ENSG00000176540	ENST00000319813	ENSCJAP00000016876	
ENSG00000176547	ENST00000319856	ENSCJAP00000016904	
ENSG00000176555	ENST00000319988	ENSCJAP00000041289	
ENSG00000176567	ENST00000320048	
ENSG00000176695	ENST00000318050	ENSCJAP00000041797	
ENSG00000176742	ENST00000321255	ENSCJAP00000040491	
ENSG00000176787	ENST00000321522	ENSCJAP00000028872	
ENSG00000176798	ENST00000321543	ENSCJAP00000041594	
ENSG00000176879	ENST00000321961	
ENSG00000176884	ENST00000371553	ENSCJAP00000023869	
ENSG00000176893	ENST00000322013	ENSCJAP00000051354	
ENSG00000176895	ENST00000359350	ENSCJAP00000028830	
ENSG00000176900	ENST00000380378	
ENSG00000176904	ENST00000322059	ENSCJAP00000042355	
ENSG00000176922	ENST00000322101	ENSCJAP00000041591	
ENSG00000176925	ENST00000322110	
ENSG00000176937	ENST00000356069	
ENSG00000177151	ENST00000317450	ENSCJAP00000044125	
ENSG00000177174	ENST00000317861	
ENSG00000177186	ENST00000317965	
ENSG00000177201	ENST00000317996	
ENSG00000177212	ENST00000318021	
ENSG00000177275	ENST00000318244	ENSCJAP00000051976	
ENSG00000177283	ENST00000374694	ENSCJAP00000025944	
ENSG00000177462	ENST00000319968	
ENSG00000177464	ENST00000323040	
ENSG00000177476	ENST00000320002	
ENSG00000177489	ENST00000320065	
ENSG00000177535	ENST00000318749	ENSCJAP00000026772	
ENSG00000177575	ENST00000359156	ENSCJAP00000009812	
ENSG00000177663	ENST00000319363	
ENSG00000177675	ENST00000313599	ENSCJAP00000009393	
ENSG00000177693	ENST00000326183	ENSCJAP00000041797	
ENSG00000178015	ENST00000380007	
ENSG00000178084	ENST00000318351	ENSCJAP00000024145	
ENSG00000178201	ENST00000321039	
ENSG00000178358	ENST00000317834	ENSCJAP00000040893	
ENSG00000178394	ENST00000323865	ENSCJAP00000041604	
ENSG00000178562	ENST00000324106	ENSCJAP00000010017	
ENSG00000178568	ENST00000342788	ENSCJAP00000020951	
ENSG00000178586	ENST00000319423	ENSCJAP00000040914	
ENSG00000178623	ENST00000319838	ENSCJAP00000041497	
ENSG00000178726	ENST00000377103	ENSCJAP00000049854	
ENSG00000178789	ENST00000314401	ENSCJAP00000027415	
ENSG00000178852	ENST00000331493	
ENSG00000179002	ENST00000375371	ENSCJAP00000013967	
ENSG00000179055	ENST00000318763	ENSCJAP00000041140	
ENSG00000179097	ENST00000319595	
ENSG00000179468	ENST00000350513	
ENSG00000179546	ENST00000314113	ENSCJAP00000010216	
ENSG00000179603	ENST00000339582	ENSCJAP00000032414	
ENSG00000179615	ENST00000321688	ENSCJAP00000041188	
ENSG00000179626	ENST00000394256	
ENSG00000179639	ENST00000368115	ENSCJAP00000011594	
ENSG00000179695	ENST00000322678	ENSCJAP00000051791	
ENSG00000179817	ENST00000314254	ENSCJAP00000041467	
ENSG00000179826	ENST00000396275	ENSCJAP00000041467	
ENSG00000179915	ENST00000404971	ENSCJAP00000019578	
ENSG00000179919	ENST00000326258	ENSCJAP00000041180	
ENSG00000179921	ENST00000479077	ENSCJAP00000045957	
ENSG00000179934	ENST00000326306	ENSCJAP00000017762	
ENSG00000180016	ENST00000322608	
ENSG00000180090	ENST00000323404	ENSCJAP00000041840	
ENSG00000180245	ENST00000317735	ENSCJAP00000007329	
ENSG00000180264	ENST00000334810	ENSCJAP00000047185	
ENSG00000180269	ENST00000326571	ENSCJAP00000017584	
ENSG00000180340	ENST00000315323	
ENSG00000180433	ENST00000368144	ENSCJAP00000040712	
ENSG00000180475	ENST00000316770	ENSCJAP00000041260	
ENSG00000180616	ENST00000357585	ENSCJAP00000037066	
ENSG00000180658	ENST00000315453	ENSCJAP00000047003	
ENSG00000180708	ENST00000314902	ENSCJAP00000011863	
ENSG00000180720	ENST00000433765	
ENSG00000180739	ENST00000439028	ENSCJAP00000012320	
ENSG00000180758	ENST00000377411	ENSCJAP00000000707	
ENSG00000180772	ENST00000371906	ENSCJAP00000045651	
ENSG00000180785	ENST00000396952	ENSCJAP00000028779	
ENSG00000180871	ENST00000318507	ENSCJAP00000001268	
ENSG00000180914	ENST00000316793	ENSCJAP00000029299	
ENSG00000180919	ENST00000316529	
ENSG00000180929	ENST00000322241	ENSCJAP00000010602	
ENSG00000180934	ENST00000316650	ENSCJAP00000041337	
ENSG00000180974	ENST00000316987	ENSCJAP00000041798	
ENSG00000180988	ENST00000317037	ENSCJAP00000040482	
ENSG00000181001	ENST00000317078	
ENSG00000181009	ENST00000317093	
ENSG00000181023	ENST00000317121	ENSCJAP00000052316	
ENSG00000181072	ENST00000445907	ENSCJAP00000023423	
ENSG00000181074	ENST00000317254	
ENSG00000181104	ENST00000319211	ENSCJAP00000037167	
ENSG00000181273	ENST00000326855	ENSCJAP00000041267	
ENSG00000181371	ENST00000327216	ENSCJAP00000016731	
ENSG00000181408	ENST00000313135	ENSCJAP00000033178	
ENSG00000181499	ENST00000321252	ENSCJAP00000040766	
ENSG00000181518	ENST00000321355	ENSCJAP00000051227	
ENSG00000181609	ENST00000322641	ENSCJAP00000040485	
ENSG00000181616	ENST00000322653	ENSCJAP00000040484	
ENSG00000181619	ENST00000395116	ENSCJAP00000035220	
ENSG00000181631	ENST00000325602	ENSCJAP00000001946	
ENSG00000181656	ENST00000315033	
ENSG00000181689	ENST00000312711	
ENSG00000181693	ENST00000313022	
ENSG00000181698	ENST00000313033	
ENSG00000181718	ENST00000313264	
ENSG00000181733	ENST00000324060	ENSCJAP00000041049	
ENSG00000181752	ENST00000313447	ENSCJAP00000016794	
ENSG00000181761	ENST00000313472	
ENSG00000181767	ENST00000313503	
ENSG00000181773	ENST00000374024	ENSCJAP00000016954	
ENSG00000181785	ENST00000313555	
ENSG00000181803	ENST00000320704	ENSCJAP00000049269	
ENSG00000181903	ENST00000314259	ENSCJAP00000041951	
ENSG00000181927	ENST00000314612	ENSCJAP00000016836	
ENSG00000181935	ENST00000314634	ENSCJAP00000041287	
ENSG00000181939	ENST00000314644	
ENSG00000181958	ENST00000314706	ENSCJAP00000016845	
ENSG00000181961	ENST00000314721	
ENSG00000181963	ENST00000325719	
ENSG00000182070	ENST00000380367	ENSCJAP00000040494	
ENSG00000182083	ENST00000402971	ENSCJAP00000040914	
ENSG00000182162	ENST00000381297	ENSCJAP00000041633	
ENSG00000182168	ENST00000453304	ENSCJAP00000013051	
ENSG00000182170	ENST00000332314	ENSCJAP00000021171	
ENSG00000182220	ENST00000378438	ENSCJAP00000044944	
ENSG00000182256	ENST00000333743	ENSCJAP00000045867	
ENSG00000182334	ENST00000328375	ENSCJAP00000041720	
ENSG00000182578	ENST00000286301	ENSCJAP00000039242	
ENSG00000182580	ENST00000330394	ENSCJAP00000027477	
ENSG00000182613	ENST00000328275	
ENSG00000182631	ENST00000330120	ENSCJAP00000040559	
ENSG00000182634	ENST00000330487	
ENSG00000182652	ENST00000331723	ENSCJAP00000041746	
ENSG00000182687	ENST00000329003	ENSCJAP00000025400	
ENSG00000182749	ENST00000374296	ENSCJAP00000040656	
ENSG00000182771	ENST00000327946	ENSCJAP00000050617	
ENSG00000182782	ENST00000328880	
ENSG00000182783	ENST00000328570	ENSCJAP00000050939	
ENSG00000182854	ENST00000332238	ENSCJAP00000027167	
ENSG00000182885	ENST00000333493	ENSCJAP00000043523	
ENSG00000182974	ENST00000332663	ENSCJAP00000041748	
ENSG00000183024	ENST00000328890	
ENSG00000183130	ENST00000330803	ENSCJAP00000048139	
ENSG00000183134	ENST00000332539	
ENSG00000183150	ENST00000540510	ENSCJAP00000040277	
ENSG00000183251	ENST00000380224	ENSCJAP00000040490	
ENSG00000183269	ENST00000537935	ENSCJAP00000038329	
ENSG00000183303	ENST00000329434	ENSCJAP00000049215	
ENSG00000183310	ENST00000328782	
ENSG00000183313	ENST00000332249	ENSCJAP00000040898	
ENSG00000183317	ENST00000373048	ENSCJAP00000003719	
ENSG00000183389	ENST00000330728	ENSCJAP00000015264	
ENSG00000183454	ENST00000396573	ENSCJAP00000031583	
ENSG00000183473	ENST00000328544	ENSCJAP00000051990	
ENSG00000183484	ENST00000329797	ENSCJAP00000021579	
ENSG00000183625	ENST00000545097	ENSCJAP00000003783	
ENSG00000183671	ENST00000407325	ENSCJAP00000046751	
ENSG00000183695	ENST00000329773	ENSCJAP00000012816	
ENSG00000183706	ENST00000328795	
ENSG00000183729	ENST00000331251	ENSCJAP00000041649	
ENSG00000183748	ENST00000331429	ENSCJAP00000015756	
ENSG00000183813	ENST00000330953	ENSCJAP00000041352	
ENSG00000183840	ENST00000329321	ENSCJAP00000026120	
ENSG00000184012	ENST00000398585	ENSCJAP00000020714	
ENSG00000184022	ENST00000330500	ENSCJAP00000046452	
ENSG00000184140	ENST00000328882	ENSCJAP00000036838	
ENSG00000184155	ENST00000334857	
ENSG00000184160	ENST00000330055	
ENSG00000184166	ENST00000331459	
ENSG00000184194	ENST00000332582	ENSCJAP00000010717	
ENSG00000184292	ENST00000371225	
ENSG00000184321	ENST00000332043	ENSCJAP00000040493	
ENSG00000184350	ENST00000389832	ENSCJAP00000044499	
ENSG00000184394	ENST00000333629	ENSCJAP00000045128	
ENSG00000184451	ENST00000332438	ENSCJAP00000024776	
ENSG00000184478	ENST00000329564	
ENSG00000184574	ENST00000329858	
ENSG00000184698	ENST00000328611	ENSCJAP00000043865	
ENSG00000184845	ENST00000393752	ENSCJAP00000041729	
ENSG00000184881	ENST00000328813	ENSCJAP00000040489	
ENSG00000184933	ENST00000332601	
ENSG00000184954	ENST00000327335	ENSCJAP00000041900	
ENSG00000184984	ENST00000383263	ENSCJAP00000041794	
ENSG00000185008	ENST00000487694	ENSCJAP00000000219	
ENSG00000185097	ENST00000332831	
ENSG00000185149	ENST00000329476	ENSCJAP00000051795	
ENSG00000185231	ENST00000327606	ENSCJAP00000041190	
