Ensembl Gene ID	Ensembl Transcript ID	Chimp Ensembl Protein ID	
ENSG00000151025	ENST00000376351	ENSPTRP00000004009	
ENSG00000151490	ENST00000281171	ENSPTRP00000008079	
ENSG00000151577	ENST00000460779	ENSPTRP00000026285	
ENSG00000151617	ENST00000324300	ENSPTRP00000028311	
ENSG00000151834	ENST00000510861	ENSPTRP00000027574	
ENSG00000152034	ENST00000445970	ENSPTRP00000031504	
ENSG00000152207	ENST00000282018	
ENSG00000152208	ENST00000282020	ENSPTRP00000027976	
ENSG00000152558	ENST00000398136	ENSPTRP00000055304	
ENSG00000152578	ENST00000282499	ENSPTRP00000007287	
ENSG00000152822	ENST00000361719	ENSPTRP00000031884	
ENSG00000152894	ENST00000368213	ENSPTRP00000049640	
ENSG00000152990	ENST00000334304	ENSPTRP00000027465	
ENSG00000153029	ENST00000367580	ENSPTRP00000002915	
ENSG00000153208	ENST00000295408	ENSPTRP00000021171	
ENSG00000153230	ENST00000283225	ENSPTRP00000050954	
ENSG00000153233	ENST00000283228	ENSPTRP00000008872	
ENSG00000153246	ENST00000283243	ENSPTRP00000049089	
ENSG00000153292	ENST00000371253	ENSPTRP00000050031	
ENSG00000153294	ENST00000327753	ENSPTRP00000031184	
ENSG00000153563	ENST00000283635	ENSPTRP00000020853	
ENSG00000153707	ENST00000381196	ENSPTRP00000054878	
ENSG00000154165	ENST00000284311	ENSPTRP00000026148	
ENSG00000154269	ENST00000414305	ENSPTRP00000041745	
ENSG00000154309	ENST00000284476	ENSPTRP00000003373	
ENSG00000154478	ENST00000284674	ENSPTRP00000005342	
ENSG00000154639	ENST00000284878	ENSPTRP00000023770	
ENSG00000154928	ENST00000398015	ENSPTRP00000056656	
ENSG00000155249	ENST00000285600	ENSPTRP00000010325	
ENSG00000155269	ENST00000382487	ENSPTRP00000027402	
ENSG00000155511	ENST00000285900	ENSPTRP00000029794	
ENSG00000155760	ENST00000286201	ENSPTRP00000021905	
ENSG00000156097	ENST00000527748	ENSPTRP00000001820	
ENSG00000156642	ENST00000345330	ENSPTRP00000012417	
ENSG00000156886	ENST00000389202	ENSPTRP00000013746	
ENSG00000156920	ENST00000394143	
ENSG00000157193	ENST00000306052	ENSPTRP00000001294	
ENSG00000157219	ENST00000287907	ENSPTRP00000034089	
ENSG00000157240	ENST00000287934	ENSPTRP00000047874	
ENSG00000157404	ENST00000288135	ENSPTRP00000027637	
ENSG00000157873	ENST00000355716	ENSPTRP00000000096	
ENSG00000158292	ENST00000377893	ENSPTRP00000000152	
ENSG00000158458	ENST00000361474	ENSPTRP00000029583	
ENSG00000158473	ENST00000368171	ENSPTRP00000002527	
ENSG00000158748	ENST00000289753	ENSPTRP00000000474	
ENSG00000158769	ENST00000368026	ENSPTRP00000002623	
ENSG00000158869	ENST00000289902	ENSPTRP00000051638	
ENSG00000159110	ENST00000382241	ENSPTRP00000053985	
ENSG00000159128	ENST00000290219	ENSPTRP00000056250	
ENSG00000159164	ENST00000369146	ENSPTRP00000002106	
ENSG00000159346	ENST00000340990	ENSPTRP00000003118	
ENSG00000159618	ENST00000340339	ENSPTRP00000041054	
ENSG00000159958	ENST00000291232	ENSPTRP00000024871	
ENSG00000159961	ENST00000291231	ENSPTRP00000014615	
ENSG00000160013	ENST00000291294	ENSPTRP00000019198	
ENSG00000160255	ENST00000397852	ENSPTRP00000055015	
ENSG00000160654	ENST00000532917	ENSPTRP00000007443	
ENSG00000160683	ENST00000292174	ENSPTRP00000007465	
ENSG00000160712	ENST00000368485	ENSPTRP00000002334	
ENSG00000160716	ENST00000368476	ENSPTRP00000002339	
ENSG00000160791	ENST00000343801	ENSPTRP00000025599	
ENSG00000160801	ENST00000449590	ENSPTRP00000025620	
ENSG00000160856	ENST00000368184	ENSPTRP00000044901	
ENSG00000160951	ENST00000292513	
ENSG00000161509	ENST00000293190	ENSPTRP00000016345	
ENSG00000161638	ENST00000293379	ENSPTRP00000008580	
ENSG00000161649	ENST00000317310	ENSPTRP00000015746	
ENSG00000161807	ENST00000293614	ENSPTRP00000049034	
ENSG00000161911	ENST00000373127	ENSPTRP00000031014	
ENSG00000161921	ENST00000293778	ENSPTRP00000014690	
ENSG00000161944	ENST00000355035	ENSPTRP00000054851	
ENSG00000162009	ENST00000397547	ENSPTRP00000012946	
ENSG00000162337	ENST00000294304	ENSPTRP00000006855	
ENSG00000162594	ENST00000347310	ENSPTRP00000001450	
ENSG00000162604	ENST00000371180	ENSPTRP00000052249	
ENSG00000162618	ENST00000370742	ENSPTRP00000059719	
ENSG00000162727	ENST00000366476	ENSPTRP00000050950	
ENSG00000162733	ENST00000367922	ENSPTRP00000002684	
ENSG00000162739	ENST00000368057	ENSPTRP00000051667	
ENSG00000162747	ENST00000367964	ENSPTRP00000051627	
ENSG00000162769	ENST00000366971	ENSPTRP00000003311	
ENSG00000162881	ENST00000378661	ENSPTRP00000020374	
ENSG00000162897	ENST00000324852	ENSPTRP00000003218	
ENSG00000163251	ENST00000295417	ENSPTRP00000021982	
ENSG00000163285	ENST00000295452	ENSPTRP00000027573	
ENSG00000163288	ENST00000295454	ENSPTRP00000027581	
ENSG00000163394	ENST00000295589	ENSPTRP00000027493	
ENSG00000163464	ENST00000295683	ENSPTRP00000022066	
ENSG00000163485	ENST00000309502	ENSPTRP00000054063	
ENSG00000163513	ENST00000359013	ENSPTRP00000038918	
ENSG00000163518	ENST00000271532	ENSPTRP00000002516	
ENSG00000163534	ENST00000368176	ENSPTRP00000002521	
ENSG00000163606	ENST00000308611	ENSPTRP00000026257	
ENSG00000163702	ENST00000295981	ENSPTRP00000025195	
ENSG00000163785	ENST00000296084	ENSPTRP00000026572	
ENSG00000163823	ENST00000296140	ENSPTRP00000025595	
ENSG00000163873	ENST00000373091	ENSPTRP00000000961	
ENSG00000163914	ENST00000296271	ENSPTRP00000026495	
ENSG00000163956	ENST00000500728	ENSPTRP00000027332	
ENSG00000164078	ENST00000296474	ENSPTRP00000025788	
ENSG00000164082	ENST00000395052	ENSPTRP00000058066	
ENSG00000164128	ENST00000296533	ENSPTRP00000028426	
ENSG00000164129	ENST00000338566	ENSPTRP00000028427	
ENSG00000164171	ENST00000296585	ENSPTRP00000028886	
ENSG00000164199	ENST00000405460	ENSPTRP00000029219	
ENSG00000164220	ENST00000296641	ENSPTRP00000029118	
ENSG00000164251	ENST00000296677	ENSPTRP00000029120	
ENSG00000164270	ENST00000360693	ENSPTRP00000044834	
ENSG00000164342	ENST00000296795	ENSPTRP00000028569	
ENSG00000164393	ENST00000296862	ENSPTRP00000031182	
ENSG00000164418	ENST00000421544	ENSPTRP00000031512	
ENSG00000164509	ENST00000447346	ENSPTRP00000028926	
ENSG00000164604	ENST00000501255	ENSPTRP00000033569	
ENSG00000164849	ENST00000397095	ENSPTRP00000048188	
ENSG00000164930	ENST00000522566	ENSPTRP00000043752	
ENSG00000165029	ENST00000374736	ENSPTRP00000049117	
ENSG00000165186	ENST00000379361	ENSPTRP00000037271	
ENSG00000165202	ENST00000297913	ENSPTRP00000036454	
ENSG00000165204	ENST00000277309	
ENSG00000165215	ENST00000395145	ENSPTRP00000047930	
ENSG00000165246	ENST00000355905	ENSPTRP00000037067	
ENSG00000165370	ENST00000298110	ENSPTRP00000038456	
ENSG00000165409	ENST00000541158	ENSPTRP00000011214	
ENSG00000165621	ENST00000298440	ENSPTRP00000010169	
ENSG00000165682	ENST00000298527	ENSPTRP00000007972	
ENSG00000165762	ENST00000298642	ENSPTRP00000010324	
ENSG00000166073	ENST00000299092	ENSPTRP00000011797	
ENSG00000166148	ENST00000299178	ENSPTRP00000008789	
ENSG00000166160	ENST00000369929	
ENSG00000166206	ENST00000311550	ENSPTRP00000046169	
ENSG00000166342	ENST00000327305	ENSPTRP00000017172	
ENSG00000166363	ENST00000299454	ENSPTRP00000005786	
ENSG00000166368	ENST00000299459	
ENSG00000166573	ENST00000299727	ENSPTRP00000017206	
ENSG00000166603	ENST00000299766	ENSPTRP00000017101	
ENSG00000166682	ENST00000299882	ENSPTRP00000007378	
ENSG00000166736	ENST00000355556	ENSPTRP00000046356	
ENSG00000166825	ENST00000300060	ENSPTRP00000012725	
ENSG00000166856	ENST00000300098	ENSPTRP00000050346	
ENSG00000166884	ENST00000300127	ENSPTRP00000006367	
ENSG00000167286	ENST00000300692	ENSPTRP00000007442	
ENSG00000167332	ENST00000396950	ENSPTRP00000048289	
ENSG00000167359	ENST00000380211	ENSPTRP00000005718	
ENSG00000167360	ENST00000300778	ENSPTRP00000005717	
ENSG00000167601	ENST00000301178	ENSPTRP00000018925	
ENSG00000167613	ENST00000391742	ENSPTRP00000019692	
ENSG00000167633	ENST00000391728	ENSPTRP00000056827	
ENSG00000167822	ENST00000301529	ENSPTRP00000006282	
ENSG00000167825	ENST00000301532	ENSPTRP00000006273	
ENSG00000167850	ENST00000330793	ENSPTRP00000052756	
ENSG00000167851	ENST00000360141	ENSPTRP00000038838	
ENSG00000168079	ENST00000354914	ENSPTRP00000034430	
ENSG00000168124	ENST00000304646	
ENSG00000168131	ENST00000303324	
ENSG00000168158	ENST00000304936	
ENSG00000168229	ENST00000306051	ENSPTRP00000010756	
ENSG00000168329	ENST00000358309	ENSPTRP00000041327	
ENSG00000168384	ENST00000374808	
ENSG00000168398	ENST00000554311	ENSPTRP00000011422	
ENSG00000168412	ENST00000307161	ENSPTRP00000028581	
ENSG00000168539	ENST00000306960	ENSPTRP00000006519	
ENSG00000168575	ENST00000342228	ENSPTRP00000034606	
ENSG00000168685	ENST00000303115	ENSPTRP00000028793	
ENSG00000168758	ENST00000305476	ENSPTRP00000020987	
ENSG00000168787	ENST00000383555	ENSPTRP00000030503	
ENSG00000168828	ENST00000377981	ENSPTRP00000035791	
ENSG00000168830	ENST00000305344	ENSPTRP00000056988	
ENSG00000168959	ENST00000418177	ENSPTRP00000007147	
ENSG00000168995	ENST00000317643	ENSPTRP00000019542	
ENSG00000169006	ENST00000306928	ENSPTRP00000020053	
ENSG00000169071	ENST00000375708	ENSPTRP00000036064	
ENSG00000169208	ENST00000303532	ENSPTRP00000010400	
ENSG00000169214	ENST00000302084	ENSPTRP00000003736	
ENSG00000169252	ENST00000305988	ENSPTRP00000029722	
ENSG00000169306	ENST00000378993	ENSPTRP00000037316	
ENSG00000169313	ENST00000302632	ENSPTRP00000026752	
ENSG00000169327	ENST00000304418	ENSPTRP00000010377	
ENSG00000169484	ENST00000305045	
ENSG00000169488	ENST00000305051	ENSPTRP00000010326	
ENSG00000169508	ENST00000376414	ENSPTRP00000010197	
ENSG00000169604	ENST00000303714	ENSPTRP00000020622	
ENSG00000169618	ENST00000303786	ENSPTRP00000020616	
ENSG00000169676	ENST00000304374	ENSPTRP00000053705	
ENSG00000169684	ENST00000299565	ENSPTRP00000012554	
ENSG00000169760	ENST00000457714	ENSPTRP00000041501	
ENSG00000169836	ENST00000304883	ENSPTRP00000028058	
ENSG00000169860	ENST00000305097	ENSPTRP00000026760	
ENSG00000169896	ENST00000544665	ENSPTRP00000059059	
ENSG00000169962	ENST00000339381	ENSPTRP00000044858	
ENSG00000169992	ENST00000302926	ENSPTRP00000053144	
ENSG00000170075	ENST00000367282	ENSPTRP00000003086	
ENSG00000170128	ENST00000304244	ENSPTRP00000003046	
ENSG00000170175	ENST00000306071	ENSPTRP00000014815	
ENSG00000170180	ENST00000360771	ENSPTRP00000054416	
ENSG00000170214	ENST00000306675	ENSPTRP00000029870	
ENSG00000170255	ENST00000302797	ENSPTRP00000005974	
ENSG00000170412	ENST00000342648	ENSPTRP00000016323	
ENSG00000170425	ENST00000304222	ENSPTRP00000015003	
ENSG00000170605	ENST00000305377	ENSPTRP00000008595	
ENSG00000170683	ENST00000360759	
ENSG00000170775	ENST00000303921	ENSPTRP00000033642	
ENSG00000170782	ENST00000379829	
ENSG00000170790	ENST00000307322	
ENSG00000170803	ENST00000307401	ENSPTRP00000005784	
ENSG00000170820	ENST00000406846	ENSPTRP00000020457	
ENSG00000170837	ENST00000304411	ENSPTRP00000026076	
ENSG00000170915	ENST00000442253	ENSPTRP00000043159	
ENSG00000170920	ENST00000305444	
ENSG00000170923	ENST00000305456	
ENSG00000170927	ENST00000371117	ENSPTRP00000031218	
ENSG00000170929	ENST00000429566	
ENSG00000170953	ENST00000306842	
ENSG00000170989	ENST00000305352	ENSPTRP00000001744	
ENSG00000171014	ENST00000307033	ENSPTRP00000007551	
ENSG00000171049	ENST00000340023	
ENSG00000171051	ENST00000304748	ENSPTRP00000019567	
ENSG00000171054	ENST00000338616	ENSPTRP00000038368	
ENSG00000171105	ENST00000302850	ENSPTRP00000017670	
ENSG00000171133	ENST00000302681	ENSPTRP00000036300	
ENSG00000171180	ENST00000306687	ENSPTRP00000003748	
ENSG00000171189	ENST00000399907	ENSPTRP00000055732	
ENSG00000171459	ENST00000304720	ENSPTRP00000036457	
ENSG00000171481	ENST00000304820	
ENSG00000171484	ENST00000304833	ENSPTRP00000048983	
ENSG00000171496	ENST00000304865	ENSPTRP00000036452	
ENSG00000171501	ENST00000373688	ENSPTRP00000036451	
ENSG00000171505	ENST00000304880	ENSPTRP00000042993	
ENSG00000171509	ENST00000307765	ENSPTRP00000047055	
ENSG00000171517	ENST00000440886	ENSPTRP00000001564	
ENSG00000171522	ENST00000302472	ENSPTRP00000028838	
ENSG00000171561	ENST00000305159	ENSPTRP00000007008	
ENSG00000171596	ENST00000305141	ENSPTRP00000022274	
ENSG00000171631	ENST00000540342	ENSPTRP00000006953	
ENSG00000171657	ENST00000302548	ENSPTRP00000037438	
ENSG00000171659	ENST00000378142	ENSPTRP00000037437	
ENSG00000171860	ENST00000307637	ENSPTRP00000007901	
ENSG00000171873	ENST00000379453	ENSPTRP00000022658	
ENSG00000171936	ENST00000305892	ENSPTRP00000018147	
ENSG00000171942	ENST00000305899	ENSPTRP00000018146	
ENSG00000171944	ENST00000307388	ENSPTRP00000050819	
ENSG00000172116	ENST00000331469	ENSPTRP00000020857	
ENSG00000172146	ENST00000304094	ENSPTRP00000014611	
ENSG00000172148	ENST00000304105	ENSPTRP00000018096	
ENSG00000172150	ENST00000381951	
ENSG00000172154	ENST00000302124	ENSPTRP00000006279	
ENSG00000172188	ENST00000302231	
ENSG00000172199	ENST00000302270	ENSPTRP00000050806	
ENSG00000172208	ENST00000302329	ENSPTRP00000006220	
ENSG00000172209	ENST00000304402	ENSPTRP00000047702	
ENSG00000172215	ENST00000438735	ENSPTRP00000054532	
ENSG00000172243	ENST00000304084	ENSPTRP00000007983	
ENSG00000172289	ENST00000307552	ENSPTRP00000006373	
ENSG00000172320	ENST00000302030	ENSPTRP00000006366	
ENSG00000172322	ENST00000304361	ENSPTRP00000007970	
ENSG00000172324	ENST00000302040	ENSPTRP00000044184	
ENSG00000172362	ENST00000302572	
ENSG00000172365	ENST00000302581	ENSPTRP00000048083	
ENSG00000172377	ENST00000302610	ENSPTRP00000006342	
ENSG00000172381	ENST00000302622	ENSPTRP00000006341	
ENSG00000172457	ENST00000302957	ENSPTRP00000006300	
ENSG00000172459	ENST00000302969	ENSPTRP00000050801	
ENSG00000172464	ENST00000302981	ENSPTRP00000006298	
ENSG00000172487	ENST00000303039	ENSPTRP00000006288	
ENSG00000172489	ENST00000303059	ENSPTRP00000058581	
ENSG00000172519	ENST00000308940	
ENSG00000172640	ENST00000310248	
ENSG00000172742	ENST00000329328	ENSPTRP00000006370	
ENSG00000172769	ENST00000309403	ENSPTRP00000044808	
ENSG00000172772	ENST00000395079	
ENSG00000172774	ENST00000309433	ENSPTRP00000006347	
ENSG00000172935	ENST00000441623	ENSPTRP00000006869	
ENSG00000172938	ENST00000309106	ENSPTRP00000006866	
ENSG00000173080	ENST00000368318	ENSPTRP00000002435	
ENSG00000173198	ENST00000373304	ENSPTRP00000037934	
ENSG00000173250	ENST00000311104	ENSPTRP00000029698	
ENSG00000173285	ENST00000289451	ENSPTRP00000002537	
ENSG00000173302	ENST00000309926	ENSPTRP00000049179	
ENSG00000173391	ENST00000309539	ENSPTRP00000007986	
ENSG00000173402	ENST00000515359	ENSPTRP00000025763	
ENSG00000173482	ENST00000332175	ENSPTRP00000016771	
ENSG00000173535	ENST00000356864	ENSPTRP00000034376	
ENSG00000173567	ENST00000311519	ENSPTRP00000020163	
ENSG00000173578	ENST00000309285	ENSPTRP00000051432	
ENSG00000173612	ENST00000310357	ENSPTRP00000049683	
ENSG00000173662	ENST00000333172	ENSPTRP00000000174	
ENSG00000173679	ENST00000309623	ENSPTRP00000036455	
ENSG00000173698	ENST00000379869	ENSPTRP00000044225	
ENSG00000173762	ENST00000312648	ENSPTRP00000052644	
ENSG00000173890	ENST00000355897	ENSPTRP00000045985	
ENSG00000174123	ENST00000308973	ENSPTRP00000027515	
ENSG00000174125	ENST00000308979	ENSPTRP00000027516	
ENSG00000174130	ENST00000436693	ENSPTRP00000027517	
ENSG00000174339	ENST00000307832	ENSPTRP00000047780	
ENSG00000174343	ENST00000310169	ENSPTRP00000027539	
ENSG00000174417	ENST00000518632	ENSPTRP00000053080	
ENSG00000174600	ENST00000312143	
ENSG00000174667	ENST00000308682	ENSPTRP00000017757	
ENSG00000174804	ENST00000531380	ENSPTRP00000007133	
ENSG00000174837	ENST00000312053	ENSPTRP00000017660	
ENSG00000174914	ENST00000312153	ENSPTRP00000006299	
ENSG00000174937	ENST00000312240	
ENSG00000174942	ENST00000312253	ENSPTRP00000050805	
ENSG00000174944	ENST00000309170	ENSPTRP00000051000	
ENSG00000174946	ENST00000309180	ENSPTRP00000026749	
ENSG00000174948	ENST00000389740	ENSPTRP00000026769	
ENSG00000174957	ENST00000312298	ENSPTRP00000006283	
ENSG00000174970	ENST00000312345	ENSPTRP00000006274	
ENSG00000174982	ENST00000312422	ENSPTRP00000006263	
ENSG00000175143	ENST00000366474	ENSPTRP00000007177	
ENSG00000175344	ENST00000454250	ENSPTRP00000011728	
ENSG00000175393	ENST00000309838	ENSPTRP00000005808	
ENSG00000175398	ENST00000309675	
ENSG00000175485	ENST00000311352	ENSPTRP00000005749	
ENSG00000175514	ENST00000312457	ENSPTRP00000006815	
ENSG00000175591	ENST00000393597	ENSPTRP00000006950	
ENSG00000175619	ENST00000309562	ENSPTRP00000006219	
ENSG00000175697	ENST00000464295	ENSPTRP00000026321	
ENSG00000175898	ENST00000317726	
ENSG00000176136	ENST00000324750	
ENSG00000176198	ENST00000315409	ENSPTRP00000010331	
ENSG00000176200	ENST00000313253	ENSPTRP00000006369	
ENSG00000176219	ENST00000315519	ENSPTRP00000052823	
ENSG00000176230	ENST00000315543	ENSPTRP00000010328	
ENSG00000176231	ENST00000322107	ENSPTRP00000018153	
ENSG00000176239	ENST00000380219	ENSPTRP00000005714	
ENSG00000176246	ENST00000315683	ENSPTRP00000055002	
ENSG00000176253	ENST00000315693	ENSPTRP00000010327	
ENSG00000176269	ENST00000320901	ENSPTRP00000053899	
ENSG00000176281	ENST00000315915	
ENSG00000176294	ENST00000315947	ENSPTRP00000010323	
ENSG00000176299	ENST00000315957	
ENSG00000176495	ENST00000313940	ENSPTRP00000050771	
ENSG00000176540	ENST00000319813	ENSPTRP00000048094	
ENSG00000176547	ENST00000319856	
ENSG00000176555	ENST00000319988	ENSPTRP00000006221	
ENSG00000176567	ENST00000320048	
ENSG00000176695	ENST00000318050	
ENSG00000176742	ENST00000321255	ENSPTRP00000005698	
ENSG00000176787	ENST00000321522	ENSPTRP00000005695	
ENSG00000176798	ENST00000321543	ENSPTRP00000005694	
ENSG00000176879	ENST00000321961	ENSPTRP00000005691	
ENSG00000176884	ENST00000371553	ENSPTRP00000041565	
ENSG00000176893	ENST00000322013	
ENSG00000176895	ENST00000359350	ENSPTRP00000005690	
ENSG00000176900	ENST00000380378	ENSPTRP00000005689	
ENSG00000176904	ENST00000322059	
ENSG00000176922	ENST00000322101	
ENSG00000176925	ENST00000322110	ENSPTRP00000048287	
ENSG00000176937	ENST00000356069	ENSPTRP00000005686	
ENSG00000177151	ENST00000317450	
ENSG00000177174	ENST00000317861	ENSPTRP00000003751	
ENSG00000177186	ENST00000317965	ENSPTRP00000003750	
ENSG00000177201	ENST00000317996	ENSPTRP00000003749	
ENSG00000177212	ENST00000318021	ENSPTRP00000003735	
ENSG00000177275	ENST00000318244	
ENSG00000177283	ENST00000374694	ENSPTRP00000040179	
ENSG00000177462	ENST00000319968	ENSPTRP00000003735	
ENSG00000177464	ENST00000323040	ENSPTRP00000019157	
ENSG00000177476	ENST00000320002	ENSPTRP00000050956	
ENSG00000177489	ENST00000320065	ENSPTRP00000003733	
ENSG00000177535	ENST00000318749	ENSPTRP00000003729	
ENSG00000177575	ENST00000359156	ENSPTRP00000007879	
ENSG00000177663	ENST00000319363	ENSPTRP00000024164	
ENSG00000177675	ENST00000313599	ENSPTRP00000007878	
ENSG00000177693	ENST00000326183	
ENSG00000178015	ENST00000380007	ENSPTRP00000048345	
ENSG00000178084	ENST00000318351	ENSPTRP00000026973	
ENSG00000178201	ENST00000321039	ENSPTRP00000058588	
ENSG00000178358	ENST00000317834	ENSPTRP00000005787	
ENSG00000178394	ENST00000323865	ENSPTRP00000028964	
ENSG00000178562	ENST00000324106	ENSPTRP00000021943	
ENSG00000178568	ENST00000342788	ENSPTRP00000022026	
ENSG00000178586	ENST00000319423	ENSPTRP00000048572	
ENSG00000178623	ENST00000319838	ENSPTRP00000059702	
ENSG00000178726	ENST00000377103	ENSPTRP00000022833	
ENSG00000178789	ENST00000314401	ENSPTRP00000016328	
ENSG00000178852	ENST00000331493	ENSPTRP00000015863	
ENSG00000179002	ENST00000375371	ENSPTRP00000000453	
ENSG00000179055	ENST00000318763	ENSPTRP00000036250	
ENSG00000179097	ENST00000319595	ENSPTRP00000026109	
ENSG00000179468	ENST00000350513	
ENSG00000179546	ENST00000314113	ENSPTRP00000000568	
ENSG00000179603	ENST00000339582	ENSPTRP00000040784	
ENSG00000179615	ENST00000321688	ENSPTRP00000008601	
ENSG00000179626	ENST00000394256	ENSPTRP00000008600	
ENSG00000179639	ENST00000368115	ENSPTRP00000002567	
ENSG00000179695	ENST00000322678	
ENSG00000179817	ENST00000314254	ENSPTRP00000005950	
ENSG00000179826	ENST00000396275	ENSPTRP00000005949	
ENSG00000179915	ENST00000404971	ENSPTRP00000058005	
ENSG00000179919	ENST00000326258	ENSPTRP00000050311	
ENSG00000179921	ENST00000479077	
ENSG00000179934	ENST00000326306	ENSPTRP00000051464	
ENSG00000180016	ENST00000322608	ENSPTRP00000014614	
ENSG00000180090	ENST00000323404	ENSPTRP00000053190	
ENSG00000180245	ENST00000317735	ENSPTRP00000028110	
ENSG00000180264	ENST00000334810	ENSPTRP00000036493	
ENSG00000180269	ENST00000326571	ENSPTRP00000053728	
ENSG00000180340	ENST00000315323	ENSPTRP00000015783	
ENSG00000180433	ENST00000368144	ENSPTRP00000002546	
ENSG00000180475	ENST00000316770	ENSPTRP00000006345	
ENSG00000180616	ENST00000357585	ENSPTRP00000016295	
ENSG00000180658	ENST00000315453	
ENSG00000180708	ENST00000314902	ENSPTRP00000051697	
ENSG00000180720	ENST00000433765	
ENSG00000180739	ENST00000439028	
ENSG00000180758	ENST00000377411	ENSPTRP00000052884	
ENSG00000180772	ENST00000371906	ENSPTRP00000047298	
ENSG00000180785	ENST00000396952	ENSPTRP00000005681	
ENSG00000180871	ENST00000318507	ENSPTRP00000022068	
ENSG00000180914	ENST00000316793	ENSPTRP00000025138	
ENSG00000180919	ENST00000316529	ENSPTRP00000005747	
ENSG00000180929	ENST00000322241	
ENSG00000180934	ENST00000316650	ENSPTRP00000005746	
ENSG00000180974	ENST00000316987	ENSPTRP00000005740	
ENSG00000180988	ENST00000317037	ENSPTRP00000005737	
ENSG00000181001	ENST00000317078	ENSPTRP00000005736	
ENSG00000181009	ENST00000317093	ENSPTRP00000055389	
ENSG00000181023	ENST00000317121	ENSPTRP00000005733	
ENSG00000181072	ENST00000445907	ENSPTRP00000054285	
ENSG00000181074	ENST00000317254	ENSPTRP00000005734	
ENSG00000181104	ENST00000319211	ENSPTRP00000029119	
ENSG00000181273	ENST00000326855	ENSPTRP00000006305	
ENSG00000181371	ENST00000327216	ENSPTRP00000006291	
ENSG00000181408	ENST00000313135	ENSPTRP00000016670	
ENSG00000181499	ENST00000321252	
ENSG00000181518	ENST00000321355	ENSPTRP00000007550	
ENSG00000181609	ENST00000322641	ENSPTRP00000005721	
ENSG00000181616	ENST00000322653	ENSPTRP00000005723	
ENSG00000181619	ENST00000395116	
ENSG00000181631	ENST00000325602	ENSPTRP00000026751	
ENSG00000181656	ENST00000315033	ENSPTRP00000001732	
ENSG00000181689	ENST00000312711	ENSPTRP00000006287	
ENSG00000181693	ENST00000313022	ENSPTRP00000059500	
ENSG00000181698	ENST00000313033	ENSPTRP00000006285	
ENSG00000181718	ENST00000313264	ENSPTRP00000006284	
ENSG00000181733	ENST00000324060	ENSPTRP00000017747	
ENSG00000181752	ENST00000313447	ENSPTRP00000059382	
ENSG00000181761	ENST00000313472	ENSPTRP00000006281	
ENSG00000181767	ENST00000313503	ENSPTRP00000006280	
ENSG00000181773	ENST00000374024	ENSPTRP00000000712	
ENSG00000181785	ENST00000313555	ENSPTRP00000006277	
ENSG00000181803	ENST00000320704	ENSPTRP00000010351	
ENSG00000181903	ENST00000314259	ENSPTRP00000006264	
ENSG00000181927	ENST00000314612	ENSPTRP00000006265	
ENSG00000181935	ENST00000314634	ENSPTRP00000006261	
ENSG00000181939	ENST00000314644	ENSPTRP00000006260	
ENSG00000181958	ENST00000314706	ENSPTRP00000006258	
ENSG00000181961	ENST00000314721	
ENSG00000181963	ENST00000325719	ENSPTRP00000005675	
ENSG00000182070	ENST00000380367	ENSPTRP00000005697	
ENSG00000182083	ENST00000402971	ENSPTRP00000048572	
ENSG00000182162	ENST00000381297	ENSPTRP00000047512	
ENSG00000182168	ENST00000453304	ENSPTRP00000027990	
ENSG00000182170	ENST00000332314	ENSPTRP00000048296	
ENSG00000182220	ENST00000378438	ENSPTRP00000037408	
ENSG00000182256	ENST00000333743	ENSPTRP00000011676	
ENSG00000182334	ENST00000328375	ENSPTRP00000005806	
ENSG00000182578	ENST00000286301	ENSPTRP00000029749	
ENSG00000182580	ENST00000330394	ENSPTRP00000027008	
ENSG00000182613	ENST00000328275	ENSPTRP00000030146	
ENSG00000182631	ENST00000330120	ENSPTRP00000028769	
ENSG00000182634	ENST00000330487	ENSPTRP00000007554	
ENSG00000182652	ENST00000331723	
ENSG00000182687	ENST00000329003	ENSPTRP00000016435	
ENSG00000182749	ENST00000374296	ENSPTRP00000000651	
ENSG00000182771	ENST00000327946	ENSPTRP00000004712	
ENSG00000182782	ENST00000328880	ENSPTRP00000054173	
ENSG00000182783	ENST00000328570	ENSPTRP00000003752	
ENSG00000182854	ENST00000332238	ENSPTRP00000012846	
ENSG00000182885	ENST00000333493	ENSPTRP00000039830	
ENSG00000182974	ENST00000332663	
ENSG00000183024	ENST00000328890	ENSPTRP00000014608	
ENSG00000183130	ENST00000330803	ENSPTRP00000003754	
ENSG00000183134	ENST00000332539	ENSPTRP00000006404	
ENSG00000183150	ENST00000540510	ENSPTRP00000050427	
ENSG00000183251	ENST00000380224	ENSPTRP00000054845	
ENSG00000183269	ENST00000537935	ENSPTRP00000005739	
ENSG00000183303	ENST00000329434	ENSPTRP00000005805	
ENSG00000183310	ENST00000328782	
ENSG00000183313	ENST00000332249	ENSPTRP00000005744	
ENSG00000183317	ENST00000373048	ENSPTRP00000000976	
ENSG00000183389	ENST00000330728	ENSPTRP00000005745	
ENSG00000183454	ENST00000396573	ENSPTRP00000013242	
ENSG00000183473	ENST00000328544	
ENSG00000183484	ENST00000329797	ENSPTRP00000045015	
ENSG00000183625	ENST00000545097	ENSPTRP00000041484	
