ENSG00000162727	ENST00000366476
ENSG00000244165	ENST00000321826
ENSG00000144820	ENST00000273352
ENSG00000232397	ENST00000457403
ENSG00000230505	ENST00000455234
ENSG00000224234	ENST00000437403
ENSG00000179817	ENST00000314254
ENSG00000179826	ENST00000396275
ENSG00000183695	ENST00000329773
ENSG00000170255	ENST00000302797
ENSG00000186867	ENST00000394427
ENSG00000186867	ENST00000334383
ENSG00000165370	ENST00000298110
ENSG00000171657	ENST00000302548
ENSG00000165621	ENST00000298440
ENSG00000155269	ENST00000382487
ENSG00000020181	ENST00000412232
ENSG00000184985	ENST00000507866
ENSG00000172362	ENST00000302572
ENSG00000172365	ENST00000302581
ENSG00000171180	ENST00000306687
ENSG00000198601	ENST00000359682
ENSG00000182613	ENST00000328275
ENSG00000243896	ENST00000493325
ENSG00000221938	ENST00000408899
ENSG00000221836	ENST00000408906
ENSG00000241128	ENST00000366485
ENSG00000221954	ENST00000335238
ENSG00000186092	ENST00000335137
ENSG00000188000	ENST00000344248
ENSG00000255223	ENST00000528616
ENSG00000198657	ENST00000356130
ENSG00000204293	ENST00000375013
ENSG00000205330	ENST00000379668
ENSG00000255307	ENST00000530810
ENSG00000205409	ENST00000379946
ENSG00000127533	ENST00000248076
ENSG00000146383	ENST00000275198
ENSG00000146399	ENST00000275216
ENSG00000213694	ENST00000358157
ENSG00000213694	ENST00000375846
ENSG00000164850	ENST00000401670
ENSG00000164850	ENST00000297469
ENSG00000164850	ENST00000397088
ENSG00000164850	ENST00000397092
ENSG00000147145	ENST00000373301
ENSG00000204882	ENST00000377741
ENSG00000188394	ENST00000373642
ENSG00000188394	ENST00000412269
ENSG00000172209	ENST00000304402
ENSG00000128285	ENST00000249016
ENSG00000147955	ENST00000277010
ENSG00000174600	ENST00000312143
ENSG00000174600	ENST00000412676
ENSG00000128602	ENST00000249373
ENSG00000181631	ENST00000325602
ENSG00000132376	ENST00000350761
ENSG00000162604	ENST00000371180
ENSG00000162604	ENST00000294613
ENSG00000198829	ENST00000362032
ENSG00000205213	ENST00000379214
ENSG00000196917	ENST00000436083
ENSG00000196917	ENST00000356987
ENSG00000196917	ENST00000432564
ENSG00000147138	ENST00000276077
ENSG00000131355	ENST00000253673
ENSG00000138271	ENST00000260843
ENSG00000112218	ENST00000369268
ENSG00000112218	ENST00000417980
ENSG00000112218	ENST00000229955
ENSG00000180929	ENST00000322241
ENSG00000156097	ENST00000404129
ENSG00000156097	ENST00000286603
ENSG00000168131	ENST00000303324
ENSG00000224395	ENST00000435958
ENSG00000224395	ENST00000458051
ENSG00000224395	ENST00000415581
ENSG00000224395	ENST00000438840
ENSG00000204688	ENST00000377136
ENSG00000204688	ENST00000377133
ENSG00000204688	ENST00000377132
ENSG00000204688	ENST00000396792
ENSG00000204688	ENST00000442615
ENSG00000229125	ENST00000453467
ENSG00000229125	ENST00000454071
ENSG00000229125	ENST00000440557
ENSG00000229125	ENST00000416582
ENSG00000229408	ENST00000439879
ENSG00000229408	ENST00000449826
ENSG00000229408	ENST00000446161
ENSG00000229408	ENST00000418376
ENSG00000206516	ENST00000400714
ENSG00000206516	ENST00000400713
ENSG00000206516	ENST00000383644
ENSG00000206516	ENST00000400712
ENSG00000235132	ENST00000456657
ENSG00000235132	ENST00000436167
ENSG00000235132	ENST00000440672
ENSG00000235132	ENST00000444920
ENSG00000206471	ENST00000400694
ENSG00000206471	ENST00000400693
ENSG00000206471	ENST00000383550
ENSG00000206471	ENST00000400689
ENSG00000232984	ENST00000443407
ENSG00000232984	ENST00000412956
ENSG00000232984	ENST00000421808
ENSG00000232984	ENST00000431658
ENSG00000204702	ENST00000377171
ENSG00000237258	ENST00000421634
ENSG00000237258	ENST00000428144
ENSG00000204694	ENST00000377148
ENSG00000204694	ENST00000377149
ENSG00000204694	ENST00000377147
ENSG00000232289	ENST00000440485
ENSG00000232289	ENST00000435232
ENSG00000206517	ENST00000383645
ENSG00000206517	ENST00000400715
ENSG00000230780	ENST00000427264
ENSG00000230780	ENST00000444884
ENSG00000206472	ENST00000383551
ENSG00000206472	ENST00000400696
ENSG00000234347	ENST00000418485
ENSG00000234347	ENST00000419773
ENSG00000197263	ENST00000357438
ENSG00000181656	ENST00000315033
ENSG00000178201	ENST00000321039
ENSG00000132911	ENST00000255262
ENSG00000148734	ENST00000449957
ENSG00000148734	ENST00000277942
ENSG00000118402	ENST00000369816
ENSG00000184574	ENST00000329858
ENSG00000184574	ENST00000431922
ENSG00000054277	ENST00000366554
ENSG00000170803	ENST00000307401
ENSG00000166363	ENST00000299454
ENSG00000166363	ENST00000379831
ENSG00000170790	ENST00000307322
ENSG00000170782	ENST00000379829
ENSG00000166368	ENST00000299459
ENSG00000180739	ENST00000333430
ENSG00000169313	ENST00000302632
ENSG00000167332	ENST00000396950
ENSG00000171944	ENST00000307388
ENSG00000176742	ENST00000321255
ENSG00000242180	ENST00000300773
ENSG00000176239	ENST00000380219
ENSG00000184698	ENST00000328611
ENSG00000184321	ENST00000332043
ENSG00000167359	ENST00000380211
ENSG00000187918	ENST00000341449
ENSG00000181609	ENST00000322641
ENSG00000134489	ENST00000256906
ENSG00000177283	ENST00000374694
ENSG00000150471	ENST00000295349
ENSG00000171596	ENST00000305141
ENSG00000064547	ENST00000407877
ENSG00000162618	ENST00000370742
ENSG00000133067	ENST00000367278
ENSG00000171509	ENST00000307765
ENSG00000178623	ENST00000319838
ENSG00000178623	ENST00000403859
ENSG00000178623	ENST00000407714
ENSG00000178623	ENST00000438013
ENSG00000178623	ENST00000430267
ENSG00000105954	ENST00000222674
ENSG00000143126	ENST00000271332
ENSG00000129048	ENST00000249887
ENSG00000136305	ENST00000336557
ENSG00000104290	ENST00000240093
ENSG00000170412	ENST00000392627
ENSG00000170412	ENST00000392629
ENSG00000170412	ENST00000342648
ENSG00000122718	ENST00000341959
ENSG00000139572	ENST00000267015
ENSG00000184194	ENST00000332582
ENSG00000184194	ENST00000375466
ENSG00000170837	ENST00000304411
ENSG00000152207	ENST00000282018
ENSG00000182631	ENST00000330120
ENSG00000123901	ENST00000243673
ENSG00000075275	ENST00000262738
ENSG00000008300	ENST00000164024
ENSG00000128519	ENST00000249284
ENSG00000261984	ENST00000575008
ENSG00000262103	ENST00000574901
ENSG00000212127	ENST00000537503
ENSG00000212128	ENST00000390677
ENSG00000121318	ENST00000240619
ENSG00000121381	ENST00000240691
ENSG00000121314	ENST00000240615
ENSG00000121377	ENST00000240687
ENSG00000127366	ENST00000247883
ENSG00000127364	ENST00000247881
ENSG00000127362	ENST00000247879
ENSG00000169777	ENST00000382492
ENSG00000111291	ENST00000228887
ENSG00000167191	ENST00000300571
ENSG00000205329	ENST00000379667
ENSG00000179695	ENST00000322678
ENSG00000196578	ENST00000358642
ENSG00000060491	ENST00000290291
ENSG00000107593	ENST00000318222
ENSG00000146378	ENST00000367931
ENSG00000172146	ENST00000304094
ENSG00000134830	ENST00000257267
ENSG00000165804	ENST00000360947
ENSG00000165804	ENST00000451119
ENSG00000165804	ENST00000421093
ENSG00000143324	ENST00000367590
ENSG00000204681	ENST00000377034
ENSG00000232569	ENST00000439457
ENSG00000206511	ENST00000383638
ENSG00000232632	ENST00000423604
ENSG00000206466	ENST00000383542
ENSG00000237112	ENST00000425097
ENSG00000171517	ENST00000440886
ENSG00000171517	ENST00000370611
ENSG00000204695	ENST00000377160
ENSG00000225291	ENST00000434778
ENSG00000112459	ENST00000230221
ENSG00000243441	ENST00000444009
ENSG00000243441	ENST00000458372
ENSG00000243729	ENST00000377154
ENSG00000243729	ENST00000377151
ENSG00000233046	ENST00000441440
ENSG00000233046	ENST00000446761
ENSG00000224487	ENST00000430148
ENSG00000112462	ENST00000377143
ENSG00000204692	ENST00000383556
ENSG00000122375	ENST00000241891
ENSG00000127507	ENST00000315576
ENSG00000173890	ENST00000355897
ENSG00000182070	ENST00000380367
ENSG00000182070	ENST00000328942
ENSG00000181408	ENST00000313135
ENSG00000174804	ENST00000531380
ENSG00000111432	ENST00000229030
ENSG00000183484	ENST00000329797
ENSG00000183484	ENST00000392585
ENSG00000157240	ENST00000287934
ENSG00000171659	ENST00000378142
ENSG00000171659	ENST00000378138
ENSG00000156395	ENST00000369701
ENSG00000173198	ENST00000373304
ENSG00000010322	ENST00000479054
ENSG00000010322	ENST00000345716
ENSG00000203737	ENST00000367685
ENSG00000135898	ENST00000444078
ENSG00000135898	ENST00000392039
ENSG00000135898	ENST00000392040
ENSG00000228652	ENST00000439723
ENSG00000204704	ENST00000377175
ENSG00000226463	ENST00000421027
ENSG00000227639	ENST00000411447
ENSG00000206525	ENST00000383654
ENSG00000234101	ENST00000421766
ENSG00000228977	ENST00000420540
ENSG00000229328	ENST00000446776
ENSG00000186723	ENST00000334920
ENSG00000172150	ENST00000381951
ENSG00000101180	ENST00000340177
ENSG00000101180	ENST00000317393
ENSG00000183251	ENST00000380224
ENSG00000184881	ENST00000328813
ENSG00000056291	ENST00000308744
ENSG00000135973	ENST00000258456
ENSG00000183134	ENST00000332539
ENSG00000205336	ENST00000456916
ENSG00000205336	ENST00000379696
