ENSPTRG00000000009|ENSPTRT00000000016|ENSPTRP00000000012
ENSMMUG00000031868|ENSMMUT00000046445|ENSMMUP00000039483
ENSMMUG00000004414|ENSMMUT00000046472|ENSMMUP00000039511
ENSMMUG00000009754|ENSMMUT00000013622|ENSMMUP00000039601
ENSMMUG00000031923|ENSMMUT00000046588|ENSMMUP00000039623
ENSMMUG00000012574|ENSMMUT00000046629|ENSMMUP00000039666
ENSMMUG00000007065|ENSMMUT00000046638|ENSMMUP00000039675
ENSMMUG00000009112|ENSMMUT00000046758|ENSMMUP00000039787
ENSMMUG00000000539|ENSMMUT00000046826|ENSMMUP00000039856
ENSMMUG00000023345|ENSMMUT00000046840|ENSMMUP00000039869
ENSMMUG00000016367|ENSMMUT00000046924|ENSMMUP00000039956
ENSMMUG00000003265|ENSMMUT00000046978|ENSMMUP00000040008
ENSMMUG00000032102|ENSMMUT00000047114|ENSMMUP00000040139
ENSMMUG00000032125|ENSMMUT00000047165|ENSMMUP00000040185
ENSMMUG00000023317|ENSMMUT00000047170|ENSMMUP00000040191
ENSMMUG00000001661|ENSMMUT00000047223|ENSMMUP00000040250
ENSMMUG00000032156|ENSMMUT00000047254|ENSMMUP00000040281
ENSMMUG00000022109|ENSMMUT00000047269|ENSMMUP00000040296
ENSMMUG00000032222|ENSMMUT00000047498|ENSMMUP00000040533
ENSMMUG00000013896|ENSMMUT00000019508|ENSMMUP00000040625
ENSMMUG00000019086|ENSMMUT00000047646|ENSMMUP00000040669
ENSMMUG00000032291|ENSMMUT00000047664|ENSMMUP00000040687
ENSMMUG00000032300|ENSMMUT00000047692|ENSMMUP00000040717
ENSMMUG00000014781|ENSMMUT00000020734|ENSMMUP00000040736
ENSMMUG00000032424|ENSMMUT00000047946|ENSMMUP00000040983
ENSMMUG00000032464|ENSMMUT00000048051|ENSMMUP00000041091
ENSMMUG00000022584|ENSMMUT00000031775|ENSMMUP00000041115
ENSMMUG00000020515|ENSMMUT00000048148|ENSMMUP00000041187
ENSMMUG00000032518|ENSMMUT00000048158|ENSMMUP00000041196
ENSMMUG00000006192|ENSMMUT00000048211|ENSMMUP00000041250
ENSMMUG00000016681|ENSMMUT00000023440|ENSMMUP00000041340
ENSOGAG00000000076|ENSOGAT00000000076|ENSOGAP00000000067
ENSOGAG00000000105|ENSOGAT00000000105|ENSOGAP00000000093
ENSOGAG00000000121|ENSOGAT00000000121|ENSOGAP00000000106
ENSOGAG00000000125|ENSOGAT00000000125|ENSOGAP00000000109
ENSOGAG00000000133|ENSOGAT00000000133|ENSOGAP00000000117
ENSOGAG00000000184|ENSOGAT00000000185|ENSOGAP00000000164
ENSOGAG00000000190|ENSOGAT00000000190|ENSOGAP00000000167
ENSOGAG00000000205|ENSOGAT00000000206|ENSOGAP00000000182
ENSOGAG00000000255|ENSOGAT00000000255|ENSOGAP00000000227
ENSOGAG00000000260|ENSOGAT00000000261|ENSOGAP00000000230
ENSOGAG00000000261|ENSOGAT00000000262|ENSOGAP00000000231
ENSOGAG00000000271|ENSOGAT00000000273|ENSOGAP00000000241
ENSOGAG00000000279|ENSOGAT00000000280|ENSOGAP00000000247
ENSOGAG00000000282|ENSOGAT00000000283|ENSOGAP00000000250
ENSOGAG00000000292|ENSOGAT00000000292|ENSOGAP00000000259
ENSOGAG00000000321|ENSOGAT00000000322|ENSOGAP00000000287
ENSOGAG00000000335|ENSOGAT00000000335|ENSOGAP00000000298
ENSOGAG00000000341|ENSOGAT00000000341|ENSOGAP00000000303
ENSOGAG00000000354|ENSOGAT00000000353|ENSOGAP00000000315
ENSOGAG00000000350|ENSOGAT00000000354|ENSOGAP00000000316
ENSOGAG00000000389|ENSOGAT00000000390|ENSOGAP00000000347
ENSOGAG00000000408|ENSOGAT00000000409|ENSOGAP00000000364
ENSOGAG00000000471|ENSOGAT00000000472|ENSOGAP00000000423
ENSOGAG00000000475|ENSOGAT00000000475|ENSOGAP00000000425
ENSOGAG00000000535|ENSOGAT00000000536|ENSOGAP00000000479
ENSOGAG00000000567|ENSOGAT00000000569|ENSOGAP00000000509
ENSOGAG00000000582|ENSOGAT00000000583|ENSOGAP00000000521
ENSOGAG00000000584|ENSOGAT00000000585|ENSOGAP00000000523
ENSOGAG00000000593|ENSOGAT00000000595|ENSOGAP00000000533
ENSOGAG00000000633|ENSOGAT00000000633|ENSOGAP00000000569
ENSOGAG00000000641|ENSOGAT00000000642|ENSOGAP00000000577
ENSOGAG00000000698|ENSOGAT00000000699|ENSOGAP00000000624
ENSOGAG00000000699|ENSOGAT00000000700|ENSOGAP00000000625
ENSOGAG00000000707|ENSOGAT00000000706|ENSOGAP00000000631
ENSOGAG00000000742|ENSOGAT00000000742|ENSOGAP00000000663
ENSOGAG00000000748|ENSOGAT00000000749|ENSOGAP00000000668
ENSOGAG00000000779|ENSOGAT00000000783|ENSOGAP00000000696
ENSOGAG00000000797|ENSOGAT00000000799|ENSOGAP00000000712
ENSOGAG00000000801|ENSOGAT00000000801|ENSOGAP00000000714
ENSOGAG00000000809|ENSOGAT00000000810|ENSOGAP00000000723
ENSOGAG00000000851|ENSOGAT00000000852|ENSOGAP00000000758
ENSOGAG00000000854|ENSOGAT00000000854|ENSOGAP00000000760
ENSOGAG00000000855|ENSOGAT00000000856|ENSOGAP00000000762
ENSOGAG00000000890|ENSOGAT00000000892|ENSOGAP00000000796
ENSOGAG00000000897|ENSOGAT00000000898|ENSOGAP00000000801
ENSOGAG00000000909|ENSOGAT00000000910|ENSOGAP00000000813
ENSOGAG00000000918|ENSOGAT00000000917|ENSOGAP00000000819
ENSOGAG00000000983|ENSOGAT00000000984|ENSOGAP00000000878
ENSOGAG00000001115|ENSOGAT00000001115|ENSOGAP00000000991
ENSOGAG00000001139|ENSOGAT00000001140|ENSOGAP00000001016
ENSOGAG00000001151|ENSOGAT00000001151|ENSOGAP00000001027
ENSOGAG00000001167|ENSOGAT00000001168|ENSOGAP00000001044
ENSOGAG00000001244|ENSOGAT00000001245|ENSOGAP00000001113
ENSOGAG00000001285|ENSOGAT00000001286|ENSOGAP00000001147
ENSOGAG00000001287|ENSOGAT00000001288|ENSOGAP00000001149
ENSOGAG00000001333|ENSOGAT00000001333|ENSOGAP00000001187
ENSOGAG00000001334|ENSOGAT00000001334|ENSOGAP00000001188
ENSOGAG00000001398|ENSOGAT00000001400|ENSOGAP00000001245
ENSOGAG00000001400|ENSOGAT00000001401|ENSOGAP00000001246
ENSOGAG00000001407|ENSOGAT00000001408|ENSOGAP00000001252
ENSOGAG00000001453|ENSOGAT00000001454|ENSOGAP00000001294
ENSOGAG00000001467|ENSOGAT00000001468|ENSOGAP00000001307
ENSOGAG00000001474|ENSOGAT00000001475|ENSOGAP00000001314
ENSOGAG00000001507|ENSOGAT00000001509|ENSOGAP00000001341
ENSOGAG00000001518|ENSOGAT00000001518|ENSOGAP00000001348
ENSOGAG00000001527|ENSOGAT00000001527|ENSOGAP00000001357
ENSOGAG00000001530|ENSOGAT00000001533|ENSOGAP00000001363
ENSOGAG00000001541|ENSOGAT00000001541|ENSOGAP00000001370
ENSOGAG00000001649|ENSOGAT00000001649|ENSOGAP00000001470
ENSOGAG00000001650|ENSOGAT00000001651|ENSOGAP00000001472
ENSOGAG00000001707|ENSOGAT00000001709|ENSOGAP00000001524
ENSOGAG00000001724|ENSOGAT00000001725|ENSOGAP00000001537
ENSOGAG00000001729|ENSOGAT00000001730|ENSOGAP00000001542
ENSOGAG00000001766|ENSOGAT00000001766|ENSOGAP00000001573
ENSOGAG00000001820|ENSOGAT00000001820|ENSOGAP00000001620
ENSOGAG00000001829|ENSOGAT00000001829|ENSOGAP00000001628
ENSOGAG00000001856|ENSOGAT00000001858|ENSOGAP00000001654
ENSOGAG00000001863|ENSOGAT00000001864|ENSOGAP00000001658
ENSOGAG00000001874|ENSOGAT00000001873|ENSOGAP00000001666
ENSOGAG00000001875|ENSOGAT00000001877|ENSOGAP00000001670
ENSOGAG00000001899|ENSOGAT00000001902|ENSOGAP00000001693
ENSOGAG00000001910|ENSOGAT00000001912|ENSOGAP00000001703
ENSOGAG00000001945|ENSOGAT00000001946|ENSOGAP00000001736
ENSOGAG00000001946|ENSOGAT00000001949|ENSOGAP00000001739
ENSOGAG00000001951|ENSOGAT00000001952|ENSOGAP00000001742
ENSOGAG00000001958|ENSOGAT00000001959|ENSOGAP00000001748
ENSOGAG00000002003|ENSOGAT00000002004|ENSOGAP00000001788
ENSOGAG00000002004|ENSOGAT00000002005|ENSOGAP00000001789
ENSOGAG00000002019|ENSOGAT00000002022|ENSOGAP00000001804
ENSOGAG00000002051|ENSOGAT00000002053|ENSOGAP00000001831
ENSOGAG00000002053|ENSOGAT00000002057|ENSOGAP00000001835
ENSOGAG00000002071|ENSOGAT00000002075|ENSOGAP00000001853
ENSOGAG00000002120|ENSOGAT00000002122|ENSOGAP00000001895
ENSOGAG00000002138|ENSOGAT00000002141|ENSOGAP00000001913
ENSOGAG00000002168|ENSOGAT00000002171|ENSOGAP00000001940
ENSOGAG00000002184|ENSOGAT00000002186|ENSOGAP00000001954
ENSOGAG00000002195|ENSOGAT00000002197|ENSOGAP00000001963
ENSOGAG00000002292|ENSOGAT00000002293|ENSOGAP00000002044
ENSOGAG00000002293|ENSOGAT00000002295|ENSOGAP00000002045
ENSOGAG00000002294|ENSOGAT00000002296|ENSOGAP00000002046
ENSOGAG00000002327|ENSOGAT00000002331|ENSOGAP00000002080
ENSOGAG00000002331|ENSOGAT00000002340|ENSOGAP00000002088
ENSOGAG00000002341|ENSOGAT00000002349|ENSOGAP00000002096
ENSOGAG00000002354|ENSOGAT00000002357|ENSOGAP00000002103
ENSOGAG00000002370|ENSOGAT00000002373|ENSOGAP00000002118
ENSOGAG00000002400|ENSOGAT00000002402|ENSOGAP00000002144
ENSOGAG00000002458|ENSOGAT00000002461|ENSOGAP00000002198
ENSOGAG00000002505|ENSOGAT00000002508|ENSOGAP00000002239
ENSOGAG00000002520|ENSOGAT00000002523|ENSOGAP00000002254
ENSOGAG00000002544|ENSOGAT00000002549|ENSOGAP00000002278
ENSOGAG00000002558|ENSOGAT00000002560|ENSOGAP00000002286
ENSOGAG00000002640|ENSOGAT00000002642|ENSOGAP00000002363
ENSOGAG00000002652|ENSOGAT00000002657|ENSOGAP00000002377
ENSOGAG00000002660|ENSOGAT00000002665|ENSOGAP00000002385
ENSOGAG00000002683|ENSOGAT00000002687|ENSOGAP00000002404
ENSOGAG00000002693|ENSOGAT00000002697|ENSOGAP00000002410
ENSOGAG00000002700|ENSOGAT00000002702|ENSOGAP00000002415
ENSOGAG00000002710|ENSOGAT00000002712|ENSOGAP00000002425
ENSOGAG00000002773|ENSOGAT00000002775|ENSOGAP00000002485
ENSOGAG00000002799|ENSOGAT00000002801|ENSOGAP00000002508
ENSOGAG00000002824|ENSOGAT00000002827|ENSOGAP00000002529
ENSOGAG00000002828|ENSOGAT00000002831|ENSOGAP00000002533
ENSOGAG00000002838|ENSOGAT00000002841|ENSOGAP00000002543
ENSOGAG00000002893|ENSOGAT00000002899|ENSOGAP00000002595
ENSOGAG00000002902|ENSOGAT00000002905|ENSOGAP00000002600
ENSOGAG00000002940|ENSOGAT00000002942|ENSOGAP00000002631
ENSOGAG00000002952|ENSOGAT00000002952|ENSOGAP00000002640
ENSOGAG00000002953|ENSOGAT00000002954|ENSOGAP00000002642
ENSOGAG00000002955|ENSOGAT00000002958|ENSOGAP00000002645
ENSOGAG00000002956|ENSOGAT00000002959|ENSOGAP00000002646
ENSOGAG00000002957|ENSOGAT00000002960|ENSOGAP00000002647
ENSOGAG00000002968|ENSOGAT00000002972|ENSOGAP00000002659
ENSOGAG00000003054|ENSOGAT00000003057|ENSOGAP00000002737
ENSOGAG00000003060|ENSOGAT00000003064|ENSOGAP00000002742
ENSOGAG00000003063|ENSOGAT00000003066|ENSOGAP00000002744
ENSOGAG00000003065|ENSOGAT00000003069|ENSOGAP00000002747
ENSOGAG00000003103|ENSOGAT00000003108|ENSOGAP00000002780
ENSOGAG00000003135|ENSOGAT00000003135|ENSOGAP00000002803
ENSOGAG00000003133|ENSOGAT00000003137|ENSOGAP00000002805
ENSOGAG00000003158|ENSOGAT00000003158|ENSOGAP00000002825
ENSOGAG00000003168|ENSOGAT00000003171|ENSOGAP00000002835
ENSOGAG00000003188|ENSOGAT00000003190|ENSOGAP00000002850
ENSOGAG00000003239|ENSOGAT00000003244|ENSOGAP00000002895
ENSOGAG00000003279|ENSOGAT00000003281|ENSOGAP00000002926
ENSOGAG00000003282|ENSOGAT00000003284|ENSOGAP00000002929
ENSOGAG00000003284|ENSOGAT00000003285|ENSOGAP00000002930
ENSOGAG00000003308|ENSOGAT00000003312|ENSOGAP00000002954
ENSOGAG00000003355|ENSOGAT00000003358|ENSOGAP00000002993
ENSOGAG00000003377|ENSOGAT00000003379|ENSOGAP00000003012
ENSOGAG00000003381|ENSOGAT00000003384|ENSOGAP00000003017
ENSOGAG00000003449|ENSOGAT00000003450|ENSOGAP00000003073
ENSOGAG00000003469|ENSOGAT00000003477|ENSOGAP00000003094
ENSOGAG00000003489|ENSOGAT00000003492|ENSOGAP00000003108
ENSOGAG00000003517|ENSOGAT00000003520|ENSOGAP00000003134
ENSOGAG00000003660|ENSOGAT00000003674|ENSOGAP00000003262
ENSOGAG00000003704|ENSOGAT00000003710|ENSOGAP00000003293
ENSOGAG00000003719|ENSOGAT00000003721|ENSOGAP00000003303
ENSOGAG00000003746|ENSOGAT00000003749|ENSOGAP00000003329
ENSOGAG00000003751|ENSOGAT00000003754|ENSOGAP00000003334
ENSOGAG00000003814|ENSOGAT00000003817|ENSOGAP00000003394
ENSOGAG00000003824|ENSOGAT00000003826|ENSOGAP00000003401
ENSOGAG00000003839|ENSOGAT00000003842|ENSOGAP00000003416
ENSOGAG00000003884|ENSOGAT00000003887|ENSOGAP00000003454
ENSOGAG00000003961|ENSOGAT00000003964|ENSOGAP00000003527
ENSOGAG00000003984|ENSOGAT00000003987|ENSOGAP00000003549
ENSOGAG00000004003|ENSOGAT00000004005|ENSOGAP00000003565
ENSOGAG00000004021|ENSOGAT00000004023|ENSOGAP00000003581
ENSOGAG00000004091|ENSOGAT00000004093|ENSOGAP00000003646
ENSOGAG00000004094|ENSOGAT00000004095|ENSOGAP00000003648
ENSOGAG00000004120|ENSOGAT00000004121|ENSOGAP00000003674
ENSOGAG00000004163|ENSOGAT00000004167|ENSOGAP00000003716
ENSOGAG00000004211|ENSOGAT00000004213|ENSOGAP00000003760
ENSOGAG00000004235|ENSOGAT00000004237|ENSOGAP00000003782
ENSOGAG00000004248|ENSOGAT00000004251|ENSOGAP00000003794
ENSOGAG00000004281|ENSOGAT00000004284|ENSOGAP00000003822
ENSOGAG00000004297|ENSOGAT00000004300|ENSOGAP00000003835
ENSOGAG00000004318|ENSOGAT00000004320|ENSOGAP00000003854
ENSOGAG00000004319|ENSOGAT00000004322|ENSOGAP00000003856
ENSOGAG00000004329|ENSOGAT00000004332|ENSOGAP00000003866
ENSOGAG00000004355|ENSOGAT00000004358|ENSOGAP00000003888
ENSOGAG00000004376|ENSOGAT00000004379|ENSOGAP00000003908
ENSOGAG00000004394|ENSOGAT00000004397|ENSOGAP00000003924
ENSOGAG00000004407|ENSOGAT00000004415|ENSOGAP00000003940
ENSOGAG00000004417|ENSOGAT00000004420|ENSOGAP00000003944
ENSOGAG00000004436|ENSOGAT00000004441|ENSOGAP00000003964
ENSOGAG00000004462|ENSOGAT00000004465|ENSOGAP00000003983
ENSOGAG00000004539|ENSOGAT00000004541|ENSOGAP00000004051
ENSOGAG00000004584|ENSOGAT00000004586|ENSOGAP00000004090
ENSOGAG00000004598|ENSOGAT00000004601|ENSOGAP00000004104
ENSOGAG00000004602|ENSOGAT00000004605|ENSOGAP00000004108
ENSOGAG00000004628|ENSOGAT00000004631|ENSOGAP00000004133
ENSOGAG00000004696|ENSOGAT00000004699|ENSOGAP00000004198
ENSOGAG00000004723|ENSOGAT00000004730|ENSOGAP00000004227
ENSOGAG00000004733|ENSOGAT00000004737|ENSOGAP00000004233
ENSOGAG00000004798|ENSOGAT00000004801|ENSOGAP00000004291
ENSOGAG00000004814|ENSOGAT00000004817|ENSOGAP00000004303
ENSOGAG00000004817|ENSOGAT00000004818|ENSOGAP00000004304
ENSOGAG00000004822|ENSOGAT00000004823|ENSOGAP00000004308
ENSOGAG00000004906|ENSOGAT00000004907|ENSOGAP00000004378
ENSOGAG00000004921|ENSOGAT00000004922|ENSOGAP00000004391
ENSOGAG00000004937|ENSOGAT00000004942|ENSOGAP00000004410
ENSOGAG00000004975|ENSOGAT00000004977|ENSOGAP00000004442
ENSOGAG00000005027|ENSOGAT00000005033|ENSOGAP00000004495
ENSOGAG00000005032|ENSOGAT00000005036|ENSOGAP00000004498
ENSOGAG00000005041|ENSOGAT00000005044|ENSOGAP00000004506
ENSOGAG00000005071|ENSOGAT00000005074|ENSOGAP00000004534
ENSOGAG00000005079|ENSOGAT00000005086|ENSOGAP00000004544
ENSOGAG00000005115|ENSOGAT00000005116|ENSOGAP00000004574
ENSOGAG00000005138|ENSOGAT00000005144|ENSOGAP00000004600
ENSOGAG00000005148|ENSOGAT00000005149|ENSOGAP00000004605
ENSOGAG00000005195|ENSOGAT00000005197|ENSOGAP00000004644
ENSOGAG00000005259|ENSOGAT00000005263|ENSOGAP00000004705
ENSOGAG00000005270|ENSOGAT00000005276|ENSOGAP00000004716
ENSOGAG00000005279|ENSOGAT00000005287|ENSOGAP00000004726
ENSOGAG00000005286|ENSOGAT00000005289|ENSOGAP00000004728
ENSOGAG00000005290|ENSOGAT00000005291|ENSOGAP00000004730
ENSOGAG00000005333|ENSOGAT00000005332|ENSOGAP00000004768
ENSOGAG00000005328|ENSOGAT00000005335|ENSOGAP00000004771
ENSOGAG00000005349|ENSOGAT00000005352|ENSOGAP00000004785
ENSOGAG00000005359|ENSOGAT00000005365|ENSOGAP00000004797
ENSOGAG00000005366|ENSOGAT00000005367|ENSOGAP00000004799
ENSOGAG00000005374|ENSOGAT00000005376|ENSOGAP00000004807
ENSOGAG00000005390|ENSOGAT00000005391|ENSOGAP00000004821
ENSOGAG00000005433|ENSOGAT00000005435|ENSOGAP00000004862
ENSOGAG00000005435|ENSOGAT00000005438|ENSOGAP00000004865
ENSOGAG00000005451|ENSOGAT00000005453|ENSOGAP00000004877
ENSOGAG00000005448|ENSOGAT00000005454|ENSOGAP00000004878
ENSOGAG00000005517|ENSOGAT00000005517|ENSOGAP00000004933
ENSOGAG00000005544|ENSOGAT00000005543|ENSOGAP00000004954
ENSOGAG00000005557|ENSOGAT00000005562|ENSOGAP00000004970
ENSOGAG00000005561|ENSOGAT00000005564|ENSOGAP00000004972
ENSOGAG00000005569|ENSOGAT00000005574|ENSOGAP00000004982
ENSOGAG00000005613|ENSOGAT00000005615|ENSOGAP00000005016
ENSOGAG00000005645|ENSOGAT00000005647|ENSOGAP00000005045
ENSOGAG00000005692|ENSOGAT00000005698|ENSOGAP00000005089
ENSOGAG00000005727|ENSOGAT00000005732|ENSOGAP00000005122
ENSOGAG00000005741|ENSOGAT00000005743|ENSOGAP00000005133
ENSOGAG00000005766|ENSOGAT00000005767|ENSOGAP00000005155
ENSOGAG00000005787|ENSOGAT00000005790|ENSOGAP00000005177
ENSOGAG00000005871|ENSOGAT00000005873|ENSOGAP00000005253
ENSOGAG00000005924|ENSOGAT00000005926|ENSOGAP00000005296
ENSOGAG00000005969|ENSOGAT00000005972|ENSOGAP00000005338
ENSOGAG00000006013|ENSOGAT00000006015|ENSOGAP00000005377
ENSOGAG00000006028|ENSOGAT00000006033|ENSOGAP00000005391
ENSOGAG00000006040|ENSOGAT00000006043|ENSOGAP00000005399
ENSOGAG00000006063|ENSOGAT00000006072|ENSOGAP00000005427
ENSOGAG00000006103|ENSOGAT00000006111|ENSOGAP00000005459
ENSOGAG00000006114|ENSOGAT00000006117|ENSOGAP00000005463
ENSOGAG00000006130|ENSOGAT00000006135|ENSOGAP00000005476
ENSOGAG00000006134|ENSOGAT00000006136|ENSOGAP00000005477
ENSOGAG00000006144|ENSOGAT00000006145|ENSOGAP00000005486
ENSOGAG00000006147|ENSOGAT00000006149|ENSOGAP00000005488
ENSOGAG00000006149|ENSOGAT00000006150|ENSOGAP00000005489
ENSOGAG00000006229|ENSOGAT00000006234|ENSOGAP00000005564
ENSOGAG00000006260|ENSOGAT00000006265|ENSOGAP00000005594
ENSOGAG00000006286|ENSOGAT00000006286|ENSOGAP00000005614
ENSOGAG00000006331|ENSOGAT00000006335|ENSOGAP00000005658
ENSOGAG00000006352|ENSOGAT00000006356|ENSOGAP00000005676
ENSOGAG00000006356|ENSOGAT00000006358|ENSOGAP00000005678
ENSOGAG00000006407|ENSOGAT00000006411|ENSOGAP00000005727
ENSOGAG00000006411|ENSOGAT00000006415|ENSOGAP00000005731
ENSOGAG00000006447|ENSOGAT00000006447|ENSOGAP00000005763
ENSOGAG00000006448|ENSOGAT00000006448|ENSOGAP00000005764
ENSOGAG00000006452|ENSOGAT00000006450|ENSOGAP00000005766
ENSOGAG00000006455|ENSOGAT00000006453|ENSOGAP00000005769
ENSOGAG00000006462|ENSOGAT00000006463|ENSOGAP00000005778
ENSOGAG00000006466|ENSOGAT00000006467|ENSOGAP00000005781
ENSOGAG00000006476|ENSOGAT00000006478|ENSOGAP00000005791
ENSOGAG00000006515|ENSOGAT00000006516|ENSOGAP00000005824
ENSOGAG00000006520|ENSOGAT00000006525|ENSOGAP00000005833
ENSOGAG00000006530|ENSOGAT00000006531|ENSOGAP00000005839
ENSOGAG00000006534|ENSOGAT00000006534|ENSOGAP00000005842
ENSOGAG00000006536|ENSOGAT00000006536|ENSOGAP00000005844
ENSOGAG00000006561|ENSOGAT00000006564|ENSOGAP00000005866
ENSOGAG00000006564|ENSOGAT00000006568|ENSOGAP00000005869
ENSOGAG00000006635|ENSOGAT00000006641|ENSOGAP00000005937
ENSOGAG00000006646|ENSOGAT00000006647|ENSOGAP00000005943
ENSOGAG00000006677|ENSOGAT00000006681|ENSOGAP00000005974
ENSOGAG00000006679|ENSOGAT00000006682|ENSOGAP00000005975
ENSOGAG00000006678|ENSOGAT00000006683|ENSOGAP00000005976
ENSOGAG00000006695|ENSOGAT00000006700|ENSOGAP00000005992
ENSOGAG00000006697|ENSOGAT00000006701|ENSOGAP00000005993
ENSOGAG00000006717|ENSOGAT00000006719|ENSOGAP00000006009
ENSOGAG00000006721|ENSOGAT00000006724|ENSOGAP00000006014
ENSOGAG00000006712|ENSOGAT00000006726|ENSOGAP00000006015
ENSOGAG00000006744|ENSOGAT00000006747|ENSOGAP00000006036
ENSOGAG00000006748|ENSOGAT00000006753|ENSOGAP00000006041
ENSOGAG00000006787|ENSOGAT00000006794|ENSOGAP00000006074
ENSOGAG00000006801|ENSOGAT00000006817|ENSOGAP00000006097
ENSOGAG00000006835|ENSOGAT00000006839|ENSOGAP00000006119
ENSOGAG00000006845|ENSOGAT00000006853|ENSOGAP00000006130
ENSOGAG00000006860|ENSOGAT00000006863|ENSOGAP00000006138
ENSOGAG00000006883|ENSOGAT00000006887|ENSOGAP00000006161
ENSOGAG00000006898|ENSOGAT00000006902|ENSOGAP00000006176
ENSOGAG00000006905|ENSOGAT00000006910|ENSOGAP00000006183
ENSOGAG00000007040|ENSOGAT00000007045|ENSOGAP00000006302
ENSOGAG00000007069|ENSOGAT00000007073|ENSOGAP00000006330
ENSOGAG00000007100|ENSOGAT00000007102|ENSOGAP00000006359
ENSOGAG00000007106|ENSOGAT00000007109|ENSOGAP00000006366
ENSOGAG00000007212|ENSOGAT00000007216|ENSOGAP00000006456
ENSOGAG00000007215|ENSOGAT00000007217|ENSOGAP00000006457
ENSOGAG00000007225|ENSOGAT00000007230|ENSOGAP00000006467
ENSOGAG00000007233|ENSOGAT00000007235|ENSOGAP00000006471
ENSOGAG00000007240|ENSOGAT00000007243|ENSOGAP00000006477
ENSOGAG00000007261|ENSOGAT00000007262|ENSOGAP00000006494
ENSOGAG00000007291|ENSOGAT00000007295|ENSOGAP00000006527
ENSOGAG00000007344|ENSOGAT00000007348|ENSOGAP00000006574
ENSOGAG00000007406|ENSOGAT00000007407|ENSOGAP00000006622
ENSOGAG00000007407|ENSOGAT00000007409|ENSOGAP00000006624
ENSOGAG00000007409|ENSOGAT00000007410|ENSOGAP00000006625
ENSOGAG00000007405|ENSOGAT00000007412|ENSOGAP00000006627
ENSOGAG00000007449|ENSOGAT00000007452|ENSOGAP00000006665
ENSOGAG00000007516|ENSOGAT00000007517|ENSOGAP00000006721
ENSOGAG00000007551|ENSOGAT00000007556|ENSOGAP00000006757
ENSOGAG00000007597|ENSOGAT00000007603|ENSOGAP00000006799
ENSOGAG00000007603|ENSOGAT00000007609|ENSOGAP00000006805
ENSOGAG00000007628|ENSOGAT00000007632|ENSOGAP00000006827
ENSOGAG00000007652|ENSOGAT00000007658|ENSOGAP00000006851
ENSOGAG00000007661|ENSOGAT00000007664|ENSOGAP00000006857
ENSOGAG00000007696|ENSOGAT00000007699|ENSOGAP00000006885
ENSOGAG00000007721|ENSOGAT00000007730|ENSOGAP00000006916
ENSOGAG00000007729|ENSOGAT00000007736|ENSOGAP00000006920
ENSOGAG00000007765|ENSOGAT00000007769|ENSOGAP00000006952
ENSOGAG00000007770|ENSOGAT00000007776|ENSOGAP00000006959
ENSOGAG00000007841|ENSOGAT00000007845|ENSOGAP00000007022
ENSOGAG00000007867|ENSOGAT00000007868|ENSOGAP00000007044
ENSOGAG00000007904|ENSOGAT00000007916|ENSOGAP00000007084
ENSOGAG00000007926|ENSOGAT00000007932|ENSOGAP00000007098
ENSOGAG00000007930|ENSOGAT00000007938|ENSOGAP00000007104
ENSOGAG00000007998|ENSOGAT00000008000|ENSOGAP00000007158
ENSOGAG00000008043|ENSOGAT00000008047|ENSOGAP00000007194
ENSOGAG00000008049|ENSOGAT00000008052|ENSOGAP00000007199
ENSOGAG00000008050|ENSOGAT00000008054|ENSOGAP00000007201
ENSOGAG00000008062|ENSOGAT00000008066|ENSOGAP00000007212
ENSOGAG00000008069|ENSOGAT00000008076|ENSOGAP00000007221
ENSOGAG00000008093|ENSOGAT00000008097|ENSOGAP00000007240
ENSOGAG00000008106|ENSOGAT00000008107|ENSOGAP00000007250
ENSOGAG00000008098|ENSOGAT00000008109|ENSOGAP00000007252
ENSOGAG00000008110|ENSOGAT00000008117|ENSOGAP00000007260
ENSOGAG00000008152|ENSOGAT00000008155|ENSOGAP00000007295
ENSOGAG00000008172|ENSOGAT00000008174|ENSOGAP00000007312
ENSOGAG00000008201|ENSOGAT00000008202|ENSOGAP00000007338
ENSOGAG00000008232|ENSOGAT00000008234|ENSOGAP00000007369
ENSOGAG00000008257|ENSOGAT00000008261|ENSOGAP00000007393
ENSOGAG00000008292|ENSOGAT00000008299|ENSOGAP00000007427
ENSOGAG00000008306|ENSOGAT00000008311|ENSOGAP00000007439
ENSOGAG00000008327|ENSOGAT00000008332|ENSOGAP00000007458
ENSOGAG00000008342|ENSOGAT00000008344|ENSOGAP00000007469
ENSOGAG00000008352|ENSOGAT00000008357|ENSOGAP00000007482
ENSOGAG00000008382|ENSOGAT00000008385|ENSOGAP00000007508
ENSOGAG00000008430|ENSOGAT00000008432|ENSOGAP00000007550
ENSOGAG00000008486|ENSOGAT00000008489|ENSOGAP00000007600
ENSOGAG00000008584|ENSOGAT00000008588|ENSOGAP00000007691
ENSOGAG00000008591|ENSOGAT00000008599|ENSOGAP00000007701
ENSOGAG00000008654|ENSOGAT00000008657|ENSOGAP00000007757
ENSOGAG00000008660|ENSOGAT00000008670|ENSOGAP00000007770
ENSOGAG00000008670|ENSOGAT00000008672|ENSOGAP00000007772
