ENSG00000003056	ENST00000000412	ENSMUSP00000007602
ENSG00000181963	ENST00000325719	ENSMUSP00000095826
ENSG00000106128	ENST00000326139	ENSMUSP00000068120
ENSG00000177693	ENST00000326183	ENSMUSP00000099611
ENSG00000179919	ENST00000326258	
ENSG00000179934	ENST00000326306	ENSMUSP00000038473
ENSG00000180269	ENST00000326571	ENSMUSP00000081700
ENSG00000006327	ENST00000326577	ENSMUSP00000024698
ENSG00000080644	ENST00000326828	ENSMUSP00000034851
ENSG00000019169	ENST00000327097	ENSMUSP00000027639
ENSG00000181371	ENST00000327216	ENSMUSP00000059256
ENSG00000166342	ENST00000327305	ENSMUSP00000057340
ENSG00000185385	ENST00000327462	
ENSG00000185436	ENST00000327535	ENSMUSP00000074009
ENSG00000185231	ENST00000327606	ENSMUSP00000058691
ENSG00000153294	ENST00000327753	ENSMUSP00000024711
ENSG00000185897	ENST00000327809	ENSMUSP00000092163
ENSG00000221931	ENST00000327930	ENSMUSP00000056713
ENSG00000182771	ENST00000327946	ENSMUSP00000044009
ENSG00000197125	ENST00000328064	ENSMUSP00000083229
ENSG00000182613	ENST00000328275	ENSMUSP00000056876
ENSG00000183473	ENST00000328544	ENSMUSP00000058040
ENSG00000182783	ENST00000328570	
ENSG00000186891	ENST00000328596	ENSMUSP00000099462
ENSG00000184698	ENST00000328611	ENSMUSP00000128248
ENSG00000186407	ENST00000328630	ENSMUSP00000054883
ENSG00000183310	ENST00000328782	
ENSG00000184881	ENST00000328813	
ENSG00000182782	ENST00000328880	ENSMUSP00000054104
ENSG00000184140	ENST00000328882	ENSMUSP00000097197
ENSG00000183024	ENST00000328890	
ENSG00000206306	ENST00000328980	
ENSG00000182687	ENST00000329003	ENSMUSP00000054062
ENSG00000235568	ENST00000329021	ENSMUSP00000097946
ENSG00000185245	ENST00000329125	ENSMUSP00000057563
ENSG00000183840	ENST00000329321	ENSMUSP00000027581
ENSG00000172742	ENST00000329328	
ENSG00000185372	ENST00000329365	ENSMUSP00000058544
ENSG00000185149	ENST00000329476	ENSMUSP00000029633
ENSG00000113763	ENST00000329542	ENSMUSP00000026994
ENSG00000183695	ENST00000329773	
ENSG00000183484	ENST00000329797	ENSMUSP00000021729
ENSG00000184574	ENST00000329858	ENSMUSP00000085630
ENSG00000184160	ENST00000330055	ENSMUSP00000059705
ENSG00000182631	ENST00000330120	ENSMUSP00000062741
ENSG00000182580	ENST00000330394	ENSMUSP00000006112
ENSG00000184022	ENST00000330500	
ENSG00000114013	ENST00000330540	ENSMUSP00000087047
ENSG00000183389	ENST00000330728	
ENSG00000167850	ENST00000330793	
ENSG00000183130	ENST00000330803	
ENSG00000183813	ENST00000330953	ENSMUSP00000062677
ENSG00000185291	ENST00000331035	ENSMUSP00000075423
ENSG00000183729	ENST00000331251	ENSMUSP00000046233
ENSG00000183748	ENST00000331429	ENSMUSP00000028045
ENSG00000184166	ENST00000331459	ENSMUSP00000076967
ENSG00000172116	ENST00000331469	ENSMUSP00000070131
ENSG00000178852	ENST00000331493	ENSMUSP00000116040
ENSG00000182652	ENST00000331723	ENSMUSP00000056851
ENSG00000185920	ENST00000331920	ENSMUSP00000021921
ENSG00000184321	ENST00000332043	ENSMUSP00000095790
ENSG00000173482	ENST00000332175	ENSMUSP00000035528
ENSG00000182854	ENST00000332238	ENSMUSP00000097199
ENSG00000183313	ENST00000332249	ENSMUSP00000061561
ENSG00000182170	ENST00000332314	ENSMUSP00000060411
ENSG00000184451	ENST00000332438	ENSMUSP00000062588
ENSG00000183134	ENST00000332539	ENSMUSP00000036159
ENSG00000115590	ENST00000332549	ENSMUSP00000027243
ENSG00000184194	ENST00000332582	ENSMUSP00000065533
ENSG00000184933	ENST00000332601	ENSMUSP00000091656
ENSG00000232382	ENST00000332650	
ENSG00000182974	ENST00000332663	ENSMUSP00000057376
ENSG00000185097	ENST00000332831	
ENSG00000221890	ENST00000333039	ENSMUSP00000023057
ENSG00000173662	ENST00000333172	ENSMUSP00000030792
ENSG00000007908	ENST00000333360	ENSMUSP00000027874
ENSG00000182885	ENST00000333493	ENSMUSP00000051079
ENSG00000184394	ENST00000333629	ENSMUSP00000059721
ENSG00000182256	ENST00000333743	ENSMUSP00000067632
ENSG00000186117	ENST00000333973	ENSMUSP00000097429
ENSG00000136160	ENST00000334286	ENSMUSP00000022718
ENSG00000152990	ENST00000334304	ENSMUSP00000030971
ENSG00000186306	ENST00000334438	
ENSG00000186265	ENST00000334529	ENSMUSP00000099866
ENSG00000186919	ENST00000334586	
ENSG00000110148	ENST00000334619	ENSMUSP00000033189
ENSG00000186440	ENST00000334632	ENSMUSP00000052426
ENSG00000186881	ENST00000334726	ENSMUSP00000092700
ENSG00000180264	ENST00000334810	
ENSG00000184155	ENST00000334857	ENSMUSP00000041524
ENSG00000186943	ENST00000335040	ENSMUSP00000055721
ENSG00000197403	ENST00000335094	ENSMUSP00000051323
ENSG00000186092	ENST00000335137	ENSMUSP00000099611
ENSG00000197233	ENST00000335302	
ENSG00000186038	ENST00000335304	
ENSG00000107731	ENST00000335350	ENSMUSP00000077080
ENSG00000186509	ENST00000335397	ENSMUSP00000067303
ENSG00000186297	ENST00000335625	ENSMUSP00000063276
ENSG00000257008	ENST00000335666	ENSMUSP00000102194
ENSG00000148680	ENST00000336152	ENSMUSP00000126847
ENSG00000044524	ENST00000336596	ENSMUSP00000066554
ENSG00000125510	ENST00000336866	ENSMUSP00000071513
ENSG00000135124	ENST00000337233	ENSMUSP00000031429
ENSG00000187800	ENST00000338302	ENSMUSP00000029714
ENSG00000164129	ENST00000338566	ENSMUSP00000065157
ENSG00000171054	ENST00000338616	ENSMUSP00000052441
ENSG00000188340	ENST00000339258	ENSMUSP00000130615
ENSG00000169962	ENST00000339381	ENSMUSP00000030949
ENSG00000179603	ENST00000339582	ENSMUSP00000110978
ENSG00000204475	ENST00000340027	
ENSG00000068078	ENST00000340107	ENSMUSP00000110053
ENSG00000101180	ENST00000340177	ENSMUSP00000049963
ENSG00000159618	ENST00000340339	ENSMUSP00000074155
ENSG00000187871	ENST00000340465	ENSMUSP00000074421
ENSG00000072071	ENST00000340736	ENSMUSP00000118452
ENSG00000239590	ENST00000340750	ENSMUSP00000053105
ENSG00000159346	ENST00000340990	ENSMUSP00000027727
ENSG00000187918	ENST00000341449	ENSMUSP00000095785
ENSG00000196131	ENST00000341702	
ENSG00000187957	ENST00000341772	ENSMUSP00000042927
ENSG00000168575	ENST00000342228	ENSMUSP00000065935
ENSG00000188888	ENST00000342292	ENSMUSP00000091474
ENSG00000189181	ENST00000342623	
ENSG00000170412	ENST00000342648	ENSMUSP00000061760
ENSG00000178568	ENST00000342788	ENSMUSP00000112713
ENSG00000196240	ENST00000342927	ENSMUSP00000133126
ENSG00000092421	ENST00000343348	ENSMUSP00000019791
ENSG00000187857	ENST00000343399	ENSMUSP00000052235
ENSG00000188558	ENST00000343414	
ENSG00000160791	ENST00000343801	
ENSG00000197706	ENST00000343870	ENSMUSP00000056626
ENSG00000187848	ENST00000343948	ENSMUSP00000054233
ENSG00000188000	ENST00000344248	
ENSG00000188763	ENST00000344575	ENSMUSP00000053551
ENSG00000187701	ENST00000344889	
ENSG00000187747	ENST00000345043	
ENSG00000188778	ENST00000345060	ENSMUSP00000080162
ENSG00000156642	ENST00000345330	ENSMUSP00000082793
ENSG00000060656	ENST00000345512	ENSMUSP00000030741
ENSG00000104921	ENST00000346664	ENSMUSP00000005678
ENSG00000162594	ENST00000347310	ENSMUSP00000113342
ENSG00000110448	ENST00000347785	ENSMUSP00000025571
ENSG00000116678	ENST00000349533	ENSMUSP00000037385
ENSG00000179468	ENST00000350513	ENSMUSP00000061622
ENSG00000114739	ENST00000352511	ENSMUSP00000126108
ENSG00000231192	ENST00000354565	
ENSG00000168079	ENST00000354914	ENSMUSP00000022610
ENSG00000196189	ENST00000355014	ENSMUSP00000029700
ENSG00000161944	ENST00000355035	ENSMUSP00000099632
ENSG00000197405	ENST00000355085	ENSMUSP00000060003
ENSG00000197938	ENST00000355273	ENSMUSP00000056448
ENSG00000197454	ENST00000355281	ENSMUSP00000055344
ENSG00000166736	ENST00000355556	ENSMUSP00000003826
ENSG00000136869	ENST00000355622	ENSMUSP00000045770
ENSG00000157873	ENST00000355716	ENSMUSP00000045240
ENSG00000198104	ENST00000355728	ENSMUSP00000046509
ENSG00000197591	ENST00000355784	ENSMUSP00000068147
ENSG00000173890	ENST00000355897	ENSMUSP00000103893
ENSG00000165246	ENST00000355905	
ENSG00000198657	ENST00000356130	ENSMUSP00000083228
ENSG00000233412	ENST00000356526	
ENSG00000050628	ENST00000356595	ENSMUSP00000043302
ENSG00000173535	ENST00000356864	ENSMUSP00000022663
ENSG00000197081	ENST00000356956	ENSMUSP00000024599
ENSG00000139187	ENST00000356986	ENSMUSP00000032207
ENSG00000196917	ENST00000356987	ENSMUSP00000129280
ENSG00000196936	ENST00000357191	ENSMUSP00000055344
ENSG00000105426	ENST00000357368	ENSMUSP00000064048
ENSG00000197786	ENST00000357377	
ENSG00000121797	ENST00000357392	ENSMUSP00000107519
ENSG00000180616	ENST00000357585	ENSMUSP00000102241
ENSG00000197428	ENST00000357605	ENSMUSP00000095821
ENSG00000196772	ENST00000357627	
ENSG00000196277	ENST00000357716	ENSMUSP00000133957
ENSG00000135622	ENST00000357877	ENSMUSP00000000641
ENSG00000213694	ENST00000358157	ENSMUSP00000085293
ENSG00000196411	ENST00000358173	ENSMUSP00000106684
ENSG00000168329	ENST00000358309	ENSMUSP00000063986
ENSG00000142627	ENST00000358432	ENSMUSP00000006614
ENSG00000196578	ENST00000358642	
ENSG00000196338	ENST00000358741	ENSMUSP00000066304
ENSG00000126895	ENST00000358927	ENSMUSP00000033765
ENSG00000163513	ENST00000359013	ENSMUSP00000062333
ENSG00000134545	ENST00000359151	
ENSG00000177575	ENST00000359156	ENSMUSP00000108160
ENSG00000176895	ENST00000359350	ENSMUSP00000095814
ENSG00000148604	ENST00000359452	ENSMUSP00000022338
ENSG00000004948	ENST00000359558	ENSMUSP00000075070
ENSG00000196539	ENST00000359594	
ENSG00000196218	ENST00000359596	ENSMUSP00000032813
ENSG00000196171	ENST00000359610	ENSMUSP00000069662
ENSG00000198601	ENST00000359682	
ENSG00000197437	ENST00000359688	ENSMUSP00000134377
ENSG00000187258	ENST00000359791	ENSMUSP00000056432
ENSG00000117114	ENST00000359929	ENSMUSP00000101734
ENSG00000142949	ENST00000359947	ENSMUSP00000039368
ENSG00000198128	ENST00000359959	ENSMUSP00000055344
ENSG00000072274	ENST00000360110	ENSMUSP00000023486
ENSG00000167851	ENST00000360141	
ENSG00000197790	ENST00000360213	ENSMUSP00000095824
ENSG00000198283	ENST00000360374	ENSMUSP00000062460
ENSG00000118257	ENST00000360409	ENSMUSP00000109794
ENSG00000197635	ENST00000360534	ENSMUSP00000044050
ENSG00000239732	ENST00000360658	ENSMUSP00000082207
ENSG00000164270	ENST00000360693	ENSMUSP00000027560
ENSG00000170180	ENST00000360771	ENSMUSP00000070836
ENSG00000119121	ENST00000360774	ENSMUSP00000037443
ENSG00000140538	ENST00000360948	ENSMUSP00000037909
ENSG00000197594	ENST00000360971	ENSMUSP00000101159
ENSG00000198967	ENST00000361284	ENSMUSP00000050893
ENSG00000196776	ENST00000361309	ENSMUSP00000099853
ENSG00000158458	ENST00000361474	ENSMUSP00000111378
ENSG00000132704	ENST00000361516	
ENSG00000198822	ENST00000361669	ENSMUSP00000004076
ENSG00000152822	ENST00000361719	ENSMUSP00000037255
ENSG00000198877	ENST00000361760	
ENSG00000198851	ENST00000361763	ENSMUSP00000099896
ENSG00000105699	ENST00000361790	ENSMUSP00000001279
ENSG00000198785	ENST00000361820	ENSMUSP00000091381
ENSG00000143297	ENST00000361835	ENSMUSP00000050151
ENSG00000198829	ENST00000362032	ENSMUSP00000029326
ENSG00000149295	ENST00000362072	ENSMUSP00000075170
ENSG00000198821	ENST00000362089	ENSMUSP00000027849
ENSG00000203618	ENST00000366425	ENSMUSP00000059270
ENSG00000203661	ENST00000366473	
ENSG00000175143	ENST00000366474	ENSMUSP00000098434
ENSG00000196944	ENST00000366475	
ENSG00000162727	ENST00000366476	
ENSG00000203663	ENST00000366479	ENSMUSP00000055344
ENSG00000196242	ENST00000366487	
ENSG00000054277	ENST00000366554	ENSMUSP00000027809
ENSG00000116996	ENST00000366570	
ENSG00000077585	ENST00000366592	ENSMUSP00000057055
ENSG00000162769	ENST00000366971	ENSMUSP00000082777
ENSG00000076356	ENST00000367033	ENSMUSP00000027952
ENSG00000203710	ENST00000367049	ENSMUSP00000027918
ENSG00000117322	ENST00000367057	ENSMUSP00000080938
ENSG00000198049	ENST00000367126	ENSMUSP00000027690
ENSG00000133067	ENST00000367278	ENSMUSP00000035444
ENSG00000170075	ENST00000367282	ENSMUSP00000027682
ENSG00000153029	ENST00000367580	ENSMUSP00000027744
ENSG00000143324	ENST00000367590	ENSMUSP00000027741
ENSG00000112414	ENST00000367609	ENSMUSP00000043055
ENSG00000203737	ENST00000367685	
ENSG00000027697	ENST00000367739	ENSMUSP00000020188
ENSG00000143147	ENST00000367838	ENSMUSP00000107077
ENSG00000143167	ENST00000367868	ENSMUSP00000060147
ENSG00000162733	ENST00000367922	ENSMUSP00000129624
ENSG00000162747	ENST00000367964	ENSMUSP00000077873
ENSG00000203747	ENST00000367969	ENSMUSP00000077873
ENSG00000143217	ENST00000368012	ENSMUSP00000006578
ENSG00000158769	ENST00000368026	ENSMUSP00000041907
ENSG00000122223	ENST00000368033	ENSMUSP00000004829
ENSG00000026751	ENST00000368043	ENSMUSP00000056934
ENSG00000162739	ENST00000368057	ENSMUSP00000039802
ENSG00000179639	ENST00000368115	ENSMUSP00000056882
ENSG00000213088	ENST00000368121	ENSMUSP00000045134
ENSG00000180433	ENST00000368144	ENSMUSP00000059596
ENSG00000203757	ENST00000368145	ENSMUSP00000054305
ENSG00000198965	ENST00000368152	
ENSG00000163534	ENST00000368176	ENSMUSP00000130936
ENSG00000160856	ENST00000368184	
ENSG00000027644	ENST00000368195	ENSMUSP00000029711
ENSG00000152894	ENST00000368213	ENSMUSP00000126279
ENSG00000173080	ENST00000368318	ENSMUSP00000058732
ENSG00000160716	ENST00000368476	ENSMUSP00000029562
ENSG00000160712	ENST00000368485	ENSMUSP00000029559
ENSG00000047936	ENST00000368508	ENSMUSP00000020045
ENSG00000159164	ENST00000369146	ENSMUSP00000037576
ENSG00000150337	ENST00000369168	ENSMUSP00000029748
ENSG00000043591	ENST00000369295	ENSMUSP00000040847
ENSG00000135333	ENST00000369303	ENSMUSP00000029964
ENSG00000143127	ENST00000369304	ENSMUSP00000029744
ENSG00000198019	ENST00000369384	ENSMUSP00000029748
ENSG00000116824	ENST00000369478	ENSMUSP00000029456
ENSG00000118432	ENST00000369501	ENSMUSP00000055797
ENSG00000121933	ENST00000369716	ENSMUSP00000010279
ENSG00000125522	ENST00000369768	
ENSG00000166160	ENST00000369929	ENSMUSP00000099000
ENSG00000147380	ENST00000369935	ENSMUSP00000099000
ENSG00000135312	ENST00000369947	ENSMUSP00000050898
ENSG00000102076	ENST00000369951	ENSMUSP00000099000
ENSG00000101204	ENST00000370263	ENSMUSP00000066338
ENSG00000147402	ENST00000370306	ENSMUSP00000033711
ENSG00000011677	ENST00000370314	ENSMUSP00000062638
ENSG00000102287	ENST00000370328	ENSMUSP00000066543
ENSG00000101188	ENST00000370501	ENSMUSP00000029084
ENSG00000135298	ENST00000370598	ENSMUSP00000115442
ENSG00000102239	ENST00000370648	ENSMUSP00000033464
ENSG00000162618	ENST00000370742	ENSMUSP00000041939
ENSG00000122420	ENST00000370758	ENSMUSP00000029670
ENSG00000137252	ENST00000370862	ENSMUSP00000058230
ENSG00000185483	ENST00000371079	ENSMUSP00000048171
ENSG00000170927	ENST00000371117	ENSMUSP00000085794
ENSG00000162604	ENST00000371180	ENSMUSP00000099855
ENSG00000184292	ENST00000371225	ENSMUSP00000060099
ENSG00000153292	ENST00000371253	ENSMUSP00000049380
ENSG00000186188	ENST00000371483	ENSMUSP00000063660
ENSG00000176884	ENST00000371553	ENSMUSP00000028335
ENSG00000131724	ENST00000371666	ENSMUSP00000033418
ENSG00000180772	ENST00000371906	ENSMUSP00000086592
ENSG00000122375	ENST00000372071	ENSMUSP00000022331
ENSG00000148600	ENST00000372117	ENSMUSP00000022337
ENSG00000117425	ENST00000372192	ENSMUSP00000030443
ENSG00000101017	ENST00000372285	ENSMUSP00000017799
ENSG00000117400	ENST00000372470	ENSMUSP00000099732
ENSG00000066056	ENST00000372476	ENSMUSP00000037129
ENSG00000188828	ENST00000372617	ENSMUSP00000018739
ENSG00000124145	ENST00000372733	ENSMUSP00000017153
ENSG00000183317	ENST00000373048	
ENSG00000096264	ENST00000373089	
ENSG00000163873	ENST00000373091	ENSMUSP00000030676
ENSG00000119535	ENST00000373103	ENSMUSP00000101768
ENSG00000095970	ENST00000373113	ENSMUSP00000024791
ENSG00000161911	ENST00000373127	ENSMUSP00000024792
ENSG00000196090	ENST00000373187	ENSMUSP00000105067
ENSG00000106991	ENST00000373203	ENSMUSP00000009705
ENSG00000112164	ENST00000373256	ENSMUSP00000110221
ENSG00000173198	ENST00000373304	ENSMUSP00000109108
ENSG00000075073	ENST00000373306	ENSMUSP00000020278
ENSG00000188394	ENST00000373642	ENSMUSP00000066449
ENSG00000121753	ENST00000373658	ENSMUSP00000101638
ENSG00000148215	ENST00000373680	ENSMUSP00000054082
ENSG00000171501	ENST00000373688	ENSMUSP00000068986
ENSG00000186810	ENST00000373691	ENSMUSP00000052444
ENSG00000181773	ENST00000374024	ENSMUSP00000062083
ENSG00000124493	ENST00000374181	ENSMUSP00000113819
ENSG00000182749	ENST00000374296	ENSMUSP00000080240
ENSG00000204174	ENST00000374312	ENSMUSP00000056576
ENSG00000096433	ENST00000374316	ENSMUSP00000038150
ENSG00000198121	ENST00000374431	ENSMUSP00000052581
ENSG00000030304	ENST00000374448	ENSMUSP00000081625
ENSG00000188822	ENST00000374472	ENSMUSP00000095454
ENSG00000101000	ENST00000374477	ENSMUSP00000029140
ENSG00000186912	ENST00000374519	ENSMUSP00000055869
ENSG00000204217	ENST00000374580	ENSMUSP00000084701
ENSG00000133216	ENST00000374632	ENSMUSP00000101471
ENSG00000177283	ENST00000374694	ENSMUSP00000039660
ENSG00000131080	ENST00000374719	ENSMUSP00000041210
ENSG00000165029	ENST00000374736	ENSMUSP00000030010
ENSG00000255800	ENST00000374779	
ENSG00000204246	ENST00000374781	
ENSG00000168384	ENST00000374808	
ENSG00000237541	ENST00000374940	
ENSG00000106799	ENST00000374994	ENSMUSP00000007757
ENSG00000204305	ENST00000375076	ENSMUSP00000015596
ENSG00000204345	ENST00000375352	
ENSG00000179002	ENST00000375371	ENSMUSP00000030510
ENSG00000169071	ENST00000375708	ENSMUSP00000021918
ENSG00000204420	ENST00000375806	ENSMUSP00000094950
ENSG00000148053	ENST00000376214	ENSMUSP00000078757
ENSG00000028137	ENST00000376259	ENSMUSP00000030336
ENSG00000080031	ENST00000376350	ENSMUSP00000042396
ENSG00000151025	ENST00000376351	ENSMUSP00000049708
ENSG00000169508	ENST00000376414	ENSMUSP00000052404
ENSG00000204580	ENST00000376575	ENSMUSP00000113062
ENSG00000229698	ENST00000376848	
ENSG00000206512	ENST00000376947	
ENSG00000204681	ENST00000377034	ENSMUSP00000025338
ENSG00000178726	ENST00000377103	ENSMUSP00000096877
ENSG00000204687	ENST00000377127	
ENSG00000204688	ENST00000377136	
ENSG00000204690	ENST00000377140	
ENSG00000112462	ENST00000377143	ENSMUSP00000031086
ENSG00000204694	ENST00000377148	ENSMUSP00000077338
ENSG00000243729	ENST00000377154	
ENSG00000204695	ENST00000377160	ENSMUSP00000055221
ENSG00000204701	ENST00000377169	
ENSG00000204702	ENST00000377171	ENSMUSP00000051537
ENSG00000204703	ENST00000377173	
ENSG00000113749	ENST00000377291	ENSMUSP00000038170
ENSG00000180758	ENST00000377411	ENSMUSP00000092020
ENSG00000049249	ENST00000377507	ENSMUSP00000030808
ENSG00000204882	ENST00000377741	ENSMUSP00000063910
ENSG00000215788	ENST00000377782	ENSMUSP00000025706
ENSG00000158292	ENST00000377893	ENSMUSP00000101276
ENSG00000168828	ENST00000377981	ENSMUSP00000103494
ENSG00000077943	ENST00000378076	ENSMUSP00000028106
ENSG00000171659	ENST00000378142	ENSMUSP00000042715
ENSG00000205029	ENST00000378396	ENSMUSP00000097431
ENSG00000205030	ENST00000378397	ENSMUSP00000097429
ENSG00000139679	ENST00000378434	ENSMUSP00000042327
ENSG00000182220	ENST00000378438	ENSMUSP00000033313
ENSG00000187730	ENST00000378585	ENSMUSP00000030925
ENSG00000134569	ENST00000378623	ENSMUSP00000028689
ENSG00000162881	ENST00000378661	
ENSG00000102468	ENST00000378688	ENSMUSP00000047774
ENSG00000169306	ENST00000378993	ENSMUSP00000109599
ENSG00000205213	ENST00000379214	ENSMUSP00000047325
ENSG00000186827	ENST00000379236	ENSMUSP00000030952
ENSG00000165186	ENST00000379361	ENSMUSP00000039443
ENSG00000171873	ENST00000379453	ENSMUSP00000099473
ENSG00000138741	ENST00000379645	ENSMUSP00000029271
ENSG00000205327	ENST00000379662	ENSMUSP00000054927
ENSG00000205328	ENST00000379665	ENSMUSP00000059714
ENSG00000205329	ENST00000379667	ENSMUSP00000054710
ENSG00000170782	ENST00000379829	ENSMUSP00000095741
ENSG00000173698	ENST00000379869	ENSMUSP00000108019
ENSG00000134460	ENST00000379959	ENSMUSP00000028111
ENSG00000178015	ENST00000380007	ENSMUSP00000049592
ENSG00000120156	ENST00000380036	ENSMUSP00000099862
ENSG00000167359	ENST00000380211	ENSMUSP00000081858
ENSG00000183251	ENST00000380224	ENSMUSP00000078119
ENSG00000126010	ENST00000380289	ENSMUSP00000033730
ENSG00000182070	ENST00000380367	
ENSG00000205494	ENST00000380369	
ENSG00000205495	ENST00000380370	ENSMUSP00000102506
ENSG00000205496	ENST00000380371	
ENSG00000205497	ENST00000380373	
ENSG00000176900	ENST00000380378	ENSMUSP00000095815
ENSG00000132670	ENST00000380393	ENSMUSP00000076533
ENSG00000120907	ENST00000380586	ENSMUSP00000053703
ENSG00000196664	ENST00000380659	ENSMUSP00000061853
ENSG00000139514	ENST00000380752	ENSMUSP00000046714
ENSG00000146938	ENST00000381095	
ENSG00000153707	ENST00000381196	ENSMUSP00000099898
ENSG00000182162	ENST00000381297	
ENSG00000134352	ENST00000381298	
ENSG00000120217	ENST00000381577	ENSMUSP00000016640
ENSG00000205809	ENST00000381902	
ENSG00000134539	ENST00000381907	ENSMUSP00000113399
ENSG00000159110	ENST00000382241	ENSMUSP00000023693
ENSG00000155269	ENST00000382487	
ENSG00000186090	ENST00000382489	
ENSG00000112902	ENST00000382496	ENSMUSP00000098292
ENSG00000231679	ENST00000383126	
ENSG00000206291	ENST00000383224	
ENSG00000206292	ENST00000383226	
ENSG00000206305	ENST00000383251	
ENSG00000206308	ENST00000383259	
ENSG00000184984	ENST00000383263	ENSMUSP00000097185
ENSG00000206320	ENST00000383279	
ENSG00000206396	ENST00000383412	
ENSG00000206430	ENST00000383476	
ENSG00000137403	ENST00000383516	
ENSG00000206466	ENST00000383542	
ENSG00000206470	ENST00000383549	
ENSG00000206471	ENST00000383550	
ENSG00000206472	ENST00000383551	
ENSG00000204692	ENST00000383556	
ENSG00000206493	ENST00000383597	
ENSG00000206506	ENST00000383623	
ENSG00000206509	ENST00000383627	
ENSG00000206511	ENST00000383638	
ENSG00000204657	ENST00000383640	
ENSG00000206515	ENST00000383643	
ENSG00000206516	ENST00000383644	
ENSG00000206517	ENST00000383645	
ENSG00000206522	ENST00000383651	
ENSG00000206524	ENST00000383653	
ENSG00000206525	ENST00000383654	
ENSG00000206536	ENST00000383695	
ENSG00000230301	ENST00000383696	
ENSG00000205336	ENST00000388812	ENSMUSP00000090959
ENSG00000136011	ENST00000388887	ENSMUSP00000048309
ENSG00000156886	ENST00000389202	ENSMUSP00000033051
ENSG00000196811	ENST00000389494	ENSMUSP00000027470
ENSG00000080224	ENST00000389672	ENSMUSP00000066734
ENSG00000174948	ENST00000389740	ENSMUSP00000060893
ENSG00000006071	ENST00000389817	ENSMUSP00000033123
ENSG00000184350	ENST00000389832	ENSMUSP00000058000
ENSG00000204689	ENST00000391549	
ENSG00000186818	ENST00000391736	
ENSG00000167613	ENST00000391742	
ENSG00000131042	ENST00000391749	
ENSG00000135898	ENST00000392040	ENSMUSP00000084196
ENSG00000064989	ENST00000392370	ENSMUSP00000073875
ENSG00000197177	ENST00000392607	ENSMUSP00000026548
ENSG00000007312	ENST00000392795	ENSMUSP00000048239
ENSG00000106123	ENST00000392957	ENSMUSP00000110380
ENSG00000106278	ENST00000393386	ENSMUSP00000088056
ENSG00000114554	ENST00000393409	ENSMUSP00000131840
ENSG00000175591	ENST00000393597	ENSMUSP00000036765
ENSG00000184845	ENST00000393752	ENSMUSP00000021932
ENSG00000144847	ENST00000393775	ENSMUSP00000023478
ENSG00000145864	ENST00000393959	ENSMUSP00000007797
ENSG00000156920	ENST00000394143	
ENSG00000179626	ENST00000394256	
ENSG00000119737	ENST00000394705	ENSMUSP00000105057
ENSG00000188372	ENST00000394857	ENSMUSP00000005073
ENSG00000164082	ENST00000395052	ENSMUSP00000023959
ENSG00000172772	ENST00000395079	ENSMUSP00000079057
ENSG00000137868	ENST00000395105	ENSMUSP00000082820
ENSG00000181619	ENST00000395116	ENSMUSP00000058762
ENSG00000165215	ENST00000395145	ENSMUSP00000091799
ENSG00000126777	ENST00000395309	ENSMUSP00000022391
ENSG00000197471	ENST00000395389	ENSMUSP00000049534
ENSG00000077238	ENST00000395762	ENSMUSP00000033004
ENSG00000150093	ENST00000396033	ENSMUSP00000087457
ENSG00000179826	ENST00000396275	
ENSG00000244482	ENST00000396365	
ENSG00000183454	ENST00000396573	ENSMUSP00000111501
ENSG00000206503	ENST00000396634	
ENSG00000137101	ENST00000396757	ENSMUSP00000030179
ENSG00000167332	ENST00000396950	ENSMUSP00000058085
ENSG00000180785	ENST00000396952	ENSMUSP00000091674
ENSG00000115232	ENST00000397033	ENSMUSP00000099718
ENSG00000164849	ENST00000397095	ENSMUSP00000049707
ENSG00000125245	ENST00000397473	ENSMUSP00000061410
ENSG00000162009	ENST00000397547	ENSMUSP00000051085
ENSG00000197646	ENST00000397747	ENSMUSP00000108195
ENSG00000134160	ENST00000397795	ENSMUSP00000082318
ENSG00000154928	ENST00000398015	ENSMUSP00000035129
ENSG00000152558	ENST00000398136	ENSMUSP00000051966
ENSG00000120088	ENST00000398285	ENSMUSP00000091455
ENSG00000127418	ENST00000398484	ENSMUSP00000013633
ENSG00000184012	ENST00000398585	ENSMUSP00000000395
ENSG00000231286	ENST00000399088	
ENSG00000206240	ENST00000399450	
ENSG00000171189	ENST00000399907	ENSMUSP00000072107
ENSG00000215522	ENST00000400489	
ENSG00000215644	ENST00000400723	ENSMUSP00000026119
ENSG00000112486	ENST00000400926	ENSMUSP00000131153
ENSG00000111886	ENST00000402938	ENSMUSP00000103797
ENSG00000182083	ENST00000402971	
ENSG00000121764	ENST00000403528	ENSMUSP00000112630
ENSG00000179915	ENST00000404971	ENSMUSP00000124116
ENSG00000164199	ENST00000405460	ENSMUSP00000093245
ENSG00000132975	ENST00000405846	ENSMUSP00000038245
ENSG00000170820	ENST00000406846	ENSMUSP00000040477
ENSG00000183671	ENST00000407325	ENSMUSP00000051417
ENSG00000064547	ENST00000407877	ENSMUSP00000128261
ENSG00000120903	ENST00000407991	ENSMUSP00000022620
ENSG00000221882	ENST00000408891	
ENSG00000221888	ENST00000408896	
ENSG00000221933	ENST00000408898	ENSMUSP00000052312
ENSG00000221836	ENST00000408906	ENSMUSP00000059195
