ENSG00000003056	ENST00000000412	ENSVPAP00000003675
ENSG00000206306	ENST00000328980	
ENSG00000182687	ENST00000329003	
ENSG00000235568	ENST00000329021	ENSVPAP00000009969
ENSG00000185245	ENST00000329125	
ENSG00000183840	ENST00000329321	ENSVPAP00000002624
ENSG00000205409	ENST00000329322	ENSVPAP00000002577
ENSG00000172742	ENST00000329328	
ENSG00000185372	ENST00000329365	
ENSG00000185149	ENST00000329476	
ENSG00000113763	ENST00000329542	
ENSG00000184478	ENST00000329564	
ENSG00000183695	ENST00000329773	
ENSG00000183484	ENST00000329797	
ENSG00000184574	ENST00000329858	
ENSG00000184160	ENST00000330055	
ENSG00000182631	ENST00000330120	
ENSG00000182580	ENST00000330394	
ENSG00000182634	ENST00000330487	
ENSG00000184022	ENST00000330500	
ENSG00000114013	ENST00000330540	ENSVPAP00000001978
ENSG00000183389	ENST00000330728	
ENSG00000167850	ENST00000330793	
ENSG00000183130	ENST00000330803	
ENSG00000183813	ENST00000330953	
ENSG00000185291	ENST00000331035	
ENSG00000183729	ENST00000331251	
ENSG00000183748	ENST00000331429	ENSVPAP00000009494
ENSG00000184166	ENST00000331459	
ENSG00000172116	ENST00000331469	
ENSG00000178852	ENST00000331493	
ENSG00000182652	ENST00000331723	
ENSG00000185920	ENST00000331920	
ENSG00000184321	ENST00000332043	
ENSG00000173482	ENST00000332175	ENSVPAP00000002178
ENSG00000196266	ENST00000332217	
ENSG00000182854	ENST00000332238	ENSVPAP00000002322
ENSG00000183313	ENST00000332249	
ENSG00000182170	ENST00000332314	
ENSG00000184451	ENST00000332438	
ENSG00000183134	ENST00000332539	
ENSG00000115590	ENST00000332549	ENSVPAP00000009187
ENSG00000184194	ENST00000332582	
ENSG00000184933	ENST00000332601	
ENSG00000232382	ENST00000332650	ENSVPAP00000002677
ENSG00000182974	ENST00000332663	ENSVPAP00000009710
ENSG00000221890	ENST00000333039	
ENSG00000173662	ENST00000333172	
ENSG00000007908	ENST00000333360	ENSVPAP00000004759
ENSG00000182885	ENST00000333493	
ENSG00000184394	ENST00000333629	ENSVPAP00000004001
ENSG00000182256	ENST00000333743	ENSVPAP00000000592
ENSG00000186117	ENST00000333973	
ENSG00000186119	ENST00000333976	
ENSG00000136160	ENST00000334286	ENSVPAP00000007203
ENSG00000152990	ENST00000334304	ENSVPAP00000000192
ENSG00000186306	ENST00000334438	ENSVPAP00000007902
ENSG00000186265	ENST00000334529	ENSVPAP00000006644
ENSG00000186919	ENST00000334586	
ENSG00000110148	ENST00000334619	
ENSG00000186440	ENST00000334632	ENSVPAP00000006699
ENSG00000186881	ENST00000334726	ENSVPAP00000004967
ENSG00000180264	ENST00000334810	
ENSG00000184155	ENST00000334857	ENSVPAP00000009516
ENSG00000186723	ENST00000334920	
ENSG00000186943	ENST00000335040	ENSVPAP00000009056
ENSG00000197403	ENST00000335094	
ENSG00000186092	ENST00000335137	ENSVPAP00000003999
ENSG00000221954	ENST00000335238	
ENSG00000197233	ENST00000335302	
ENSG00000186038	ENST00000335304	
ENSG00000107731	ENST00000335350	
ENSG00000186509	ENST00000335397	ENSVPAP00000002186
ENSG00000186113	ENST00000335605	ENSVPAP00000006521
ENSG00000186297	ENST00000335625	
ENSG00000257008	ENST00000335666	ENSVPAP00000011716
ENSG00000125498	ENST00000336077	
ENSG00000148680	ENST00000336152	
ENSG00000044524	ENST00000336596	ENSVPAP00000000315
ENSG00000125510	ENST00000336866	
ENSG00000135124	ENST00000337233	
ENSG00000187800	ENST00000338302	
ENSG00000164129	ENST00000338566	
ENSG00000171054	ENST00000338616	
ENSG00000187474	ENST00000339223	
ENSG00000188340	ENST00000339258	
ENSG00000169962	ENST00000339381	
ENSG00000179603	ENST00000339582	ENSVPAP00000007719
ENSG00000171049	ENST00000340023	
ENSG00000204475	ENST00000340027	
ENSG00000068078	ENST00000340107	
ENSG00000101180	ENST00000340177	
ENSG00000159618	ENST00000340339	
ENSG00000187871	ENST00000340465	ENSVPAP00000003930
ENSG00000072071	ENST00000340736	
ENSG00000239590	ENST00000340750	
ENSG00000159346	ENST00000340990	ENSVPAP00000005134
ENSG00000187918	ENST00000341449	ENSVPAP00000000213
ENSG00000196131	ENST00000341702	
ENSG00000187957	ENST00000341772	ENSVPAP00000004847
ENSG00000122718	ENST00000341959	
ENSG00000168575	ENST00000342228	ENSVPAP00000003904
ENSG00000188888	ENST00000342292	
ENSG00000243772	ENST00000342376	
ENSG00000189181	ENST00000342623	
ENSG00000170412	ENST00000342648	
ENSG00000178568	ENST00000342788	ENSVPAP00000003961
ENSG00000196240	ENST00000342927	ENSVPAP00000006553
ENSG00000092421	ENST00000343348	ENSVPAP00000000971
ENSG00000187857	ENST00000343399	ENSVPAP00000004990
ENSG00000188558	ENST00000343414	ENSVPAP00000004868
ENSG00000188069	ENST00000343430	ENSVPAP00000007929
ENSG00000160791	ENST00000343801	
ENSG00000197706	ENST00000343870	
ENSG00000187848	ENST00000343948	
ENSG00000188000	ENST00000344248	ENSVPAP00000010292
ENSG00000187612	ENST00000344514	ENSVPAP00000011677
ENSG00000188763	ENST00000344575	
ENSG00000187701	ENST00000344889	ENSVPAP00000006552
ENSG00000187747	ENST00000345043	
ENSG00000188778	ENST00000345060	
ENSG00000156642	ENST00000345330	ENSVPAP00000005151
ENSG00000060656	ENST00000345512	ENSVPAP00000006063
ENSG00000189013	ENST00000345540	
ENSG00000104921	ENST00000346664	
ENSG00000162594	ENST00000347310	ENSVPAP00000000850
ENSG00000110448	ENST00000347785	ENSVPAP00000009920
ENSG00000116678	ENST00000349533	ENSVPAP00000000109
ENSG00000179468	ENST00000350513	
ENSG00000114739	ENST00000352511	
ENSG00000231192	ENST00000354565	
ENSG00000168079	ENST00000354914	
ENSG00000196098	ENST00000354924	
ENSG00000196189	ENST00000355014	
ENSG00000161944	ENST00000355035	
ENSG00000197405	ENST00000355085	ENSVPAP00000008473
ENSG00000197938	ENST00000355273	
ENSG00000166736	ENST00000355556	ENSVPAP00000003236
ENSG00000136869	ENST00000355622	ENSVPAP00000007709
ENSG00000157873	ENST00000355716	
ENSG00000198104	ENST00000355728	ENSVPAP00000010798
ENSG00000197591	ENST00000355784	
ENSG00000173890	ENST00000355897	ENSVPAP00000007430
ENSG00000165246	ENST00000355905	ENSVPAP00000011222
ENSG00000198053	ENST00000356025	
ENSG00000176937	ENST00000356069	
ENSG00000198657	ENST00000356130	
ENSG00000233412	ENST00000356526	
ENSG00000050628	ENST00000356595	ENSVPAP00000002716
ENSG00000173535	ENST00000356864	ENSVPAP00000005659
ENSG00000197081	ENST00000356956	
ENSG00000139187	ENST00000356986	ENSVPAP00000003676
ENSG00000196917	ENST00000356987	
ENSG00000196832	ENST00000357366	ENSVPAP00000005030
ENSG00000105426	ENST00000357368	
ENSG00000197786	ENST00000357377	
ENSG00000121797	ENST00000357392	ENSVPAP00000000483
ENSG00000197263	ENST00000357438	
ENSG00000180616	ENST00000357585	ENSVPAP00000006658
ENSG00000197428	ENST00000357605	
ENSG00000196772	ENST00000357627	ENSVPAP00000000142
ENSG00000196277	ENST00000357716	ENSVPAP00000008969
ENSG00000196341	ENST00000357821	
ENSG00000135622	ENST00000357877	
ENSG00000213694	ENST00000358157	
ENSG00000196411	ENST00000358173	
ENSG00000168329	ENST00000358309	
ENSG00000142627	ENST00000358432	
ENSG00000188324	ENST00000358433	
ENSG00000196578	ENST00000358642	ENSVPAP00000004535
ENSG00000072694	ENST00000358671	
ENSG00000196338	ENST00000358741	
ENSG00000126895	ENST00000358927	
ENSG00000163513	ENST00000359013	
ENSG00000134545	ENST00000359151	
ENSG00000177575	ENST00000359156	ENSVPAP00000009180
ENSG00000176895	ENST00000359350	ENSVPAP00000007941
ENSG00000148604	ENST00000359452	
ENSG00000004948	ENST00000359558	ENSVPAP00000002091
ENSG00000196539	ENST00000359594	
ENSG00000196218	ENST00000359596	
ENSG00000196171	ENST00000359610	
ENSG00000198601	ENST00000359682	
ENSG00000187258	ENST00000359791	ENSVPAP00000009304
ENSG00000117114	ENST00000359929	ENSVPAP00000001669
ENSG00000142949	ENST00000359947	
ENSG00000196126	ENST00000360004	ENSVPAP00000010803
ENSG00000072274	ENST00000360110	ENSVPAP00000009317
ENSG00000167851	ENST00000360141	
ENSG00000197790	ENST00000360213	
ENSG00000198283	ENST00000360374	
ENSG00000118257	ENST00000360409	ENSVPAP00000008853
ENSG00000197635	ENST00000360534	ENSVPAP00000010073
ENSG00000239732	ENST00000360658	
ENSG00000164270	ENST00000360693	ENSVPAP00000000359
ENSG00000170683	ENST00000360759	
ENSG00000170180	ENST00000360771	
ENSG00000119121	ENST00000360774	ENSVPAP00000003139
ENSG00000140538	ENST00000360948	ENSVPAP00000011486
ENSG00000197594	ENST00000360971	ENSVPAP00000005259
ENSG00000198967	ENST00000361284	ENSVPAP00000006701
ENSG00000196776	ENST00000361309	ENSVPAP00000003274
ENSG00000158458	ENST00000361474	
ENSG00000132704	ENST00000361516	
ENSG00000198822	ENST00000361669	
ENSG00000152822	ENST00000361719	ENSVPAP00000010490
ENSG00000198877	ENST00000361760	ENSVPAP00000006522
ENSG00000198851	ENST00000361763	ENSVPAP00000005180
ENSG00000105699	ENST00000361790	
ENSG00000198785	ENST00000361820	ENSVPAP00000002079
ENSG00000143297	ENST00000361835	ENSVPAP00000007785
ENSG00000198829	ENST00000362032	ENSVPAP00000006853
ENSG00000149295	ENST00000362072	
ENSG00000198821	ENST00000362089	
ENSG00000203618	ENST00000366425	
ENSG00000203661	ENST00000366473	
ENSG00000175143	ENST00000366474	
ENSG00000196944	ENST00000366475	
ENSG00000162727	ENST00000366476	
ENSG00000196071	ENST00000366478	ENSVPAP00000008615
ENSG00000241128	ENST00000366485	
ENSG00000196242	ENST00000366487	
ENSG00000054277	ENST00000366554	
ENSG00000116996	ENST00000366570	
ENSG00000077585	ENST00000366592	ENSVPAP00000010342
ENSG00000120436	ENST00000366834	
ENSG00000162769	ENST00000366971	ENSVPAP00000010767
ENSG00000076356	ENST00000367033	ENSVPAP00000007223
ENSG00000203710	ENST00000367049	ENSVPAP00000010161
ENSG00000198049	ENST00000367126	ENSVPAP00000007150
ENSG00000133067	ENST00000367278	
ENSG00000170075	ENST00000367282	
ENSG00000111981	ENST00000367345	
ENSG00000131015	ENST00000367351	
ENSG00000153029	ENST00000367580	
ENSG00000143324	ENST00000367590	ENSVPAP00000009364
ENSG00000112414	ENST00000367609	ENSVPAP00000003533
ENSG00000203737	ENST00000367685	ENSVPAP00000001188
ENSG00000027697	ENST00000367739	ENSVPAP00000003658
ENSG00000143147	ENST00000367838	ENSVPAP00000009830
ENSG00000143167	ENST00000367868	ENSVPAP00000000071
ENSG00000162733	ENST00000367922	ENSVPAP00000001000
ENSG00000162747	ENST00000367964	ENSVPAP00000007668
ENSG00000203747	ENST00000367969	ENSVPAP00000007668
ENSG00000143217	ENST00000368012	ENSVPAP00000007837
ENSG00000158769	ENST00000368026	ENSVPAP00000005706
ENSG00000122223	ENST00000368033	ENSVPAP00000006014
ENSG00000026751	ENST00000368043	ENSVPAP00000006011
ENSG00000162739	ENST00000368057	
ENSG00000179639	ENST00000368115	ENSVPAP00000009515
ENSG00000213088	ENST00000368121	
ENSG00000180433	ENST00000368144	
ENSG00000203757	ENST00000368145	
ENSG00000186400	ENST00000368150	ENSVPAP00000006700
ENSG00000198965	ENST00000368152	ENSVPAP00000007998
ENSG00000158473	ENST00000368171	
ENSG00000163534	ENST00000368176	ENSVPAP00000000440
ENSG00000160856	ENST00000368184	ENSVPAP00000007787
ENSG00000027644	ENST00000368195	
ENSG00000152894	ENST00000368213	ENSVPAP00000001527
ENSG00000173080	ENST00000368318	
ENSG00000160716	ENST00000368476	
ENSG00000160712	ENST00000368485	ENSVPAP00000004432
ENSG00000047936	ENST00000368508	ENSVPAP00000009552
ENSG00000159164	ENST00000369146	ENSVPAP00000007585
ENSG00000150337	ENST00000369168	
ENSG00000043591	ENST00000369295	
ENSG00000135333	ENST00000369303	ENSVPAP00000010805
ENSG00000143127	ENST00000369304	
ENSG00000198019	ENST00000369384	
ENSG00000116824	ENST00000369478	ENSVPAP00000007688
ENSG00000118432	ENST00000369501	ENSVPAP00000003875
ENSG00000121933	ENST00000369716	ENSVPAP00000003105
ENSG00000125522	ENST00000369768	
ENSG00000166160	ENST00000369929	
ENSG00000147380	ENST00000369935	
ENSG00000135312	ENST00000369947	
ENSG00000102076	ENST00000369951	
ENSG00000101204	ENST00000370263	
ENSG00000147402	ENST00000370306	ENSVPAP00000010339
ENSG00000011677	ENST00000370314	ENSVPAP00000005428
ENSG00000102287	ENST00000370328	ENSVPAP00000006139
ENSG00000101188	ENST00000370501	ENSVPAP00000008131
ENSG00000135298	ENST00000370598	ENSVPAP00000003407
ENSG00000102239	ENST00000370648	ENSVPAP00000004240
ENSG00000162618	ENST00000370742	ENSVPAP00000008559
ENSG00000122420	ENST00000370758	ENSVPAP00000009599
ENSG00000137252	ENST00000370862	ENSVPAP00000003928
ENSG00000185483	ENST00000371079	ENSVPAP00000007872
ENSG00000170927	ENST00000371117	ENSVPAP00000000504
ENSG00000162604	ENST00000371180	ENSVPAP00000003769
ENSG00000184292	ENST00000371225	
ENSG00000153292	ENST00000371253	ENSVPAP00000003366
ENSG00000186188	ENST00000371483	
ENSG00000176884	ENST00000371553	
ENSG00000131724	ENST00000371666	ENSVPAP00000005142
ENSG00000180772	ENST00000371906	
ENSG00000122375	ENST00000372071	
ENSG00000148600	ENST00000372117	
ENSG00000117425	ENST00000372192	
ENSG00000101017	ENST00000372285	
ENSG00000117400	ENST00000372470	
ENSG00000066056	ENST00000372476	
ENSG00000188828	ENST00000372617	ENSVPAP00000004646
ENSG00000124145	ENST00000372733	ENSVPAP00000004667
ENSG00000183317	ENST00000373048	
ENSG00000096264	ENST00000373089	
ENSG00000163873	ENST00000373091	
ENSG00000119535	ENST00000373103	
ENSG00000095970	ENST00000373113	
ENSG00000161911	ENST00000373127	ENSVPAP00000000145
ENSG00000196090	ENST00000373187	ENSVPAP00000011634
ENSG00000106991	ENST00000373203	
ENSG00000112164	ENST00000373256	
ENSG00000173198	ENST00000373304	
ENSG00000075073	ENST00000373306	ENSVPAP00000000587
ENSG00000188394	ENST00000373642	ENSVPAP00000005569
ENSG00000121753	ENST00000373658	
ENSG00000148215	ENST00000373680	
ENSG00000171501	ENST00000373688	
ENSG00000186810	ENST00000373691	
ENSG00000181773	ENST00000374024	
ENSG00000124493	ENST00000374181	
ENSG00000147168	ENST00000374202	
ENSG00000182749	ENST00000374296	
ENSG00000204174	ENST00000374312	ENSVPAP00000002641
ENSG00000096433	ENST00000374316	
ENSG00000198121	ENST00000374431	
ENSG00000030304	ENST00000374448	ENSVPAP00000007088
ENSG00000188822	ENST00000374472	ENSVPAP00000010500
ENSG00000101000	ENST00000374477	ENSVPAP00000010260
ENSG00000186912	ENST00000374519	
ENSG00000204217	ENST00000374580	ENSVPAP00000008831
ENSG00000133216	ENST00000374632	
ENSG00000177283	ENST00000374694	
ENSG00000131080	ENST00000374719	ENSVPAP00000008614
ENSG00000165029	ENST00000374736	ENSVPAP00000009079
ENSG00000255800	ENST00000374779	
ENSG00000204246	ENST00000374781	
ENSG00000168384	ENST00000374808	
ENSG00000237541	ENST00000374940	
ENSG00000106799	ENST00000374994	ENSVPAP00000009682
ENSG00000236981	ENST00000375024	
ENSG00000204305	ENST00000375076	
ENSG00000204345	ENST00000375352	
ENSG00000179002	ENST00000375371	
ENSG00000169071	ENST00000375708	
ENSG00000204420	ENST00000375806	
ENSG00000148053	ENST00000376214	ENSVPAP00000001726
ENSG00000028137	ENST00000376259	
ENSG00000080031	ENST00000376350	
ENSG00000151025	ENST00000376351	ENSVPAP00000009384
ENSG00000169508	ENST00000376414	ENSVPAP00000000164
ENSG00000204580	ENST00000376575	
ENSG00000229698	ENST00000376848	
ENSG00000206512	ENST00000376947	
ENSG00000204681	ENST00000377034	
ENSG00000178726	ENST00000377103	
ENSG00000204687	ENST00000377127	
ENSG00000204688	ENST00000377136	
ENSG00000204690	ENST00000377140	
ENSG00000112462	ENST00000377143	
ENSG00000204694	ENST00000377148	ENSVPAP00000011642
ENSG00000243729	ENST00000377154	
ENSG00000204695	ENST00000377160	ENSVPAP00000003110
ENSG00000204701	ENST00000377169	ENSVPAP00000001818
ENSG00000204702	ENST00000377171	ENSVPAP00000008398
ENSG00000204704	ENST00000377175	ENSVPAP00000007769
ENSG00000113749	ENST00000377291	ENSVPAP00000009274
ENSG00000180758	ENST00000377411	ENSVPAP00000004923
ENSG00000049249	ENST00000377507	ENSVPAP00000008408
ENSG00000204882	ENST00000377741	
ENSG00000215788	ENST00000377782	
ENSG00000158292	ENST00000377893	
ENSG00000168828	ENST00000377981	ENSVPAP00000005202
ENSG00000077943	ENST00000378076	ENSVPAP00000007299
ENSG00000171659	ENST00000378142	ENSVPAP00000007137
ENSG00000205029	ENST00000378396	
ENSG00000205030	ENST00000378397	
ENSG00000139679	ENST00000378434	ENSVPAP00000006399
ENSG00000182220	ENST00000378438	ENSVPAP00000011424
ENSG00000187730	ENST00000378585	ENSVPAP00000004200
ENSG00000134569	ENST00000378623	ENSVPAP00000011010
ENSG00000162881	ENST00000378661	
ENSG00000102468	ENST00000378688	ENSVPAP00000008794
ENSG00000169306	ENST00000378993	ENSVPAP00000006150
ENSG00000205213	ENST00000379214	ENSVPAP00000004821
ENSG00000186827	ENST00000379236	
ENSG00000165186	ENST00000379361	ENSVPAP00000007315
ENSG00000171873	ENST00000379453	
ENSG00000138741	ENST00000379645	ENSVPAP00000011266
ENSG00000205327	ENST00000379662	
ENSG00000205328	ENST00000379665	
ENSG00000205330	ENST00000379668	ENSVPAP00000011342
ENSG00000170782	ENST00000379829	ENSVPAP00000003464
ENSG00000173698	ENST00000379869	ENSVPAP00000002973
ENSG00000134460	ENST00000379959	ENSVPAP00000005105
ENSG00000178015	ENST00000380007	ENSVPAP00000000799
ENSG00000120156	ENST00000380036	ENSVPAP00000007397
ENSG00000167359	ENST00000380211	ENSVPAP00000000538
ENSG00000176239	ENST00000380219	
ENSG00000183251	ENST00000380224	ENSVPAP00000000535
ENSG00000126010	ENST00000380289	ENSVPAP00000009014
ENSG00000182070	ENST00000380367	ENSVPAP00000000834
ENSG00000205494	ENST00000380369	
ENSG00000205495	ENST00000380370	ENSVPAP00000007960
ENSG00000205496	ENST00000380371	ENSVPAP00000007953
ENSG00000205497	ENST00000380373	ENSVPAP00000007953
ENSG00000176900	ENST00000380378	
ENSG00000132670	ENST00000380393	ENSVPAP00000002129
ENSG00000120907	ENST00000380586	ENSVPAP00000009143
ENSG00000196664	ENST00000380659	ENSVPAP00000000301
ENSG00000139514	ENST00000380752	
ENSG00000146938	ENST00000381095	ENSVPAP00000011222
ENSG00000153707	ENST00000381196	ENSVPAP00000000634
ENSG00000182162	ENST00000381297	
ENSG00000134352	ENST00000381298	
ENSG00000120217	ENST00000381577	ENSVPAP00000007947
ENSG00000205809	ENST00000381902	
ENSG00000134539	ENST00000381907	ENSVPAP00000001934
ENSG00000172150	ENST00000381951	
ENSG00000159110	ENST00000382241	ENSVPAP00000008506
ENSG00000155269	ENST00000382487	
ENSG00000186090	ENST00000382489	
ENSG00000112902	ENST00000382496	ENSVPAP00000004897
ENSG00000231679	ENST00000383126	
ENSG00000206291	ENST00000383224	
ENSG00000206292	ENST00000383226	
ENSG00000206305	ENST00000383251	
ENSG00000206308	ENST00000383259	
ENSG00000184984	ENST00000383263	ENSVPAP00000006669
ENSG00000206320	ENST00000383279	
ENSG00000206396	ENST00000383412	
ENSG00000206430	ENST00000383476	
ENSG00000137403	ENST00000383516	
ENSG00000206466	ENST00000383542	
ENSG00000206470	ENST00000383549	
ENSG00000206471	ENST00000383550	
ENSG00000206472	ENST00000383551	
ENSG00000204692	ENST00000383556	
ENSG00000206493	ENST00000383597	
ENSG00000206506	ENST00000383623	
ENSG00000206509	ENST00000383627	
ENSG00000206511	ENST00000383638	
ENSG00000204657	ENST00000383640	
ENSG00000206515	ENST00000383643	
ENSG00000206516	ENST00000383644	
ENSG00000206517	ENST00000383645	
ENSG00000206522	ENST00000383651	
ENSG00000206524	ENST00000383653	
ENSG00000206525	ENST00000383654	
ENSG00000206536	ENST00000383695	
ENSG00000230301	ENST00000383696	
ENSG00000205336	ENST00000388812	
ENSG00000136011	ENST00000388887	ENSVPAP00000006330
ENSG00000156886	ENST00000389202	
ENSG00000196811	ENST00000389494	
ENSG00000080224	ENST00000389672	ENSVPAP00000010594
ENSG00000174948	ENST00000389740	ENSVPAP00000003760
ENSG00000006071	ENST00000389817	ENSVPAP00000004979
ENSG00000184350	ENST00000389832	
ENSG00000212807	ENST00000391496	ENSVPAP00000006249
ENSG00000204689	ENST00000391549	
ENSG00000167633	ENST00000391728	
ENSG00000186818	ENST00000391736	
ENSG00000167613	ENST00000391742	ENSVPAP00000005944
ENSG00000131042	ENST00000391749	
ENSG00000135898	ENST00000392040	
ENSG00000064989	ENST00000392370	ENSVPAP00000005218
ENSG00000197177	ENST00000392607	
ENSG00000007312	ENST00000392795	
ENSG00000106123	ENST00000392957	
ENSG00000106278	ENST00000393386	ENSVPAP00000002759
ENSG00000114554	ENST00000393409	
ENSG00000175591	ENST00000393597	
ENSG00000184845	ENST00000393752	ENSVPAP00000010103
ENSG00000144847	ENST00000393775	ENSVPAP00000000370
ENSG00000145864	ENST00000393959	ENSVPAP00000003470
ENSG00000156920	ENST00000394143	
ENSG00000179626	ENST00000394256	
ENSG00000186867	ENST00000394427	ENSVPAP00000006921
ENSG00000119737	ENST00000394705	
ENSG00000188372	ENST00000394857	ENSVPAP00000006902
ENSG00000164082	ENST00000395052	
ENSG00000172772	ENST00000395079	
ENSG00000137868	ENST00000395105	
ENSG00000181619	ENST00000395116	
ENSG00000165215	ENST00000395145	
ENSG00000126777	ENST00000395309	ENSVPAP00000000885
ENSG00000197471	ENST00000395389	ENSVPAP00000007779
ENSG00000077238	ENST00000395762	ENSVPAP00000006995
ENSG00000150093	ENST00000396033	ENSVPAP00000007280
ENSG00000179826	ENST00000396275	
ENSG00000244482	ENST00000396365	
ENSG00000183454	ENST00000396573	
ENSG00000206503	ENST00000396634	
ENSG00000137101	ENST00000396757	ENSVPAP00000001736
ENSG00000167332	ENST00000396950	ENSVPAP00000007925
ENSG00000180785	ENST00000396952	
ENSG00000115232	ENST00000397033	ENSVPAP00000003678
ENSG00000164849	ENST00000397095	
ENSG00000125245	ENST00000397473	ENSVPAP00000000163
ENSG00000162009	ENST00000397547	
ENSG00000197646	ENST00000397747	ENSVPAP00000007951
ENSG00000134160	ENST00000397795	ENSVPAP00000005808
ENSG00000160255	ENST00000397852	
ENSG00000154928	ENST00000398015	ENSVPAP00000006966
ENSG00000120088	ENST00000398285	ENSVPAP00000006868
ENSG00000127418	ENST00000398484	
ENSG00000184012	ENST00000398585	
ENSG00000231286	ENST00000399088	
ENSG00000206240	ENST00000399450	
ENSG00000171189	ENST00000399907	ENSVPAP00000011550
ENSG00000215522	ENST00000400489	
ENSG00000215644	ENST00000400723	
ENSG00000215764	ENST00000400875	
ENSG00000112486	ENST00000400926	
ENSG00000111886	ENST00000402938	ENSVPAP00000003882
ENSG00000182083	ENST00000402971	
ENSG00000121764	ENST00000403528	ENSVPAP00000008635
ENSG00000100368	ENST00000403662	ENSVPAP00000009913
ENSG00000179915	ENST00000404971	ENSVPAP00000003625
ENSG00000164199	ENST00000405460	ENSVPAP00000009120
ENSG00000132975	ENST00000405846	
ENSG00000170820	ENST00000406846	ENSVPAP00000002043
ENSG00000183671	ENST00000407325	
ENSG00000064547	ENST00000407877	
ENSG00000120903	ENST00000407991	
ENSG00000221888	ENST00000408896	
ENSG00000221933	ENST00000408898	ENSVPAP00000011783
ENSG00000221938	ENST00000408899	
ENSG00000221836	ENST00000408906	ENSVPAP00000011752
ENSG00000221996	ENST00000408920	
ENSG00000221813	ENST00000408922	ENSVPAP00000011715
ENSG00000221977	ENST00000408935	ENSVPAP00000011736
ENSG00000221858	ENST00000408949	ENSVPAP00000011750
ENSG00000221970	ENST00000408951	ENSVPAP00000006249
ENSG00000221989	ENST00000408979	
ENSG00000091409	ENST00000409080	ENSVPAP00000001695
ENSG00000222040	ENST00000409345	
ENSG00000121966	ENST00000409817	ENSVPAP00000009387
ENSG00000115594	ENST00000410023	ENSVPAP00000008233
ENSG00000115604	ENST00000410040	ENSVPAP00000008238
ENSG00000227639	ENST00000411447	
ENSG00000228987	ENST00000411505	
ENSG00000234794	ENST00000411524	
ENSG00000229680	ENST00000411574	
ENSG00000006638	ENST00000411851	ENSVPAP00000001374
ENSG00000020181	ENST00000412232	
ENSG00000229058	ENST00000412470	
ENSG00000234745	ENST00000412585	
ENSG00000225211	ENST00000412603	
ENSG00000099957	ENST00000413302	
ENSG00000232178	ENST00000414140	
ENSG00000154269	ENST00000414305	ENSVPAP00000005258
ENSG00000233481	ENST00000414415	
ENSG00000113327	ENST00000414552	ENSVPAP00000007757
ENSG00000230726	ENST00000414698	
ENSG00000224103	ENST00000415247	
ENSG00000229252	ENST00000415289	
ENSG00000224395	ENST00000415581	
ENSG00000233904	ENST00000415649	
ENSG00000237216	ENST00000415687	
ENSG00000233141	ENST00000415802	
ENSG00000226000	ENST00000415857	
ENSG00000226832	ENST00000415976	
ENSG00000233209	ENST00000416192	
ENSG00000198223	ENST00000417535	ENSVPAP00000001823
ENSG00000224320	ENST00000417978	
ENSG00000112218	ENST00000417980	ENSVPAP00000001168
ENSG00000234954	ENST00000418003	
ENSG00000168959	ENST00000418177	ENSVPAP00000000402
ENSG00000225781	ENST00000418316	
ENSG00000233618	ENST00000418630	
ENSG00000111199	ENST00000418703	
ENSG00000237808	ENST00000418936	
ENSG00000229866	ENST00000419260	
ENSG00000231389	ENST00000419277	ENSVPAP00000007491
ENSG00000228080	ENST00000419393	
ENSG00000229493	ENST00000419519	
ENSG00000232945	ENST00000419605	
ENSG00000231319	ENST00000419873	
ENSG00000228377	ENST00000420035	
ENSG00000233054	ENST00000420178	
ENSG00000228299	ENST00000420206	
ENSG00000228977	ENST00000420540	
ENSG00000226463	ENST00000421027	
ENSG00000234078	ENST00000421229	
ENSG00000164418	ENST00000421544	ENSVPAP00000002463
ENSG00000237258	ENST00000421634	
ENSG00000234101	ENST00000421766	
ENSG00000232984	ENST00000421808	
ENSG00000139626	ENST00000422257	ENSVPAP00000003830
ENSG00000228163	ENST00000422504	
ENSG00000232632	ENST00000423604	
ENSG00000196184	ENST00000423932	
ENSG00000231268	ENST00000424145	
ENSG00000237112	ENST00000425097	
ENSG00000073008	ENST00000425690	
ENSG00000223532	ENST00000425848	
ENSG00000077782	ENST00000425967	
ENSG00000231558	ENST00000426070	
ENSG00000243612	ENST00000426644	
ENSG00000232957	ENST00000426685	
ENSG00000230060	ENST00000426729	
ENSG00000230463	ENST00000426847	
ENSG00000230456	ENST00000427053	
ENSG00000230780	ENST00000427264	
ENSG00000231861	ENST00000427338	ENSVPAP00000002677
ENSG00000234746	ENST00000427744	
ENSG00000230254	ENST00000427936	
ENSG00000226271	ENST00000428081	
ENSG00000235220	ENST00000428296	
ENSG00000231003	ENST00000428302	
ENSG00000204632	ENST00000428701	
ENSG00000026508	ENST00000428726	ENSVPAP00000001280
ENSG00000170929	ENST00000429566	ENSVPAP00000006736
ENSG00000235680	ENST00000429890	
ENSG00000096996	ENST00000430026	ENSVPAP00000001884
ENSG00000224487	ENST00000430148	
ENSG00000233636	ENST00000430478	
ENSG00000234560	ENST00000431524	
ENSG00000180720	ENST00000433765	
ENSG00000228813	ENST00000433801	
ENSG00000232962	ENST00000434335	
ENSG00000225291	ENST00000434778	
ENSG00000112038	ENST00000434900	ENSVPAP00000001101
ENSG00000233095	ENST00000434907	
