ENSG00000003056	ENST00000000412	ENSAMEP00000007155
ENSG00000177489	ENST00000320065	
ENSG00000181803	ENST00000320704	ENSAMEP00000020744
ENSG00000176269	ENST00000320901	
ENSG00000178201	ENST00000321039	ENSAMEP00000004169
ENSG00000221866	ENST00000321063	ENSAMEP00000015942
ENSG00000181499	ENST00000321252	ENSAMEP00000012720
ENSG00000176742	ENST00000321255	ENSAMEP00000020845
ENSG00000181518	ENST00000321355	ENSAMEP00000012724
ENSG00000176787	ENST00000321522	ENSAMEP00000019823
ENSG00000176798	ENST00000321543	
ENSG00000179615	ENST00000321688	
ENSG00000244165	ENST00000321826	ENSAMEP00000020724
ENSG00000176879	ENST00000321961	
ENSG00000176893	ENST00000322013	ENSAMEP00000020679
ENSG00000176904	ENST00000322059	ENSAMEP00000007257
ENSG00000176922	ENST00000322101	ENSAMEP00000019994
ENSG00000176925	ENST00000322110	ENSAMEP00000015936
ENSG00000180929	ENST00000322241	
ENSG00000188269	ENST00000322301	
ENSG00000181609	ENST00000322641	ENSAMEP00000020066
ENSG00000181616	ENST00000322653	ENSAMEP00000019701
ENSG00000179695	ENST00000322678	
ENSG00000117335	ENST00000322875	ENSAMEP00000008692
ENSG00000177464	ENST00000323040	ENSAMEP00000020654
ENSG00000196610	ENST00000323109	
ENSG00000180090	ENST00000323404	
ENSG00000178394	ENST00000323865	ENSAMEP00000020759
ENSG00000181733	ENST00000324060	ENSAMEP00000020030
ENSG00000004399	ENST00000324093	ENSAMEP00000004676
ENSG00000178562	ENST00000324106	ENSAMEP00000003113
ENSG00000151617	ENST00000324300	ENSAMEP00000002112
ENSG00000104972	ENST00000324602	ENSAMEP00000005924
ENSG00000144481	ENST00000324695	ENSAMEP00000017004
ENSG00000176136	ENST00000324750	ENSAMEP00000020350
ENSG00000162897	ENST00000324852	ENSAMEP00000003822
ENSG00000114812	ENST00000325123	ENSAMEP00000013241
ENSG00000181631	ENST00000325602	ENSAMEP00000020127
ENSG00000181963	ENST00000325719	ENSAMEP00000021124
ENSG00000106128	ENST00000326139	ENSAMEP00000007192
ENSG00000177693	ENST00000326183	
ENSG00000179919	ENST00000326258	ENSAMEP00000020770
ENSG00000179934	ENST00000326306	ENSAMEP00000021318
ENSG00000240403	ENST00000326321	ENSAMEP00000003386
ENSG00000180269	ENST00000326571	ENSAMEP00000012688
ENSG00000006327	ENST00000326577	ENSAMEP00000005799
ENSG00000080644	ENST00000326828	ENSAMEP00000013437
ENSG00000181273	ENST00000326855	
ENSG00000019169	ENST00000327097	ENSAMEP00000008928
ENSG00000181371	ENST00000327216	ENSAMEP00000019584
ENSG00000166342	ENST00000327305	ENSAMEP00000014286
ENSG00000104938	ENST00000327325	
ENSG00000184954	ENST00000327335	ENSAMEP00000006393
ENSG00000185385	ENST00000327462	
ENSG00000185436	ENST00000327535	ENSAMEP00000010477
ENSG00000185231	ENST00000327606	ENSAMEP00000020341
ENSG00000153294	ENST00000327753	ENSAMEP00000001566
ENSG00000185897	ENST00000327809	ENSAMEP00000020296
ENSG00000221931	ENST00000327930	ENSAMEP00000020781
ENSG00000182771	ENST00000327946	ENSAMEP00000010397
ENSG00000197125	ENST00000328064	ENSAMEP00000020078
ENSG00000185926	ENST00000328188	
ENSG00000182613	ENST00000328275	ENSAMEP00000020899
ENSG00000185821	ENST00000328314	ENSAMEP00000020609
ENSG00000182334	ENST00000328375	
ENSG00000183473	ENST00000328544	ENSAMEP00000020945
ENSG00000182783	ENST00000328570	ENSAMEP00000020601
ENSG00000186891	ENST00000328596	ENSAMEP00000014332
ENSG00000184698	ENST00000328611	ENSAMEP00000020168
ENSG00000186407	ENST00000328630	ENSAMEP00000009374
ENSG00000183310	ENST00000328782	
ENSG00000183706	ENST00000328795	
ENSG00000184881	ENST00000328813	ENSAMEP00000020204
ENSG00000182782	ENST00000328880	ENSAMEP00000020667
ENSG00000184140	ENST00000328882	ENSAMEP00000021100
ENSG00000183024	ENST00000328890	ENSAMEP00000020008
ENSG00000206306	ENST00000328980	
ENSG00000182687	ENST00000329003	ENSAMEP00000010632
ENSG00000235568	ENST00000329021	ENSAMEP00000009971
ENSG00000185245	ENST00000329125	ENSAMEP00000006776
ENSG00000183840	ENST00000329321	ENSAMEP00000003220
ENSG00000205409	ENST00000329322	ENSAMEP00000020443
ENSG00000172742	ENST00000329328	ENSAMEP00000014943
ENSG00000185372	ENST00000329365	ENSAMEP00000019825
ENSG00000183303	ENST00000329434	ENSAMEP00000004593
ENSG00000185149	ENST00000329476	ENSAMEP00000020857
ENSG00000113763	ENST00000329542	ENSAMEP00000007627
ENSG00000183695	ENST00000329773	
ENSG00000183484	ENST00000329797	
ENSG00000184574	ENST00000329858	ENSAMEP00000014936
ENSG00000184160	ENST00000330055	ENSAMEP00000015686
ENSG00000182631	ENST00000330120	
ENSG00000182580	ENST00000330394	ENSAMEP00000017884
ENSG00000184022	ENST00000330500	
ENSG00000114013	ENST00000330540	ENSAMEP00000015036
ENSG00000167850	ENST00000330793	
ENSG00000183130	ENST00000330803	ENSAMEP00000020660
ENSG00000183813	ENST00000330953	ENSAMEP00000021288
ENSG00000185291	ENST00000331035	ENSAMEP00000005935
ENSG00000183729	ENST00000331251	ENSAMEP00000020292
ENSG00000183748	ENST00000331429	ENSAMEP00000011296
ENSG00000184166	ENST00000331459	ENSAMEP00000019524
ENSG00000172116	ENST00000331469	ENSAMEP00000010534
ENSG00000178852	ENST00000331493	ENSAMEP00000004277
ENSG00000182652	ENST00000331723	ENSAMEP00000006655
ENSG00000185920	ENST00000331920	ENSAMEP00000012253
ENSG00000184321	ENST00000332043	ENSAMEP00000020143
ENSG00000173482	ENST00000332175	ENSAMEP00000007859
ENSG00000196266	ENST00000332217	ENSAMEP00000016550
ENSG00000182854	ENST00000332238	ENSAMEP00000021101
ENSG00000182170	ENST00000332314	ENSAMEP00000007957
ENSG00000184451	ENST00000332438	ENSAMEP00000007023
ENSG00000183134	ENST00000332539	ENSAMEP00000007716
ENSG00000115590	ENST00000332549	ENSAMEP00000013804
ENSG00000184194	ENST00000332582	ENSAMEP00000005492
ENSG00000184933	ENST00000332601	ENSAMEP00000020695
ENSG00000232382	ENST00000332650	ENSAMEP00000020033
ENSG00000182974	ENST00000332663	
ENSG00000185097	ENST00000332831	
ENSG00000221890	ENST00000333039	ENSAMEP00000011358
ENSG00000173662	ENST00000333172	ENSAMEP00000010184
ENSG00000007908	ENST00000333360	ENSAMEP00000011886
ENSG00000182885	ENST00000333493	ENSAMEP00000018061
ENSG00000184394	ENST00000333629	ENSAMEP00000019576
ENSG00000182256	ENST00000333743	ENSAMEP00000008645
ENSG00000186119	ENST00000333976	ENSAMEP00000021239
ENSG00000136160	ENST00000334286	ENSAMEP00000005967
ENSG00000152990	ENST00000334304	ENSAMEP00000006830
ENSG00000186306	ENST00000334438	ENSAMEP00000020815
ENSG00000186265	ENST00000334529	ENSAMEP00000019151
ENSG00000186919	ENST00000334586	ENSAMEP00000010641
ENSG00000110148	ENST00000334619	ENSAMEP00000017359
ENSG00000186440	ENST00000334632	ENSAMEP00000019632
ENSG00000186881	ENST00000334726	ENSAMEP00000020917
ENSG00000180264	ENST00000334810	ENSAMEP00000011737
ENSG00000184155	ENST00000334857	ENSAMEP00000016549
ENSG00000186723	ENST00000334920	
ENSG00000186943	ENST00000335040	ENSAMEP00000020902
ENSG00000197403	ENST00000335094	ENSAMEP00000019666
ENSG00000186092	ENST00000335137	
ENSG00000221954	ENST00000335238	ENSAMEP00000020432
ENSG00000197233	ENST00000335302	
ENSG00000186038	ENST00000335304	ENSAMEP00000018288
ENSG00000107731	ENST00000335350	ENSAMEP00000018775
ENSG00000186509	ENST00000335397	ENSAMEP00000021086
ENSG00000186113	ENST00000335605	ENSAMEP00000021238
ENSG00000186297	ENST00000335625	ENSAMEP00000005996
ENSG00000257008	ENST00000335666	
ENSG00000125498	ENST00000336077	ENSAMEP00000003386
ENSG00000148680	ENST00000336152	ENSAMEP00000017724
ENSG00000044524	ENST00000336596	ENSAMEP00000008965
ENSG00000125510	ENST00000336866	ENSAMEP00000002134
ENSG00000135124	ENST00000337233	ENSAMEP00000014965
ENSG00000187800	ENST00000338302	ENSAMEP00000015566
ENSG00000164129	ENST00000338566	ENSAMEP00000015484
ENSG00000171054	ENST00000338616	ENSAMEP00000021325
ENSG00000187474	ENST00000339223	ENSAMEP00000020791
ENSG00000188340	ENST00000339258	ENSAMEP00000019671
ENSG00000169962	ENST00000339381	ENSAMEP00000014535
ENSG00000179603	ENST00000339582	ENSAMEP00000004863
ENSG00000171049	ENST00000340023	ENSAMEP00000020791
ENSG00000204475	ENST00000340027	ENSAMEP00000009939
ENSG00000068078	ENST00000340107	ENSAMEP00000014966
ENSG00000101180	ENST00000340177	ENSAMEP00000014129
ENSG00000159618	ENST00000340339	ENSAMEP00000018032
ENSG00000187871	ENST00000340465	ENSAMEP00000018443
ENSG00000072071	ENST00000340736	ENSAMEP00000013992
ENSG00000239590	ENST00000340750	ENSAMEP00000012797
ENSG00000159346	ENST00000340990	ENSAMEP00000012852
ENSG00000187918	ENST00000341449	
ENSG00000196131	ENST00000341702	ENSAMEP00000019797
ENSG00000187957	ENST00000341772	ENSAMEP00000017535
ENSG00000168575	ENST00000342228	ENSAMEP00000005375
ENSG00000188888	ENST00000342292	ENSAMEP00000004742
ENSG00000243772	ENST00000342376	ENSAMEP00000003386
ENSG00000189181	ENST00000342623	ENSAMEP00000000465
ENSG00000170412	ENST00000342648	ENSAMEP00000001425
ENSG00000178568	ENST00000342788	ENSAMEP00000007755
ENSG00000196240	ENST00000342927	ENSAMEP00000020648
ENSG00000092421	ENST00000343348	ENSAMEP00000016433
ENSG00000187857	ENST00000343399	ENSAMEP00000001356
ENSG00000188558	ENST00000343414	ENSAMEP00000019611
ENSG00000188069	ENST00000343430	ENSAMEP00000019950
ENSG00000160791	ENST00000343801	ENSAMEP00000020569
ENSG00000197706	ENST00000343870	ENSAMEP00000020254
ENSG00000187848	ENST00000343948	ENSAMEP00000014329
ENSG00000188000	ENST00000344248	
ENSG00000187612	ENST00000344514	
ENSG00000188763	ENST00000344575	ENSAMEP00000011748
ENSG00000187701	ENST00000344889	ENSAMEP00000020637
ENSG00000187747	ENST00000345043	
ENSG00000188778	ENST00000345060	ENSAMEP00000011626
ENSG00000156642	ENST00000345330	ENSAMEP00000006071
ENSG00000060656	ENST00000345512	ENSAMEP00000000582
ENSG00000189013	ENST00000345540	ENSAMEP00000003386
ENSG00000104921	ENST00000346664	ENSAMEP00000009007
ENSG00000162594	ENST00000347310	ENSAMEP00000004851
ENSG00000110448	ENST00000347785	ENSAMEP00000007959
ENSG00000116678	ENST00000349533	ENSAMEP00000019069
ENSG00000179468	ENST00000350513	ENSAMEP00000020561
ENSG00000114739	ENST00000352511	ENSAMEP00000018708
ENSG00000168079	ENST00000354914	ENSAMEP00000000142
ENSG00000196098	ENST00000354924	ENSAMEP00000019554
ENSG00000196189	ENST00000355014	ENSAMEP00000015167
ENSG00000161944	ENST00000355035	ENSAMEP00000017293
ENSG00000197405	ENST00000355085	ENSAMEP00000020562
ENSG00000166736	ENST00000355556	ENSAMEP00000014043
ENSG00000136869	ENST00000355622	ENSAMEP00000006107
ENSG00000157873	ENST00000355716	ENSAMEP00000014042
ENSG00000198104	ENST00000355728	ENSAMEP00000020610
ENSG00000173890	ENST00000355897	ENSAMEP00000020485
ENSG00000165246	ENST00000355905	ENSAMEP00000005725
ENSG00000198657	ENST00000356130	ENSAMEP00000020086
ENSG00000050628	ENST00000356595	ENSAMEP00000004074
ENSG00000173535	ENST00000356864	
ENSG00000197081	ENST00000356956	ENSAMEP00000016198
ENSG00000139187	ENST00000356986	ENSAMEP00000014821
ENSG00000196917	ENST00000356987	ENSAMEP00000020686
ENSG00000196832	ENST00000357366	ENSAMEP00000005022
ENSG00000105426	ENST00000357368	ENSAMEP00000012778
ENSG00000197786	ENST00000357377	ENSAMEP00000020574
ENSG00000121797	ENST00000357392	ENSAMEP00000020584
ENSG00000197263	ENST00000357438	ENSAMEP00000020552
ENSG00000180616	ENST00000357585	ENSAMEP00000020522
ENSG00000197428	ENST00000357605	ENSAMEP00000021126
ENSG00000196772	ENST00000357627	ENSAMEP00000020885
ENSG00000196277	ENST00000357716	
ENSG00000196341	ENST00000357821	ENSAMEP00000012653
ENSG00000135622	ENST00000357877	ENSAMEP00000018072
ENSG00000213694	ENST00000358157	ENSAMEP00000020954
ENSG00000196411	ENST00000358173	ENSAMEP00000015457
ENSG00000168329	ENST00000358309	ENSAMEP00000009398
ENSG00000142627	ENST00000358432	ENSAMEP00000012324
ENSG00000196578	ENST00000358642	ENSAMEP00000020776
ENSG00000072694	ENST00000358671	ENSAMEP00000001774
ENSG00000196338	ENST00000358741	ENSAMEP00000016907
ENSG00000126895	ENST00000358927	ENSAMEP00000019513
ENSG00000163513	ENST00000359013	ENSAMEP00000006262
ENSG00000134545	ENST00000359151	
ENSG00000177575	ENST00000359156	ENSAMEP00000014149
ENSG00000176895	ENST00000359350	ENSAMEP00000020665
ENSG00000148604	ENST00000359452	ENSAMEP00000010358
ENSG00000004948	ENST00000359558	ENSAMEP00000018761
ENSG00000196539	ENST00000359594	
ENSG00000196218	ENST00000359596	ENSAMEP00000010822
ENSG00000196171	ENST00000359610	ENSAMEP00000019643
ENSG00000198601	ENST00000359682	ENSAMEP00000020487
ENSG00000197437	ENST00000359688	
ENSG00000187258	ENST00000359791	ENSAMEP00000001804
ENSG00000117114	ENST00000359929	ENSAMEP00000006406
ENSG00000142949	ENST00000359947	ENSAMEP00000001594
ENSG00000196126	ENST00000360004	ENSAMEP00000002488
ENSG00000072274	ENST00000360110	ENSAMEP00000004192
ENSG00000167851	ENST00000360141	ENSAMEP00000001435
ENSG00000197790	ENST00000360213	ENSAMEP00000021125
ENSG00000198283	ENST00000360374	ENSAMEP00000019693
ENSG00000118257	ENST00000360409	ENSAMEP00000003337
ENSG00000197635	ENST00000360534	ENSAMEP00000005887
ENSG00000239732	ENST00000360658	ENSAMEP00000009559
ENSG00000164270	ENST00000360693	ENSAMEP00000001196
ENSG00000170683	ENST00000360759	
ENSG00000170180	ENST00000360771	
ENSG00000119121	ENST00000360774	ENSAMEP00000016603
ENSG00000140538	ENST00000360948	ENSAMEP00000013436
ENSG00000197594	ENST00000360971	ENSAMEP00000011068
ENSG00000198967	ENST00000361284	ENSAMEP00000019640
ENSG00000196776	ENST00000361309	ENSAMEP00000001544
ENSG00000158458	ENST00000361474	ENSAMEP00000011506
ENSG00000132704	ENST00000361516	
ENSG00000198822	ENST00000361669	ENSAMEP00000000799
ENSG00000152822	ENST00000361719	ENSAMEP00000006350
ENSG00000198877	ENST00000361760	ENSAMEP00000021237
ENSG00000198851	ENST00000361763	ENSAMEP00000013878
ENSG00000105699	ENST00000361790	ENSAMEP00000000246
ENSG00000198785	ENST00000361820	ENSAMEP00000000589
ENSG00000143297	ENST00000361835	ENSAMEP00000012624
ENSG00000198829	ENST00000362032	ENSAMEP00000009339
ENSG00000149295	ENST00000362072	ENSAMEP00000006483
ENSG00000198821	ENST00000362089	ENSAMEP00000000022
ENSG00000203618	ENST00000366425	
ENSG00000203661	ENST00000366473	ENSAMEP00000020601
ENSG00000175143	ENST00000366474	ENSAMEP00000020632
ENSG00000196944	ENST00000366475	ENSAMEP00000020601
ENSG00000162727	ENST00000366476	ENSAMEP00000020487
ENSG00000196071	ENST00000366478	ENSAMEP00000020019
ENSG00000241128	ENST00000366485	
ENSG00000196242	ENST00000366487	ENSAMEP00000020091
ENSG00000054277	ENST00000366554	ENSAMEP00000014711
ENSG00000116996	ENST00000366570	ENSAMEP00000003119
ENSG00000120436	ENST00000366834	
ENSG00000162769	ENST00000366971	ENSAMEP00000001489
ENSG00000076356	ENST00000367033	ENSAMEP00000008644
ENSG00000203710	ENST00000367049	ENSAMEP00000008713
ENSG00000117322	ENST00000367057	ENSAMEP00000003636
ENSG00000198049	ENST00000367126	ENSAMEP00000013361
ENSG00000133067	ENST00000367278	ENSAMEP00000012535
ENSG00000170075	ENST00000367282	ENSAMEP00000012602
ENSG00000111981	ENST00000367345	
ENSG00000131015	ENST00000367351	
ENSG00000153029	ENST00000367580	
ENSG00000143324	ENST00000367590	ENSAMEP00000003042
ENSG00000112414	ENST00000367609	ENSAMEP00000012331
ENSG00000203737	ENST00000367685	ENSAMEP00000020872
ENSG00000027697	ENST00000367739	ENSAMEP00000010628
ENSG00000143147	ENST00000367838	ENSAMEP00000006677
ENSG00000143167	ENST00000367868	ENSAMEP00000000019
ENSG00000162733	ENST00000367922	ENSAMEP00000001604
ENSG00000162747	ENST00000367964	ENSAMEP00000001801
ENSG00000203747	ENST00000367969	ENSAMEP00000001801
ENSG00000143217	ENST00000368012	ENSAMEP00000016449
ENSG00000158769	ENST00000368026	ENSAMEP00000016508
ENSG00000122223	ENST00000368033	ENSAMEP00000016535
ENSG00000026751	ENST00000368043	ENSAMEP00000014858
ENSG00000162739	ENST00000368057	ENSAMEP00000014917
ENSG00000179639	ENST00000368115	ENSAMEP00000004363
ENSG00000213088	ENST00000368121	ENSAMEP00000004350
ENSG00000180433	ENST00000368144	ENSAMEP00000019656
ENSG00000203757	ENST00000368145	ENSAMEP00000019647
ENSG00000186400	ENST00000368150	ENSAMEP00000019635
ENSG00000198965	ENST00000368152	
ENSG00000158473	ENST00000368171	ENSAMEP00000004765
ENSG00000163534	ENST00000368176	ENSAMEP00000004685
ENSG00000160856	ENST00000368184	ENSAMEP00000012646
ENSG00000173080	ENST00000368318	
ENSG00000160716	ENST00000368476	ENSAMEP00000012205
ENSG00000160712	ENST00000368485	ENSAMEP00000012289
ENSG00000047936	ENST00000368508	ENSAMEP00000006181
ENSG00000159164	ENST00000369146	ENSAMEP00000010621
ENSG00000150337	ENST00000369168	ENSAMEP00000007471
ENSG00000043591	ENST00000369295	ENSAMEP00000016055
ENSG00000135333	ENST00000369303	ENSAMEP00000013969
ENSG00000143127	ENST00000369304	ENSAMEP00000018606
ENSG00000198019	ENST00000369384	ENSAMEP00000007471
ENSG00000116824	ENST00000369478	ENSAMEP00000005474
ENSG00000118432	ENST00000369501	ENSAMEP00000020162
ENSG00000121933	ENST00000369716	ENSAMEP00000005724
ENSG00000125522	ENST00000369768	ENSAMEP00000002145
ENSG00000166160	ENST00000369929	ENSAMEP00000019500
ENSG00000147380	ENST00000369935	ENSAMEP00000019500
ENSG00000135312	ENST00000369947	ENSAMEP00000020671
ENSG00000102076	ENST00000369951	ENSAMEP00000019500
ENSG00000101204	ENST00000370263	ENSAMEP00000001600
ENSG00000147402	ENST00000370306	ENSAMEP00000012816
ENSG00000011677	ENST00000370314	ENSAMEP00000012782
ENSG00000102287	ENST00000370328	ENSAMEP00000001608
ENSG00000101188	ENST00000370501	ENSAMEP00000018334
ENSG00000102239	ENST00000370648	ENSAMEP00000003090
ENSG00000162618	ENST00000370742	ENSAMEP00000019279
ENSG00000122420	ENST00000370758	ENSAMEP00000019287
ENSG00000137252	ENST00000370862	ENSAMEP00000018440
ENSG00000185483	ENST00000371079	ENSAMEP00000015908
ENSG00000162604	ENST00000371180	ENSAMEP00000012302
ENSG00000184292	ENST00000371225	ENSAMEP00000000274
ENSG00000153292	ENST00000371253	ENSAMEP00000001659
ENSG00000186188	ENST00000371483	ENSAMEP00000014575
ENSG00000176884	ENST00000371553	ENSAMEP00000017441
ENSG00000131724	ENST00000371666	ENSAMEP00000002201
ENSG00000180772	ENST00000371906	ENSAMEP00000020829
ENSG00000122375	ENST00000372071	ENSAMEP00000010435
ENSG00000148600	ENST00000372117	ENSAMEP00000010326
ENSG00000117425	ENST00000372192	ENSAMEP00000015007
ENSG00000101017	ENST00000372285	ENSAMEP00000013591
ENSG00000117400	ENST00000372470	ENSAMEP00000001768
ENSG00000066056	ENST00000372476	ENSAMEP00000001831
ENSG00000188828	ENST00000372617	ENSAMEP00000011553
ENSG00000124145	ENST00000372733	ENSAMEP00000004475
ENSG00000183317	ENST00000373048	ENSAMEP00000001209
ENSG00000096264	ENST00000373089	ENSAMEP00000013867
ENSG00000163873	ENST00000373091	ENSAMEP00000001658
ENSG00000119535	ENST00000373103	ENSAMEP00000001585
ENSG00000095970	ENST00000373113	ENSAMEP00000004625
ENSG00000161911	ENST00000373127	ENSAMEP00000004635
ENSG00000196090	ENST00000373187	ENSAMEP00000009964
ENSG00000106991	ENST00000373203	ENSAMEP00000015956
ENSG00000112164	ENST00000373256	ENSAMEP00000014487
ENSG00000173198	ENST00000373304	ENSAMEP00000020947
ENSG00000075073	ENST00000373306	ENSAMEP00000018930
ENSG00000188394	ENST00000373642	
ENSG00000121753	ENST00000373658	ENSAMEP00000018801
ENSG00000148215	ENST00000373680	ENSAMEP00000019778
ENSG00000186810	ENST00000373691	ENSAMEP00000020825
ENSG00000181773	ENST00000374024	ENSAMEP00000021261
ENSG00000124493	ENST00000374181	ENSAMEP00000001143
ENSG00000147168	ENST00000374202	ENSAMEP00000016793
ENSG00000182749	ENST00000374296	ENSAMEP00000021260
ENSG00000204174	ENST00000374312	ENSAMEP00000021127
ENSG00000096433	ENST00000374316	ENSAMEP00000001413
ENSG00000198121	ENST00000374431	ENSAMEP00000019005
ENSG00000030304	ENST00000374448	ENSAMEP00000019017
ENSG00000188822	ENST00000374472	ENSAMEP00000021258
ENSG00000101000	ENST00000374477	ENSAMEP00000010182
ENSG00000186912	ENST00000374519	ENSAMEP00000021321
ENSG00000204217	ENST00000374580	ENSAMEP00000013862
ENSG00000133216	ENST00000374632	ENSAMEP00000015659
ENSG00000177283	ENST00000374694	ENSAMEP00000011074
ENSG00000131080	ENST00000374719	ENSAMEP00000015141
ENSG00000165029	ENST00000374736	ENSAMEP00000005536
ENSG00000255800	ENST00000374779	ENSAMEP00000020882
ENSG00000204246	ENST00000374781	ENSAMEP00000020906
ENSG00000168384	ENST00000374808	
ENSG00000237541	ENST00000374940	
ENSG00000106799	ENST00000374994	ENSAMEP00000004618
ENSG00000204305	ENST00000375076	ENSAMEP00000002629
ENSG00000204345	ENST00000375352	
ENSG00000179002	ENST00000375371	ENSAMEP00000018076
ENSG00000169071	ENST00000375708	ENSAMEP00000018354
ENSG00000204420	ENST00000375806	ENSAMEP00000009653
ENSG00000148053	ENST00000376214	ENSAMEP00000004235
ENSG00000028137	ENST00000376259	ENSAMEP00000010681
ENSG00000080031	ENST00000376350	ENSAMEP00000003748
ENSG00000169508	ENST00000376414	ENSAMEP00000021173
ENSG00000204580	ENST00000376575	ENSAMEP00000013831
ENSG00000229698	ENST00000376848	
ENSG00000206512	ENST00000376947	
ENSG00000204681	ENST00000377034	ENSAMEP00000017070
ENSG00000178726	ENST00000377103	ENSAMEP00000020149
ENSG00000204687	ENST00000377127	
ENSG00000204688	ENST00000377136	
ENSG00000204690	ENST00000377140	
ENSG00000112462	ENST00000377143	
ENSG00000204694	ENST00000377148	ENSAMEP00000020166
ENSG00000204695	ENST00000377160	ENSAMEP00000019903
ENSG00000204701	ENST00000377169	
ENSG00000204702	ENST00000377171	
ENSG00000204703	ENST00000377173	
ENSG00000113749	ENST00000377291	ENSAMEP00000020790
ENSG00000180758	ENST00000377411	ENSAMEP00000004213
ENSG00000049249	ENST00000377507	ENSAMEP00000003892
ENSG00000204882	ENST00000377741	
ENSG00000215788	ENST00000377782	ENSAMEP00000010255
ENSG00000158292	ENST00000377893	ENSAMEP00000010331
ENSG00000168828	ENST00000377981	ENSAMEP00000020415
ENSG00000077943	ENST00000378076	ENSAMEP00000003209
ENSG00000171659	ENST00000378142	ENSAMEP00000020627
ENSG00000205029	ENST00000378396	
ENSG00000139679	ENST00000378434	ENSAMEP00000019689
ENSG00000182220	ENST00000378438	ENSAMEP00000007388
ENSG00000187730	ENST00000378585	ENSAMEP00000014264
ENSG00000134569	ENST00000378623	ENSAMEP00000007510
ENSG00000162881	ENST00000378661	ENSAMEP00000020329
ENSG00000102468	ENST00000378688	ENSAMEP00000014100
ENSG00000169306	ENST00000378993	ENSAMEP00000009707
ENSG00000205213	ENST00000379214	ENSAMEP00000015303
ENSG00000186827	ENST00000379236	ENSAMEP00000014345
ENSG00000165186	ENST00000379361	ENSAMEP00000015476
ENSG00000171873	ENST00000379453	ENSAMEP00000020925
ENSG00000138741	ENST00000379645	ENSAMEP00000006392
ENSG00000205327	ENST00000379662	ENSAMEP00000019822
ENSG00000205328	ENST00000379665	
ENSG00000205329	ENST00000379667	ENSAMEP00000015378
ENSG00000205330	ENST00000379668	ENSAMEP00000015375
ENSG00000170782	ENST00000379829	ENSAMEP00000020203
ENSG00000173698	ENST00000379869	ENSAMEP00000017710
ENSG00000134460	ENST00000379959	ENSAMEP00000002208
ENSG00000178015	ENST00000380007	ENSAMEP00000011208
ENSG00000120156	ENST00000380036	ENSAMEP00000001894
ENSG00000167359	ENST00000380211	ENSAMEP00000020106
ENSG00000176239	ENST00000380219	ENSAMEP00000020190
ENSG00000183251	ENST00000380224	ENSAMEP00000020219
ENSG00000126010	ENST00000380289	ENSAMEP00000010926
ENSG00000205494	ENST00000380369	
ENSG00000176900	ENST00000380378	ENSAMEP00000019927
ENSG00000132670	ENST00000380393	ENSAMEP00000011698
ENSG00000120907	ENST00000380586	ENSAMEP00000000236
ENSG00000196664	ENST00000380659	ENSAMEP00000020832
ENSG00000139514	ENST00000380752	ENSAMEP00000009391
ENSG00000146938	ENST00000381095	ENSAMEP00000005725
ENSG00000182162	ENST00000381297	ENSAMEP00000019721
ENSG00000134352	ENST00000381298	
ENSG00000120217	ENST00000381577	ENSAMEP00000010322
ENSG00000205809	ENST00000381902	
ENSG00000134539	ENST00000381907	ENSAMEP00000004875
ENSG00000159110	ENST00000382241	ENSAMEP00000015815
ENSG00000155269	ENST00000382487	
ENSG00000186090	ENST00000382489	ENSAMEP00000018301
ENSG00000112902	ENST00000382496	ENSAMEP00000004097
ENSG00000231679	ENST00000383126	
ENSG00000206291	ENST00000383224	
ENSG00000206292	ENST00000383226	
ENSG00000206305	ENST00000383251	
ENSG00000206308	ENST00000383259	
ENSG00000184984	ENST00000383263	ENSAMEP00000021274
ENSG00000206320	ENST00000383279	
ENSG00000206396	ENST00000383412	
ENSG00000206430	ENST00000383476	
ENSG00000137403	ENST00000383516	
ENSG00000206466	ENST00000383542	
ENSG00000206470	ENST00000383549	
ENSG00000206471	ENST00000383550	
ENSG00000206472	ENST00000383551	
ENSG00000168787	ENST00000383555	ENSAMEP00000007978
ENSG00000204692	ENST00000383556	
ENSG00000206493	ENST00000383597	
ENSG00000206506	ENST00000383623	
ENSG00000206509	ENST00000383627	
ENSG00000206511	ENST00000383638	
ENSG00000204657	ENST00000383640	
ENSG00000206515	ENST00000383643	
ENSG00000206516	ENST00000383644	
ENSG00000206517	ENST00000383645	
ENSG00000206522	ENST00000383651	
ENSG00000206524	ENST00000383653	
ENSG00000206525	ENST00000383654	
ENSG00000205336	ENST00000388812	ENSAMEP00000018054
ENSG00000136011	ENST00000388887	ENSAMEP00000006828
ENSG00000196811	ENST00000389494	ENSAMEP00000017435
ENSG00000080224	ENST00000389672	ENSAMEP00000014393
ENSG00000174948	ENST00000389740	ENSAMEP00000012314
ENSG00000006071	ENST00000389817	ENSAMEP00000003302
ENSG00000184350	ENST00000389832	
ENSG00000212807	ENST00000391496	ENSAMEP00000009101
ENSG00000204689	ENST00000391549	
ENSG00000167633	ENST00000391728	ENSAMEP00000003386
ENSG00000186818	ENST00000391736	
ENSG00000167613	ENST00000391742	ENSAMEP00000004900
ENSG00000131042	ENST00000391749	ENSAMEP00000005924
ENSG00000135898	ENST00000392040	ENSAMEP00000019864
ENSG00000064989	ENST00000392370	ENSAMEP00000009723
ENSG00000197177	ENST00000392607	
ENSG00000007312	ENST00000392795	ENSAMEP00000003188
