ENSG00000003056	ENST00000000412	ENSLAFP00000008884
ENSG00000186891	ENST00000328596	ENSLAFP00000014151
ENSG00000184698	ENST00000328611	ENSLAFP00000026699
ENSG00000186407	ENST00000328630	ENSLAFP00000019929
ENSG00000184881	ENST00000328813	ENSLAFP00000026364
ENSG00000182782	ENST00000328880	ENSLAFP00000019159
ENSG00000184140	ENST00000328882	ENSLAFP00000006470
ENSG00000183024	ENST00000328890	ENSLAFP00000028421
ENSG00000206306	ENST00000328980	
ENSG00000182687	ENST00000329003	ENSLAFP00000019371
ENSG00000235568	ENST00000329021	ENSLAFP00000016105
ENSG00000185245	ENST00000329125	ENSLAFP00000028704
ENSG00000183840	ENST00000329321	ENSLAFP00000016748
ENSG00000172742	ENST00000329328	
ENSG00000185149	ENST00000329476	ENSLAFP00000009714
ENSG00000113763	ENST00000329542	ENSLAFP00000019506
ENSG00000183695	ENST00000329773	
ENSG00000183484	ENST00000329797	ENSLAFP00000025613
ENSG00000184574	ENST00000329858	ENSLAFP00000026864
ENSG00000184160	ENST00000330055	
ENSG00000182631	ENST00000330120	ENSLAFP00000014319
ENSG00000182580	ENST00000330394	ENSLAFP00000028350
ENSG00000184022	ENST00000330500	
ENSG00000114013	ENST00000330540	ENSLAFP00000020451
ENSG00000183389	ENST00000330728	ENSLAFP00000024700
ENSG00000167850	ENST00000330793	
ENSG00000183813	ENST00000330953	ENSLAFP00000025648
ENSG00000185291	ENST00000331035	ENSLAFP00000024813
ENSG00000183729	ENST00000331251	ENSLAFP00000001207
ENSG00000183748	ENST00000331429	ENSLAFP00000029146
ENSG00000172116	ENST00000331469	ENSLAFP00000005086
ENSG00000178852	ENST00000331493	ENSLAFP00000003574
ENSG00000182652	ENST00000331723	
ENSG00000185920	ENST00000331920	ENSLAFP00000005863
ENSG00000184321	ENST00000332043	ENSLAFP00000023490
ENSG00000173482	ENST00000332175	ENSLAFP00000006761
ENSG00000182854	ENST00000332238	ENSLAFP00000016840
ENSG00000182170	ENST00000332314	
ENSG00000184451	ENST00000332438	ENSLAFP00000018384
ENSG00000183134	ENST00000332539	ENSLAFP00000007926
ENSG00000115590	ENST00000332549	ENSLAFP00000011446
ENSG00000184194	ENST00000332582	ENSLAFP00000020181
ENSG00000184933	ENST00000332601	ENSLAFP00000025985
ENSG00000182974	ENST00000332663	ENSLAFP00000015588
ENSG00000185097	ENST00000332831	ENSLAFP00000027830
ENSG00000221890	ENST00000333039	ENSLAFP00000016274
ENSG00000173662	ENST00000333172	ENSLAFP00000026841
ENSG00000007908	ENST00000333360	ENSLAFP00000006032
ENSG00000182885	ENST00000333493	ENSLAFP00000009841
ENSG00000184394	ENST00000333629	ENSLAFP00000022537
ENSG00000182256	ENST00000333743	ENSLAFP00000007478
ENSG00000136160	ENST00000334286	ENSLAFP00000010986
ENSG00000152990	ENST00000334304	ENSLAFP00000003263
ENSG00000186306	ENST00000334438	ENSLAFP00000023697
ENSG00000186265	ENST00000334529	ENSLAFP00000013669
ENSG00000186919	ENST00000334586	ENSLAFP00000018102
ENSG00000110148	ENST00000334619	ENSLAFP00000011697
ENSG00000186440	ENST00000334632	ENSLAFP00000016471
ENSG00000186881	ENST00000334726	
ENSG00000180264	ENST00000334810	ENSLAFP00000015553
ENSG00000184155	ENST00000334857	ENSLAFP00000016318
ENSG00000186723	ENST00000334920	ENSLAFP00000025088
ENSG00000186943	ENST00000335040	ENSLAFP00000022781
ENSG00000197403	ENST00000335094	ENSLAFP00000024943
ENSG00000186092	ENST00000335137	ENSLAFP00000023847
ENSG00000221954	ENST00000335238	ENSLAFP00000028278
ENSG00000197233	ENST00000335302	
ENSG00000186038	ENST00000335304	
ENSG00000107731	ENST00000335350	ENSLAFP00000004457
ENSG00000186509	ENST00000335397	ENSLAFP00000029311
ENSG00000186297	ENST00000335625	ENSLAFP00000019130
ENSG00000257008	ENST00000335666	ENSLAFP00000000303
ENSG00000125498	ENST00000336077	ENSLAFP00000028380
ENSG00000148680	ENST00000336152	ENSLAFP00000013354
ENSG00000044524	ENST00000336596	ENSLAFP00000000040
ENSG00000125510	ENST00000336866	ENSLAFP00000012324
ENSG00000135124	ENST00000337233	ENSLAFP00000005523
ENSG00000187800	ENST00000338302	ENSLAFP00000001112
ENSG00000164129	ENST00000338566	ENSLAFP00000019327
ENSG00000171054	ENST00000338616	
ENSG00000187474	ENST00000339223	ENSLAFP00000025785
ENSG00000188340	ENST00000339258	ENSLAFP00000028129
ENSG00000169962	ENST00000339381	ENSLAFP00000027411
ENSG00000171049	ENST00000340023	
ENSG00000204475	ENST00000340027	ENSLAFP00000023250
ENSG00000068078	ENST00000340107	ENSLAFP00000018403
ENSG00000101180	ENST00000340177	ENSLAFP00000017160
ENSG00000159618	ENST00000340339	ENSLAFP00000012030
ENSG00000187871	ENST00000340465	ENSLAFP00000000138
ENSG00000072071	ENST00000340736	ENSLAFP00000012724
ENSG00000159346	ENST00000340990	ENSLAFP00000002932
ENSG00000187918	ENST00000341449	ENSLAFP00000018992
ENSG00000196131	ENST00000341702	ENSLAFP00000015927
ENSG00000187957	ENST00000341772	ENSLAFP00000009926
ENSG00000122718	ENST00000341959	ENSLAFP00000026133
ENSG00000168575	ENST00000342228	ENSLAFP00000003323
ENSG00000188888	ENST00000342292	ENSLAFP00000012794
ENSG00000243772	ENST00000342376	ENSLAFP00000028380
ENSG00000170412	ENST00000342648	ENSLAFP00000008975
ENSG00000092421	ENST00000343348	ENSLAFP00000003666
ENSG00000187857	ENST00000343399	ENSLAFP00000016724
ENSG00000188558	ENST00000343414	
ENSG00000188069	ENST00000343430	ENSLAFP00000027021
ENSG00000160791	ENST00000343801	ENSLAFP00000026622
ENSG00000197706	ENST00000343870	ENSLAFP00000006105
ENSG00000187848	ENST00000343948	ENSLAFP00000025669
ENSG00000188763	ENST00000344575	
ENSG00000187701	ENST00000344889	ENSLAFP00000016007
ENSG00000187747	ENST00000345043	ENSLAFP00000018155
ENSG00000188778	ENST00000345060	ENSLAFP00000026999
ENSG00000156642	ENST00000345330	ENSLAFP00000001130
ENSG00000060656	ENST00000345512	ENSLAFP00000008463
ENSG00000189013	ENST00000345540	ENSLAFP00000028380
ENSG00000104921	ENST00000346664	ENSLAFP00000022136
ENSG00000162594	ENST00000347310	ENSLAFP00000014790
ENSG00000110448	ENST00000347785	ENSLAFP00000014131
ENSG00000116678	ENST00000349533	ENSLAFP00000003001
ENSG00000114739	ENST00000352511	ENSLAFP00000027163
ENSG00000231192	ENST00000354565	
ENSG00000168079	ENST00000354914	ENSLAFP00000014001
ENSG00000196098	ENST00000354924	ENSLAFP00000016127
ENSG00000196189	ENST00000355014	ENSLAFP00000002372
ENSG00000161944	ENST00000355035	ENSLAFP00000013328
ENSG00000197405	ENST00000355085	ENSLAFP00000016362
ENSG00000197938	ENST00000355273	
ENSG00000166736	ENST00000355556	ENSLAFP00000006371
ENSG00000136869	ENST00000355622	ENSLAFP00000005694
ENSG00000157873	ENST00000355716	ENSLAFP00000003714
ENSG00000173890	ENST00000355897	
ENSG00000165246	ENST00000355905	ENSLAFP00000001647
ENSG00000198053	ENST00000356025	
ENSG00000176937	ENST00000356069	ENSLAFP00000023240
ENSG00000198657	ENST00000356130	ENSLAFP00000011026
ENSG00000233412	ENST00000356526	
ENSG00000050628	ENST00000356595	ENSLAFP00000015591
ENSG00000173535	ENST00000356864	ENSLAFP00000006097
ENSG00000197081	ENST00000356956	ENSLAFP00000027769
ENSG00000139187	ENST00000356986	
ENSG00000196917	ENST00000356987	ENSLAFP00000016242
ENSG00000105426	ENST00000357368	ENSLAFP00000026347
ENSG00000197786	ENST00000357377	
ENSG00000121797	ENST00000357392	ENSLAFP00000020676
ENSG00000180616	ENST00000357585	ENSLAFP00000028607
ENSG00000197428	ENST00000357605	ENSLAFP00000009937
ENSG00000196772	ENST00000357627	
ENSG00000196277	ENST00000357716	ENSLAFP00000001949
ENSG00000135622	ENST00000357877	ENSLAFP00000021807
ENSG00000213694	ENST00000358157	ENSLAFP00000006127
ENSG00000196411	ENST00000358173	ENSLAFP00000016973
ENSG00000168329	ENST00000358309	ENSLAFP00000004021
ENSG00000142627	ENST00000358432	ENSLAFP00000006472
ENSG00000188324	ENST00000358433	ENSLAFP00000016560
ENSG00000196578	ENST00000358642	ENSLAFP00000017551
ENSG00000072694	ENST00000358671	
ENSG00000196338	ENST00000358741	ENSLAFP00000014587
ENSG00000126895	ENST00000358927	ENSLAFP00000021557
ENSG00000163513	ENST00000359013	ENSLAFP00000003159
ENSG00000134545	ENST00000359151	
ENSG00000177575	ENST00000359156	ENSLAFP00000002452
ENSG00000176895	ENST00000359350	ENSLAFP00000008020
ENSG00000148604	ENST00000359452	ENSLAFP00000012288
ENSG00000004948	ENST00000359558	ENSLAFP00000024905
ENSG00000196218	ENST00000359596	ENSLAFP00000026759
ENSG00000196171	ENST00000359610	ENSLAFP00000024594
ENSG00000187258	ENST00000359791	ENSLAFP00000015087
ENSG00000117114	ENST00000359929	ENSLAFP00000011062
ENSG00000142949	ENST00000359947	ENSLAFP00000023375
ENSG00000196126	ENST00000360004	ENSLAFP00000001107
ENSG00000072274	ENST00000360110	ENSLAFP00000001682
ENSG00000167851	ENST00000360141	ENSLAFP00000002666
ENSG00000198283	ENST00000360374	ENSLAFP00000022431
ENSG00000118257	ENST00000360409	ENSLAFP00000023838
ENSG00000197635	ENST00000360534	ENSLAFP00000019642
ENSG00000239732	ENST00000360658	ENSLAFP00000026970
ENSG00000164270	ENST00000360693	ENSLAFP00000011168
ENSG00000170180	ENST00000360771	
ENSG00000140538	ENST00000360948	ENSLAFP00000012758
ENSG00000197594	ENST00000360971	ENSLAFP00000008990
ENSG00000198967	ENST00000361284	ENSLAFP00000010082
ENSG00000196776	ENST00000361309	ENSLAFP00000011805
ENSG00000158458	ENST00000361474	ENSLAFP00000024015
ENSG00000132704	ENST00000361516	ENSLAFP00000008415
ENSG00000198822	ENST00000361669	ENSLAFP00000019100
ENSG00000152822	ENST00000361719	ENSLAFP00000013172
ENSG00000198851	ENST00000361763	ENSLAFP00000009439
ENSG00000105699	ENST00000361790	ENSLAFP00000023059
ENSG00000198785	ENST00000361820	ENSLAFP00000009458
ENSG00000143297	ENST00000361835	ENSLAFP00000025651
ENSG00000198829	ENST00000362032	
ENSG00000149295	ENST00000362072	ENSLAFP00000005475
ENSG00000198821	ENST00000362089	ENSLAFP00000027383
ENSG00000203618	ENST00000366425	
ENSG00000241128	ENST00000366485	
ENSG00000196242	ENST00000366487	ENSLAFP00000021191
ENSG00000054277	ENST00000366554	ENSLAFP00000026044
ENSG00000116996	ENST00000366570	ENSLAFP00000028241
ENSG00000077585	ENST00000366592	ENSLAFP00000001183
ENSG00000120436	ENST00000366834	ENSLAFP00000018101
ENSG00000162769	ENST00000366971	ENSLAFP00000009793
ENSG00000076356	ENST00000367033	ENSLAFP00000005976
ENSG00000203710	ENST00000367049	ENSLAFP00000025801
ENSG00000117322	ENST00000367057	ENSLAFP00000008025
ENSG00000198049	ENST00000367126	ENSLAFP00000010133
ENSG00000133067	ENST00000367278	ENSLAFP00000018138
ENSG00000170075	ENST00000367282	ENSLAFP00000019830
ENSG00000111981	ENST00000367345	ENSLAFP00000018057
ENSG00000131015	ENST00000367351	ENSLAFP00000018057
ENSG00000153029	ENST00000367580	ENSLAFP00000019854
ENSG00000143324	ENST00000367590	ENSLAFP00000003705
ENSG00000112414	ENST00000367609	ENSLAFP00000004228
ENSG00000203737	ENST00000367685	
ENSG00000027697	ENST00000367739	ENSLAFP00000024709
ENSG00000143147	ENST00000367838	ENSLAFP00000006089
ENSG00000143167	ENST00000367868	ENSLAFP00000015654
ENSG00000162733	ENST00000367922	ENSLAFP00000001524
ENSG00000162747	ENST00000367964	ENSLAFP00000010494
ENSG00000203747	ENST00000367969	ENSLAFP00000010494
ENSG00000143217	ENST00000368012	ENSLAFP00000005196
ENSG00000158769	ENST00000368026	ENSLAFP00000016545
ENSG00000122223	ENST00000368033	ENSLAFP00000023789
ENSG00000026751	ENST00000368043	ENSLAFP00000004269
ENSG00000162739	ENST00000368057	ENSLAFP00000027495
ENSG00000179639	ENST00000368115	ENSLAFP00000003520
ENSG00000213088	ENST00000368121	ENSLAFP00000025151
ENSG00000203757	ENST00000368145	ENSLAFP00000015899
ENSG00000198965	ENST00000368152	ENSLAFP00000022219
ENSG00000158473	ENST00000368171	ENSLAFP00000011479
ENSG00000163534	ENST00000368176	ENSLAFP00000002075
ENSG00000160856	ENST00000368184	ENSLAFP00000000668
ENSG00000027644	ENST00000368195	ENSLAFP00000021761
ENSG00000152894	ENST00000368213	ENSLAFP00000013113
ENSG00000173080	ENST00000368318	ENSLAFP00000017810
ENSG00000160716	ENST00000368476	ENSLAFP00000014589
ENSG00000160712	ENST00000368485	ENSLAFP00000015106
ENSG00000047936	ENST00000368508	ENSLAFP00000008224
ENSG00000159164	ENST00000369146	ENSLAFP00000007162
ENSG00000043591	ENST00000369295	ENSLAFP00000019001
ENSG00000135333	ENST00000369303	ENSLAFP00000015158
ENSG00000143127	ENST00000369304	ENSLAFP00000026252
ENSG00000116824	ENST00000369478	ENSLAFP00000012048
ENSG00000118432	ENST00000369501	ENSLAFP00000018257
ENSG00000121933	ENST00000369716	ENSLAFP00000019045
ENSG00000125522	ENST00000369768	
ENSG00000166160	ENST00000369929	ENSLAFP00000008637
ENSG00000147380	ENST00000369935	ENSLAFP00000008637
ENSG00000135312	ENST00000369947	ENSLAFP00000023551
ENSG00000102076	ENST00000369951	ENSLAFP00000008637
ENSG00000101204	ENST00000370263	ENSLAFP00000004527
ENSG00000147402	ENST00000370306	ENSLAFP00000003009
ENSG00000011677	ENST00000370314	ENSLAFP00000004654
ENSG00000102287	ENST00000370328	ENSLAFP00000002645
ENSG00000101188	ENST00000370501	ENSLAFP00000007444
ENSG00000135298	ENST00000370598	ENSLAFP00000009886
ENSG00000102239	ENST00000370648	ENSLAFP00000029319
ENSG00000162618	ENST00000370742	ENSLAFP00000012301
ENSG00000122420	ENST00000370758	ENSLAFP00000004336
ENSG00000137252	ENST00000370862	ENSLAFP00000000136
ENSG00000185483	ENST00000371079	ENSLAFP00000010560
ENSG00000162604	ENST00000371180	ENSLAFP00000011701
ENSG00000184292	ENST00000371225	ENSLAFP00000018413
ENSG00000153292	ENST00000371253	ENSLAFP00000008144
ENSG00000186188	ENST00000371483	ENSLAFP00000012695
ENSG00000176884	ENST00000371553	ENSLAFP00000028680
ENSG00000131724	ENST00000371666	ENSLAFP00000005634
ENSG00000180772	ENST00000371906	ENSLAFP00000003972
ENSG00000122375	ENST00000372071	ENSLAFP00000005036
ENSG00000148600	ENST00000372117	ENSLAFP00000011755
ENSG00000117425	ENST00000372192	ENSLAFP00000025707
ENSG00000101017	ENST00000372285	ENSLAFP00000022508
ENSG00000117400	ENST00000372470	ENSLAFP00000019632
ENSG00000066056	ENST00000372476	ENSLAFP00000016252
ENSG00000188828	ENST00000372617	ENSLAFP00000028302
ENSG00000124145	ENST00000372733	ENSLAFP00000006834
ENSG00000183317	ENST00000373048	ENSLAFP00000014712
ENSG00000096264	ENST00000373089	ENSLAFP00000002204
ENSG00000163873	ENST00000373091	ENSLAFP00000012743
ENSG00000119535	ENST00000373103	ENSLAFP00000012105
ENSG00000095970	ENST00000373113	ENSLAFP00000013301
ENSG00000161911	ENST00000373127	ENSLAFP00000008474
ENSG00000196090	ENST00000373187	ENSLAFP00000011399
ENSG00000106991	ENST00000373203	ENSLAFP00000002365
ENSG00000112164	ENST00000373256	ENSLAFP00000003609
ENSG00000173198	ENST00000373304	ENSLAFP00000017653
ENSG00000075073	ENST00000373306	ENSLAFP00000015057
ENSG00000188394	ENST00000373642	
ENSG00000121753	ENST00000373658	
ENSG00000148215	ENST00000373680	
ENSG00000186810	ENST00000373691	ENSLAFP00000029194
ENSG00000181773	ENST00000374024	ENSLAFP00000008880
ENSG00000124493	ENST00000374181	ENSLAFP00000019480
ENSG00000147168	ENST00000374202	ENSLAFP00000006134
ENSG00000182749	ENST00000374296	ENSLAFP00000016455
ENSG00000204174	ENST00000374312	
ENSG00000096433	ENST00000374316	ENSLAFP00000017503
ENSG00000198121	ENST00000374431	ENSLAFP00000010551
ENSG00000030304	ENST00000374448	ENSLAFP00000012848
ENSG00000188822	ENST00000374472	ENSLAFP00000010599
ENSG00000101000	ENST00000374477	ENSLAFP00000012626
ENSG00000186912	ENST00000374519	
ENSG00000204217	ENST00000374580	ENSLAFP00000012732
ENSG00000133216	ENST00000374632	ENSLAFP00000005320
ENSG00000177283	ENST00000374694	ENSLAFP00000023590
ENSG00000131080	ENST00000374719	ENSLAFP00000023390
ENSG00000165029	ENST00000374736	ENSLAFP00000013019
ENSG00000204246	ENST00000374781	ENSLAFP00000020500
ENSG00000168384	ENST00000374808	
ENSG00000237541	ENST00000374940	ENSLAFP00000027428
ENSG00000106799	ENST00000374994	ENSLAFP00000023233
ENSG00000204305	ENST00000375076	ENSLAFP00000009085
ENSG00000204345	ENST00000375352	
ENSG00000179002	ENST00000375371	ENSLAFP00000020876
ENSG00000169071	ENST00000375708	ENSLAFP00000008103
ENSG00000204420	ENST00000375806	ENSLAFP00000026254
ENSG00000148053	ENST00000376214	ENSLAFP00000006078
ENSG00000028137	ENST00000376259	ENSLAFP00000000176
ENSG00000080031	ENST00000376350	ENSLAFP00000002887
ENSG00000151025	ENST00000376351	
ENSG00000169508	ENST00000376414	ENSLAFP00000021198
ENSG00000204580	ENST00000376575	ENSLAFP00000012706
ENSG00000229698	ENST00000376848	
ENSG00000206512	ENST00000376947	
ENSG00000204681	ENST00000377034	ENSLAFP00000014637
ENSG00000178726	ENST00000377103	ENSLAFP00000027720
ENSG00000204687	ENST00000377127	ENSLAFP00000027418
ENSG00000204688	ENST00000377136	ENSLAFP00000029339
ENSG00000204690	ENST00000377140	
ENSG00000112462	ENST00000377143	ENSLAFP00000027377
ENSG00000204695	ENST00000377160	ENSLAFP00000004788
ENSG00000204701	ENST00000377169	
ENSG00000204703	ENST00000377173	ENSLAFP00000016439
ENSG00000113749	ENST00000377291	ENSLAFP00000003985
ENSG00000180758	ENST00000377411	ENSLAFP00000008341
ENSG00000049249	ENST00000377507	ENSLAFP00000027878
ENSG00000204882	ENST00000377741	ENSLAFP00000022426
ENSG00000215788	ENST00000377782	ENSLAFP00000015984
ENSG00000158292	ENST00000377893	ENSLAFP00000005340
ENSG00000168828	ENST00000377981	ENSLAFP00000006468
ENSG00000077943	ENST00000378076	ENSLAFP00000013122
ENSG00000171659	ENST00000378142	ENSLAFP00000005836
ENSG00000139679	ENST00000378434	ENSLAFP00000023356
ENSG00000182220	ENST00000378438	ENSLAFP00000014969
ENSG00000187730	ENST00000378585	ENSLAFP00000013802
ENSG00000134569	ENST00000378623	ENSLAFP00000011493
ENSG00000162881	ENST00000378661	ENSLAFP00000016872
ENSG00000102468	ENST00000378688	ENSLAFP00000012568
ENSG00000169306	ENST00000378993	ENSLAFP00000003644
ENSG00000205213	ENST00000379214	ENSLAFP00000001889
ENSG00000186827	ENST00000379236	ENSLAFP00000003087
ENSG00000165186	ENST00000379361	ENSLAFP00000017908
ENSG00000171873	ENST00000379453	
ENSG00000138741	ENST00000379645	ENSLAFP00000003052
ENSG00000205327	ENST00000379662	ENSLAFP00000021389
ENSG00000205328	ENST00000379665	
ENSG00000170782	ENST00000379829	
ENSG00000173698	ENST00000379869	ENSLAFP00000007904
ENSG00000134460	ENST00000379959	ENSLAFP00000029346
ENSG00000178015	ENST00000380007	ENSLAFP00000021716
ENSG00000120156	ENST00000380036	ENSLAFP00000020298
ENSG00000167359	ENST00000380211	ENSLAFP00000008296
ENSG00000176239	ENST00000380219	ENSLAFP00000024520
ENSG00000183251	ENST00000380224	ENSLAFP00000016126
ENSG00000126010	ENST00000380289	ENSLAFP00000004770
ENSG00000205494	ENST00000380369	
ENSG00000205496	ENST00000380371	
ENSG00000205497	ENST00000380373	
ENSG00000176900	ENST00000380378	ENSLAFP00000001607
ENSG00000132670	ENST00000380393	ENSLAFP00000028222
ENSG00000120907	ENST00000380586	ENSLAFP00000000044
ENSG00000196664	ENST00000380659	ENSLAFP00000028694
ENSG00000139514	ENST00000380752	ENSLAFP00000018309
ENSG00000146938	ENST00000381095	ENSLAFP00000001647
ENSG00000153707	ENST00000381196	ENSLAFP00000014525
ENSG00000182162	ENST00000381297	ENSLAFP00000000700
ENSG00000134352	ENST00000381298	
ENSG00000120217	ENST00000381577	ENSLAFP00000003552
ENSG00000205809	ENST00000381902	
ENSG00000159110	ENST00000382241	ENSLAFP00000011745
ENSG00000155269	ENST00000382487	
ENSG00000186090	ENST00000382489	ENSLAFP00000002568
ENSG00000112902	ENST00000382496	ENSLAFP00000003193
ENSG00000231679	ENST00000383126	
ENSG00000206291	ENST00000383224	
ENSG00000206292	ENST00000383226	
ENSG00000206305	ENST00000383251	
ENSG00000206308	ENST00000383259	
ENSG00000184984	ENST00000383263	ENSLAFP00000020668
ENSG00000206320	ENST00000383279	
ENSG00000206396	ENST00000383412	
ENSG00000206430	ENST00000383476	
ENSG00000137403	ENST00000383516	
ENSG00000206466	ENST00000383542	
ENSG00000206470	ENST00000383549	
ENSG00000206471	ENST00000383550	
ENSG00000206472	ENST00000383551	
ENSG00000204692	ENST00000383556	
ENSG00000206493	ENST00000383597	
ENSG00000206506	ENST00000383623	
ENSG00000206509	ENST00000383627	
ENSG00000206511	ENST00000383638	
ENSG00000204657	ENST00000383640	
ENSG00000206515	ENST00000383643	
ENSG00000206516	ENST00000383644	
ENSG00000206517	ENST00000383645	
ENSG00000206522	ENST00000383651	
ENSG00000206524	ENST00000383653	
ENSG00000206525	ENST00000383654	
ENSG00000230301	ENST00000383696	
ENSG00000205336	ENST00000388812	ENSLAFP00000009519
ENSG00000156886	ENST00000389202	
ENSG00000196811	ENST00000389494	ENSLAFP00000018514
ENSG00000080224	ENST00000389672	ENSLAFP00000014743
ENSG00000174948	ENST00000389740	ENSLAFP00000012858
ENSG00000006071	ENST00000389817	ENSLAFP00000023347
ENSG00000184350	ENST00000389832	
ENSG00000204689	ENST00000391549	
ENSG00000167633	ENST00000391728	ENSLAFP00000028380
ENSG00000186818	ENST00000391736	
ENSG00000167613	ENST00000391742	ENSLAFP00000017313
ENSG00000131042	ENST00000391749	
ENSG00000135898	ENST00000392040	ENSLAFP00000019534
ENSG00000064989	ENST00000392370	ENSLAFP00000003527
ENSG00000197177	ENST00000392607	ENSLAFP00000017706
ENSG00000007312	ENST00000392795	ENSLAFP00000012088
ENSG00000106123	ENST00000392957	
ENSG00000106278	ENST00000393386	ENSLAFP00000003815
ENSG00000114554	ENST00000393409	ENSLAFP00000018541
ENSG00000175591	ENST00000393597	ENSLAFP00000021844
ENSG00000184845	ENST00000393752	ENSLAFP00000008736
ENSG00000144847	ENST00000393775	ENSLAFP00000001235
ENSG00000145864	ENST00000393959	ENSLAFP00000015307
ENSG00000156920	ENST00000394143	ENSLAFP00000017844
ENSG00000179626	ENST00000394256	ENSLAFP00000010305
ENSG00000186867	ENST00000394427	ENSLAFP00000007183
ENSG00000119737	ENST00000394705	ENSLAFP00000019032
ENSG00000188372	ENST00000394857	ENSLAFP00000023042
ENSG00000164082	ENST00000395052	ENSLAFP00000000563
ENSG00000172772	ENST00000395079	ENSLAFP00000008503
ENSG00000137868	ENST00000395105	ENSLAFP00000009249
ENSG00000181619	ENST00000395116	ENSLAFP00000027579
ENSG00000165215	ENST00000395145	ENSLAFP00000028725
ENSG00000126777	ENST00000395309	ENSLAFP00000002890
ENSG00000197471	ENST00000395389	ENSLAFP00000008491
ENSG00000077238	ENST00000395762	ENSLAFP00000014228
ENSG00000150093	ENST00000396033	ENSLAFP00000015222
ENSG00000179826	ENST00000396275	
ENSG00000183454	ENST00000396573	ENSLAFP00000004466
ENSG00000137101	ENST00000396757	ENSLAFP00000019593
ENSG00000167332	ENST00000396950	ENSLAFP00000020744
ENSG00000180785	ENST00000396952	ENSLAFP00000017830
ENSG00000115232	ENST00000397033	ENSLAFP00000000514
ENSG00000164849	ENST00000397095	ENSLAFP00000002717
ENSG00000125245	ENST00000397473	ENSLAFP00000022366
ENSG00000162009	ENST00000397547	ENSLAFP00000026499
ENSG00000197646	ENST00000397747	ENSLAFP00000018555
ENSG00000134160	ENST00000397795	ENSLAFP00000015403
ENSG00000160255	ENST00000397852	ENSLAFP00000024133
ENSG00000152558	ENST00000398136	ENSLAFP00000002462
ENSG00000120088	ENST00000398285	ENSLAFP00000017499
ENSG00000127418	ENST00000398484	ENSLAFP00000010468
ENSG00000184012	ENST00000398585	ENSLAFP00000025718
ENSG00000231286	ENST00000399088	
ENSG00000206240	ENST00000399450	
ENSG00000171189	ENST00000399907	ENSLAFP00000000090
ENSG00000215522	ENST00000400489	
ENSG00000215644	ENST00000400723	ENSLAFP00000021097
ENSG00000215764	ENST00000400875	ENSLAFP00000028380
ENSG00000112486	ENST00000400926	ENSLAFP00000027776
ENSG00000111886	ENST00000402938	ENSLAFP00000005015
ENSG00000121764	ENST00000403528	ENSLAFP00000008385
ENSG00000179915	ENST00000404971	ENSLAFP00000000203
ENSG00000164199	ENST00000405460	ENSLAFP00000004002
ENSG00000132975	ENST00000405846	ENSLAFP00000012118
ENSG00000170820	ENST00000406846	ENSLAFP00000014341
ENSG00000183671	ENST00000407325	ENSLAFP00000024989
ENSG00000064547	ENST00000407877	ENSLAFP00000007033
ENSG00000120903	ENST00000407991	ENSLAFP00000022491
ENSG00000221882	ENST00000408891	ENSLAFP00000016486
ENSG00000221933	ENST00000408898	ENSLAFP00000017633
ENSG00000221938	ENST00000408899	
ENSG00000221836	ENST00000408906	ENSLAFP00000027665
ENSG00000221996	ENST00000408920	ENSLAFP00000020072
ENSG00000221813	ENST00000408922	ENSLAFP00000028206
ENSG00000221977	ENST00000408935	ENSLAFP00000029478
ENSG00000221858	ENST00000408949	
ENSG00000221989	ENST00000408979	ENSLAFP00000021900
ENSG00000091409	ENST00000409080	ENSLAFP00000003953
ENSG00000222040	ENST00000409345	ENSLAFP00000027362
ENSG00000121966	ENST00000409817	ENSLAFP00000005273
ENSG00000115594	ENST00000410023	ENSLAFP00000010603
ENSG00000115604	ENST00000410040	ENSLAFP00000006554
ENSG00000227639	ENST00000411447	
ENSG00000228987	ENST00000411505	
ENSG00000234794	ENST00000411524	
ENSG00000229680	ENST00000411574	
ENSG00000006638	ENST00000411851	ENSLAFP00000018027
ENSG00000020181	ENST00000412232	ENSLAFP00000016615
ENSG00000229058	ENST00000412470	
ENSG00000225211	ENST00000412603	
ENSG00000099957	ENST00000413302	ENSLAFP00000002849
ENSG00000232178	ENST00000414140	
ENSG00000154269	ENST00000414305	ENSLAFP00000003251
ENSG00000233481	ENST00000414415	
ENSG00000113327	ENST00000414552	ENSLAFP00000019653
ENSG00000230726	ENST00000414698	
ENSG00000224103	ENST00000415247	
ENSG00000229252	ENST00000415289	
ENSG00000224395	ENST00000415581	
ENSG00000233904	ENST00000415649	
ENSG00000237216	ENST00000415687	
ENSG00000233141	ENST00000415802	
ENSG00000226000	ENST00000415857	
ENSG00000226832	ENST00000415976	
ENSG00000233209	ENST00000416192	
ENSG00000198223	ENST00000417535	ENSLAFP00000024782
ENSG00000224320	ENST00000417978	
ENSG00000112218	ENST00000417980	ENSLAFP00000027076
ENSG00000234954	ENST00000418003	
ENSG00000225781	ENST00000418316	ENSLAFP00000028402
ENSG00000233618	ENST00000418630	
ENSG00000111199	ENST00000418703	ENSLAFP00000026522
ENSG00000237808	ENST00000418936	
ENSG00000229866	ENST00000419260	
ENSG00000231389	ENST00000419277	ENSLAFP00000016500
ENSG00000228080	ENST00000419393	
ENSG00000229493	ENST00000419519	
ENSG00000232945	ENST00000419605	
ENSG00000231319	ENST00000419873	
