ENSG00000003056	ENST00000000412	ENSEEUP00000009953
ENSG00000006327	ENST00000326577	
ENSG00000080644	ENST00000326828	ENSEEUP00000005004
ENSG00000181273	ENST00000326855	
ENSG00000019169	ENST00000327097	ENSEEUP00000013620
ENSG00000181371	ENST00000327216	
ENSG00000166342	ENST00000327305	ENSEEUP00000006515
ENSG00000104938	ENST00000327325	
ENSG00000184954	ENST00000327335	ENSEEUP00000000046
ENSG00000185385	ENST00000327462	
ENSG00000185436	ENST00000327535	ENSEEUP00000008424
ENSG00000185231	ENST00000327606	ENSEEUP00000011510
ENSG00000153294	ENST00000327753	ENSEEUP00000008686
ENSG00000185897	ENST00000327809	
ENSG00000221931	ENST00000327930	
ENSG00000182771	ENST00000327946	ENSEEUP00000002401
ENSG00000197125	ENST00000328064	
ENSG00000185926	ENST00000328188	
ENSG00000185821	ENST00000328314	ENSEEUP00000006041
ENSG00000182334	ENST00000328375	ENSEEUP00000000677
ENSG00000183473	ENST00000328544	ENSEEUP00000013413
ENSG00000182783	ENST00000328570	ENSEEUP00000007032
ENSG00000186891	ENST00000328596	
ENSG00000184698	ENST00000328611	ENSEEUP00000000051
ENSG00000186407	ENST00000328630	ENSEEUP00000005578
ENSG00000183310	ENST00000328782	
ENSG00000183706	ENST00000328795	
ENSG00000184881	ENST00000328813	
ENSG00000182782	ENST00000328880	
ENSG00000184140	ENST00000328882	ENSEEUP00000005022
ENSG00000183024	ENST00000328890	ENSEEUP00000010024
ENSG00000206306	ENST00000328980	
ENSG00000182687	ENST00000329003	ENSEEUP00000005010
ENSG00000235568	ENST00000329021	
ENSG00000185245	ENST00000329125	ENSEEUP00000013471
ENSG00000183840	ENST00000329321	ENSEEUP00000013195
ENSG00000205409	ENST00000329322	
ENSG00000172742	ENST00000329328	
ENSG00000185372	ENST00000329365	
ENSG00000185149	ENST00000329476	ENSEEUP00000012362
ENSG00000113763	ENST00000329542	ENSEEUP00000007532
ENSG00000184478	ENST00000329564	ENSEEUP00000013564
ENSG00000183695	ENST00000329773	
ENSG00000183484	ENST00000329797	
ENSG00000184574	ENST00000329858	
ENSG00000184160	ENST00000330055	
ENSG00000182631	ENST00000330120	ENSEEUP00000007286
ENSG00000182580	ENST00000330394	ENSEEUP00000003374
ENSG00000182634	ENST00000330487	
ENSG00000184022	ENST00000330500	ENSEEUP00000003834
ENSG00000114013	ENST00000330540	ENSEEUP00000010451
ENSG00000183389	ENST00000330728	
ENSG00000167850	ENST00000330793	
ENSG00000183813	ENST00000330953	
ENSG00000185291	ENST00000331035	
ENSG00000183729	ENST00000331251	ENSEEUP00000005714
ENSG00000183748	ENST00000331429	
ENSG00000184166	ENST00000331459	ENSEEUP00000005786
ENSG00000172116	ENST00000331469	
ENSG00000178852	ENST00000331493	ENSEEUP00000010324
ENSG00000182652	ENST00000331723	ENSEEUP00000009568
ENSG00000185920	ENST00000331920	ENSEEUP00000005157
ENSG00000184321	ENST00000332043	
ENSG00000173482	ENST00000332175	ENSEEUP00000014475
ENSG00000196266	ENST00000332217	
ENSG00000182854	ENST00000332238	ENSEEUP00000008017
ENSG00000183313	ENST00000332249	
ENSG00000182170	ENST00000332314	
ENSG00000184451	ENST00000332438	ENSEEUP00000003167
ENSG00000183134	ENST00000332539	
ENSG00000115590	ENST00000332549	ENSEEUP00000000780
ENSG00000184194	ENST00000332582	
ENSG00000184933	ENST00000332601	ENSEEUP00000011535
ENSG00000232382	ENST00000332650	
ENSG00000182974	ENST00000332663	ENSEEUP00000010073
ENSG00000185097	ENST00000332831	
ENSG00000221890	ENST00000333039	
ENSG00000173662	ENST00000333172	
ENSG00000007908	ENST00000333360	ENSEEUP00000008119
ENSG00000182885	ENST00000333493	ENSEEUP00000011483
ENSG00000184394	ENST00000333629	
ENSG00000182256	ENST00000333743	ENSEEUP00000010834
ENSG00000186117	ENST00000333973	
ENSG00000186119	ENST00000333976	
ENSG00000136160	ENST00000334286	ENSEEUP00000005222
ENSG00000152990	ENST00000334304	ENSEEUP00000008258
ENSG00000186306	ENST00000334438	ENSEEUP00000009924
ENSG00000186265	ENST00000334529	ENSEEUP00000005129
ENSG00000186919	ENST00000334586	ENSEEUP00000005363
ENSG00000110148	ENST00000334619	ENSEEUP00000011546
ENSG00000186881	ENST00000334726	ENSEEUP00000005466
ENSG00000180264	ENST00000334810	ENSEEUP00000005149
ENSG00000186723	ENST00000334920	ENSEEUP00000013365
ENSG00000186943	ENST00000335040	ENSEEUP00000002828
ENSG00000197403	ENST00000335094	ENSEEUP00000013617
ENSG00000186092	ENST00000335137	
ENSG00000221954	ENST00000335238	
ENSG00000197233	ENST00000335302	
ENSG00000186038	ENST00000335304	ENSEEUP00000006189
ENSG00000107731	ENST00000335350	ENSEEUP00000000625
ENSG00000186509	ENST00000335397	
ENSG00000186113	ENST00000335605	
ENSG00000186297	ENST00000335625	ENSEEUP00000010786
ENSG00000257008	ENST00000335666	ENSEEUP00000002108
ENSG00000125498	ENST00000336077	
ENSG00000148680	ENST00000336152	ENSEEUP00000014436
ENSG00000044524	ENST00000336596	ENSEEUP00000013016
ENSG00000125510	ENST00000336866	ENSEEUP00000002856
ENSG00000135124	ENST00000337233	ENSEEUP00000006532
ENSG00000187800	ENST00000338302	ENSEEUP00000009131
ENSG00000164129	ENST00000338566	
ENSG00000188124	ENST00000338569	ENSEEUP00000007003
ENSG00000171054	ENST00000338616	ENSEEUP00000014447
ENSG00000187474	ENST00000339223	
ENSG00000188340	ENST00000339258	ENSEEUP00000013612
ENSG00000169962	ENST00000339381	ENSEEUP00000008238
ENSG00000179603	ENST00000339582	ENSEEUP00000006854
ENSG00000171049	ENST00000340023	
ENSG00000204475	ENST00000340027	ENSEEUP00000007029
ENSG00000068078	ENST00000340107	
ENSG00000101180	ENST00000340177	
ENSG00000159618	ENST00000340339	
ENSG00000187871	ENST00000340465	ENSEEUP00000000440
ENSG00000072071	ENST00000340736	
ENSG00000239590	ENST00000340750	
ENSG00000159346	ENST00000340990	ENSEEUP00000009053
ENSG00000187918	ENST00000341449	ENSEEUP00000014258
ENSG00000196131	ENST00000341702	
ENSG00000187957	ENST00000341772	ENSEEUP00000011765
ENSG00000122718	ENST00000341959	ENSEEUP00000004081
ENSG00000168575	ENST00000342228	ENSEEUP00000010882
ENSG00000188888	ENST00000342292	ENSEEUP00000003410
ENSG00000243772	ENST00000342376	
ENSG00000189181	ENST00000342623	ENSEEUP00000004773
ENSG00000170412	ENST00000342648	ENSEEUP00000003838
ENSG00000178568	ENST00000342788	ENSEEUP00000009152
ENSG00000196240	ENST00000342927	ENSEEUP00000002007
ENSG00000092421	ENST00000343348	ENSEEUP00000008958
ENSG00000187857	ENST00000343399	
ENSG00000188558	ENST00000343414	ENSEEUP00000006828
ENSG00000188069	ENST00000343430	
ENSG00000160791	ENST00000343801	ENSEEUP00000012394
ENSG00000187848	ENST00000343948	
ENSG00000188000	ENST00000344248	
ENSG00000187612	ENST00000344514	
ENSG00000188763	ENST00000344575	
ENSG00000187701	ENST00000344889	ENSEEUP00000013697
ENSG00000187747	ENST00000345043	
ENSG00000188778	ENST00000345060	ENSEEUP00000000163
ENSG00000156642	ENST00000345330	ENSEEUP00000014530
ENSG00000060656	ENST00000345512	ENSEEUP00000004720
ENSG00000189013	ENST00000345540	
ENSG00000104921	ENST00000346664	
ENSG00000162594	ENST00000347310	ENSEEUP00000005284
ENSG00000110448	ENST00000347785	
ENSG00000116678	ENST00000349533	ENSEEUP00000004133
ENSG00000179468	ENST00000350513	
ENSG00000114739	ENST00000352511	ENSEEUP00000003631
ENSG00000231192	ENST00000354565	ENSEEUP00000004717
ENSG00000196661	ENST00000354597	ENSEEUP00000000425
ENSG00000168079	ENST00000354914	ENSEEUP00000001890
ENSG00000196098	ENST00000354924	ENSEEUP00000009334
ENSG00000196189	ENST00000355014	ENSEEUP00000013508
ENSG00000161944	ENST00000355035	
ENSG00000197405	ENST00000355085	
ENSG00000197938	ENST00000355273	ENSEEUP00000004717
ENSG00000197454	ENST00000355281	ENSEEUP00000006347
ENSG00000166736	ENST00000355556	ENSEEUP00000006410
ENSG00000136869	ENST00000355622	ENSEEUP00000011962
ENSG00000157873	ENST00000355716	
ENSG00000198104	ENST00000355728	ENSEEUP00000000484
ENSG00000197591	ENST00000355784	
ENSG00000173890	ENST00000355897	ENSEEUP00000002072
ENSG00000165246	ENST00000355905	
ENSG00000176937	ENST00000356069	ENSEEUP00000000152
ENSG00000198657	ENST00000356130	
ENSG00000233412	ENST00000356526	ENSEEUP00000004717
ENSG00000050628	ENST00000356595	ENSEEUP00000011720
ENSG00000197081	ENST00000356956	ENSEEUP00000005954
ENSG00000139187	ENST00000356986	ENSEEUP00000002239
ENSG00000196917	ENST00000356987	ENSEEUP00000006530
ENSG00000196936	ENST00000357191	ENSEEUP00000006347
ENSG00000196832	ENST00000357366	ENSEEUP00000013014
ENSG00000105426	ENST00000357368	
ENSG00000197786	ENST00000357377	
ENSG00000121797	ENST00000357392	ENSEEUP00000009927
ENSG00000197263	ENST00000357438	
ENSG00000180616	ENST00000357585	
ENSG00000197428	ENST00000357605	
ENSG00000196772	ENST00000357627	ENSEEUP00000001642
ENSG00000196277	ENST00000357716	ENSEEUP00000004477
ENSG00000196341	ENST00000357821	
ENSG00000135622	ENST00000357877	ENSEEUP00000006260
ENSG00000213694	ENST00000358157	ENSEEUP00000013544
ENSG00000196411	ENST00000358173	
ENSG00000168329	ENST00000358309	ENSEEUP00000011489
ENSG00000142627	ENST00000358432	ENSEEUP00000007750
ENSG00000188324	ENST00000358433	ENSEEUP00000014577
ENSG00000196578	ENST00000358642	
ENSG00000072694	ENST00000358671	ENSEEUP00000001200
ENSG00000196338	ENST00000358741	ENSEEUP00000004262
ENSG00000126895	ENST00000358927	
ENSG00000163513	ENST00000359013	ENSEEUP00000008069
ENSG00000134545	ENST00000359151	ENSEEUP00000014023
ENSG00000177575	ENST00000359156	ENSEEUP00000000131
ENSG00000176895	ENST00000359350	ENSEEUP00000011905
ENSG00000148604	ENST00000359452	ENSEEUP00000011207
ENSG00000004948	ENST00000359558	ENSEEUP00000006868
ENSG00000196539	ENST00000359594	
ENSG00000196218	ENST00000359596	ENSEEUP00000002703
ENSG00000196171	ENST00000359610	
ENSG00000198601	ENST00000359682	
ENSG00000187258	ENST00000359791	ENSEEUP00000006102
ENSG00000117114	ENST00000359929	ENSEEUP00000006610
ENSG00000142949	ENST00000359947	ENSEEUP00000012733
ENSG00000198128	ENST00000359959	ENSEEUP00000006347
ENSG00000196126	ENST00000360004	
ENSG00000072274	ENST00000360110	ENSEEUP00000014125
ENSG00000167851	ENST00000360141	
ENSG00000197790	ENST00000360213	ENSEEUP00000004863
ENSG00000198283	ENST00000360374	ENSEEUP00000004684
ENSG00000118257	ENST00000360409	ENSEEUP00000011774
ENSG00000197635	ENST00000360534	ENSEEUP00000011709
ENSG00000239732	ENST00000360658	ENSEEUP00000013204
ENSG00000164270	ENST00000360693	ENSEEUP00000006457
ENSG00000170683	ENST00000360759	
ENSG00000170180	ENST00000360771	
ENSG00000119121	ENST00000360774	ENSEEUP00000013184
ENSG00000140538	ENST00000360948	
ENSG00000197594	ENST00000360971	ENSEEUP00000006422
ENSG00000198967	ENST00000361284	ENSEEUP00000004141
ENSG00000196776	ENST00000361309	ENSEEUP00000012284
ENSG00000158458	ENST00000361474	
ENSG00000132704	ENST00000361516	ENSEEUP00000009476
ENSG00000198822	ENST00000361669	ENSEEUP00000008579
ENSG00000152822	ENST00000361719	ENSEEUP00000011347
ENSG00000198877	ENST00000361760	
ENSG00000198851	ENST00000361763	ENSEEUP00000009283
ENSG00000105699	ENST00000361790	ENSEEUP00000009407
ENSG00000198785	ENST00000361820	ENSEEUP00000005789
ENSG00000143297	ENST00000361835	
ENSG00000198829	ENST00000362032	
ENSG00000149295	ENST00000362072	ENSEEUP00000004261
ENSG00000198821	ENST00000362089	
ENSG00000203618	ENST00000366425	
ENSG00000203661	ENST00000366473	ENSEEUP00000007032
ENSG00000175143	ENST00000366474	
ENSG00000196944	ENST00000366475	ENSEEUP00000007032
ENSG00000162727	ENST00000366476	
ENSG00000196071	ENST00000366478	ENSEEUP00000011409
ENSG00000203663	ENST00000366479	ENSEEUP00000006347
ENSG00000187080	ENST00000366480	
ENSG00000241128	ENST00000366485	ENSEEUP00000011131
ENSG00000196242	ENST00000366487	
ENSG00000054277	ENST00000366554	
ENSG00000116996	ENST00000366570	
ENSG00000077585	ENST00000366592	ENSEEUP00000001952
ENSG00000120436	ENST00000366834	
ENSG00000162769	ENST00000366971	
ENSG00000076356	ENST00000367033	
ENSG00000203710	ENST00000367049	
ENSG00000117322	ENST00000367057	
ENSG00000198049	ENST00000367126	ENSEEUP00000000823
ENSG00000133067	ENST00000367278	ENSEEUP00000011247
ENSG00000170075	ENST00000367282	ENSEEUP00000011687
ENSG00000111981	ENST00000367345	
ENSG00000131015	ENST00000367351	
ENSG00000153029	ENST00000367580	ENSEEUP00000009304
ENSG00000143324	ENST00000367590	
ENSG00000112414	ENST00000367609	ENSEEUP00000001880
ENSG00000203737	ENST00000367685	ENSEEUP00000012330
ENSG00000027697	ENST00000367739	ENSEEUP00000008181
ENSG00000143147	ENST00000367838	ENSEEUP00000008345
ENSG00000143167	ENST00000367868	ENSEEUP00000006573
ENSG00000162733	ENST00000367922	ENSEEUP00000011717
ENSG00000162747	ENST00000367964	ENSEEUP00000012924
ENSG00000203747	ENST00000367969	ENSEEUP00000012924
ENSG00000143217	ENST00000368012	ENSEEUP00000010006
ENSG00000158769	ENST00000368026	ENSEEUP00000000828
ENSG00000122223	ENST00000368033	
ENSG00000026751	ENST00000368043	ENSEEUP00000011076
ENSG00000162739	ENST00000368057	ENSEEUP00000009186
ENSG00000179639	ENST00000368115	ENSEEUP00000006025
ENSG00000213088	ENST00000368121	
ENSG00000180433	ENST00000368144	ENSEEUP00000012108
ENSG00000203757	ENST00000368145	ENSEEUP00000004864
ENSG00000198965	ENST00000368152	ENSEEUP00000000080
ENSG00000158473	ENST00000368171	
ENSG00000163534	ENST00000368176	ENSEEUP00000008852
ENSG00000160856	ENST00000368184	ENSEEUP00000003535
ENSG00000027644	ENST00000368195	ENSEEUP00000014463
ENSG00000152894	ENST00000368213	ENSEEUP00000011209
ENSG00000173080	ENST00000368318	
ENSG00000160716	ENST00000368476	ENSEEUP00000004388
ENSG00000160712	ENST00000368485	ENSEEUP00000002031
ENSG00000047936	ENST00000368508	ENSEEUP00000002574
ENSG00000159164	ENST00000369146	ENSEEUP00000004514
ENSG00000150337	ENST00000369168	ENSEEUP00000012848
ENSG00000043591	ENST00000369295	
ENSG00000135333	ENST00000369303	ENSEEUP00000013134
ENSG00000143127	ENST00000369304	ENSEEUP00000008187
ENSG00000198019	ENST00000369384	ENSEEUP00000012848
ENSG00000116824	ENST00000369478	
ENSG00000118432	ENST00000369501	ENSEEUP00000010252
ENSG00000121933	ENST00000369716	
ENSG00000125522	ENST00000369768	
ENSG00000166160	ENST00000369929	ENSEEUP00000002876
ENSG00000147380	ENST00000369935	ENSEEUP00000002876
ENSG00000135312	ENST00000369947	
ENSG00000102076	ENST00000369951	ENSEEUP00000002876
ENSG00000101204	ENST00000370263	ENSEEUP00000014471
ENSG00000147402	ENST00000370306	ENSEEUP00000006939
ENSG00000011677	ENST00000370314	ENSEEUP00000006452
ENSG00000102287	ENST00000370328	ENSEEUP00000003985
ENSG00000101188	ENST00000370501	ENSEEUP00000002950
ENSG00000135298	ENST00000370598	ENSEEUP00000007545
ENSG00000102239	ENST00000370648	ENSEEUP00000009688
ENSG00000162618	ENST00000370742	ENSEEUP00000010285
ENSG00000122420	ENST00000370758	ENSEEUP00000000939
ENSG00000137252	ENST00000370862	ENSEEUP00000008308
ENSG00000185483	ENST00000371079	ENSEEUP00000005093
ENSG00000170927	ENST00000371117	ENSEEUP00000007116
ENSG00000162604	ENST00000371180	ENSEEUP00000001417
ENSG00000184292	ENST00000371225	
ENSG00000153292	ENST00000371253	ENSEEUP00000002981
ENSG00000186188	ENST00000371483	ENSEEUP00000010803
ENSG00000176884	ENST00000371553	ENSEEUP00000010041
ENSG00000131724	ENST00000371666	ENSEEUP00000003718
ENSG00000180772	ENST00000371906	ENSEEUP00000011735
ENSG00000122375	ENST00000372071	ENSEEUP00000004768
ENSG00000148600	ENST00000372117	ENSEEUP00000008697
ENSG00000117425	ENST00000372192	ENSEEUP00000004324
ENSG00000101017	ENST00000372285	ENSEEUP00000009536
ENSG00000117400	ENST00000372470	ENSEEUP00000008586
ENSG00000066056	ENST00000372476	ENSEEUP00000003360
ENSG00000188828	ENST00000372617	ENSEEUP00000013600
ENSG00000124145	ENST00000372733	ENSEEUP00000011925
ENSG00000183317	ENST00000373048	ENSEEUP00000011330
ENSG00000096264	ENST00000373089	
ENSG00000163873	ENST00000373091	ENSEEUP00000013511
ENSG00000119535	ENST00000373103	ENSEEUP00000008504
ENSG00000095970	ENST00000373113	ENSEEUP00000001796
ENSG00000161911	ENST00000373127	
ENSG00000196090	ENST00000373187	ENSEEUP00000002692
ENSG00000106991	ENST00000373203	
ENSG00000112164	ENST00000373256	ENSEEUP00000007308
ENSG00000173198	ENST00000373304	
ENSG00000075073	ENST00000373306	ENSEEUP00000009026
ENSG00000188394	ENST00000373642	ENSEEUP00000000280
ENSG00000121753	ENST00000373658	
ENSG00000148215	ENST00000373680	
ENSG00000171501	ENST00000373688	
ENSG00000186810	ENST00000373691	
ENSG00000181773	ENST00000374024	ENSEEUP00000008098
ENSG00000124493	ENST00000374181	ENSEEUP00000007898
ENSG00000147168	ENST00000374202	ENSEEUP00000012131
ENSG00000182749	ENST00000374296	
ENSG00000204174	ENST00000374312	
ENSG00000096433	ENST00000374316	ENSEEUP00000005703
ENSG00000198121	ENST00000374431	ENSEEUP00000005457
ENSG00000030304	ENST00000374448	ENSEEUP00000003083
ENSG00000188822	ENST00000374472	ENSEEUP00000006486
ENSG00000101000	ENST00000374477	ENSEEUP00000008960
ENSG00000186912	ENST00000374519	
ENSG00000204217	ENST00000374580	ENSEEUP00000006193
ENSG00000133216	ENST00000374632	ENSEEUP00000005827
ENSG00000177283	ENST00000374694	
ENSG00000131080	ENST00000374719	
ENSG00000165029	ENST00000374736	ENSEEUP00000008062
ENSG00000204246	ENST00000374781	
ENSG00000168384	ENST00000374808	
ENSG00000237541	ENST00000374940	
ENSG00000106799	ENST00000374994	ENSEEUP00000011931
ENSG00000204293	ENST00000375013	ENSEEUP00000000425
ENSG00000236981	ENST00000375024	
ENSG00000204305	ENST00000375076	ENSEEUP00000013102
ENSG00000204345	ENST00000375352	
ENSG00000179002	ENST00000375371	
ENSG00000169071	ENST00000375708	
ENSG00000204420	ENST00000375806	ENSEEUP00000009947
ENSG00000148053	ENST00000376214	ENSEEUP00000005455
ENSG00000028137	ENST00000376259	ENSEEUP00000001279
ENSG00000080031	ENST00000376350	
ENSG00000151025	ENST00000376351	ENSEEUP00000010750
ENSG00000169508	ENST00000376414	ENSEEUP00000005370
ENSG00000204580	ENST00000376575	ENSEEUP00000003001
ENSG00000229698	ENST00000376848	
ENSG00000206512	ENST00000376947	
ENSG00000204681	ENST00000377034	
ENSG00000178726	ENST00000377103	
ENSG00000204687	ENST00000377127	
ENSG00000204688	ENST00000377136	ENSEEUP00000010894
ENSG00000204690	ENST00000377140	
ENSG00000112462	ENST00000377143	ENSEEUP00000012675
ENSG00000204694	ENST00000377148	
ENSG00000243729	ENST00000377154	ENSEEUP00000012207
ENSG00000204695	ENST00000377160	ENSEEUP00000007091
ENSG00000204701	ENST00000377169	
ENSG00000204702	ENST00000377171	ENSEEUP00000001985
ENSG00000204703	ENST00000377173	ENSEEUP00000009481
ENSG00000204704	ENST00000377175	ENSEEUP00000005787
ENSG00000113749	ENST00000377291	
ENSG00000180758	ENST00000377411	ENSEEUP00000008186
ENSG00000049249	ENST00000377507	ENSEEUP00000006717
ENSG00000204882	ENST00000377741	
ENSG00000215788	ENST00000377782	
ENSG00000158292	ENST00000377893	ENSEEUP00000005433
ENSG00000168828	ENST00000377981	ENSEEUP00000013146
ENSG00000077943	ENST00000378076	ENSEEUP00000013481
ENSG00000171659	ENST00000378142	ENSEEUP00000004678
ENSG00000205029	ENST00000378396	
ENSG00000205030	ENST00000378397	
ENSG00000139679	ENST00000378434	ENSEEUP00000005417
ENSG00000182220	ENST00000378438	ENSEEUP00000000594
ENSG00000187730	ENST00000378585	ENSEEUP00000009816
ENSG00000134569	ENST00000378623	ENSEEUP00000001953
ENSG00000162881	ENST00000378661	
ENSG00000102468	ENST00000378688	ENSEEUP00000003472
ENSG00000169306	ENST00000378993	ENSEEUP00000003652
ENSG00000205213	ENST00000379214	ENSEEUP00000002842
ENSG00000186827	ENST00000379236	
ENSG00000165186	ENST00000379361	ENSEEUP00000010550
ENSG00000171873	ENST00000379453	
ENSG00000138741	ENST00000379645	ENSEEUP00000013284
ENSG00000205327	ENST00000379662	ENSEEUP00000002354
ENSG00000205328	ENST00000379665	
ENSG00000205329	ENST00000379667	
ENSG00000205330	ENST00000379668	
ENSG00000170782	ENST00000379829	
ENSG00000173698	ENST00000379869	ENSEEUP00000010970
ENSG00000134460	ENST00000379959	
ENSG00000178015	ENST00000380007	
ENSG00000120156	ENST00000380036	ENSEEUP00000005319
ENSG00000167359	ENST00000380211	ENSEEUP00000014261
ENSG00000176239	ENST00000380219	ENSEEUP00000001380
ENSG00000183251	ENST00000380224	
ENSG00000126010	ENST00000380289	ENSEEUP00000008383
ENSG00000205494	ENST00000380369	
ENSG00000205495	ENST00000380370	ENSEEUP00000013480
ENSG00000205496	ENST00000380371	
ENSG00000205497	ENST00000380373	
ENSG00000176900	ENST00000380378	ENSEEUP00000010855
ENSG00000132670	ENST00000380393	
ENSG00000120907	ENST00000380586	ENSEEUP00000010960
ENSG00000196664	ENST00000380659	ENSEEUP00000002924
ENSG00000139514	ENST00000380752	ENSEEUP00000012643
ENSG00000146938	ENST00000381095	
ENSG00000153707	ENST00000381196	ENSEEUP00000001865
ENSG00000182162	ENST00000381297	
ENSG00000134352	ENST00000381298	
ENSG00000120217	ENST00000381577	ENSEEUP00000008472
ENSG00000205809	ENST00000381902	ENSEEUP00000014023
ENSG00000172150	ENST00000381951	ENSEEUP00000001382
ENSG00000159110	ENST00000382241	ENSEEUP00000003032
ENSG00000155269	ENST00000382487	
ENSG00000186090	ENST00000382489	
ENSG00000112902	ENST00000382496	ENSEEUP00000002382
ENSG00000231679	ENST00000383126	
ENSG00000206291	ENST00000383224	
ENSG00000206292	ENST00000383226	
ENSG00000206305	ENST00000383251	
ENSG00000206308	ENST00000383259	
ENSG00000184984	ENST00000383263	ENSEEUP00000010586
ENSG00000206320	ENST00000383279	
ENSG00000206396	ENST00000383412	
ENSG00000206430	ENST00000383476	
ENSG00000137403	ENST00000383516	
ENSG00000206466	ENST00000383542	
ENSG00000206470	ENST00000383549	
ENSG00000206471	ENST00000383550	
ENSG00000206472	ENST00000383551	
ENSG00000168787	ENST00000383555	
ENSG00000204692	ENST00000383556	
ENSG00000206493	ENST00000383597	
ENSG00000206506	ENST00000383623	
ENSG00000206509	ENST00000383627	
ENSG00000206511	ENST00000383638	
ENSG00000204657	ENST00000383640	
ENSG00000206515	ENST00000383643	
ENSG00000206516	ENST00000383644	
ENSG00000206517	ENST00000383645	
ENSG00000206522	ENST00000383651	
ENSG00000206524	ENST00000383653	
ENSG00000206525	ENST00000383654	
ENSG00000206536	ENST00000383695	
ENSG00000230301	ENST00000383696	ENSEEUP00000004717
ENSG00000205336	ENST00000388812	ENSEEUP00000011398
ENSG00000136011	ENST00000388887	ENSEEUP00000000649
ENSG00000156886	ENST00000389202	ENSEEUP00000012018
ENSG00000196811	ENST00000389494	ENSEEUP00000004457
ENSG00000080224	ENST00000389672	ENSEEUP00000004750
ENSG00000174948	ENST00000389740	ENSEEUP00000001074
ENSG00000006071	ENST00000389817	ENSEEUP00000011988
ENSG00000184350	ENST00000389832	
ENSG00000212807	ENST00000391496	
ENSG00000204689	ENST00000391549	
ENSG00000167633	ENST00000391728	
ENSG00000186818	ENST00000391736	
ENSG00000167613	ENST00000391742	
ENSG00000131042	ENST00000391749	
ENSG00000135898	ENST00000392040	ENSEEUP00000004389
ENSG00000064989	ENST00000392370	ENSEEUP00000004824
ENSG00000197177	ENST00000392607	
ENSG00000007312	ENST00000392795	ENSEEUP00000013531
ENSG00000106123	ENST00000392957	ENSEEUP00000007857
ENSG00000106278	ENST00000393386	ENSEEUP00000001124
ENSG00000114554	ENST00000393409	ENSEEUP00000004933
ENSG00000175591	ENST00000393597	
ENSG00000184845	ENST00000393752	ENSEEUP00000002546
ENSG00000144847	ENST00000393775	ENSEEUP00000010475
ENSG00000145864	ENST00000393959	
ENSG00000156920	ENST00000394143	
ENSG00000179626	ENST00000394256	ENSEEUP00000006624
ENSG00000186867	ENST00000394427	ENSEEUP00000007777
ENSG00000119737	ENST00000394705	ENSEEUP00000008369
ENSG00000188372	ENST00000394857	ENSEEUP00000011857
ENSG00000164082	ENST00000395052	ENSEEUP00000010107
ENSG00000172772	ENST00000395079	ENSEEUP00000007955
ENSG00000137868	ENST00000395105	
ENSG00000181619	ENST00000395116	ENSEEUP00000006605
ENSG00000165215	ENST00000395145	
ENSG00000126777	ENST00000395309	ENSEEUP00000001247
ENSG00000197471	ENST00000395389	ENSEEUP00000002073
ENSG00000077238	ENST00000395762	ENSEEUP00000008392
ENSG00000150093	ENST00000396033	ENSEEUP00000007667
ENSG00000179826	ENST00000396275	
ENSG00000244482	ENST00000396365	
ENSG00000183454	ENST00000396573	
ENSG00000206503	ENST00000396634	
ENSG00000137101	ENST00000396757	ENSEEUP00000008675
ENSG00000167332	ENST00000396950	
ENSG00000180785	ENST00000396952	
ENSG00000115232	ENST00000397033	ENSEEUP00000003166
ENSG00000164849	ENST00000397095	
ENSG00000125245	ENST00000397473	
ENSG00000162009	ENST00000397547	
ENSG00000197646	ENST00000397747	
ENSG00000134160	ENST00000397795	ENSEEUP00000011290
ENSG00000160255	ENST00000397852	
ENSG00000154928	ENST00000398015	ENSEEUP00000009196
ENSG00000152558	ENST00000398136	ENSEEUP00000011014
ENSG00000120088	ENST00000398285	ENSEEUP00000002847
ENSG00000127418	ENST00000398484	ENSEEUP00000000045
ENSG00000184012	ENST00000398585	
ENSG00000231286	ENST00000399088	
ENSG00000206240	ENST00000399450	
ENSG00000171189	ENST00000399907	ENSEEUP00000000303
ENSG00000215522	ENST00000400489	
ENSG00000215644	ENST00000400723	
ENSG00000215764	ENST00000400875	
ENSG00000112486	ENST00000400926	
ENSG00000111886	ENST00000402938	ENSEEUP00000003615
ENSG00000182083	ENST00000402971	
ENSG00000121764	ENST00000403528	ENSEEUP00000013605
ENSG00000100368	ENST00000403662	ENSEEUP00000009035
ENSG00000179915	ENST00000404971	ENSEEUP00000003237
ENSG00000164199	ENST00000405460	ENSEEUP00000006896
ENSG00000132975	ENST00000405846	ENSEEUP00000011939
ENSG00000170820	ENST00000406846	ENSEEUP00000014431
ENSG00000183671	ENST00000407325	
ENSG00000064547	ENST00000407877	
ENSG00000120903	ENST00000407991	ENSEEUP00000008773
ENSG00000221882	ENST00000408891	ENSEEUP00000014170
ENSG00000221888	ENST00000408896	
ENSG00000221933	ENST00000408898	
ENSG00000221938	ENST00000408899	
ENSG00000221836	ENST00000408906	
ENSG00000221996	ENST00000408920	ENSEEUP00000008162
ENSG00000221813	ENST00000408922	
ENSG00000221977	ENST00000408935	
ENSG00000221858	ENST00000408949	
ENSG00000221970	ENST00000408951	
ENSG00000221989	ENST00000408979	
ENSG00000091409	ENST00000409080	ENSEEUP00000000117
ENSG00000222040	ENST00000409345	
ENSG00000121966	ENST00000409817	
