ENSG00000003056	ENST00000000412	ENSMODP00000022437
ENSG00000185291	ENST00000331035	
ENSG00000183729	ENST00000331251	ENSMODP00000011963
ENSG00000183748	ENST00000331429	ENSMODP00000033025
ENSG00000184166	ENST00000331459	
ENSG00000172116	ENST00000331469	ENSMODP00000011916
ENSG00000178852	ENST00000331493	ENSMODP00000038499
ENSG00000182652	ENST00000331723	ENSMODP00000009513
ENSG00000185920	ENST00000331920	ENSMODP00000003369
ENSG00000184321	ENST00000332043	ENSMODP00000027643
ENSG00000173482	ENST00000332175	ENSMODP00000035297
ENSG00000196266	ENST00000332217	ENSMODP00000012682
ENSG00000182854	ENST00000332238	ENSMODP00000034456
ENSG00000183313	ENST00000332249	ENSMODP00000014886
ENSG00000182170	ENST00000332314	
ENSG00000184451	ENST00000332438	ENSMODP00000018741
ENSG00000183134	ENST00000332539	ENSMODP00000025435
ENSG00000115590	ENST00000332549	ENSMODP00000002798
ENSG00000184194	ENST00000332582	ENSMODP00000012211
ENSG00000184933	ENST00000332601	ENSMODP00000018550
ENSG00000182974	ENST00000332663	ENSMODP00000009627
ENSG00000185097	ENST00000332831	ENSMODP00000009876
ENSG00000221890	ENST00000333039	
ENSG00000173662	ENST00000333172	ENSMODP00000007404
ENSG00000007908	ENST00000333360	ENSMODP00000036560
ENSG00000182885	ENST00000333493	ENSMODP00000017533
ENSG00000182256	ENST00000333743	ENSMODP00000037627
ENSG00000186117	ENST00000333973	ENSMODP00000024953
ENSG00000186119	ENST00000333976	ENSMODP00000024944
ENSG00000136160	ENST00000334286	ENSMODP00000001834
ENSG00000152990	ENST00000334304	ENSMODP00000035571
ENSG00000186306	ENST00000334438	ENSMODP00000034534
ENSG00000186265	ENST00000334529	
ENSG00000186919	ENST00000334586	ENSMODP00000010215
ENSG00000110148	ENST00000334619	ENSMODP00000023191
ENSG00000186881	ENST00000334726	
ENSG00000180264	ENST00000334810	ENSMODP00000024646
ENSG00000184155	ENST00000334857	
ENSG00000186943	ENST00000335040	ENSMODP00000015580
ENSG00000197403	ENST00000335094	ENSMODP00000012777
ENSG00000186092	ENST00000335137	
ENSG00000221954	ENST00000335238	ENSMODP00000024888
ENSG00000197233	ENST00000335302	ENSMODP00000024594
ENSG00000107731	ENST00000335350	ENSMODP00000010893
ENSG00000186509	ENST00000335397	
ENSG00000186113	ENST00000335605	ENSMODP00000024947
ENSG00000186297	ENST00000335625	ENSMODP00000001000
ENSG00000257008	ENST00000335666	
ENSG00000125498	ENST00000336077	ENSMODP00000008411
ENSG00000148680	ENST00000336152	ENSMODP00000036049
ENSG00000044524	ENST00000336596	ENSMODP00000021172
ENSG00000125510	ENST00000336866	ENSMODP00000021294
ENSG00000135124	ENST00000337233	ENSMODP00000015042
ENSG00000187800	ENST00000338302	ENSMODP00000033591
ENSG00000164129	ENST00000338566	ENSMODP00000002633
ENSG00000171054	ENST00000338616	ENSMODP00000019150
ENSG00000188340	ENST00000339258	
ENSG00000169962	ENST00000339381	ENSMODP00000007849
ENSG00000179603	ENST00000339582	ENSMODP00000019042
ENSG00000204475	ENST00000340027	
ENSG00000068078	ENST00000340107	ENSMODP00000005261
ENSG00000101180	ENST00000340177	ENSMODP00000020849
ENSG00000159618	ENST00000340339	ENSMODP00000017515
ENSG00000187871	ENST00000340465	ENSMODP00000023426
ENSG00000072071	ENST00000340736	ENSMODP00000015211
ENSG00000239590	ENST00000340750	ENSMODP00000024594
ENSG00000159346	ENST00000340990	ENSMODP00000001042
ENSG00000187918	ENST00000341449	ENSMODP00000014209
ENSG00000196131	ENST00000341702	
ENSG00000187957	ENST00000341772	ENSMODP00000026528
ENSG00000168575	ENST00000342228	ENSMODP00000028732
ENSG00000188888	ENST00000342292	ENSMODP00000015722
ENSG00000243772	ENST00000342376	ENSMODP00000008411
ENSG00000189181	ENST00000342623	
ENSG00000170412	ENST00000342648	ENSMODP00000008442
ENSG00000178568	ENST00000342788	ENSMODP00000019665
ENSG00000196240	ENST00000342927	ENSMODP00000011350
ENSG00000092421	ENST00000343348	ENSMODP00000038013
ENSG00000187857	ENST00000343399	
ENSG00000160791	ENST00000343801	ENSMODP00000014326
ENSG00000197706	ENST00000343870	ENSMODP00000037428
ENSG00000187848	ENST00000343948	ENSMODP00000018938
ENSG00000188763	ENST00000344575	ENSMODP00000017198
ENSG00000187701	ENST00000344889	ENSMODP00000011199
ENSG00000187747	ENST00000345043	ENSMODP00000014366
ENSG00000188778	ENST00000345060	ENSMODP00000013507
ENSG00000156642	ENST00000345330	ENSMODP00000012346
ENSG00000060656	ENST00000345512	ENSMODP00000013869
ENSG00000189013	ENST00000345540	ENSMODP00000008411
ENSG00000104921	ENST00000346664	ENSMODP00000018740
ENSG00000162594	ENST00000347310	ENSMODP00000001041
ENSG00000110448	ENST00000347785	
ENSG00000116678	ENST00000349533	ENSMODP00000001388
ENSG00000114739	ENST00000352511	ENSMODP00000011076
ENSG00000231192	ENST00000354565	ENSMODP00000021282
ENSG00000196661	ENST00000354597	
ENSG00000168079	ENST00000354914	ENSMODP00000019954
ENSG00000196189	ENST00000355014	ENSMODP00000021119
ENSG00000161944	ENST00000355035	ENSMODP00000030908
ENSG00000197405	ENST00000355085	ENSMODP00000011030
ENSG00000197938	ENST00000355273	ENSMODP00000021282
ENSG00000197454	ENST00000355281	ENSMODP00000026422
ENSG00000166736	ENST00000355556	ENSMODP00000017702
ENSG00000136869	ENST00000355622	ENSMODP00000024473
ENSG00000157873	ENST00000355716	
ENSG00000198104	ENST00000355728	
ENSG00000197591	ENST00000355784	ENSMODP00000011065
ENSG00000173890	ENST00000355897	ENSMODP00000020087
ENSG00000165246	ENST00000355905	ENSMODP00000021856
ENSG00000198657	ENST00000356130	
ENSG00000233412	ENST00000356526	ENSMODP00000021282
ENSG00000173535	ENST00000356864	ENSMODP00000011508
ENSG00000197081	ENST00000356956	ENSMODP00000029240
ENSG00000139187	ENST00000356986	
ENSG00000196917	ENST00000356987	ENSMODP00000015404
ENSG00000196936	ENST00000357191	ENSMODP00000026422
ENSG00000105426	ENST00000357368	
ENSG00000121797	ENST00000357392	ENSMODP00000014332
ENSG00000197263	ENST00000357438	ENSMODP00000004291
ENSG00000180616	ENST00000357585	ENSMODP00000032294
ENSG00000197428	ENST00000357605	ENSMODP00000011092
ENSG00000196772	ENST00000357627	
ENSG00000196341	ENST00000357821	ENSMODP00000033767
ENSG00000135622	ENST00000357877	ENSMODP00000005763
ENSG00000213694	ENST00000358157	ENSMODP00000016733
ENSG00000196411	ENST00000358173	ENSMODP00000005844
ENSG00000168329	ENST00000358309	ENSMODP00000013524
ENSG00000142627	ENST00000358432	ENSMODP00000031819
ENSG00000188324	ENST00000358433	
ENSG00000072694	ENST00000358671	ENSMODP00000001115
ENSG00000196338	ENST00000358741	ENSMODP00000037173
ENSG00000126895	ENST00000358927	
ENSG00000163513	ENST00000359013	ENSMODP00000018937
ENSG00000134545	ENST00000359151	
ENSG00000177575	ENST00000359156	
ENSG00000148604	ENST00000359452	
ENSG00000004948	ENST00000359558	
ENSG00000196539	ENST00000359594	
ENSG00000196218	ENST00000359596	ENSMODP00000016617
ENSG00000198601	ENST00000359682	ENSMODP00000004779
ENSG00000197437	ENST00000359688	ENSMODP00000010928
ENSG00000187258	ENST00000359791	ENSMODP00000000059
ENSG00000117114	ENST00000359929	ENSMODP00000036838
ENSG00000142949	ENST00000359947	
ENSG00000198128	ENST00000359959	ENSMODP00000026422
ENSG00000196126	ENST00000360004	
ENSG00000167851	ENST00000360141	
ENSG00000197790	ENST00000360213	ENSMODP00000032503
ENSG00000198283	ENST00000360374	ENSMODP00000025220
ENSG00000118257	ENST00000360409	ENSMODP00000020036
ENSG00000197635	ENST00000360534	ENSMODP00000006712
ENSG00000239732	ENST00000360658	
ENSG00000164270	ENST00000360693	ENSMODP00000006994
ENSG00000170683	ENST00000360759	
ENSG00000170180	ENST00000360771	
ENSG00000119121	ENST00000360774	ENSMODP00000002478
ENSG00000140538	ENST00000360948	ENSMODP00000035165
ENSG00000197594	ENST00000360971	ENSMODP00000021911
ENSG00000198967	ENST00000361284	ENSMODP00000012977
ENSG00000196776	ENST00000361309	ENSMODP00000022497
ENSG00000158458	ENST00000361474	ENSMODP00000014704
ENSG00000198822	ENST00000361669	ENSMODP00000021158
ENSG00000152822	ENST00000361719	ENSMODP00000021070
ENSG00000198851	ENST00000361763	ENSMODP00000016910
ENSG00000105699	ENST00000361790	ENSMODP00000017293
ENSG00000198785	ENST00000361820	ENSMODP00000027794
ENSG00000198829	ENST00000362032	
ENSG00000149295	ENST00000362072	ENSMODP00000017747
ENSG00000198821	ENST00000362089	ENSMODP00000003141
ENSG00000203618	ENST00000366425	
ENSG00000203661	ENST00000366473	ENSMODP00000030473
ENSG00000175143	ENST00000366474	ENSMODP00000011271
ENSG00000196944	ENST00000366475	ENSMODP00000030473
ENSG00000162727	ENST00000366476	ENSMODP00000004779
ENSG00000196071	ENST00000366478	ENSMODP00000026422
ENSG00000203663	ENST00000366479	ENSMODP00000026422
ENSG00000187080	ENST00000366480	
ENSG00000196242	ENST00000366487	ENSMODP00000010897
ENSG00000054277	ENST00000366554	ENSMODP00000008608
ENSG00000116996	ENST00000366570	
ENSG00000077585	ENST00000366592	ENSMODP00000010029
ENSG00000120436	ENST00000366834	ENSMODP00000007582
ENSG00000162769	ENST00000366971	ENSMODP00000003756
ENSG00000076356	ENST00000367033	ENSMODP00000035490
ENSG00000203710	ENST00000367049	
ENSG00000117322	ENST00000367057	ENSMODP00000026983
ENSG00000198049	ENST00000367126	ENSMODP00000002388
ENSG00000133067	ENST00000367278	ENSMODP00000000772
ENSG00000170075	ENST00000367282	ENSMODP00000000685
ENSG00000111981	ENST00000367345	
ENSG00000131015	ENST00000367351	
ENSG00000153029	ENST00000367580	ENSMODP00000008100
ENSG00000143324	ENST00000367590	ENSMODP00000008001
ENSG00000112414	ENST00000367609	ENSMODP00000021556
ENSG00000203737	ENST00000367685	
ENSG00000027697	ENST00000367739	ENSMODP00000029383
ENSG00000143147	ENST00000367838	ENSMODP00000003488
ENSG00000143167	ENST00000367868	ENSMODP00000003023
ENSG00000162733	ENST00000367922	ENSMODP00000001377
ENSG00000162747	ENST00000367964	ENSMODP00000001115
ENSG00000203747	ENST00000367969	ENSMODP00000001115
ENSG00000143217	ENST00000368012	ENSMODP00000006646
ENSG00000158769	ENST00000368026	ENSMODP00000006757
ENSG00000122223	ENST00000368033	
ENSG00000026751	ENST00000368043	ENSMODP00000011749
ENSG00000162739	ENST00000368057	
ENSG00000179639	ENST00000368115	ENSMODP00000034660
ENSG00000213088	ENST00000368121	ENSMODP00000012710
ENSG00000180433	ENST00000368144	ENSMODP00000012850
ENSG00000198965	ENST00000368152	ENSMODP00000013120
ENSG00000158473	ENST00000368171	
ENSG00000027644	ENST00000368195	ENSMODP00000020864
ENSG00000152894	ENST00000368213	ENSMODP00000022019
ENSG00000173080	ENST00000368318	ENSMODP00000033805
ENSG00000160716	ENST00000368476	ENSMODP00000021419
ENSG00000160712	ENST00000368485	ENSMODP00000033980
ENSG00000047936	ENST00000368508	
ENSG00000159164	ENST00000369146	ENSMODP00000023397
ENSG00000150337	ENST00000369168	
ENSG00000043591	ENST00000369295	ENSMODP00000012311
ENSG00000135333	ENST00000369303	ENSMODP00000022635
ENSG00000143127	ENST00000369304	ENSMODP00000028950
ENSG00000198019	ENST00000369384	
ENSG00000116824	ENST00000369478	ENSMODP00000028992
ENSG00000118432	ENST00000369501	ENSMODP00000029775
ENSG00000121933	ENST00000369716	ENSMODP00000029048
ENSG00000125522	ENST00000369768	ENSMODP00000021296
ENSG00000166160	ENST00000369929	ENSMODP00000037822
ENSG00000147380	ENST00000369935	ENSMODP00000037822
ENSG00000135312	ENST00000369947	ENSMODP00000029968
ENSG00000102076	ENST00000369951	ENSMODP00000037822
ENSG00000101204	ENST00000370263	ENSMODP00000021042
ENSG00000147402	ENST00000370306	
ENSG00000011677	ENST00000370314	ENSMODP00000007299
ENSG00000102287	ENST00000370328	ENSMODP00000007237
ENSG00000101188	ENST00000370501	ENSMODP00000020967
ENSG00000102239	ENST00000370648	ENSMODP00000017618
ENSG00000162618	ENST00000370742	ENSMODP00000001087
ENSG00000122420	ENST00000370758	
ENSG00000137252	ENST00000370862	ENSMODP00000024168
ENSG00000185483	ENST00000371079	ENSMODP00000037259
ENSG00000162604	ENST00000371180	ENSMODP00000002999
ENSG00000184292	ENST00000371225	ENSMODP00000004056
ENSG00000153292	ENST00000371253	ENSMODP00000023556
ENSG00000186188	ENST00000371483	ENSMODP00000036162
ENSG00000176884	ENST00000371553	ENSMODP00000021436
ENSG00000131724	ENST00000371666	ENSMODP00000031442
ENSG00000180772	ENST00000371906	ENSMODP00000006033
ENSG00000122375	ENST00000372071	ENSMODP00000013912
ENSG00000148600	ENST00000372117	ENSMODP00000002100
ENSG00000117425	ENST00000372192	ENSMODP00000003066
ENSG00000101017	ENST00000372285	ENSMODP00000017358
ENSG00000117400	ENST00000372470	ENSMODP00000014193
ENSG00000066056	ENST00000372476	ENSMODP00000037588
ENSG00000188828	ENST00000372617	ENSMODP00000014493
ENSG00000124145	ENST00000372733	ENSMODP00000020228
ENSG00000183317	ENST00000373048	ENSMODP00000022143
ENSG00000096264	ENST00000373089	
ENSG00000163873	ENST00000373091	ENSMODP00000022196
ENSG00000119535	ENST00000373103	ENSMODP00000022203
ENSG00000095970	ENST00000373113	ENSMODP00000016261
ENSG00000161911	ENST00000373127	ENSMODP00000016268
ENSG00000196090	ENST00000373187	ENSMODP00000001443
ENSG00000106991	ENST00000373203	ENSMODP00000006956
ENSG00000112164	ENST00000373256	ENSMODP00000016492
ENSG00000173198	ENST00000373304	ENSMODP00000005186
ENSG00000075073	ENST00000373306	ENSMODP00000008435
ENSG00000188394	ENST00000373642	
ENSG00000121753	ENST00000373658	ENSMODP00000021907
ENSG00000148215	ENST00000373680	ENSMODP00000024607
ENSG00000171501	ENST00000373688	ENSMODP00000024589
ENSG00000186810	ENST00000373691	
ENSG00000181773	ENST00000374024	
ENSG00000124493	ENST00000374181	ENSMODP00000017467
ENSG00000147168	ENST00000374202	ENSMODP00000006262
ENSG00000182749	ENST00000374296	ENSMODP00000032196
ENSG00000204174	ENST00000374312	ENSMODP00000036656
ENSG00000096433	ENST00000374316	ENSMODP00000017600
ENSG00000198121	ENST00000374431	ENSMODP00000004921
ENSG00000030304	ENST00000374448	ENSMODP00000004898
ENSG00000188822	ENST00000374472	ENSMODP00000032166
ENSG00000101000	ENST00000374477	ENSMODP00000002258
ENSG00000186912	ENST00000374519	ENSMODP00000005850
ENSG00000204217	ENST00000374580	ENSMODP00000020362
ENSG00000133216	ENST00000374632	ENSMODP00000020127
ENSG00000177283	ENST00000374694	ENSMODP00000008351
ENSG00000131080	ENST00000374719	ENSMODP00000015573
ENSG00000165029	ENST00000374736	ENSMODP00000020336
ENSG00000204246	ENST00000374781	ENSMODP00000015649
ENSG00000168384	ENST00000374808	
ENSG00000237541	ENST00000374940	
ENSG00000106799	ENST00000374994	ENSMODP00000034940
ENSG00000204293	ENST00000375013	
ENSG00000204305	ENST00000375076	ENSMODP00000018610
ENSG00000204345	ENST00000375352	
ENSG00000179002	ENST00000375371	ENSMODP00000026115
ENSG00000169071	ENST00000375708	ENSMODP00000024012
ENSG00000204420	ENST00000375806	ENSMODP00000019052
ENSG00000148053	ENST00000376214	ENSMODP00000035175
ENSG00000028137	ENST00000376259	
ENSG00000080031	ENST00000376350	ENSMODP00000027136
ENSG00000169508	ENST00000376414	ENSMODP00000009790
ENSG00000204580	ENST00000376575	ENSMODP00000019788
ENSG00000229698	ENST00000376848	
ENSG00000206512	ENST00000376947	
ENSG00000204681	ENST00000377034	ENSMODP00000020014
ENSG00000178726	ENST00000377103	ENSMODP00000028571
ENSG00000204687	ENST00000377127	ENSMODP00000009139
ENSG00000204688	ENST00000377136	
ENSG00000204690	ENST00000377140	
ENSG00000112462	ENST00000377143	
ENSG00000204694	ENST00000377148	ENSMODP00000020063
ENSG00000243729	ENST00000377154	
ENSG00000204695	ENST00000377160	
ENSG00000204701	ENST00000377169	
ENSG00000204702	ENST00000377171	
ENSG00000204703	ENST00000377173	ENSMODP00000020169
ENSG00000204704	ENST00000377175	ENSMODP00000020189
ENSG00000113749	ENST00000377291	ENSMODP00000006627
ENSG00000180758	ENST00000377411	ENSMODP00000029282
ENSG00000049249	ENST00000377507	
ENSG00000204882	ENST00000377741	ENSMODP00000033972
ENSG00000215788	ENST00000377782	ENSMODP00000031142
ENSG00000158292	ENST00000377893	ENSMODP00000007652
ENSG00000168828	ENST00000377981	ENSMODP00000015556
ENSG00000077943	ENST00000378076	ENSMODP00000012596
ENSG00000171659	ENST00000378142	ENSMODP00000037658
ENSG00000205029	ENST00000378396	ENSMODP00000024944
ENSG00000205030	ENST00000378397	ENSMODP00000024953
ENSG00000139679	ENST00000378434	ENSMODP00000013985
ENSG00000182220	ENST00000378438	ENSMODP00000026381
ENSG00000187730	ENST00000378585	ENSMODP00000025732
ENSG00000134569	ENST00000378623	ENSMODP00000024825
ENSG00000162881	ENST00000378661	ENSMODP00000000460
ENSG00000102468	ENST00000378688	ENSMODP00000014108
ENSG00000169306	ENST00000378993	ENSMODP00000008932
ENSG00000205213	ENST00000379214	ENSMODP00000011803
ENSG00000186827	ENST00000379236	ENSMODP00000020540
ENSG00000165186	ENST00000379361	ENSMODP00000009701
ENSG00000171873	ENST00000379453	ENSMODP00000019285
ENSG00000138741	ENST00000379645	ENSMODP00000023614
ENSG00000205329	ENST00000379667	
ENSG00000205330	ENST00000379668	ENSMODP00000037496
ENSG00000173698	ENST00000379869	ENSMODP00000021319
ENSG00000134460	ENST00000379959	
ENSG00000178015	ENST00000380007	ENSMODP00000036054
ENSG00000120156	ENST00000380036	ENSMODP00000005260
ENSG00000167359	ENST00000380211	ENSMODP00000014215
ENSG00000176239	ENST00000380219	ENSMODP00000027646
ENSG00000126010	ENST00000380289	ENSMODP00000021446
ENSG00000205494	ENST00000380369	
ENSG00000205496	ENST00000380371	
ENSG00000205497	ENST00000380373	
ENSG00000176900	ENST00000380378	ENSMODP00000011572
ENSG00000132670	ENST00000380393	ENSMODP00000006668
ENSG00000120907	ENST00000380586	ENSMODP00000020809
ENSG00000196664	ENST00000380659	
ENSG00000139514	ENST00000380752	ENSMODP00000011481
ENSG00000146938	ENST00000381095	ENSMODP00000021856
ENSG00000153707	ENST00000381196	ENSMODP00000018989
ENSG00000182162	ENST00000381297	ENSMODP00000000090
ENSG00000134352	ENST00000381298	
ENSG00000120217	ENST00000381577	ENSMODP00000019170
ENSG00000205809	ENST00000381902	
ENSG00000134539	ENST00000381907	
ENSG00000172150	ENST00000381951	
ENSG00000159110	ENST00000382241	ENSMODP00000026345
ENSG00000155269	ENST00000382487	ENSMODP00000003865
ENSG00000112902	ENST00000382496	ENSMODP00000002598
ENSG00000231679	ENST00000383126	
ENSG00000206291	ENST00000383224	
ENSG00000206292	ENST00000383226	
ENSG00000206305	ENST00000383251	
ENSG00000206308	ENST00000383259	
ENSG00000184984	ENST00000383263	ENSMODP00000033722
ENSG00000206320	ENST00000383279	
ENSG00000206396	ENST00000383412	
ENSG00000206430	ENST00000383476	
ENSG00000137403	ENST00000383516	
ENSG00000206466	ENST00000383542	
ENSG00000206470	ENST00000383549	
ENSG00000206471	ENST00000383550	
ENSG00000206472	ENST00000383551	
ENSG00000204692	ENST00000383556	
ENSG00000206493	ENST00000383597	
ENSG00000206506	ENST00000383623	
ENSG00000206509	ENST00000383627	
ENSG00000206511	ENST00000383638	
ENSG00000204657	ENST00000383640	
ENSG00000206515	ENST00000383643	
ENSG00000206516	ENST00000383644	
ENSG00000206517	ENST00000383645	
ENSG00000206522	ENST00000383651	
ENSG00000206524	ENST00000383653	
ENSG00000206525	ENST00000383654	
ENSG00000230301	ENST00000383696	ENSMODP00000021282
ENSG00000205336	ENST00000388812	ENSMODP00000017522
ENSG00000136011	ENST00000388887	ENSMODP00000002854
ENSG00000156886	ENST00000389202	ENSMODP00000003063
ENSG00000196811	ENST00000389494	ENSMODP00000003235
ENSG00000080224	ENST00000389672	ENSMODP00000021211
ENSG00000174948	ENST00000389740	ENSMODP00000019726
ENSG00000006071	ENST00000389817	ENSMODP00000008676
ENSG00000184350	ENST00000389832	ENSMODP00000008907
ENSG00000212807	ENST00000391496	
ENSG00000204689	ENST00000391549	
ENSG00000167633	ENST00000391728	ENSMODP00000008411
ENSG00000186818	ENST00000391736	
ENSG00000167613	ENST00000391742	
ENSG00000131042	ENST00000391749	
ENSG00000135898	ENST00000392040	ENSMODP00000013278
ENSG00000064989	ENST00000392370	ENSMODP00000013390
ENSG00000197177	ENST00000392607	ENSMODP00000018665
ENSG00000007312	ENST00000392795	ENSMODP00000012299
ENSG00000106123	ENST00000392957	ENSMODP00000001176
ENSG00000106278	ENST00000393386	ENSMODP00000034490
ENSG00000114554	ENST00000393409	ENSMODP00000009740
ENSG00000175591	ENST00000393597	ENSMODP00000009522
ENSG00000184845	ENST00000393752	ENSMODP00000031180
ENSG00000144847	ENST00000393775	ENSMODP00000022678
ENSG00000145864	ENST00000393959	ENSMODP00000009774
ENSG00000156920	ENST00000394143	ENSMODP00000017622
ENSG00000186867	ENST00000394427	ENSMODP00000023630
ENSG00000119737	ENST00000394705	ENSMODP00000028429
ENSG00000188372	ENST00000394857	ENSMODP00000017075
ENSG00000164082	ENST00000395052	
ENSG00000137868	ENST00000395105	ENSMODP00000015136
ENSG00000181619	ENST00000395116	ENSMODP00000032414
ENSG00000165215	ENST00000395145	
ENSG00000126777	ENST00000395309	ENSMODP00000032471
ENSG00000197471	ENST00000395389	ENSMODP00000036216
ENSG00000150093	ENST00000396033	ENSMODP00000009352
ENSG00000244482	ENST00000396365	
ENSG00000183454	ENST00000396573	ENSMODP00000006618
ENSG00000206503	ENST00000396634	
ENSG00000137101	ENST00000396757	ENSMODP00000035279
ENSG00000167332	ENST00000396950	ENSMODP00000011323
ENSG00000180785	ENST00000396952	ENSMODP00000011138
ENSG00000115232	ENST00000397033	ENSMODP00000012995
ENSG00000164849	ENST00000397095	ENSMODP00000010887
ENSG00000125245	ENST00000397473	ENSMODP00000009797
ENSG00000162009	ENST00000397547	ENSMODP00000021090
ENSG00000197646	ENST00000397747	ENSMODP00000019167
ENSG00000134160	ENST00000397795	ENSMODP00000034993
ENSG00000160255	ENST00000397852	ENSMODP00000004230
ENSG00000154928	ENST00000398015	ENSMODP00000023092
ENSG00000152558	ENST00000398136	ENSMODP00000032914
ENSG00000120088	ENST00000398285	ENSMODP00000013746
ENSG00000127418	ENST00000398484	
ENSG00000184012	ENST00000398585	ENSMODP00000026218
ENSG00000231286	ENST00000399088	
ENSG00000206240	ENST00000399450	
ENSG00000171189	ENST00000399907	ENSMODP00000026240
ENSG00000215522	ENST00000400489	
ENSG00000215644	ENST00000400723	ENSMODP00000003602
ENSG00000215764	ENST00000400875	ENSMODP00000008411
ENSG00000112486	ENST00000400926	ENSMODP00000007616
ENSG00000111886	ENST00000402938	ENSMODP00000022793
ENSG00000182083	ENST00000402971	ENSMODP00000027892
ENSG00000121764	ENST00000403528	
ENSG00000100368	ENST00000403662	ENSMODP00000000893
ENSG00000164199	ENST00000405460	ENSMODP00000025280
ENSG00000132975	ENST00000405846	ENSMODP00000010963
ENSG00000170820	ENST00000406846	ENSMODP00000001525
ENSG00000183671	ENST00000407325	ENSMODP00000035789
ENSG00000064547	ENST00000407877	ENSMODP00000005502
ENSG00000120903	ENST00000407991	ENSMODP00000019892
ENSG00000221882	ENST00000408891	ENSMODP00000012663
ENSG00000221888	ENST00000408896	
ENSG00000221933	ENST00000408898	
ENSG00000221938	ENST00000408899	ENSMODP00000001956
ENSG00000221836	ENST00000408906	ENSMODP00000001956
ENSG00000221813	ENST00000408922	ENSMODP00000033775
ENSG00000221977	ENST00000408935	ENSMODP00000007403
ENSG00000221858	ENST00000408949	ENSMODP00000001956
ENSG00000221970	ENST00000408951	
ENSG00000221989	ENST00000408979	ENSMODP00000001956
ENSG00000091409	ENST00000409080	ENSMODP00000011123
ENSG00000222040	ENST00000409345	ENSMODP00000010078
ENSG00000121966	ENST00000409817	ENSMODP00000001310
ENSG00000115594	ENST00000410023	ENSMODP00000037246
ENSG00000115604	ENST00000410040	ENSMODP00000002903
ENSG00000227639	ENST00000411447	
ENSG00000228987	ENST00000411505	
ENSG00000234794	ENST00000411524	
ENSG00000229680	ENST00000411574	
ENSG00000006638	ENST00000411851	ENSMODP00000031646
ENSG00000020181	ENST00000412232	ENSMODP00000013584
ENSG00000229058	ENST00000412470	
ENSG00000234745	ENST00000412585	
ENSG00000225211	ENST00000412603	
ENSG00000099957	ENST00000413302	
ENSG00000232178	ENST00000414140	
ENSG00000154269	ENST00000414305	ENSMODP00000029444
ENSG00000233481	ENST00000414415	
ENSG00000113327	ENST00000414552	ENSMODP00000009557
ENSG00000230726	ENST00000414698	
ENSG00000224103	ENST00000415247	
ENSG00000229252	ENST00000415289	
ENSG00000224395	ENST00000415581	
ENSG00000233904	ENST00000415649	
ENSG00000237216	ENST00000415687	
ENSG00000233141	ENST00000415802	
ENSG00000226000	ENST00000415857	
ENSG00000226832	ENST00000415976	
ENSG00000233209	ENST00000416192	
ENSG00000198223	ENST00000417535	
ENSG00000224320	ENST00000417978	
ENSG00000112218	ENST00000417980	ENSMODP00000029702
ENSG00000234954	ENST00000418003	
ENSG00000225781	ENST00000418316	ENSMODP00000001379
ENSG00000233618	ENST00000418630	
ENSG00000111199	ENST00000418703	ENSMODP00000030220
ENSG00000237808	ENST00000418936	
ENSG00000229866	ENST00000419260	
ENSG00000231389	ENST00000419277	
ENSG00000228080	ENST00000419393	
ENSG00000229493	ENST00000419519	
ENSG00000232945	ENST00000419605	
ENSG00000231319	ENST00000419873	
ENSG00000228377	ENST00000420035	
ENSG00000233054	ENST00000420178	
ENSG00000228299	ENST00000420206	
ENSG00000228977	ENST00000420540	
ENSG00000226463	ENST00000421027	
ENSG00000234078	ENST00000421229	
ENSG00000164418	ENST00000421544	ENSMODP00000022522
ENSG00000237258	ENST00000421634	
ENSG00000234101	ENST00000421766	
ENSG00000232984	ENST00000421808	
ENSG00000139626	ENST00000422257	
ENSG00000228163	ENST00000422504	
ENSG00000232632	ENST00000423604	
ENSG00000196184	ENST00000423932	ENSMODP00000012600
ENSG00000231268	ENST00000424145	
ENSG00000237112	ENST00000425097	
ENSG00000073008	ENST00000425690	ENSMODP00000026092
ENSG00000223532	ENST00000425848	
ENSG00000077782	ENST00000425967	ENSMODP00000005258
ENSG00000231558	ENST00000426070	
ENSG00000235249	ENST00000426406	ENSMODP00000009876
ENSG00000243612	ENST00000426644	
ENSG00000232957	ENST00000426685	
ENSG00000230060	ENST00000426729	
ENSG00000230463	ENST00000426847	
ENSG00000230456	ENST00000427053	
ENSG00000230780	ENST00000427264	
ENSG00000234746	ENST00000427744	
ENSG00000230254	ENST00000427936	
ENSG00000226271	ENST00000428081	
ENSG00000235220	ENST00000428296	
ENSG00000231003	ENST00000428302	
ENSG00000204632	ENST00000428701	
ENSG00000026508	ENST00000428726	ENSMODP00000024741
ENSG00000235680	ENST00000429890	
ENSG00000096996	ENST00000430026	ENSMODP00000003798
ENSG00000224487	ENST00000430148	
ENSG00000233636	ENST00000430478	
ENSG00000180720	ENST00000433765	
ENSG00000228813	ENST00000433801	
ENSG00000232962	ENST00000434335	
ENSG00000225291	ENST00000434778	
ENSG00000112038	ENST00000434900	ENSMODP00000010416
ENSG00000233095	ENST00000434907	
ENSG00000189143	ENST00000435050	ENSMODP00000028480
ENSG00000147145	ENST00000435339	ENSMODP00000027595
ENSG00000135218	ENST00000435819	ENSMODP00000021313
ENSG00000237103	ENST00000436623	
