Ensembl Gene ID	Ensembl Transcript ID	Rhesus Ensembl Protein ID	
ENSG00000151834	ENST00000510861	ENSMMUP00000004824	
ENSG00000152034	ENST00000445970	ENSMMUP00000001100	
ENSG00000152207	ENST00000282018	ENSMMUP00000036305	
ENSG00000152208	ENST00000282020	ENSMMUP00000003163	
ENSG00000152558	ENST00000398136	ENSMMUP00000004539	
ENSG00000152578	ENST00000282499	ENSMMUP00000014398	
ENSG00000152822	ENST00000361719	ENSMMUP00000021579	
ENSG00000152894	ENST00000368213	
ENSG00000152990	ENST00000334304	ENSMMUP00000026251	
ENSG00000153029	ENST00000367580	ENSMMUP00000026328	
ENSG00000153208	ENST00000295408	ENSMMUP00000013160	
ENSG00000153230	ENST00000283225	ENSMMUP00000021254	
ENSG00000153233	ENST00000283228	ENSMMUP00000014508	
ENSG00000153246	ENST00000283243	ENSMMUP00000027274	
ENSG00000153292	ENST00000371253	ENSMMUP00000030266	
ENSG00000153294	ENST00000327753	ENSMMUP00000023600	
ENSG00000153563	ENST00000283635	ENSMMUP00000004695	
ENSG00000153707	ENST00000381196	ENSMMUP00000009139	
ENSG00000154165	ENST00000284311	ENSMMUP00000012486	
ENSG00000154269	ENST00000414305	ENSMMUP00000033099	
ENSG00000154309	ENST00000284476	ENSMMUP00000007730	
ENSG00000154478	ENST00000284674	ENSMMUP00000026772	
ENSG00000154639	ENST00000284878	ENSMMUP00000014085	
ENSG00000154928	ENST00000398015	ENSMMUP00000028101	
ENSG00000155249	ENST00000285600	ENSMMUP00000030341	
ENSG00000155269	ENST00000382487	ENSMMUP00000008201	
ENSG00000155511	ENST00000285900	ENSMMUP00000012165	
ENSG00000155760	ENST00000286201	ENSMMUP00000017360	
ENSG00000156097	ENST00000527748	ENSMMUP00000039511	
ENSG00000156642	ENST00000345330	ENSMMUP00000012923	
ENSG00000156886	ENST00000389202	ENSMMUP00000018853	
ENSG00000156920	ENST00000394143	ENSMMUP00000000406	
ENSG00000157193	ENST00000306052	ENSMMUP00000009997	
ENSG00000157219	ENST00000287907	ENSMMUP00000017184	
ENSG00000157240	ENST00000287934	ENSMMUP00000029119	
ENSG00000157404	ENST00000288135	ENSMMUP00000004082	
ENSG00000157873	ENST00000355716	ENSMMUP00000021447	
ENSG00000158292	ENST00000377893	ENSMMUP00000005468	
ENSG00000158458	ENST00000361474	ENSMMUP00000013492	
ENSG00000158473	ENST00000368171	ENSMMUP00000026541	
ENSG00000158748	ENST00000289753	ENSMMUP00000003351	
ENSG00000158769	ENST00000368026	ENSMMUP00000038563	
ENSG00000158869	ENST00000289902	ENSMMUP00000006016	
ENSG00000159110	ENST00000382241	ENSMMUP00000005285	
ENSG00000159128	ENST00000290219	ENSMMUP00000007279	
ENSG00000159164	ENST00000369146	ENSMMUP00000009516	
ENSG00000159346	ENST00000340990	ENSMMUP00000009241	
ENSG00000159618	ENST00000340339	ENSMMUP00000015713	
ENSG00000159958	ENST00000291232	ENSMMUP00000004477	
ENSG00000159961	ENST00000291231	ENSMMUP00000035421	
ENSG00000160013	ENST00000291294	ENSMMUP00000023557	
ENSG00000160255	ENST00000397852	ENSMMUP00000001276	
ENSG00000160654	ENST00000532917	ENSMMUP00000023163	
ENSG00000160683	ENST00000292174	ENSMMUP00000012202	
ENSG00000160712	ENST00000368485	ENSMMUP00000030261	
ENSG00000160716	ENST00000368476	ENSMMUP00000021166	
ENSG00000160791	ENST00000343801	
ENSG00000160801	ENST00000449590	ENSMMUP00000019356	
ENSG00000160856	ENST00000368184	
ENSG00000160951	ENST00000292513	
ENSG00000161509	ENST00000293190	ENSMMUP00000007584	
ENSG00000161638	ENST00000293379	ENSMMUP00000005008	
ENSG00000161649	ENST00000317310	ENSMMUP00000017444	
ENSG00000161807	ENST00000293614	
ENSG00000161911	ENST00000373127	ENSMMUP00000018297	
ENSG00000161921	ENST00000293778	ENSMMUP00000006499	
ENSG00000161944	ENST00000355035	
ENSG00000162009	ENST00000397547	
ENSG00000162337	ENST00000294304	ENSMMUP00000037689	
ENSG00000162594	ENST00000347310	ENSMMUP00000000873	
ENSG00000162604	ENST00000371180	ENSMMUP00000014331	
ENSG00000162618	ENST00000370742	ENSMMUP00000039869	
ENSG00000162727	ENST00000366476	
ENSG00000162733	ENST00000367922	ENSMMUP00000012220	
ENSG00000162739	ENST00000368057	ENSMMUP00000020465	
ENSG00000162747	ENST00000367964	ENSMMUP00000021295	
ENSG00000162769	ENST00000366971	ENSMMUP00000015391	
ENSG00000162881	ENST00000378661	ENSMMUP00000005389	
ENSG00000162897	ENST00000324852	ENSMMUP00000014709	
ENSG00000163251	ENST00000295417	ENSMMUP00000017953	
ENSG00000163285	ENST00000295452	ENSMMUP00000016844	
ENSG00000163288	ENST00000295454	ENSMMUP00000028676	
ENSG00000163394	ENST00000295589	ENSMMUP00000017499	
ENSG00000163464	ENST00000295683	ENSMMUP00000025429	
ENSG00000163485	ENST00000309502	ENSMMUP00000011422	
ENSG00000163513	ENST00000359013	ENSMMUP00000013113	
ENSG00000163518	ENST00000271532	ENSMMUP00000011756	
ENSG00000163534	ENST00000368176	ENSMMUP00000026076	
ENSG00000163606	ENST00000308611	ENSMMUP00000004272	
ENSG00000163702	ENST00000295981	ENSMMUP00000024038	
ENSG00000163785	ENST00000296084	ENSMMUP00000014767	
ENSG00000163823	ENST00000296140	ENSMMUP00000009854	
ENSG00000163873	ENST00000373091	ENSMMUP00000012661	
ENSG00000163914	ENST00000296271	ENSMMUP00000016724	
ENSG00000163956	ENST00000500728	ENSMMUP00000030409	
ENSG00000164078	ENST00000296474	ENSMMUP00000004466	
ENSG00000164082	ENST00000395052	ENSMMUP00000015746	
ENSG00000164128	ENST00000296533	ENSMMUP00000026647	
ENSG00000164129	ENST00000338566	ENSMMUP00000026648	
ENSG00000164171	ENST00000296585	ENSMMUP00000026922	
ENSG00000164199	ENST00000405460	ENSMMUP00000024965	
ENSG00000164220	ENST00000296641	ENSMMUP00000030271	
ENSG00000164251	ENST00000296677	ENSMMUP00000028129	
ENSG00000164270	ENST00000360693	ENSMMUP00000014357	
ENSG00000164342	ENST00000296795	ENSMMUP00000028658	
ENSG00000164393	ENST00000296862	ENSMMUP00000023599	
ENSG00000164418	ENST00000421544	
ENSG00000164509	ENST00000447346	ENSMMUP00000022897	
ENSG00000164604	ENST00000501255	ENSMMUP00000020394	
ENSG00000164849	ENST00000397095	ENSMMUP00000009452	
ENSG00000164930	ENST00000522566	ENSMMUP00000032022	
ENSG00000165029	ENST00000374736	ENSMMUP00000027135	
ENSG00000165186	ENST00000379361	ENSMMUP00000001449	
ENSG00000165202	ENST00000297913	ENSMMUP00000003824	
ENSG00000165204	ENST00000277309	
ENSG00000165215	ENST00000395145	ENSMMUP00000001516	
ENSG00000165246	ENST00000355905	ENSMMUP00000014838	
ENSG00000165370	ENST00000298110	ENSMMUP00000007411	
ENSG00000165409	ENST00000541158	ENSMMUP00000025913	
ENSG00000165621	ENST00000298440	ENSMMUP00000011409	
ENSG00000165682	ENST00000298527	ENSMMUP00000003949	
ENSG00000165762	ENST00000298642	ENSMMUP00000003820	
ENSG00000166073	ENST00000299092	ENSMMUP00000007927	
ENSG00000166148	ENST00000299178	ENSMMUP00000000738	
ENSG00000166160	ENST00000369929	ENSMMUP00000008106	
ENSG00000166206	ENST00000311550	ENSMMUP00000023717	
ENSG00000166342	ENST00000327305	ENSMMUP00000027116	
ENSG00000166363	ENST00000299454	
ENSG00000166368	ENST00000299459	
ENSG00000166573	ENST00000299727	ENSMMUP00000003354	
ENSG00000166603	ENST00000299766	ENSMMUP00000022705	
ENSG00000166682	ENST00000299882	ENSMMUP00000036694	
ENSG00000166736	ENST00000355556	ENSMMUP00000009284	
ENSG00000166825	ENST00000300060	ENSMMUP00000019645	
ENSG00000166856	ENST00000300098	ENSMMUP00000027789	
ENSG00000166884	ENST00000300127	ENSMMUP00000018548	
ENSG00000167286	ENST00000300692	ENSMMUP00000023161	
ENSG00000167332	ENST00000396950	ENSMMUP00000036864	
ENSG00000167359	ENST00000380211	
ENSG00000167360	ENST00000300778	
ENSG00000167601	ENST00000301178	ENSMMUP00000011992	
ENSG00000167613	ENST00000391742	ENSMMUP00000011219	
ENSG00000167633	ENST00000391728	
ENSG00000167822	ENST00000301529	ENSMMUP00000037188	
ENSG00000167825	ENST00000301532	ENSMMUP00000021238	
ENSG00000167850	ENST00000330793	
ENSG00000167851	ENST00000360141	
ENSG00000168079	ENST00000354914	ENSMMUP00000009478	
ENSG00000168124	ENST00000304646	ENSMMUP00000010338	
ENSG00000168131	ENST00000303324	
ENSG00000168158	ENST00000304936	ENSMMUP00000037556	
ENSG00000168229	ENST00000306051	ENSMMUP00000000027	
ENSG00000168329	ENST00000358309	ENSMMUP00000030242	
ENSG00000168384	ENST00000374808	
ENSG00000168398	ENST00000554311	ENSMMUP00000008684	
ENSG00000168412	ENST00000307161	ENSMMUP00000023723	
ENSG00000168539	ENST00000306960	ENSMMUP00000022746	
ENSG00000168575	ENST00000342228	ENSMMUP00000026579	
ENSG00000168685	ENST00000303115	ENSMMUP00000002245	
ENSG00000168758	ENST00000305476	ENSMMUP00000009977	
ENSG00000168787	ENST00000383555	
ENSG00000168828	ENST00000377981	ENSMMUP00000021462	
ENSG00000168830	ENST00000305344	ENSMMUP00000000314	
ENSG00000168959	ENST00000418177	ENSMMUP00000013314	
ENSG00000168995	ENST00000317643	
ENSG00000169006	ENST00000306928	ENSMMUP00000026656	
ENSG00000169071	ENST00000375708	ENSMMUP00000038825	
ENSG00000169208	ENST00000303532	ENSMMUP00000004728	
ENSG00000169214	ENST00000302084	ENSMMUP00000021257	
ENSG00000169252	ENST00000305988	ENSMMUP00000002958	
ENSG00000169306	ENST00000378993	ENSMMUP00000002234	
ENSG00000169313	ENST00000302632	ENSMMUP00000001469	
ENSG00000169327	ENST00000304418	ENSMMUP00000033154	
ENSG00000169484	ENST00000305045	ENSMMUP00000006771	
ENSG00000169488	ENST00000305051	ENSMMUP00000004047	
ENSG00000169508	ENST00000376414	ENSMMUP00000016201	
ENSG00000169604	ENST00000303714	ENSMMUP00000018710	
ENSG00000169618	ENST00000303786	ENSMMUP00000023286	
ENSG00000169676	ENST00000304374	ENSMMUP00000003732	
ENSG00000169684	ENST00000299565	ENSMMUP00000014073	
ENSG00000169760	ENST00000457714	ENSMMUP00000006208	
ENSG00000169836	ENST00000304883	ENSMMUP00000026703	
ENSG00000169860	ENST00000305097	ENSMMUP00000038602	
ENSG00000169896	ENST00000544665	
ENSG00000169962	ENST00000339381	ENSMMUP00000040687	
ENSG00000169992	ENST00000302926	ENSMMUP00000020495	
ENSG00000170075	ENST00000367282	ENSMMUP00000018131	
ENSG00000170128	ENST00000304244	ENSMMUP00000016025	
ENSG00000170175	ENST00000306071	ENSMMUP00000023272	
ENSG00000170180	ENST00000360771	ENSMMUP00000023255	
ENSG00000170214	ENST00000306675	ENSMMUP00000007514	
ENSG00000170255	ENST00000302797	ENSMMUP00000009351	
ENSG00000170412	ENST00000342648	ENSMMUP00000017515	
ENSG00000170425	ENST00000304222	ENSMMUP00000026840	
ENSG00000170605	ENST00000305377	ENSMMUP00000026213	
ENSG00000170683	ENST00000360759	
ENSG00000170775	ENST00000303921	ENSMMUP00000013973	
ENSG00000170782	ENST00000379829	ENSMMUP00000011736	
ENSG00000170790	ENST00000307322	
ENSG00000170803	ENST00000307401	ENSMMUP00000031329	
ENSG00000170820	ENST00000406846	ENSMMUP00000022620	
ENSG00000170837	ENST00000304411	
ENSG00000170915	ENST00000442253	ENSMMUP00000018037	
ENSG00000170920	ENST00000305444	
ENSG00000170923	ENST00000305456	
ENSG00000170927	ENST00000371117	ENSMMUP00000022360	
ENSG00000170929	ENST00000429566	ENSMMUP00000001707	
ENSG00000170953	ENST00000306842	ENSMMUP00000027294	
ENSG00000170989	ENST00000305352	ENSMMUP00000023379	
ENSG00000171014	ENST00000307033	ENSMMUP00000015387	
ENSG00000171049	ENST00000340023	ENSMMUP00000008083	
ENSG00000171051	ENST00000304748	ENSMMUP00000017142	
ENSG00000171054	ENST00000338616	
ENSG00000171105	ENST00000302850	
ENSG00000171133	ENST00000302681	ENSMMUP00000021833	
ENSG00000171180	ENST00000306687	
ENSG00000171189	ENST00000399907	ENSMMUP00000006496	
ENSG00000171459	ENST00000304720	
ENSG00000171481	ENST00000304820	
ENSG00000171484	ENST00000304833	ENSMMUP00000015839	
ENSG00000171496	ENST00000304865	
ENSG00000171501	ENST00000373688	
ENSG00000171505	ENST00000304880	ENSMMUP00000016849	
ENSG00000171509	ENST00000307765	ENSMMUP00000034598	
ENSG00000171517	ENST00000440886	ENSMMUP00000020194	
ENSG00000171522	ENST00000302472	ENSMMUP00000021248	
ENSG00000171561	ENST00000305159	ENSMMUP00000014003	
ENSG00000171596	ENST00000305141	
ENSG00000171631	ENST00000540342	ENSMMUP00000004196	
ENSG00000171657	ENST00000302548	ENSMMUP00000041115	
ENSG00000171659	ENST00000378142	ENSMMUP00000029728	
ENSG00000171860	ENST00000307637	ENSMMUP00000040281	
ENSG00000171873	ENST00000379453	ENSMMUP00000026877	
ENSG00000171936	ENST00000305892	
ENSG00000171942	ENST00000305899	ENSMMUP00000019227	
ENSG00000171944	ENST00000307388	ENSMMUP00000028498	
ENSG00000172116	ENST00000331469	ENSMMUP00000004703	
ENSG00000172146	ENST00000304094	ENSMMUP00000022333	
ENSG00000172148	ENST00000304105	
ENSG00000172150	ENST00000381951	ENSMMUP00000022333	
ENSG00000172154	ENST00000302124	ENSMMUP00000021232	
ENSG00000172188	ENST00000302231	
ENSG00000172199	ENST00000302270	ENSMMUP00000019102	
ENSG00000172208	ENST00000302329	ENSMMUP00000007723	
ENSG00000172209	ENST00000304402	ENSMMUP00000020215	
ENSG00000172215	ENST00000438735	ENSMMUP00000039108	
ENSG00000172243	ENST00000304084	ENSMMUP00000002923	
ENSG00000172289	ENST00000307552	
ENSG00000172320	ENST00000302030	ENSMMUP00000018549	
ENSG00000172322	ENST00000304361	ENSMMUP00000003951	
ENSG00000172324	ENST00000302040	ENSMMUP00000018550	
ENSG00000172362	ENST00000302572	
ENSG00000172365	ENST00000302581	ENSMMUP00000015369	
ENSG00000172377	ENST00000302610	ENSMMUP00000006836	
ENSG00000172381	ENST00000302622	ENSMMUP00000035502	
ENSG00000172457	ENST00000302957	ENSMMUP00000023482	
ENSG00000172459	ENST00000302969	ENSMMUP00000037567	
ENSG00000172464	ENST00000302981	ENSMMUP00000000883	
ENSG00000172487	ENST00000303039	ENSMMUP00000037194	
ENSG00000172489	ENST00000303059	ENSMMUP00000023396	
ENSG00000172519	ENST00000308940	ENSMMUP00000019227	
ENSG00000172640	ENST00000310248	
ENSG00000172742	ENST00000329328	ENSMMUP00000002333	
ENSG00000172769	ENST00000309403	ENSMMUP00000015368	
ENSG00000172772	ENST00000395079	ENSMMUP00000006832	
ENSG00000172774	ENST00000309433	
ENSG00000172935	ENST00000441623	ENSMMUP00000002483	
ENSG00000172938	ENST00000309106	ENSMMUP00000013245	
ENSG00000173080	ENST00000368318	ENSMMUP00000038803	
ENSG00000173198	ENST00000373304	ENSMMUP00000017587	
ENSG00000173250	ENST00000311104	ENSMMUP00000030650	
ENSG00000173285	ENST00000289451	
ENSG00000173302	ENST00000309926	ENSMMUP00000024993	
ENSG00000173391	ENST00000309539	ENSMMUP00000002921	
ENSG00000173402	ENST00000515359	ENSMMUP00000006224	
ENSG00000173482	ENST00000332175	ENSMMUP00000001036	
ENSG00000173535	ENST00000356864	
ENSG00000173567	ENST00000311519	ENSMMUP00000005859	
ENSG00000173578	ENST00000309285	ENSMMUP00000031047	
ENSG00000173612	ENST00000310357	ENSMMUP00000004101	
ENSG00000173662	ENST00000333172	ENSMMUP00000023916	
ENSG00000173679	ENST00000309623	
ENSG00000173698	ENST00000379869	ENSMMUP00000041187	
ENSG00000173762	ENST00000312648	ENSMMUP00000033868	
ENSG00000173890	ENST00000355897	ENSMMUP00000029216	
ENSG00000174123	ENST00000308973	ENSMMUP00000004493	
ENSG00000174125	ENST00000308979	ENSMMUP00000022021	
ENSG00000174130	ENST00000436693	ENSMMUP00000003242	
ENSG00000174339	ENST00000307832	ENSMMUP00000011982	
ENSG00000174343	ENST00000310169	ENSMMUP00000035318	
ENSG00000174417	ENST00000518632	ENSMMUP00000011445	
ENSG00000174600	ENST00000312143	
ENSG00000174667	ENST00000308682	
ENSG00000174804	ENST00000531380	ENSMMUP00000005406	
ENSG00000174837	ENST00000312053	ENSMMUP00000001634	
ENSG00000174914	ENST00000312153	ENSMMUP00000010691	
ENSG00000174937	ENST00000312240	ENSMMUP00000037196	
ENSG00000174942	ENST00000312253	
ENSG00000174944	ENST00000309170	ENSMMUP00000022681	
ENSG00000174946	ENST00000309180	ENSMMUP00000022679	
ENSG00000174948	ENST00000389740	ENSMMUP00000014895	
ENSG00000174957	ENST00000312298	ENSMMUP00000021233	
ENSG00000174970	ENST00000312345	
ENSG00000174982	ENST00000312422	ENSMMUP00000019621	
ENSG00000175143	ENST00000366474	ENSMMUP00000037565	
ENSG00000175344	ENST00000454250	ENSMMUP00000029721	
ENSG00000175393	ENST00000309838	ENSMMUP00000011888	
ENSG00000175398	ENST00000309675	ENSMMUP00000017372	
ENSG00000175485	ENST00000311352	ENSMMUP00000001113	
ENSG00000175514	ENST00000312457	ENSMMUP00000007254	
ENSG00000175591	ENST00000393597	ENSMMUP00000025218	
ENSG00000175619	ENST00000309562	ENSMMUP00000007720	
ENSG00000175697	ENST00000464295	ENSMMUP00000002649	
ENSG00000175898	ENST00000317726	ENSMMUP00000008664	
ENSG00000176136	ENST00000324750	ENSMMUP00000021932	
ENSG00000176198	ENST00000315409	ENSMMUP00000020895	
ENSG00000176200	ENST00000313253	ENSMMUP00000018546	
ENSG00000176219	ENST00000315519	
ENSG00000176230	ENST00000315543	ENSMMUP00000002478	
ENSG00000176231	ENST00000322107	ENSMMUP00000031770	
ENSG00000176239	ENST00000380219	
ENSG00000176246	ENST00000315683	ENSMMUP00000033183	
ENSG00000176253	ENST00000315693	ENSMMUP00000006772	
ENSG00000176269	ENST00000320901	ENSMMUP00000021565	
ENSG00000176281	ENST00000315915	ENSMMUP00000033181	
ENSG00000176294	ENST00000315947	ENSMMUP00000007525	
ENSG00000176299	ENST00000315957	ENSMMUP00000007527	
ENSG00000176495	ENST00000313940	ENSMMUP00000018551	
ENSG00000176540	ENST00000319813	ENSMMUP00000028780	
ENSG00000176547	ENST00000319856	
ENSG00000176555	ENST00000319988	
ENSG00000176567	ENST00000320048	
ENSG00000176695	ENST00000318050	ENSMMUP00000033186	
ENSG00000176742	ENST00000321255	ENSMMUP00000015226	
ENSG00000176787	ENST00000321522	ENSMMUP00000001430	
ENSG00000176798	ENST00000321543	
ENSG00000176879	ENST00000321961	
ENSG00000176884	ENST00000371553	ENSMMUP00000040250	
ENSG00000176893	ENST00000322013	ENSMMUP00000018161	
ENSG00000176895	ENST00000359350	ENSMMUP00000036866	
ENSG00000176900	ENST00000380378	ENSMMUP00000018160	
ENSG00000176904	ENST00000322059	
ENSG00000176922	ENST00000322101	ENSMMUP00000017912	
ENSG00000176925	ENST00000322110	
ENSG00000176937	ENST00000356069	
ENSG00000177151	ENST00000317450	ENSMMUP00000007353	
ENSG00000177174	ENST00000317861	
ENSG00000177186	ENST00000317965	
ENSG00000177201	ENST00000317996	ENSMMUP00000024854	
ENSG00000177212	ENST00000318021	ENSMMUP00000024854	
ENSG00000177275	ENST00000318244	ENSMMUP00000037559	
ENSG00000177283	ENST00000374694	ENSMMUP00000002265	
ENSG00000177462	ENST00000319968	ENSMMUP00000024854	
ENSG00000177464	ENST00000323040	ENSMMUP00000025021	
ENSG00000177476	ENST00000320002	
ENSG00000177489	ENST00000320065	
ENSG00000177535	ENST00000318749	ENSMMUP00000007830	
ENSG00000177575	ENST00000359156	ENSMMUP00000006821	
ENSG00000177663	ENST00000319363	ENSMMUP00000037357	
ENSG00000177675	ENST00000313599	ENSMMUP00000040296	
ENSG00000177693	ENST00000326183	ENSMMUP00000033186	
ENSG00000178015	ENST00000380007	ENSMMUP00000001614	
ENSG00000178084	ENST00000318351	ENSMMUP00000018196	
ENSG00000178201	ENST00000321039	
ENSG00000178358	ENST00000317834	ENSMMUP00000012134	
ENSG00000178394	ENST00000323865	ENSMMUP00000002380	
ENSG00000178562	ENST00000324106	ENSMMUP00000037834	
ENSG00000178568	ENST00000342788	ENSMMUP00000002247	
ENSG00000178586	ENST00000319423	ENSMMUP00000013609	
ENSG00000178623	ENST00000319838	ENSMMUP00000020225	
ENSG00000178726	ENST00000377103	ENSMMUP00000022104	
ENSG00000178789	ENST00000314401	
ENSG00000178852	ENST00000331493	ENSMMUP00000034249	
ENSG00000179002	ENST00000375371	ENSMMUP00000003982	
ENSG00000179055	ENST00000318763	ENSMMUP00000027417	
ENSG00000179097	ENST00000319595	ENSMMUP00000006933	
ENSG00000179468	ENST00000350513	
ENSG00000179546	ENST00000314113	ENSMMUP00000040533	
ENSG00000179603	ENST00000339582	ENSMMUP00000019977	
ENSG00000179615	ENST00000321688	ENSMMUP00000022852	
ENSG00000179626	ENST00000394256	ENSMMUP00000020337	
ENSG00000179639	ENST00000368115	ENSMMUP00000017638	
ENSG00000179695	ENST00000322678	ENSMMUP00000025047	
ENSG00000179817	ENST00000314254	ENSMMUP00000024805	
ENSG00000179826	ENST00000396275	
ENSG00000179915	ENST00000404971	ENSMMUP00000003888	
ENSG00000179919	ENST00000326258	ENSMMUP00000025045	
ENSG00000179921	ENST00000479077	ENSMMUP00000030036	
ENSG00000179934	ENST00000326306	ENSMMUP00000030243	
ENSG00000180016	ENST00000322608	ENSMMUP00000014478	
ENSG00000180090	ENST00000323404	ENSMMUP00000029859	
ENSG00000180245	ENST00000317735	ENSMMUP00000027946	
ENSG00000180264	ENST00000334810	ENSMMUP00000018544	
ENSG00000180269	ENST00000326571	ENSMMUP00000032583	
ENSG00000180340	ENST00000315323	ENSMMUP00000014455	
ENSG00000180433	ENST00000368144	ENSMMUP00000024271	
ENSG00000180475	ENST00000316770	ENSMMUP00000006833	
ENSG00000180616	ENST00000357585	ENSMMUP00000001684	
ENSG00000180658	ENST00000315453	ENSMMUP00000013247	
ENSG00000180708	ENST00000314902	
ENSG00000180720	ENST00000433765	
ENSG00000180739	ENST00000439028	ENSMMUP00000011387	
ENSG00000180758	ENST00000377411	ENSMMUP00000040625	
ENSG00000180772	ENST00000371906	ENSMMUP00000030836	
ENSG00000180785	ENST00000396952	ENSMMUP00000019559	
ENSG00000180871	ENST00000318507	ENSMMUP00000017601	
ENSG00000180914	ENST00000316793	ENSMMUP00000012694	
ENSG00000180919	ENST00000316529	
ENSG00000180929	ENST00000322241	
ENSG00000180934	ENST00000316650	ENSMMUP00000018371	
ENSG00000180974	ENST00000316987	
ENSG00000180988	ENST00000317037	ENSMMUP00000036894	
ENSG00000181001	ENST00000317078	
ENSG00000181009	ENST00000317093	ENSMMUP00000036891	
ENSG00000181023	ENST00000317121	
ENSG00000181072	ENST00000445907	
ENSG00000181074	ENST00000317254	ENSMMUP00000000603	
ENSG00000181104	ENST00000319211	ENSMMUP00000028128	
ENSG00000181273	ENST00000326855	
ENSG00000181371	ENST00000327216	
ENSG00000181408	ENST00000313135	ENSMMUP00000001486	
ENSG00000181499	ENST00000321252	
ENSG00000181518	ENST00000321355	ENSMMUP00000015386	
ENSG00000181609	ENST00000322641	
ENSG00000181616	ENST00000322653	ENSMMUP00000036888	
ENSG00000181619	ENST00000395116	
ENSG00000181631	ENST00000325602	
ENSG00000181656	ENST00000315033	ENSMMUP00000039623	
ENSG00000181689	ENST00000312711	ENSMMUP00000037193	
ENSG00000181693	ENST00000313022	ENSMMUP00000037192	
ENSG00000181698	ENST00000313033	
ENSG00000181718	ENST00000313264	
ENSG00000181733	ENST00000324060	ENSMMUP00000037570	
ENSG00000181752	ENST00000313447	
ENSG00000181761	ENST00000313472	ENSMMUP00000021231	
ENSG00000181767	ENST00000313503	ENSMMUP00000021231	
ENSG00000181773	ENST00000374024	ENSMMUP00000024093	
ENSG00000181785	ENST00000313555	
ENSG00000181803	ENST00000320704	
ENSG00000181903	ENST00000314259	
ENSG00000181927	ENST00000314612	ENSMMUP00000037184	
ENSG00000181935	ENST00000314634	ENSMMUP00000037185	
ENSG00000181939	ENST00000314644	
ENSG00000181958	ENST00000314706	ENSMMUP00000019617	
ENSG00000181961	ENST00000314721	
ENSG00000181963	ENST00000325719	ENSMMUP00000014678	
ENSG00000182070	ENST00000380367	ENSMMUP00000018172	
ENSG00000182083	ENST00000402971	ENSMMUP00000013609	
ENSG00000182162	ENST00000381297	ENSMMUP00000033955	
ENSG00000182168	ENST00000453304	ENSMMUP00000008310	
ENSG00000182170	ENST00000332314	ENSMMUP00000006748	
ENSG00000182220	ENST00000378438	ENSMMUP00000016769	
ENSG00000182256	ENST00000333743	ENSMMUP00000031003	
ENSG00000182334	ENST00000328375	ENSMMUP00000014110	
ENSG00000182578	ENST00000286301	ENSMMUP00000015165	
ENSG00000182580	ENST00000330394	ENSMMUP00000004406	
ENSG00000182613	ENST00000328275	ENSMMUP00000033578	
ENSG00000182631	ENST00000330120	ENSMMUP00000012515	
ENSG00000182634	ENST00000330487	ENSMMUP00000018622	
ENSG00000182652	ENST00000331723	ENSMMUP00000007529	
ENSG00000182687	ENST00000329003	ENSMMUP00000011651	
ENSG00000182749	ENST00000374296	ENSMMUP00000010318	
ENSG00000182771	ENST00000327946	ENSMMUP00000031084	
ENSG00000182782	ENST00000328880	
ENSG00000182783	ENST00000328570	ENSMMUP00000035895	
ENSG00000182854	ENST00000332238	ENSMMUP00000002174	
ENSG00000182885	ENST00000333493	ENSMMUP00000020594	
ENSG00000182974	ENST00000332663	ENSMMUP00000007527	
ENSG00000183024	ENST00000328890	
ENSG00000183130	ENST00000330803	ENSMMUP00000032176	
ENSG00000183134	ENST00000332539	ENSMMUP00000000022	
ENSG00000183150	ENST00000540510	ENSMMUP00000016422	
ENSG00000183251	ENST00000380224	
ENSG00000183269	ENST00000537935	
ENSG00000183303	ENST00000329434	ENSMMUP00000014576	
ENSG00000183310	ENST00000328782	
ENSG00000183313	ENST00000332249	
ENSG00000183317	ENST00000373048	ENSMMUP00000018841	
ENSG00000183389	ENST00000330728	
ENSG00000183454	ENST00000396573	ENSMMUP00000013265	
ENSG00000183473	ENST00000328544	ENSMMUP00000024808	
ENSG00000183484	ENST00000329797	ENSMMUP00000032518	
ENSG00000183625	ENST00000545097	ENSMMUP00000006084	
ENSG00000183671	ENST00000407325	ENSMMUP00000010928	
ENSG00000183695	ENST00000329773	ENSMMUP00000021221	
ENSG00000183706	ENST00000328795	ENSMMUP00000007526	
ENSG00000183729	ENST00000331251	ENSMMUP00000027508	
ENSG00000183748	ENST00000331429	ENSMMUP00000015255	
ENSG00000183813	ENST00000330953	ENSMMUP00000029832	
ENSG00000183840	ENST00000329321	ENSMMUP00000021196	
ENSG00000184012	ENST00000398585	ENSMMUP00000020105	
ENSG00000184022	ENST00000330500	ENSMMUP00000018481	
ENSG00000184140	ENST00000328882	ENSMMUP00000002173	
ENSG00000184155	ENST00000334857	ENSMMUP00000038615	
ENSG00000184160	ENST00000330055	ENSMMUP00000040736	
ENSG00000184166	ENST00000331459	ENSMMUP00000016848	
ENSG00000184194	ENST00000332582	ENSMMUP00000003486	
ENSG00000184292	ENST00000371225	ENSMMUP00000029970	
ENSG00000184321	ENST00000332043	
ENSG00000184350	ENST00000389832	ENSMMUP00000022265	
ENSG00000184394	ENST00000333629	ENSMMUP00000002476	
ENSG00000184451	ENST00000332438	ENSMMUP00000008003	
ENSG00000184478	ENST00000329564	
ENSG00000184574	ENST00000329858	ENSMMUP00000023185	
