ENSG00000003056	ENST00000000412	ENSMEUP00000000106
ENSG00000113763	ENST00000329542	ENSMEUP00000001063
ENSG00000184478	ENST00000329564	
ENSG00000183484	ENST00000329797	ENSMEUP00000002111
ENSG00000184574	ENST00000329858	
ENSG00000184160	ENST00000330055	ENSMEUP00000002456
ENSG00000182631	ENST00000330120	ENSMEUP00000000527
ENSG00000182580	ENST00000330394	ENSMEUP00000010227
ENSG00000114013	ENST00000330540	ENSMEUP00000000921
ENSG00000167850	ENST00000330793	
ENSG00000183813	ENST00000330953	ENSMEUP00000009068
ENSG00000185291	ENST00000331035	
ENSG00000183729	ENST00000331251	ENSMEUP00000002215
ENSG00000183748	ENST00000331429	ENSMEUP00000003456
ENSG00000184166	ENST00000331459	ENSMEUP00000006016
ENSG00000172116	ENST00000331469	ENSMEUP00000013497
ENSG00000178852	ENST00000331493	ENSMEUP00000005508
ENSG00000182652	ENST00000331723	
ENSG00000185920	ENST00000331920	ENSMEUP00000001150
ENSG00000184321	ENST00000332043	
ENSG00000173482	ENST00000332175	ENSMEUP00000006521
ENSG00000196266	ENST00000332217	
ENSG00000183313	ENST00000332249	
ENSG00000182170	ENST00000332314	
ENSG00000184451	ENST00000332438	ENSMEUP00000014469
ENSG00000183134	ENST00000332539	ENSMEUP00000000681
ENSG00000115590	ENST00000332549	ENSMEUP00000009871
ENSG00000184194	ENST00000332582	ENSMEUP00000007704
ENSG00000184933	ENST00000332601	ENSMEUP00000005250
ENSG00000182974	ENST00000332663	ENSMEUP00000009936
ENSG00000221890	ENST00000333039	
ENSG00000173662	ENST00000333172	ENSMEUP00000000823
ENSG00000007908	ENST00000333360	ENSMEUP00000010248
ENSG00000182885	ENST00000333493	ENSMEUP00000006385
ENSG00000182256	ENST00000333743	ENSMEUP00000011408
ENSG00000186117	ENST00000333973	
ENSG00000186119	ENST00000333976	
ENSG00000136160	ENST00000334286	ENSMEUP00000008143
ENSG00000152990	ENST00000334304	ENSMEUP00000004821
ENSG00000186306	ENST00000334438	ENSMEUP00000001999
ENSG00000186265	ENST00000334529	ENSMEUP00000010295
ENSG00000186919	ENST00000334586	ENSMEUP00000008441
ENSG00000110148	ENST00000334619	ENSMEUP00000005554
ENSG00000186440	ENST00000334632	ENSMEUP00000014101
ENSG00000186881	ENST00000334726	
ENSG00000180264	ENST00000334810	ENSMEUP00000011314
ENSG00000184155	ENST00000334857	ENSMEUP00000000056
ENSG00000186723	ENST00000334920	ENSMEUP00000011904
ENSG00000197403	ENST00000335094	ENSMEUP00000012842
ENSG00000186092	ENST00000335137	
ENSG00000221954	ENST00000335238	
ENSG00000107731	ENST00000335350	ENSMEUP00000014797
ENSG00000186509	ENST00000335397	ENSMEUP00000007003
ENSG00000186113	ENST00000335605	ENSMEUP00000010503
ENSG00000186297	ENST00000335625	
ENSG00000257008	ENST00000335666	
ENSG00000125498	ENST00000336077	
ENSG00000148680	ENST00000336152	ENSMEUP00000005759
ENSG00000044524	ENST00000336596	ENSMEUP00000015063
ENSG00000125510	ENST00000336866	ENSMEUP00000001528
ENSG00000135124	ENST00000337233	ENSMEUP00000013415
ENSG00000187800	ENST00000338302	ENSMEUP00000013725
ENSG00000164129	ENST00000338566	
ENSG00000171054	ENST00000338616	ENSMEUP00000004945
ENSG00000187474	ENST00000339223	
ENSG00000188340	ENST00000339258	ENSMEUP00000004324
ENSG00000169962	ENST00000339381	ENSMEUP00000000913
ENSG00000179603	ENST00000339582	ENSMEUP00000011507
ENSG00000171049	ENST00000340023	
ENSG00000204475	ENST00000340027	ENSMEUP00000003821
ENSG00000068078	ENST00000340107	ENSMEUP00000002609
ENSG00000101180	ENST00000340177	ENSMEUP00000005632
ENSG00000159618	ENST00000340339	
ENSG00000187871	ENST00000340465	ENSMEUP00000008065
ENSG00000072071	ENST00000340736	ENSMEUP00000012550
ENSG00000159346	ENST00000340990	ENSMEUP00000014093
ENSG00000196131	ENST00000341702	
ENSG00000187957	ENST00000341772	ENSMEUP00000008518
ENSG00000122718	ENST00000341959	
ENSG00000168575	ENST00000342228	ENSMEUP00000001361
ENSG00000188888	ENST00000342292	ENSMEUP00000005300
ENSG00000243772	ENST00000342376	
ENSG00000189181	ENST00000342623	ENSMEUP00000006215
ENSG00000170412	ENST00000342648	ENSMEUP00000009471
ENSG00000178568	ENST00000342788	ENSMEUP00000003341
ENSG00000196240	ENST00000342927	
ENSG00000092421	ENST00000343348	ENSMEUP00000013453
ENSG00000187857	ENST00000343399	ENSMEUP00000002287
ENSG00000188558	ENST00000343414	ENSMEUP00000007410
ENSG00000160791	ENST00000343801	
ENSG00000197706	ENST00000343870	
ENSG00000187848	ENST00000343948	ENSMEUP00000010160
ENSG00000188763	ENST00000344575	
ENSG00000187701	ENST00000344889	
ENSG00000188778	ENST00000345060	
ENSG00000156642	ENST00000345330	ENSMEUP00000004421
ENSG00000060656	ENST00000345512	ENSMEUP00000010734
ENSG00000189013	ENST00000345540	
ENSG00000104921	ENST00000346664	ENSMEUP00000008363
ENSG00000162594	ENST00000347310	ENSMEUP00000001163
ENSG00000110448	ENST00000347785	ENSMEUP00000010611
ENSG00000116678	ENST00000349533	ENSMEUP00000002312
ENSG00000179468	ENST00000350513	
ENSG00000114739	ENST00000352511	ENSMEUP00000015315
ENSG00000196661	ENST00000354597	
ENSG00000168079	ENST00000354914	ENSMEUP00000010250
ENSG00000196189	ENST00000355014	ENSMEUP00000011658
ENSG00000161944	ENST00000355035	
ENSG00000197405	ENST00000355085	
ENSG00000166736	ENST00000355556	
ENSG00000136869	ENST00000355622	ENSMEUP00000008628
ENSG00000157873	ENST00000355716	
ENSG00000198104	ENST00000355728	
ENSG00000197591	ENST00000355784	ENSMEUP00000013476
ENSG00000173890	ENST00000355897	
ENSG00000165246	ENST00000355905	ENSMEUP00000010106
ENSG00000198053	ENST00000356025	ENSMEUP00000011373
ENSG00000176937	ENST00000356069	ENSMEUP00000006209
ENSG00000198657	ENST00000356130	
ENSG00000050628	ENST00000356595	ENSMEUP00000011529
ENSG00000173535	ENST00000356864	
ENSG00000197081	ENST00000356956	ENSMEUP00000009786
ENSG00000139187	ENST00000356986	
ENSG00000196917	ENST00000356987	ENSMEUP00000007036
ENSG00000105426	ENST00000357368	ENSMEUP00000013854
ENSG00000121797	ENST00000357392	
ENSG00000180616	ENST00000357585	ENSMEUP00000013990
ENSG00000197428	ENST00000357605	
ENSG00000196772	ENST00000357627	
ENSG00000196277	ENST00000357716	ENSMEUP00000002272
ENSG00000196341	ENST00000357821	ENSMEUP00000014221
ENSG00000135622	ENST00000357877	ENSMEUP00000002424
ENSG00000213694	ENST00000358157	
ENSG00000196411	ENST00000358173	ENSMEUP00000004774
ENSG00000168329	ENST00000358309	
ENSG00000142627	ENST00000358432	ENSMEUP00000000018
ENSG00000188324	ENST00000358433	
ENSG00000196578	ENST00000358642	ENSMEUP00000001013
ENSG00000196338	ENST00000358741	ENSMEUP00000010594
ENSG00000126895	ENST00000358927	ENSMEUP00000008053
ENSG00000163513	ENST00000359013	ENSMEUP00000007679
ENSG00000134545	ENST00000359151	
ENSG00000177575	ENST00000359156	
ENSG00000176895	ENST00000359350	ENSMEUP00000000683
ENSG00000148604	ENST00000359452	
ENSG00000004948	ENST00000359558	
ENSG00000196539	ENST00000359594	
ENSG00000196218	ENST00000359596	ENSMEUP00000008549
ENSG00000196171	ENST00000359610	ENSMEUP00000005639
ENSG00000198601	ENST00000359682	
ENSG00000197437	ENST00000359688	ENSMEUP00000004952
ENSG00000187258	ENST00000359791	ENSMEUP00000014078
ENSG00000117114	ENST00000359929	ENSMEUP00000008854
ENSG00000142949	ENST00000359947	ENSMEUP00000014758
ENSG00000196126	ENST00000360004	ENSMEUP00000004222
ENSG00000072274	ENST00000360110	ENSMEUP00000005995
ENSG00000167851	ENST00000360141	
ENSG00000197790	ENST00000360213	
ENSG00000118257	ENST00000360409	ENSMEUP00000013997
ENSG00000197635	ENST00000360534	ENSMEUP00000002872
ENSG00000239732	ENST00000360658	
ENSG00000164270	ENST00000360693	ENSMEUP00000000531
ENSG00000170683	ENST00000360759	
ENSG00000170180	ENST00000360771	
ENSG00000119121	ENST00000360774	ENSMEUP00000005122
ENSG00000140538	ENST00000360948	ENSMEUP00000014068
ENSG00000197594	ENST00000360971	ENSMEUP00000013987
ENSG00000198967	ENST00000361284	ENSMEUP00000008419
ENSG00000196776	ENST00000361309	ENSMEUP00000011952
ENSG00000158458	ENST00000361474	ENSMEUP00000000431
ENSG00000198822	ENST00000361669	ENSMEUP00000009716
ENSG00000152822	ENST00000361719	ENSMEUP00000001390
ENSG00000198851	ENST00000361763	
ENSG00000105699	ENST00000361790	ENSMEUP00000006846
ENSG00000198785	ENST00000361820	ENSMEUP00000007306
ENSG00000198829	ENST00000362032	ENSMEUP00000009488
ENSG00000149295	ENST00000362072	ENSMEUP00000000652
ENSG00000198821	ENST00000362089	
ENSG00000203618	ENST00000366425	ENSMEUP00000014213
ENSG00000175143	ENST00000366474	
ENSG00000162727	ENST00000366476	
ENSG00000187080	ENST00000366480	
ENSG00000196242	ENST00000366487	
ENSG00000054277	ENST00000366554	
ENSG00000116996	ENST00000366570	ENSMEUP00000011780
ENSG00000077585	ENST00000366592	ENSMEUP00000003433
ENSG00000120436	ENST00000366834	ENSMEUP00000009140
ENSG00000162769	ENST00000366971	ENSMEUP00000005878
ENSG00000076356	ENST00000367033	ENSMEUP00000011268
ENSG00000203710	ENST00000367049	
ENSG00000117322	ENST00000367057	ENSMEUP00000002207
ENSG00000198049	ENST00000367126	ENSMEUP00000008412
ENSG00000133067	ENST00000367278	ENSMEUP00000007773
ENSG00000170075	ENST00000367282	ENSMEUP00000004686
ENSG00000111981	ENST00000367345	
ENSG00000131015	ENST00000367351	
ENSG00000153029	ENST00000367580	
ENSG00000143324	ENST00000367590	ENSMEUP00000009262
ENSG00000112414	ENST00000367609	ENSMEUP00000004080
ENSG00000203737	ENST00000367685	ENSMEUP00000000512
ENSG00000027697	ENST00000367739	ENSMEUP00000005593
ENSG00000143147	ENST00000367838	ENSMEUP00000009084
ENSG00000143167	ENST00000367868	ENSMEUP00000014170
ENSG00000162733	ENST00000367922	ENSMEUP00000003291
ENSG00000143217	ENST00000368012	ENSMEUP00000008895
ENSG00000158769	ENST00000368026	ENSMEUP00000004641
ENSG00000122223	ENST00000368033	ENSMEUP00000001841
ENSG00000026751	ENST00000368043	
ENSG00000162739	ENST00000368057	
ENSG00000179639	ENST00000368115	
ENSG00000213088	ENST00000368121	
ENSG00000180433	ENST00000368144	
ENSG00000203757	ENST00000368145	ENSMEUP00000004022
ENSG00000186400	ENST00000368150	ENSMEUP00000013765
ENSG00000198965	ENST00000368152	
ENSG00000158473	ENST00000368171	
ENSG00000027644	ENST00000368195	ENSMEUP00000000944
ENSG00000152894	ENST00000368213	ENSMEUP00000008017
ENSG00000173080	ENST00000368318	
ENSG00000160716	ENST00000368476	ENSMEUP00000003400
ENSG00000160712	ENST00000368485	ENSMEUP00000013452
ENSG00000047936	ENST00000368508	
ENSG00000159164	ENST00000369146	ENSMEUP00000002980
ENSG00000150337	ENST00000369168	
ENSG00000043591	ENST00000369295	
ENSG00000135333	ENST00000369303	ENSMEUP00000013889
ENSG00000143127	ENST00000369304	ENSMEUP00000014715
ENSG00000198019	ENST00000369384	
ENSG00000116824	ENST00000369478	ENSMEUP00000006445
ENSG00000118432	ENST00000369501	ENSMEUP00000007848
ENSG00000121933	ENST00000369716	
ENSG00000125522	ENST00000369768	
ENSG00000166160	ENST00000369929	ENSMEUP00000005153
ENSG00000147380	ENST00000369935	ENSMEUP00000005153
ENSG00000135312	ENST00000369947	
ENSG00000102076	ENST00000369951	ENSMEUP00000005153
ENSG00000101204	ENST00000370263	ENSMEUP00000006143
ENSG00000147402	ENST00000370306	
ENSG00000011677	ENST00000370314	ENSMEUP00000000784
ENSG00000102287	ENST00000370328	
ENSG00000101188	ENST00000370501	ENSMEUP00000011985
ENSG00000135298	ENST00000370598	ENSMEUP00000008469
ENSG00000102239	ENST00000370648	ENSMEUP00000010608
ENSG00000162618	ENST00000370742	ENSMEUP00000001318
ENSG00000122420	ENST00000370758	ENSMEUP00000012865
ENSG00000137252	ENST00000370862	ENSMEUP00000005960
ENSG00000185483	ENST00000371079	ENSMEUP00000011214
ENSG00000170927	ENST00000371117	ENSMEUP00000007766
ENSG00000162604	ENST00000371180	ENSMEUP00000004356
ENSG00000184292	ENST00000371225	
ENSG00000153292	ENST00000371253	ENSMEUP00000004503
ENSG00000186188	ENST00000371483	ENSMEUP00000004642
ENSG00000176884	ENST00000371553	ENSMEUP00000001624
ENSG00000131724	ENST00000371666	ENSMEUP00000000468
ENSG00000180772	ENST00000371906	ENSMEUP00000008227
ENSG00000122375	ENST00000372071	ENSMEUP00000002121
ENSG00000148600	ENST00000372117	ENSMEUP00000007865
ENSG00000117425	ENST00000372192	ENSMEUP00000010736
ENSG00000101017	ENST00000372285	
ENSG00000117400	ENST00000372470	ENSMEUP00000002877
ENSG00000066056	ENST00000372476	ENSMEUP00000015113
ENSG00000188828	ENST00000372617	ENSMEUP00000010542
ENSG00000124145	ENST00000372733	ENSMEUP00000000754
ENSG00000183317	ENST00000373048	ENSMEUP00000004613
ENSG00000096264	ENST00000373089	ENSMEUP00000008396
ENSG00000163873	ENST00000373091	ENSMEUP00000012165
ENSG00000119535	ENST00000373103	ENSMEUP00000007224
ENSG00000095970	ENST00000373113	ENSMEUP00000011402
ENSG00000161911	ENST00000373127	ENSMEUP00000004258
ENSG00000196090	ENST00000373187	ENSMEUP00000011428
ENSG00000106991	ENST00000373203	ENSMEUP00000005397
ENSG00000112164	ENST00000373256	ENSMEUP00000014937
ENSG00000173198	ENST00000373304	ENSMEUP00000003087
ENSG00000075073	ENST00000373306	ENSMEUP00000007737
ENSG00000188394	ENST00000373642	ENSMEUP00000010024
ENSG00000121753	ENST00000373658	ENSMEUP00000004740
ENSG00000148215	ENST00000373680	
ENSG00000171501	ENST00000373688	
ENSG00000186810	ENST00000373691	
ENSG00000181773	ENST00000374024	ENSMEUP00000010360
ENSG00000124493	ENST00000374181	ENSMEUP00000012350
ENSG00000147168	ENST00000374202	ENSMEUP00000011851
ENSG00000182749	ENST00000374296	
ENSG00000204174	ENST00000374312	ENSMEUP00000014808
ENSG00000096433	ENST00000374316	ENSMEUP00000004807
ENSG00000198121	ENST00000374431	ENSMEUP00000015192
ENSG00000030304	ENST00000374448	ENSMEUP00000007446
ENSG00000188822	ENST00000374472	ENSMEUP00000009833
ENSG00000101000	ENST00000374477	ENSMEUP00000011151
ENSG00000186912	ENST00000374519	
ENSG00000204217	ENST00000374580	ENSMEUP00000005870
ENSG00000133216	ENST00000374632	ENSMEUP00000011499
ENSG00000177283	ENST00000374694	
ENSG00000131080	ENST00000374719	ENSMEUP00000014911
ENSG00000165029	ENST00000374736	ENSMEUP00000004299
ENSG00000204246	ENST00000374781	
ENSG00000168384	ENST00000374808	
ENSG00000237541	ENST00000374940	
ENSG00000106799	ENST00000374994	ENSMEUP00000007237
ENSG00000204293	ENST00000375013	
ENSG00000204305	ENST00000375076	ENSMEUP00000014516
ENSG00000204345	ENST00000375352	
ENSG00000179002	ENST00000375371	ENSMEUP00000001334
ENSG00000169071	ENST00000375708	ENSMEUP00000014967
ENSG00000204420	ENST00000375806	ENSMEUP00000013862
ENSG00000148053	ENST00000376214	ENSMEUP00000004965
ENSG00000028137	ENST00000376259	ENSMEUP00000014987
ENSG00000080031	ENST00000376350	
ENSG00000151025	ENST00000376351	ENSMEUP00000001863
ENSG00000169508	ENST00000376414	
ENSG00000204580	ENST00000376575	ENSMEUP00000013041
ENSG00000229698	ENST00000376848	
ENSG00000206512	ENST00000376947	
ENSG00000204681	ENST00000377034	ENSMEUP00000004797
ENSG00000178726	ENST00000377103	ENSMEUP00000014136
ENSG00000204687	ENST00000377127	
ENSG00000204690	ENST00000377140	
ENSG00000112462	ENST00000377143	
ENSG00000243729	ENST00000377154	
ENSG00000204695	ENST00000377160	ENSMEUP00000001090
ENSG00000204701	ENST00000377169	
ENSG00000204702	ENST00000377171	
ENSG00000204703	ENST00000377173	ENSMEUP00000004924
ENSG00000204704	ENST00000377175	
ENSG00000113749	ENST00000377291	ENSMEUP00000006685
ENSG00000180758	ENST00000377411	ENSMEUP00000008903
ENSG00000049249	ENST00000377507	
ENSG00000204882	ENST00000377741	
ENSG00000215788	ENST00000377782	ENSMEUP00000001377
ENSG00000158292	ENST00000377893	ENSMEUP00000009626
ENSG00000168828	ENST00000377981	
ENSG00000077943	ENST00000378076	ENSMEUP00000001536
ENSG00000171659	ENST00000378142	
ENSG00000205029	ENST00000378396	
ENSG00000205030	ENST00000378397	
ENSG00000139679	ENST00000378434	
ENSG00000182220	ENST00000378438	ENSMEUP00000003227
ENSG00000187730	ENST00000378585	ENSMEUP00000009246
ENSG00000134569	ENST00000378623	ENSMEUP00000004492
ENSG00000162881	ENST00000378661	
ENSG00000102468	ENST00000378688	
ENSG00000169306	ENST00000378993	ENSMEUP00000003553
ENSG00000205213	ENST00000379214	ENSMEUP00000005836
ENSG00000186827	ENST00000379236	
ENSG00000165186	ENST00000379361	ENSMEUP00000013251
ENSG00000171873	ENST00000379453	
ENSG00000138741	ENST00000379645	ENSMEUP00000013519
ENSG00000205328	ENST00000379665	
ENSG00000205329	ENST00000379667	
ENSG00000170782	ENST00000379829	ENSMEUP00000005822
ENSG00000173698	ENST00000379869	ENSMEUP00000009079
ENSG00000134460	ENST00000379959	
ENSG00000178015	ENST00000380007	ENSMEUP00000010584
ENSG00000120156	ENST00000380036	ENSMEUP00000013242
ENSG00000167359	ENST00000380211	
ENSG00000176239	ENST00000380219	ENSMEUP00000011145
ENSG00000126010	ENST00000380289	ENSMEUP00000004886
ENSG00000182070	ENST00000380367	ENSMEUP00000002915
ENSG00000205494	ENST00000380369	
ENSG00000205495	ENST00000380370	
ENSG00000205496	ENST00000380371	
ENSG00000205497	ENST00000380373	
ENSG00000176900	ENST00000380378	
ENSG00000132670	ENST00000380393	ENSMEUP00000011427
ENSG00000120907	ENST00000380586	
ENSG00000196664	ENST00000380659	ENSMEUP00000013829
ENSG00000139514	ENST00000380752	ENSMEUP00000011226
ENSG00000146938	ENST00000381095	ENSMEUP00000010106
ENSG00000153707	ENST00000381196	ENSMEUP00000000168
ENSG00000182162	ENST00000381297	ENSMEUP00000008782
ENSG00000134352	ENST00000381298	
ENSG00000120217	ENST00000381577	ENSMEUP00000006376
ENSG00000205809	ENST00000381902	
ENSG00000134539	ENST00000381907	
ENSG00000172150	ENST00000381951	
ENSG00000159110	ENST00000382241	
ENSG00000155269	ENST00000382487	ENSMEUP00000003772
ENSG00000112902	ENST00000382496	ENSMEUP00000008263
ENSG00000231679	ENST00000383126	
ENSG00000206291	ENST00000383224	
ENSG00000206292	ENST00000383226	
ENSG00000206305	ENST00000383251	
ENSG00000206308	ENST00000383259	
ENSG00000184984	ENST00000383263	
ENSG00000206320	ENST00000383279	
ENSG00000206396	ENST00000383412	
ENSG00000206430	ENST00000383476	
ENSG00000137403	ENST00000383516	
ENSG00000206466	ENST00000383542	
ENSG00000206470	ENST00000383549	
ENSG00000206471	ENST00000383550	
ENSG00000206472	ENST00000383551	
ENSG00000168787	ENST00000383555	ENSMEUP00000002931
ENSG00000204692	ENST00000383556	
ENSG00000206493	ENST00000383597	
ENSG00000206506	ENST00000383623	
ENSG00000206509	ENST00000383627	
ENSG00000206511	ENST00000383638	
ENSG00000206515	ENST00000383643	
ENSG00000206516	ENST00000383644	
ENSG00000206517	ENST00000383645	
ENSG00000206522	ENST00000383651	
ENSG00000206524	ENST00000383653	
ENSG00000206525	ENST00000383654	
ENSG00000205336	ENST00000388812	ENSMEUP00000009799
ENSG00000136011	ENST00000388887	ENSMEUP00000010397
ENSG00000196811	ENST00000389494	ENSMEUP00000010497
ENSG00000080224	ENST00000389672	ENSMEUP00000001901
ENSG00000174948	ENST00000389740	ENSMEUP00000003929
ENSG00000006071	ENST00000389817	ENSMEUP00000012143
ENSG00000184350	ENST00000389832	
ENSG00000212807	ENST00000391496	
ENSG00000204689	ENST00000391549	
ENSG00000167633	ENST00000391728	
ENSG00000186818	ENST00000391736	
ENSG00000167613	ENST00000391742	
ENSG00000131042	ENST00000391749	
ENSG00000135898	ENST00000392040	
ENSG00000064989	ENST00000392370	ENSMEUP00000007603
ENSG00000197177	ENST00000392607	ENSMEUP00000001695
ENSG00000007312	ENST00000392795	ENSMEUP00000011492
ENSG00000106123	ENST00000392957	ENSMEUP00000005329
ENSG00000106278	ENST00000393386	ENSMEUP00000008662
ENSG00000114554	ENST00000393409	ENSMEUP00000009715
ENSG00000175591	ENST00000393597	
ENSG00000184845	ENST00000393752	ENSMEUP00000005181
ENSG00000144847	ENST00000393775	ENSMEUP00000005369
ENSG00000145864	ENST00000393959	ENSMEUP00000002349
ENSG00000156920	ENST00000394143	
ENSG00000179626	ENST00000394256	ENSMEUP00000013492
ENSG00000186867	ENST00000394427	ENSMEUP00000006499
ENSG00000119737	ENST00000394705	ENSMEUP00000014503
ENSG00000188372	ENST00000394857	ENSMEUP00000000401
ENSG00000164082	ENST00000395052	ENSMEUP00000004195
ENSG00000172772	ENST00000395079	ENSMEUP00000000001
ENSG00000137868	ENST00000395105	ENSMEUP00000006876
ENSG00000181619	ENST00000395116	ENSMEUP00000010418
ENSG00000165215	ENST00000395145	
ENSG00000126777	ENST00000395309	ENSMEUP00000009389
ENSG00000197471	ENST00000395389	
ENSG00000077238	ENST00000395762	ENSMEUP00000013666
ENSG00000150093	ENST00000396033	ENSMEUP00000008157
ENSG00000244482	ENST00000396365	
ENSG00000183454	ENST00000396573	ENSMEUP00000014391
ENSG00000206503	ENST00000396634	
ENSG00000137101	ENST00000396757	ENSMEUP00000011424
ENSG00000167332	ENST00000396950	ENSMEUP00000001053
ENSG00000180785	ENST00000396952	
ENSG00000115232	ENST00000397033	ENSMEUP00000013235
ENSG00000164849	ENST00000397095	ENSMEUP00000011248
ENSG00000125245	ENST00000397473	ENSMEUP00000000368
ENSG00000162009	ENST00000397547	ENSMEUP00000011317
ENSG00000197646	ENST00000397747	ENSMEUP00000008613
ENSG00000134160	ENST00000397795	ENSMEUP00000003126
ENSG00000160255	ENST00000397852	ENSMEUP00000000953
ENSG00000154928	ENST00000398015	ENSMEUP00000015043
ENSG00000152558	ENST00000398136	
ENSG00000120088	ENST00000398285	ENSMEUP00000008138
ENSG00000127418	ENST00000398484	ENSMEUP00000000869
ENSG00000184012	ENST00000398585	
ENSG00000231286	ENST00000399088	
ENSG00000206240	ENST00000399450	
ENSG00000171189	ENST00000399907	ENSMEUP00000012262
ENSG00000215522	ENST00000400489	
ENSG00000215644	ENST00000400723	ENSMEUP00000001021
ENSG00000215764	ENST00000400875	
ENSG00000112486	ENST00000400926	
ENSG00000111886	ENST00000402938	ENSMEUP00000012321
ENSG00000182083	ENST00000402971	
ENSG00000121764	ENST00000403528	
ENSG00000100368	ENST00000403662	ENSMEUP00000007887
ENSG00000179915	ENST00000404971	ENSMEUP00000006452
ENSG00000164199	ENST00000405460	ENSMEUP00000010381
ENSG00000132975	ENST00000405846	ENSMEUP00000012874
ENSG00000170820	ENST00000406846	ENSMEUP00000006223
ENSG00000183671	ENST00000407325	ENSMEUP00000002426
ENSG00000064547	ENST00000407877	ENSMEUP00000002715
ENSG00000120903	ENST00000407991	ENSMEUP00000004148
ENSG00000221882	ENST00000408891	
ENSG00000221888	ENST00000408896	
ENSG00000221933	ENST00000408898	ENSMEUP00000002076
ENSG00000221996	ENST00000408920	
ENSG00000221813	ENST00000408922	
ENSG00000221977	ENST00000408935	
ENSG00000221970	ENST00000408951	
ENSG00000091409	ENST00000409080	ENSMEUP00000011258
ENSG00000222040	ENST00000409345	
ENSG00000121966	ENST00000409817	ENSMEUP00000006049
ENSG00000115594	ENST00000410023	ENSMEUP00000014137
ENSG00000115604	ENST00000410040	
ENSG00000227639	ENST00000411447	
ENSG00000228987	ENST00000411505	
ENSG00000234794	ENST00000411524	
ENSG00000229680	ENST00000411574	
ENSG00000006638	ENST00000411851	
ENSG00000020181	ENST00000412232	ENSMEUP00000011171
ENSG00000229058	ENST00000412470	
ENSG00000234745	ENST00000412585	
ENSG00000225211	ENST00000412603	
ENSG00000099957	ENST00000413302	ENSMEUP00000003383
ENSG00000232178	ENST00000414140	
ENSG00000154269	ENST00000414305	ENSMEUP00000005692
ENSG00000233481	ENST00000414415	
ENSG00000113327	ENST00000414552	ENSMEUP00000004244
ENSG00000230726	ENST00000414698	
ENSG00000224103	ENST00000415247	
ENSG00000229252	ENST00000415289	
ENSG00000224395	ENST00000415581	
ENSG00000233904	ENST00000415649	
ENSG00000237216	ENST00000415687	
ENSG00000233141	ENST00000415802	
ENSG00000226000	ENST00000415857	
ENSG00000226832	ENST00000415976	
ENSG00000233209	ENST00000416192	
ENSG00000198223	ENST00000417535	
ENSG00000224320	ENST00000417978	
ENSG00000112218	ENST00000417980	
ENSG00000234954	ENST00000418003	
ENSG00000168959	ENST00000418177	ENSMEUP00000005583
ENSG00000225781	ENST00000418316	ENSMEUP00000005567
ENSG00000233618	ENST00000418630	
ENSG00000111199	ENST00000418703	ENSMEUP00000013695
ENSG00000237808	ENST00000418936	
ENSG00000229866	ENST00000419260	
ENSG00000231389	ENST00000419277	ENSMEUP00000005853
ENSG00000228080	ENST00000419393	
ENSG00000229493	ENST00000419519	
ENSG00000232945	ENST00000419605	
ENSG00000231319	ENST00000419873	
ENSG00000228377	ENST00000420035	
ENSG00000233054	ENST00000420178	
ENSG00000228299	ENST00000420206	
ENSG00000228977	ENST00000420540	
ENSG00000226463	ENST00000421027	
ENSG00000234078	ENST00000421229	
ENSG00000164418	ENST00000421544	ENSMEUP00000013592
ENSG00000237258	ENST00000421634	
ENSG00000234101	ENST00000421766	
ENSG00000232984	ENST00000421808	
ENSG00000139626	ENST00000422257	ENSMEUP00000004914
ENSG00000228163	ENST00000422504	
ENSG00000232632	ENST00000423604	
ENSG00000196184	ENST00000423932	
ENSG00000231268	ENST00000424145	
ENSG00000237112	ENST00000425097	
ENSG00000073008	ENST00000425690	
ENSG00000223532	ENST00000425848	
ENSG00000077782	ENST00000425967	ENSMEUP00000008494
ENSG00000231558	ENST00000426070	
ENSG00000243612	ENST00000426644	
ENSG00000232957	ENST00000426685	
ENSG00000230060	ENST00000426729	
ENSG00000230463	ENST00000426847	
ENSG00000230456	ENST00000427053	
ENSG00000230780	ENST00000427264	
ENSG00000234746	ENST00000427744	
ENSG00000230254	ENST00000427936	
ENSG00000226271	ENST00000428081	
ENSG00000235220	ENST00000428296	
ENSG00000231003	ENST00000428302	
ENSG00000204632	ENST00000428701	
ENSG00000026508	ENST00000428726	ENSMEUP00000006642
ENSG00000170929	ENST00000429566	ENSMEUP00000003153
ENSG00000235680	ENST00000429890	
ENSG00000096996	ENST00000430026	
ENSG00000224487	ENST00000430148	
ENSG00000233636	ENST00000430478	
ENSG00000180720	ENST00000433765	
ENSG00000228813	ENST00000433801	
ENSG00000232962	ENST00000434335	
ENSG00000225291	ENST00000434778	
ENSG00000112038	ENST00000434900	ENSMEUP00000001235
ENSG00000233095	ENST00000434907	
ENSG00000189143	ENST00000435050	ENSMEUP00000012054
ENSG00000147145	ENST00000435339	
ENSG00000135218	ENST00000435819	ENSMEUP00000010347
ENSG00000237103	ENST00000436623	
ENSG00000174130	ENST00000436693	ENSMEUP00000000067
ENSG00000227191	ENST00000436911	
ENSG00000224234	ENST00000437403	
ENSG00000229074	ENST00000437784	
ENSG00000237022	ENST00000438171	
ENSG00000196639	ENST00000438284	ENSMEUP00000003747
ENSG00000235966	ENST00000438569	
ENSG00000172215	ENST00000438735	
ENSG00000241106	ENST00000438763	
