ENSG00000003056	ENST00000000412	ENSETEP00000016145
ENSG00000184954	ENST00000327335	
ENSG00000185385	ENST00000327462	
ENSG00000185436	ENST00000327535	ENSETEP00000004197
ENSG00000185231	ENST00000327606	
ENSG00000153294	ENST00000327753	ENSETEP00000014444
ENSG00000185897	ENST00000327809	
ENSG00000221931	ENST00000327930	
ENSG00000182771	ENST00000327946	ENSETEP00000011254
ENSG00000197125	ENST00000328064	ENSETEP00000012603
ENSG00000185926	ENST00000328188	
ENSG00000182613	ENST00000328275	
ENSG00000185821	ENST00000328314	
ENSG00000183473	ENST00000328544	ENSETEP00000005118
ENSG00000186891	ENST00000328596	ENSETEP00000013913
ENSG00000184698	ENST00000328611	ENSETEP00000005234
ENSG00000186407	ENST00000328630	ENSETEP00000008298
ENSG00000183310	ENST00000328782	ENSETEP00000008338
ENSG00000183706	ENST00000328795	
ENSG00000184881	ENST00000328813	ENSETEP00000010869
ENSG00000182782	ENST00000328880	
ENSG00000184140	ENST00000328882	ENSETEP00000006161
ENSG00000183024	ENST00000328890	ENSETEP00000001670
ENSG00000206306	ENST00000328980	
ENSG00000182687	ENST00000329003	ENSETEP00000013436
ENSG00000235568	ENST00000329021	
ENSG00000185245	ENST00000329125	
ENSG00000183840	ENST00000329321	ENSETEP00000007531
ENSG00000172742	ENST00000329328	
ENSG00000185372	ENST00000329365	
ENSG00000185149	ENST00000329476	
ENSG00000113763	ENST00000329542	ENSETEP00000010573
ENSG00000183695	ENST00000329773	
ENSG00000183484	ENST00000329797	
ENSG00000184574	ENST00000329858	ENSETEP00000004802
ENSG00000184160	ENST00000330055	
ENSG00000182631	ENST00000330120	
ENSG00000182580	ENST00000330394	ENSETEP00000005089
ENSG00000182634	ENST00000330487	
ENSG00000184022	ENST00000330500	
ENSG00000114013	ENST00000330540	ENSETEP00000002996
ENSG00000183389	ENST00000330728	ENSETEP00000003230
ENSG00000167850	ENST00000330793	
ENSG00000183130	ENST00000330803	
ENSG00000183813	ENST00000330953	
ENSG00000185291	ENST00000331035	
ENSG00000183729	ENST00000331251	
ENSG00000183748	ENST00000331429	ENSETEP00000007249
ENSG00000184166	ENST00000331459	ENSETEP00000007655
ENSG00000172116	ENST00000331469	
ENSG00000178852	ENST00000331493	ENSETEP00000009695
ENSG00000182652	ENST00000331723	
ENSG00000185920	ENST00000331920	ENSETEP00000012713
ENSG00000184321	ENST00000332043	
ENSG00000173482	ENST00000332175	ENSETEP00000008761
ENSG00000196266	ENST00000332217	ENSETEP00000012353
ENSG00000182854	ENST00000332238	ENSETEP00000010049
ENSG00000183313	ENST00000332249	
ENSG00000182170	ENST00000332314	
ENSG00000184451	ENST00000332438	
ENSG00000183134	ENST00000332539	
ENSG00000115590	ENST00000332549	ENSETEP00000011055
ENSG00000184194	ENST00000332582	
ENSG00000184933	ENST00000332601	
ENSG00000232382	ENST00000332650	
ENSG00000182974	ENST00000332663	
ENSG00000185097	ENST00000332831	
ENSG00000221890	ENST00000333039	ENSETEP00000005635
ENSG00000173662	ENST00000333172	ENSETEP00000003086
ENSG00000007908	ENST00000333360	ENSETEP00000013282
ENSG00000182885	ENST00000333493	
ENSG00000184394	ENST00000333629	ENSETEP00000011953
ENSG00000182256	ENST00000333743	ENSETEP00000012565
ENSG00000186117	ENST00000333973	ENSETEP00000004122
ENSG00000186119	ENST00000333976	
ENSG00000136160	ENST00000334286	
ENSG00000152990	ENST00000334304	ENSETEP00000015128
ENSG00000186306	ENST00000334438	
ENSG00000186265	ENST00000334529	
ENSG00000186919	ENST00000334586	
ENSG00000110148	ENST00000334619	ENSETEP00000012167
ENSG00000186440	ENST00000334632	
ENSG00000186881	ENST00000334726	
ENSG00000180264	ENST00000334810	ENSETEP00000004423
ENSG00000184155	ENST00000334857	ENSETEP00000010208
ENSG00000186723	ENST00000334920	
ENSG00000186943	ENST00000335040	
ENSG00000197403	ENST00000335094	ENSETEP00000008040
ENSG00000186092	ENST00000335137	ENSETEP00000005629
ENSG00000221954	ENST00000335238	
ENSG00000197233	ENST00000335302	
ENSG00000186038	ENST00000335304	
ENSG00000107731	ENST00000335350	
ENSG00000186509	ENST00000335397	ENSETEP00000004914
ENSG00000186113	ENST00000335605	
ENSG00000186297	ENST00000335625	ENSETEP00000011762
ENSG00000257008	ENST00000335666	ENSETEP00000010013
ENSG00000125498	ENST00000336077	
ENSG00000148680	ENST00000336152	ENSETEP00000015290
ENSG00000044524	ENST00000336596	ENSETEP00000007848
ENSG00000125510	ENST00000336866	ENSETEP00000007369
ENSG00000135124	ENST00000337233	ENSETEP00000015386
ENSG00000187800	ENST00000338302	ENSETEP00000000049
ENSG00000164129	ENST00000338566	
ENSG00000188124	ENST00000338569	ENSETEP00000004738
ENSG00000171054	ENST00000338616	ENSETEP00000008986
ENSG00000187474	ENST00000339223	
ENSG00000188340	ENST00000339258	ENSETEP00000008041
ENSG00000169962	ENST00000339381	
ENSG00000179603	ENST00000339582	
ENSG00000171049	ENST00000340023	
ENSG00000204475	ENST00000340027	ENSETEP00000012196
ENSG00000068078	ENST00000340107	
ENSG00000101180	ENST00000340177	ENSETEP00000012366
ENSG00000159618	ENST00000340339	
ENSG00000187871	ENST00000340465	ENSETEP00000011715
ENSG00000072071	ENST00000340736	ENSETEP00000008517
ENSG00000239590	ENST00000340750	
ENSG00000159346	ENST00000340990	ENSETEP00000011091
ENSG00000187918	ENST00000341449	ENSETEP00000010287
ENSG00000196131	ENST00000341702	ENSETEP00000002696
ENSG00000187957	ENST00000341772	ENSETEP00000003354
ENSG00000122718	ENST00000341959	ENSETEP00000006911
ENSG00000168575	ENST00000342228	ENSETEP00000009617
ENSG00000188888	ENST00000342292	ENSETEP00000004137
ENSG00000243772	ENST00000342376	
ENSG00000189181	ENST00000342623	ENSETEP00000013365
ENSG00000170412	ENST00000342648	ENSETEP00000016209
ENSG00000178568	ENST00000342788	ENSETEP00000007421
ENSG00000196240	ENST00000342927	ENSETEP00000008641
ENSG00000092421	ENST00000343348	ENSETEP00000013243
ENSG00000187857	ENST00000343399	ENSETEP00000000392
ENSG00000188558	ENST00000343414	ENSETEP00000001203
ENSG00000188069	ENST00000343430	ENSETEP00000012396
ENSG00000160791	ENST00000343801	
ENSG00000197706	ENST00000343870	
ENSG00000187848	ENST00000343948	ENSETEP00000001538
ENSG00000188000	ENST00000344248	
ENSG00000187612	ENST00000344514	ENSETEP00000010505
ENSG00000188763	ENST00000344575	
ENSG00000187701	ENST00000344889	
ENSG00000187747	ENST00000345043	
ENSG00000188778	ENST00000345060	ENSETEP00000000468
ENSG00000156642	ENST00000345330	ENSETEP00000016142
ENSG00000060656	ENST00000345512	ENSETEP00000007943
ENSG00000189013	ENST00000345540	
ENSG00000104921	ENST00000346664	ENSETEP00000001154
ENSG00000162594	ENST00000347310	ENSETEP00000013595
ENSG00000110448	ENST00000347785	ENSETEP00000012783
ENSG00000116678	ENST00000349533	ENSETEP00000006404
ENSG00000179468	ENST00000350513	ENSETEP00000002960
ENSG00000114739	ENST00000352511	ENSETEP00000006015
ENSG00000231192	ENST00000354565	
ENSG00000196661	ENST00000354597	
ENSG00000168079	ENST00000354914	ENSETEP00000006243
ENSG00000196098	ENST00000354924	
ENSG00000196189	ENST00000355014	ENSETEP00000008388
ENSG00000161944	ENST00000355035	ENSETEP00000012323
ENSG00000197405	ENST00000355085	
ENSG00000197938	ENST00000355273	
ENSG00000166736	ENST00000355556	ENSETEP00000010612
ENSG00000136869	ENST00000355622	ENSETEP00000002678
ENSG00000157873	ENST00000355716	
ENSG00000198104	ENST00000355728	ENSETEP00000006670
ENSG00000197591	ENST00000355784	
ENSG00000173890	ENST00000355897	ENSETEP00000013313
ENSG00000165246	ENST00000355905	ENSETEP00000004467
ENSG00000198053	ENST00000356025	
ENSG00000176937	ENST00000356069	
ENSG00000198657	ENST00000356130	
ENSG00000233412	ENST00000356526	
ENSG00000050628	ENST00000356595	
ENSG00000173535	ENST00000356864	
ENSG00000197081	ENST00000356956	ENSETEP00000015511
ENSG00000139187	ENST00000356986	ENSETEP00000000404
ENSG00000196917	ENST00000356987	
ENSG00000196832	ENST00000357366	
ENSG00000105426	ENST00000357368	
ENSG00000197786	ENST00000357377	
ENSG00000121797	ENST00000357392	
ENSG00000197263	ENST00000357438	ENSETEP00000007558
ENSG00000180616	ENST00000357585	ENSETEP00000004406
ENSG00000197428	ENST00000357605	ENSETEP00000002662
ENSG00000196772	ENST00000357627	ENSETEP00000002554
ENSG00000196277	ENST00000357716	ENSETEP00000005821
ENSG00000196341	ENST00000357821	
ENSG00000135622	ENST00000357877	ENSETEP00000005561
ENSG00000213694	ENST00000358157	ENSETEP00000009772
ENSG00000196411	ENST00000358173	ENSETEP00000001177
ENSG00000168329	ENST00000358309	
ENSG00000142627	ENST00000358432	ENSETEP00000005727
ENSG00000188324	ENST00000358433	ENSETEP00000002239
ENSG00000196578	ENST00000358642	
ENSG00000072694	ENST00000358671	ENSETEP00000009727
ENSG00000196338	ENST00000358741	ENSETEP00000013957
ENSG00000126895	ENST00000358927	
ENSG00000163513	ENST00000359013	ENSETEP00000015383
ENSG00000134545	ENST00000359151	
ENSG00000177575	ENST00000359156	ENSETEP00000015388
ENSG00000176895	ENST00000359350	ENSETEP00000014843
ENSG00000148604	ENST00000359452	
ENSG00000004948	ENST00000359558	ENSETEP00000004395
ENSG00000196539	ENST00000359594	ENSETEP00000008338
ENSG00000196218	ENST00000359596	ENSETEP00000011009
ENSG00000196171	ENST00000359610	ENSETEP00000002739
ENSG00000198601	ENST00000359682	
ENSG00000197437	ENST00000359688	
ENSG00000187258	ENST00000359791	ENSETEP00000016539
ENSG00000117114	ENST00000359929	ENSETEP00000015090
ENSG00000142949	ENST00000359947	ENSETEP00000000350
ENSG00000196126	ENST00000360004	
ENSG00000072274	ENST00000360110	ENSETEP00000009237
ENSG00000197790	ENST00000360213	ENSETEP00000007344
ENSG00000198283	ENST00000360374	ENSETEP00000003391
ENSG00000118257	ENST00000360409	ENSETEP00000006751
ENSG00000197635	ENST00000360534	ENSETEP00000009221
ENSG00000239732	ENST00000360658	
ENSG00000164270	ENST00000360693	ENSETEP00000009837
ENSG00000170683	ENST00000360759	ENSETEP00000001529
ENSG00000170180	ENST00000360771	
ENSG00000119121	ENST00000360774	ENSETEP00000000176
ENSG00000140538	ENST00000360948	ENSETEP00000015040
ENSG00000197594	ENST00000360971	ENSETEP00000008893
ENSG00000198967	ENST00000361284	ENSETEP00000011910
ENSG00000196776	ENST00000361309	ENSETEP00000012801
ENSG00000158458	ENST00000361474	ENSETEP00000014219
ENSG00000132704	ENST00000361516	
ENSG00000198822	ENST00000361669	ENSETEP00000003907
ENSG00000152822	ENST00000361719	ENSETEP00000000054
ENSG00000198877	ENST00000361760	
ENSG00000198851	ENST00000361763	ENSETEP00000004465
ENSG00000105699	ENST00000361790	ENSETEP00000000902
ENSG00000198785	ENST00000361820	ENSETEP00000002466
ENSG00000143297	ENST00000361835	ENSETEP00000003108
ENSG00000198829	ENST00000362032	ENSETEP00000011403
ENSG00000149295	ENST00000362072	ENSETEP00000010368
ENSG00000198821	ENST00000362089	
ENSG00000203618	ENST00000366425	
ENSG00000175143	ENST00000366474	ENSETEP00000013730
ENSG00000162727	ENST00000366476	
ENSG00000196071	ENST00000366478	ENSETEP00000000434
ENSG00000187080	ENST00000366480	
ENSG00000241128	ENST00000366485	
ENSG00000196242	ENST00000366487	
ENSG00000054277	ENST00000366554	
ENSG00000116996	ENST00000366570	
ENSG00000077585	ENST00000366592	ENSETEP00000014972
ENSG00000120436	ENST00000366834	ENSETEP00000003787
ENSG00000162769	ENST00000366971	ENSETEP00000014006
ENSG00000076356	ENST00000367033	ENSETEP00000006835
ENSG00000203710	ENST00000367049	
ENSG00000117322	ENST00000367057	ENSETEP00000000794
ENSG00000198049	ENST00000367126	ENSETEP00000009676
ENSG00000133067	ENST00000367278	ENSETEP00000015633
ENSG00000170075	ENST00000367282	
ENSG00000153029	ENST00000367580	ENSETEP00000001342
ENSG00000143324	ENST00000367590	ENSETEP00000015089
ENSG00000112414	ENST00000367609	ENSETEP00000000005
ENSG00000203737	ENST00000367685	ENSETEP00000000965
ENSG00000027697	ENST00000367739	ENSETEP00000009471
ENSG00000143147	ENST00000367838	ENSETEP00000010322
ENSG00000143167	ENST00000367868	ENSETEP00000016111
ENSG00000162733	ENST00000367922	ENSETEP00000004789
ENSG00000162747	ENST00000367964	
ENSG00000203747	ENST00000367969	
ENSG00000143217	ENST00000368012	ENSETEP00000012752
ENSG00000158769	ENST00000368026	ENSETEP00000013284
ENSG00000122223	ENST00000368033	
ENSG00000026751	ENST00000368043	ENSETEP00000013593
ENSG00000162739	ENST00000368057	
ENSG00000179639	ENST00000368115	ENSETEP00000006096
ENSG00000213088	ENST00000368121	
ENSG00000180433	ENST00000368144	
ENSG00000203757	ENST00000368145	ENSETEP00000015160
ENSG00000186400	ENST00000368150	
ENSG00000198965	ENST00000368152	
ENSG00000158473	ENST00000368171	ENSETEP00000012492
ENSG00000163534	ENST00000368176	ENSETEP00000008096
ENSG00000160856	ENST00000368184	ENSETEP00000002952
ENSG00000027644	ENST00000368195	ENSETEP00000000046
ENSG00000152894	ENST00000368213	ENSETEP00000013065
ENSG00000173080	ENST00000368318	ENSETEP00000008751
ENSG00000160716	ENST00000368476	ENSETEP00000000319
ENSG00000160712	ENST00000368485	ENSETEP00000016417
ENSG00000047936	ENST00000368508	ENSETEP00000004895
ENSG00000159164	ENST00000369146	ENSETEP00000011407
ENSG00000150337	ENST00000369168	
ENSG00000043591	ENST00000369295	
ENSG00000135333	ENST00000369303	ENSETEP00000005180
ENSG00000143127	ENST00000369304	ENSETEP00000013958
ENSG00000198019	ENST00000369384	
ENSG00000116824	ENST00000369478	ENSETEP00000000399
ENSG00000118432	ENST00000369501	ENSETEP00000001370
ENSG00000121933	ENST00000369716	ENSETEP00000004126
ENSG00000125522	ENST00000369768	
ENSG00000166160	ENST00000369929	ENSETEP00000007920
ENSG00000147380	ENST00000369935	ENSETEP00000007920
ENSG00000135312	ENST00000369947	
ENSG00000102076	ENST00000369951	ENSETEP00000007920
ENSG00000101204	ENST00000370263	ENSETEP00000002448
ENSG00000147402	ENST00000370306	ENSETEP00000002117
ENSG00000011677	ENST00000370314	ENSETEP00000004902
ENSG00000102287	ENST00000370328	ENSETEP00000004487
ENSG00000101188	ENST00000370501	ENSETEP00000014011
ENSG00000135298	ENST00000370598	ENSETEP00000016099
ENSG00000102239	ENST00000370648	ENSETEP00000005175
ENSG00000162618	ENST00000370742	ENSETEP00000009170
ENSG00000122420	ENST00000370758	ENSETEP00000007076
ENSG00000137252	ENST00000370862	ENSETEP00000011714
ENSG00000185483	ENST00000371079	ENSETEP00000015868
ENSG00000170927	ENST00000371117	ENSETEP00000000685
ENSG00000162604	ENST00000371180	ENSETEP00000014895
ENSG00000184292	ENST00000371225	ENSETEP00000004333
ENSG00000153292	ENST00000371253	ENSETEP00000004747
ENSG00000186188	ENST00000371483	ENSETEP00000011099
ENSG00000176884	ENST00000371553	ENSETEP00000013511
ENSG00000131724	ENST00000371666	ENSETEP00000007434
ENSG00000180772	ENST00000371906	
ENSG00000122375	ENST00000372071	ENSETEP00000008718
ENSG00000148600	ENST00000372117	ENSETEP00000002302
ENSG00000117425	ENST00000372192	ENSETEP00000005074
ENSG00000101017	ENST00000372285	
ENSG00000117400	ENST00000372470	ENSETEP00000006504
ENSG00000066056	ENST00000372476	ENSETEP00000013174
ENSG00000188828	ENST00000372617	ENSETEP00000005108
ENSG00000124145	ENST00000372733	ENSETEP00000014041
ENSG00000183317	ENST00000373048	ENSETEP00000002815
ENSG00000096264	ENST00000373089	ENSETEP00000015577
ENSG00000163873	ENST00000373091	ENSETEP00000012226
ENSG00000119535	ENST00000373103	ENSETEP00000016002
ENSG00000095970	ENST00000373113	ENSETEP00000012005
ENSG00000161911	ENST00000373127	ENSETEP00000010858
ENSG00000196090	ENST00000373187	ENSETEP00000002513
ENSG00000106991	ENST00000373203	ENSETEP00000008803
ENSG00000112164	ENST00000373256	ENSETEP00000006302
ENSG00000173198	ENST00000373304	ENSETEP00000005193
ENSG00000075073	ENST00000373306	ENSETEP00000014461
ENSG00000188394	ENST00000373642	ENSETEP00000016097
ENSG00000121753	ENST00000373658	ENSETEP00000003398
ENSG00000148215	ENST00000373680	
ENSG00000171501	ENST00000373688	ENSETEP00000001669
ENSG00000186810	ENST00000373691	
ENSG00000181773	ENST00000374024	ENSETEP00000013323
ENSG00000124493	ENST00000374181	ENSETEP00000006483
ENSG00000147168	ENST00000374202	ENSETEP00000013949
ENSG00000182749	ENST00000374296	ENSETEP00000000737
ENSG00000204174	ENST00000374312	
ENSG00000096433	ENST00000374316	ENSETEP00000016512
ENSG00000198121	ENST00000374431	
ENSG00000030304	ENST00000374448	ENSETEP00000009548
ENSG00000188822	ENST00000374472	ENSETEP00000003774
ENSG00000101000	ENST00000374477	
ENSG00000186912	ENST00000374519	
ENSG00000204217	ENST00000374580	ENSETEP00000000562
ENSG00000133216	ENST00000374632	ENSETEP00000001348
ENSG00000177283	ENST00000374694	
ENSG00000131080	ENST00000374719	
ENSG00000165029	ENST00000374736	ENSETEP00000013077
ENSG00000255800	ENST00000374779	ENSETEP00000011194
ENSG00000204246	ENST00000374781	
ENSG00000168384	ENST00000374808	
ENSG00000237541	ENST00000374940	
ENSG00000106799	ENST00000374994	ENSETEP00000004306
ENSG00000204293	ENST00000375013	
ENSG00000236981	ENST00000375024	
ENSG00000204305	ENST00000375076	ENSETEP00000015204
ENSG00000204345	ENST00000375352	
ENSG00000179002	ENST00000375371	ENSETEP00000006990
ENSG00000169071	ENST00000375708	ENSETEP00000009584
ENSG00000204420	ENST00000375806	ENSETEP00000003125
ENSG00000148053	ENST00000376214	ENSETEP00000013068
ENSG00000028137	ENST00000376259	ENSETEP00000013687
ENSG00000080031	ENST00000376350	ENSETEP00000002862
ENSG00000151025	ENST00000376351	ENSETEP00000013029
ENSG00000169508	ENST00000376414	ENSETEP00000012706
ENSG00000204580	ENST00000376575	ENSETEP00000012028
ENSG00000229698	ENST00000376848	
ENSG00000206512	ENST00000376947	
ENSG00000204681	ENST00000377034	
ENSG00000178726	ENST00000377103	ENSETEP00000004226
ENSG00000204687	ENST00000377127	ENSETEP00000009146
ENSG00000204688	ENST00000377136	
ENSG00000204690	ENST00000377140	
ENSG00000112462	ENST00000377143	ENSETEP00000004864
ENSG00000204694	ENST00000377148	ENSETEP00000016580
ENSG00000243729	ENST00000377154	
ENSG00000204695	ENST00000377160	ENSETEP00000007188
ENSG00000204701	ENST00000377169	
ENSG00000204702	ENST00000377171	ENSETEP00000013704
ENSG00000204703	ENST00000377173	
ENSG00000113749	ENST00000377291	
ENSG00000180758	ENST00000377411	
ENSG00000049249	ENST00000377507	ENSETEP00000006376
ENSG00000204882	ENST00000377741	
ENSG00000215788	ENST00000377782	
ENSG00000158292	ENST00000377893	ENSETEP00000006223
ENSG00000077943	ENST00000378076	ENSETEP00000013144
ENSG00000171659	ENST00000378142	ENSETEP00000002983
ENSG00000205029	ENST00000378396	
ENSG00000205030	ENST00000378397	ENSETEP00000004122
ENSG00000139679	ENST00000378434	ENSETEP00000014638
ENSG00000182220	ENST00000378438	ENSETEP00000001099
ENSG00000187730	ENST00000378585	ENSETEP00000003173
ENSG00000134569	ENST00000378623	ENSETEP00000014327
ENSG00000162881	ENST00000378661	
ENSG00000102468	ENST00000378688	ENSETEP00000010070
ENSG00000169306	ENST00000378993	ENSETEP00000002137
ENSG00000205213	ENST00000379214	ENSETEP00000007789
ENSG00000186827	ENST00000379236	
ENSG00000165186	ENST00000379361	
ENSG00000171873	ENST00000379453	
ENSG00000138741	ENST00000379645	ENSETEP00000011666
ENSG00000205327	ENST00000379662	
ENSG00000205328	ENST00000379665	ENSETEP00000013389
ENSG00000205329	ENST00000379667	ENSETEP00000005023
ENSG00000170782	ENST00000379829	ENSETEP00000004177
ENSG00000173698	ENST00000379869	ENSETEP00000000512
ENSG00000134460	ENST00000379959	ENSETEP00000006879
ENSG00000178015	ENST00000380007	
ENSG00000120156	ENST00000380036	ENSETEP00000008584
ENSG00000167359	ENST00000380211	
ENSG00000176239	ENST00000380219	ENSETEP00000003612
ENSG00000183251	ENST00000380224	
ENSG00000126010	ENST00000380289	ENSETEP00000016383
ENSG00000205494	ENST00000380369	
ENSG00000205495	ENST00000380370	ENSETEP00000014225
ENSG00000205496	ENST00000380371	
ENSG00000205497	ENST00000380373	
ENSG00000176900	ENST00000380378	
ENSG00000132670	ENST00000380393	
ENSG00000120907	ENST00000380586	ENSETEP00000015927
ENSG00000196664	ENST00000380659	ENSETEP00000004208
ENSG00000139514	ENST00000380752	
ENSG00000146938	ENST00000381095	ENSETEP00000004467
ENSG00000153707	ENST00000381196	ENSETEP00000011909
ENSG00000182162	ENST00000381297	
ENSG00000134352	ENST00000381298	
ENSG00000120217	ENST00000381577	
ENSG00000205809	ENST00000381902	
ENSG00000172150	ENST00000381951	ENSETEP00000006290
ENSG00000159110	ENST00000382241	ENSETEP00000001828
ENSG00000155269	ENST00000382487	
ENSG00000186090	ENST00000382489	ENSETEP00000006932
ENSG00000112902	ENST00000382496	ENSETEP00000014390
ENSG00000231679	ENST00000383126	
ENSG00000206291	ENST00000383224	
ENSG00000206292	ENST00000383226	
ENSG00000206305	ENST00000383251	
ENSG00000206308	ENST00000383259	
ENSG00000184984	ENST00000383263	ENSETEP00000014517
ENSG00000206320	ENST00000383279	
ENSG00000206396	ENST00000383412	
ENSG00000206430	ENST00000383476	
ENSG00000137403	ENST00000383516	
ENSG00000206466	ENST00000383542	
ENSG00000206470	ENST00000383549	
ENSG00000206471	ENST00000383550	
ENSG00000206472	ENST00000383551	
ENSG00000204692	ENST00000383556	
ENSG00000206493	ENST00000383597	
ENSG00000206506	ENST00000383623	
ENSG00000206509	ENST00000383627	
ENSG00000206511	ENST00000383638	
ENSG00000204657	ENST00000383640	ENSETEP00000009213
ENSG00000206515	ENST00000383643	
ENSG00000206516	ENST00000383644	
ENSG00000206517	ENST00000383645	
ENSG00000206522	ENST00000383651	
ENSG00000206524	ENST00000383653	
ENSG00000206525	ENST00000383654	
ENSG00000206536	ENST00000383695	
ENSG00000230301	ENST00000383696	
ENSG00000205336	ENST00000388812	
ENSG00000136011	ENST00000388887	ENSETEP00000010261
ENSG00000156886	ENST00000389202	ENSETEP00000004831
ENSG00000196811	ENST00000389494	ENSETEP00000013610
ENSG00000080224	ENST00000389672	ENSETEP00000013999
ENSG00000174948	ENST00000389740	ENSETEP00000008539
ENSG00000006071	ENST00000389817	ENSETEP00000009277
ENSG00000184350	ENST00000389832	
ENSG00000212807	ENST00000391496	
ENSG00000204689	ENST00000391549	
ENSG00000167633	ENST00000391728	
ENSG00000186818	ENST00000391736	
ENSG00000167613	ENST00000391742	
ENSG00000131042	ENST00000391749	
ENSG00000135898	ENST00000392040	
ENSG00000064989	ENST00000392370	ENSETEP00000008647
ENSG00000197177	ENST00000392607	
ENSG00000007312	ENST00000392795	ENSETEP00000003523
ENSG00000106123	ENST00000392957	ENSETEP00000004790
ENSG00000106278	ENST00000393386	ENSETEP00000002589
ENSG00000114554	ENST00000393409	ENSETEP00000000378
ENSG00000175591	ENST00000393597	
ENSG00000184845	ENST00000393752	
ENSG00000144847	ENST00000393775	ENSETEP00000012158
ENSG00000145864	ENST00000393959	ENSETEP00000001737
ENSG00000156920	ENST00000394143	
ENSG00000179626	ENST00000394256	ENSETEP00000010088
ENSG00000186867	ENST00000394427	ENSETEP00000005906
ENSG00000119737	ENST00000394705	
ENSG00000188372	ENST00000394857	ENSETEP00000003455
ENSG00000164082	ENST00000395052	ENSETEP00000001175
ENSG00000172772	ENST00000395079	ENSETEP00000012592
ENSG00000137868	ENST00000395105	ENSETEP00000007658
ENSG00000181619	ENST00000395116	
ENSG00000165215	ENST00000395145	ENSETEP00000003509
ENSG00000126777	ENST00000395309	ENSETEP00000010102
ENSG00000197471	ENST00000395389	
ENSG00000077238	ENST00000395762	ENSETEP00000015229
ENSG00000150093	ENST00000396033	ENSETEP00000000756
ENSG00000179826	ENST00000396275	
ENSG00000183454	ENST00000396573	ENSETEP00000011155
ENSG00000206503	ENST00000396634	
ENSG00000137101	ENST00000396757	
ENSG00000167332	ENST00000396950	
ENSG00000180785	ENST00000396952	
ENSG00000115232	ENST00000397033	ENSETEP00000014709
ENSG00000164849	ENST00000397095	
ENSG00000125245	ENST00000397473	ENSETEP00000001086
ENSG00000162009	ENST00000397547	
ENSG00000197646	ENST00000397747	ENSETEP00000006092
ENSG00000134160	ENST00000397795	ENSETEP00000015737
ENSG00000160255	ENST00000397852	ENSETEP00000002449
ENSG00000154928	ENST00000398015	ENSETEP00000008713
ENSG00000152558	ENST00000398136	ENSETEP00000015593
ENSG00000120088	ENST00000398285	ENSETEP00000000373
ENSG00000127418	ENST00000398484	
ENSG00000184012	ENST00000398585	ENSETEP00000014506
ENSG00000231286	ENST00000399088	
ENSG00000206240	ENST00000399450	
ENSG00000171189	ENST00000399907	ENSETEP00000010663
ENSG00000215522	ENST00000400489	
ENSG00000215644	ENST00000400723	
ENSG00000215764	ENST00000400875	
ENSG00000112486	ENST00000400926	
ENSG00000111886	ENST00000402938	ENSETEP00000007488
ENSG00000182083	ENST00000402971	
ENSG00000121764	ENST00000403528	ENSETEP00000005797
ENSG00000100368	ENST00000403662	ENSETEP00000002773
ENSG00000179915	ENST00000404971	ENSETEP00000016048
ENSG00000164199	ENST00000405460	ENSETEP00000001875
ENSG00000132975	ENST00000405846	
ENSG00000170820	ENST00000406846	ENSETEP00000013711
ENSG00000183671	ENST00000407325	ENSETEP00000007824
ENSG00000064547	ENST00000407877	ENSETEP00000004315
ENSG00000120903	ENST00000407991	ENSETEP00000000642
ENSG00000221882	ENST00000408891	ENSETEP00000000658
ENSG00000221888	ENST00000408896	
ENSG00000221933	ENST00000408898	
ENSG00000221938	ENST00000408899	
ENSG00000221836	ENST00000408906	
ENSG00000221996	ENST00000408920	ENSETEP00000012906
ENSG00000221813	ENST00000408922	
ENSG00000221977	ENST00000408935	
ENSG00000221858	ENST00000408949	
ENSG00000221970	ENST00000408951	
ENSG00000221989	ENST00000408979	
ENSG00000091409	ENST00000409080	ENSETEP00000013008
ENSG00000222040	ENST00000409345	
ENSG00000121966	ENST00000409817	ENSETEP00000015637
ENSG00000115594	ENST00000410023	ENSETEP00000013373
ENSG00000115604	ENST00000410040	ENSETEP00000014714
ENSG00000227639	ENST00000411447	
ENSG00000228987	ENST00000411505	
ENSG00000234794	ENST00000411524	
ENSG00000229680	ENST00000411574	
ENSG00000006638	ENST00000411851	
ENSG00000020181	ENST00000412232	
ENSG00000229058	ENST00000412470	
ENSG00000234745	ENST00000412585	
ENSG00000225211	ENST00000412603	
ENSG00000099957	ENST00000413302	ENSETEP00000008282
ENSG00000232178	ENST00000414140	
ENSG00000154269	ENST00000414305	ENSETEP00000006348
ENSG00000233481	ENST00000414415	
ENSG00000113327	ENST00000414552	ENSETEP00000004607
ENSG00000230726	ENST00000414698	
ENSG00000224103	ENST00000415247	
ENSG00000229252	ENST00000415289	
ENSG00000224395	ENST00000415581	
ENSG00000233904	ENST00000415649	
ENSG00000237216	ENST00000415687	
ENSG00000233141	ENST00000415802	
ENSG00000226000	ENST00000415857	
ENSG00000226832	ENST00000415976	
ENSG00000233209	ENST00000416192	
ENSG00000198223	ENST00000417535	
ENSG00000224320	ENST00000417978	
ENSG00000112218	ENST00000417980	
ENSG00000234954	ENST00000418003	
ENSG00000168959	ENST00000418177	ENSETEP00000015168
ENSG00000225781	ENST00000418316	
ENSG00000233618	ENST00000418630	
ENSG00000111199	ENST00000418703	ENSETEP00000007380
ENSG00000237808	ENST00000418936	
