ENSG00000003056	ENST00000000412	ENSPCAP00000013437
ENSG00000181963	ENST00000325719	ENSPCAP00000010197
ENSG00000106128	ENST00000326139	ENSPCAP00000004250
ENSG00000186074	ENST00000326165	ENSPCAP00000008715
ENSG00000177693	ENST00000326183	
ENSG00000179919	ENST00000326258	
ENSG00000179934	ENST00000326306	
ENSG00000240403	ENST00000326321	
ENSG00000180269	ENST00000326571	ENSPCAP00000014855
ENSG00000006327	ENST00000326577	
ENSG00000080644	ENST00000326828	
ENSG00000019169	ENST00000327097	ENSPCAP00000014795
ENSG00000166342	ENST00000327305	ENSPCAP00000015523
ENSG00000104938	ENST00000327325	
ENSG00000184954	ENST00000327335	
ENSG00000185385	ENST00000327462	
ENSG00000185436	ENST00000327535	ENSPCAP00000007479
ENSG00000185231	ENST00000327606	ENSPCAP00000000580
ENSG00000153294	ENST00000327753	ENSPCAP00000007829
ENSG00000185897	ENST00000327809	
ENSG00000221931	ENST00000327930	
ENSG00000182771	ENST00000327946	ENSPCAP00000006438
ENSG00000197125	ENST00000328064	ENSPCAP00000011379
ENSG00000185926	ENST00000328188	
ENSG00000182613	ENST00000328275	ENSPCAP00000007577
ENSG00000185821	ENST00000328314	ENSPCAP00000000070
ENSG00000182334	ENST00000328375	
ENSG00000183473	ENST00000328544	
ENSG00000182783	ENST00000328570	ENSPCAP00000008248
ENSG00000186891	ENST00000328596	ENSPCAP00000010272
ENSG00000184698	ENST00000328611	ENSPCAP00000005987
ENSG00000186407	ENST00000328630	ENSPCAP00000012718
ENSG00000183310	ENST00000328782	
ENSG00000183706	ENST00000328795	ENSPCAP00000004312
ENSG00000184881	ENST00000328813	ENSPCAP00000013812
ENSG00000182782	ENST00000328880	ENSPCAP00000004392
ENSG00000184140	ENST00000328882	ENSPCAP00000001386
ENSG00000183024	ENST00000328890	
ENSG00000206306	ENST00000328980	
ENSG00000182687	ENST00000329003	ENSPCAP00000000137
ENSG00000235568	ENST00000329021	ENSPCAP00000006899
ENSG00000185245	ENST00000329125	
ENSG00000183840	ENST00000329321	ENSPCAP00000010787
ENSG00000205409	ENST00000329322	ENSPCAP00000009662
ENSG00000172742	ENST00000329328	
ENSG00000185372	ENST00000329365	
ENSG00000183303	ENST00000329434	ENSPCAP00000001729
ENSG00000185149	ENST00000329476	
ENSG00000113763	ENST00000329542	ENSPCAP00000005525
ENSG00000183695	ENST00000329773	
ENSG00000183484	ENST00000329797	
ENSG00000184574	ENST00000329858	ENSPCAP00000002448
ENSG00000184160	ENST00000330055	
ENSG00000182631	ENST00000330120	
ENSG00000182580	ENST00000330394	ENSPCAP00000007193
ENSG00000182634	ENST00000330487	
ENSG00000184022	ENST00000330500	
ENSG00000114013	ENST00000330540	ENSPCAP00000011610
ENSG00000183389	ENST00000330728	ENSPCAP00000012467
ENSG00000167850	ENST00000330793	
ENSG00000183130	ENST00000330803	ENSPCAP00000006791
ENSG00000183813	ENST00000330953	ENSPCAP00000006951
ENSG00000185291	ENST00000331035	ENSPCAP00000009848
ENSG00000183729	ENST00000331251	
ENSG00000183748	ENST00000331429	ENSPCAP00000015580
ENSG00000184166	ENST00000331459	ENSPCAP00000005049
ENSG00000172116	ENST00000331469	ENSPCAP00000010341
ENSG00000178852	ENST00000331493	ENSPCAP00000002374
ENSG00000182652	ENST00000331723	
ENSG00000185920	ENST00000331920	ENSPCAP00000014906
ENSG00000184321	ENST00000332043	
ENSG00000173482	ENST00000332175	ENSPCAP00000008726
ENSG00000196266	ENST00000332217	
ENSG00000182854	ENST00000332238	ENSPCAP00000003233
ENSG00000183313	ENST00000332249	
ENSG00000182170	ENST00000332314	ENSPCAP00000005349
ENSG00000184451	ENST00000332438	ENSPCAP00000015637
ENSG00000183134	ENST00000332539	ENSPCAP00000003786
ENSG00000115590	ENST00000332549	ENSPCAP00000006500
ENSG00000184194	ENST00000332582	ENSPCAP00000000367
ENSG00000184933	ENST00000332601	ENSPCAP00000011332
ENSG00000232382	ENST00000332650	ENSPCAP00000005429
ENSG00000182974	ENST00000332663	
ENSG00000185097	ENST00000332831	
ENSG00000221890	ENST00000333039	ENSPCAP00000016099
ENSG00000173662	ENST00000333172	ENSPCAP00000012119
ENSG00000007908	ENST00000333360	ENSPCAP00000014744
ENSG00000182885	ENST00000333493	ENSPCAP00000010781
ENSG00000184394	ENST00000333629	ENSPCAP00000004192
ENSG00000182256	ENST00000333743	ENSPCAP00000003057
ENSG00000186117	ENST00000333973	ENSPCAP00000012611
ENSG00000136160	ENST00000334286	ENSPCAP00000006459
ENSG00000152990	ENST00000334304	ENSPCAP00000015398
ENSG00000186306	ENST00000334438	
ENSG00000186265	ENST00000334529	ENSPCAP00000009276
ENSG00000186919	ENST00000334586	ENSPCAP00000000146
ENSG00000110148	ENST00000334619	ENSPCAP00000003991
ENSG00000186440	ENST00000334632	ENSPCAP00000008908
ENSG00000186881	ENST00000334726	
ENSG00000180264	ENST00000334810	ENSPCAP00000011566
ENSG00000184155	ENST00000334857	
ENSG00000186723	ENST00000334920	ENSPCAP00000013440
ENSG00000186943	ENST00000335040	
ENSG00000197403	ENST00000335094	ENSPCAP00000009605
ENSG00000186092	ENST00000335137	
ENSG00000221954	ENST00000335238	ENSPCAP00000016046
ENSG00000197233	ENST00000335302	
ENSG00000186038	ENST00000335304	ENSPCAP00000006740
ENSG00000107731	ENST00000335350	ENSPCAP00000013357
ENSG00000186509	ENST00000335397	
ENSG00000186113	ENST00000335605	ENSPCAP00000012300
ENSG00000186297	ENST00000335625	
ENSG00000257008	ENST00000335666	ENSPCAP00000000311
ENSG00000125498	ENST00000336077	
ENSG00000148680	ENST00000336152	
ENSG00000044524	ENST00000336596	ENSPCAP00000003789
ENSG00000125510	ENST00000336866	ENSPCAP00000009350
ENSG00000135124	ENST00000337233	ENSPCAP00000008613
ENSG00000187800	ENST00000338302	ENSPCAP00000014404
ENSG00000164129	ENST00000338566	
ENSG00000188124	ENST00000338569	
ENSG00000171054	ENST00000338616	ENSPCAP00000001510
ENSG00000187474	ENST00000339223	ENSPCAP00000012691
ENSG00000188340	ENST00000339258	ENSPCAP00000010479
ENSG00000169962	ENST00000339381	ENSPCAP00000002256
ENSG00000179603	ENST00000339582	ENSPCAP00000015845
ENSG00000171049	ENST00000340023	
ENSG00000204475	ENST00000340027	ENSPCAP00000007090
ENSG00000068078	ENST00000340107	ENSPCAP00000010788
ENSG00000159618	ENST00000340339	ENSPCAP00000002401
ENSG00000187871	ENST00000340465	ENSPCAP00000008529
ENSG00000072071	ENST00000340736	ENSPCAP00000015462
ENSG00000239590	ENST00000340750	
ENSG00000159346	ENST00000340990	ENSPCAP00000010530
ENSG00000187918	ENST00000341449	ENSPCAP00000002323
ENSG00000196131	ENST00000341702	ENSPCAP00000012179
ENSG00000187957	ENST00000341772	ENSPCAP00000012628
ENSG00000122718	ENST00000341959	
ENSG00000168575	ENST00000342228	ENSPCAP00000014839
ENSG00000188888	ENST00000342292	ENSPCAP00000006971
ENSG00000243772	ENST00000342376	
ENSG00000189181	ENST00000342623	
ENSG00000170412	ENST00000342648	ENSPCAP00000001058
ENSG00000178568	ENST00000342788	ENSPCAP00000015842
ENSG00000196240	ENST00000342927	
ENSG00000092421	ENST00000343348	ENSPCAP00000009325
ENSG00000187857	ENST00000343399	
ENSG00000188558	ENST00000343414	
ENSG00000188069	ENST00000343430	
ENSG00000160791	ENST00000343801	ENSPCAP00000006919
ENSG00000197706	ENST00000343870	ENSPCAP00000011860
ENSG00000187848	ENST00000343948	ENSPCAP00000009239
ENSG00000188000	ENST00000344248	
ENSG00000188763	ENST00000344575	
ENSG00000187701	ENST00000344889	
ENSG00000187747	ENST00000345043	
ENSG00000188778	ENST00000345060	ENSPCAP00000011971
ENSG00000156642	ENST00000345330	ENSPCAP00000001762
ENSG00000060656	ENST00000345512	ENSPCAP00000013421
ENSG00000189013	ENST00000345540	
ENSG00000104921	ENST00000346664	
ENSG00000162594	ENST00000347310	ENSPCAP00000013192
ENSG00000110448	ENST00000347785	ENSPCAP00000001431
ENSG00000116678	ENST00000349533	ENSPCAP00000003202
ENSG00000179468	ENST00000350513	
ENSG00000114739	ENST00000352511	ENSPCAP00000001222
ENSG00000231192	ENST00000354565	
ENSG00000196661	ENST00000354597	ENSPCAP00000005911
ENSG00000168079	ENST00000354914	
ENSG00000196098	ENST00000354924	ENSPCAP00000006820
ENSG00000196189	ENST00000355014	ENSPCAP00000005047
ENSG00000161944	ENST00000355035	ENSPCAP00000001429
ENSG00000197405	ENST00000355085	
ENSG00000197938	ENST00000355273	
ENSG00000197454	ENST00000355281	
ENSG00000166736	ENST00000355556	ENSPCAP00000008407
ENSG00000136869	ENST00000355622	ENSPCAP00000008470
ENSG00000157873	ENST00000355716	ENSPCAP00000000155
ENSG00000198104	ENST00000355728	
ENSG00000197591	ENST00000355784	
ENSG00000173890	ENST00000355897	ENSPCAP00000006749
ENSG00000165246	ENST00000355905	ENSPCAP00000000282
ENSG00000198053	ENST00000356025	
ENSG00000176937	ENST00000356069	
ENSG00000198657	ENST00000356130	ENSPCAP00000006952
ENSG00000233412	ENST00000356526	
ENSG00000050628	ENST00000356595	ENSPCAP00000014109
ENSG00000173535	ENST00000356864	ENSPCAP00000010597
ENSG00000197081	ENST00000356956	ENSPCAP00000008636
ENSG00000139187	ENST00000356986	
ENSG00000196917	ENST00000356987	
ENSG00000196936	ENST00000357191	
ENSG00000196832	ENST00000357366	
ENSG00000105426	ENST00000357368	ENSPCAP00000003440
ENSG00000197786	ENST00000357377	
ENSG00000121797	ENST00000357392	
ENSG00000197263	ENST00000357438	
ENSG00000180616	ENST00000357585	ENSPCAP00000004879
ENSG00000197428	ENST00000357605	
ENSG00000196772	ENST00000357627	ENSPCAP00000006348
ENSG00000196277	ENST00000357716	ENSPCAP00000003264
ENSG00000196341	ENST00000357821	
ENSG00000135622	ENST00000357877	ENSPCAP00000015131
ENSG00000213694	ENST00000358157	ENSPCAP00000013975
ENSG00000196411	ENST00000358173	ENSPCAP00000005612
ENSG00000168329	ENST00000358309	
ENSG00000142627	ENST00000358432	ENSPCAP00000011853
ENSG00000188324	ENST00000358433	
ENSG00000196578	ENST00000358642	
ENSG00000072694	ENST00000358671	ENSPCAP00000003267
ENSG00000196338	ENST00000358741	ENSPCAP00000003032
ENSG00000126895	ENST00000358927	
ENSG00000163513	ENST00000359013	ENSPCAP00000009312
ENSG00000134545	ENST00000359151	ENSPCAP00000003206
ENSG00000177575	ENST00000359156	ENSPCAP00000014506
ENSG00000176895	ENST00000359350	
ENSG00000148604	ENST00000359452	ENSPCAP00000010691
ENSG00000004948	ENST00000359558	ENSPCAP00000009549
ENSG00000196539	ENST00000359594	
ENSG00000196218	ENST00000359596	ENSPCAP00000006590
ENSG00000196171	ENST00000359610	
ENSG00000198601	ENST00000359682	
ENSG00000187258	ENST00000359791	ENSPCAP00000004629
ENSG00000117114	ENST00000359929	ENSPCAP00000008680
ENSG00000142949	ENST00000359947	ENSPCAP00000000133
ENSG00000198128	ENST00000359959	
ENSG00000196126	ENST00000360004	
ENSG00000072274	ENST00000360110	ENSPCAP00000012383
ENSG00000167851	ENST00000360141	ENSPCAP00000002171
ENSG00000197790	ENST00000360213	
ENSG00000198283	ENST00000360374	
ENSG00000118257	ENST00000360409	ENSPCAP00000005030
ENSG00000197635	ENST00000360534	ENSPCAP00000002714
ENSG00000239732	ENST00000360658	
ENSG00000164270	ENST00000360693	
ENSG00000170683	ENST00000360759	ENSPCAP00000003525
ENSG00000170180	ENST00000360771	
ENSG00000119121	ENST00000360774	ENSPCAP00000012831
ENSG00000140538	ENST00000360948	ENSPCAP00000003585
ENSG00000197594	ENST00000360971	ENSPCAP00000000734
ENSG00000198967	ENST00000361284	ENSPCAP00000002777
ENSG00000196776	ENST00000361309	ENSPCAP00000008364
ENSG00000158458	ENST00000361474	
ENSG00000132704	ENST00000361516	
ENSG00000198822	ENST00000361669	ENSPCAP00000012539
ENSG00000152822	ENST00000361719	ENSPCAP00000013432
ENSG00000198877	ENST00000361760	ENSPCAP00000013030
ENSG00000198851	ENST00000361763	ENSPCAP00000011440
ENSG00000105699	ENST00000361790	ENSPCAP00000012969
ENSG00000198785	ENST00000361820	ENSPCAP00000002553
ENSG00000143297	ENST00000361835	
ENSG00000198829	ENST00000362032	
ENSG00000149295	ENST00000362072	ENSPCAP00000005768
ENSG00000198821	ENST00000362089	
ENSG00000203618	ENST00000366425	
ENSG00000203661	ENST00000366473	ENSPCAP00000008248
ENSG00000175143	ENST00000366474	
ENSG00000196944	ENST00000366475	ENSPCAP00000008248
ENSG00000162727	ENST00000366476	
ENSG00000196071	ENST00000366478	ENSPCAP00000008177
ENSG00000203663	ENST00000366479	
ENSG00000187080	ENST00000366480	
ENSG00000241128	ENST00000366485	
ENSG00000196242	ENST00000366487	
ENSG00000054277	ENST00000366554	ENSPCAP00000002488
ENSG00000116996	ENST00000366570	ENSPCAP00000007185
ENSG00000077585	ENST00000366592	ENSPCAP00000005808
ENSG00000120436	ENST00000366834	ENSPCAP00000006983
ENSG00000162769	ENST00000366971	ENSPCAP00000001473
ENSG00000076356	ENST00000367033	ENSPCAP00000015780
ENSG00000203710	ENST00000367049	
ENSG00000117322	ENST00000367057	ENSPCAP00000012123
ENSG00000198049	ENST00000367126	ENSPCAP00000014254
ENSG00000133067	ENST00000367278	ENSPCAP00000008211
ENSG00000170075	ENST00000367282	ENSPCAP00000006880
ENSG00000153029	ENST00000367580	ENSPCAP00000001226
ENSG00000143324	ENST00000367590	ENSPCAP00000000985
ENSG00000112414	ENST00000367609	ENSPCAP00000014523
ENSG00000203737	ENST00000367685	ENSPCAP00000003893
ENSG00000027697	ENST00000367739	ENSPCAP00000012948
ENSG00000143147	ENST00000367838	ENSPCAP00000004602
ENSG00000143167	ENST00000367868	ENSPCAP00000008201
ENSG00000162733	ENST00000367922	ENSPCAP00000012142
ENSG00000162747	ENST00000367964	ENSPCAP00000010020
ENSG00000203747	ENST00000367969	ENSPCAP00000010020
ENSG00000143217	ENST00000368012	ENSPCAP00000003250
ENSG00000158769	ENST00000368026	ENSPCAP00000003125
ENSG00000122223	ENST00000368033	ENSPCAP00000013366
ENSG00000026751	ENST00000368043	ENSPCAP00000010852
ENSG00000162739	ENST00000368057	ENSPCAP00000011434
ENSG00000179639	ENST00000368115	ENSPCAP00000007537
ENSG00000213088	ENST00000368121	ENSPCAP00000013026
ENSG00000180433	ENST00000368144	
ENSG00000203757	ENST00000368145	ENSPCAP00000014077
ENSG00000186400	ENST00000368150	
ENSG00000198965	ENST00000368152	
ENSG00000158473	ENST00000368171	ENSPCAP00000000930
ENSG00000160856	ENST00000368184	ENSPCAP00000015119
ENSG00000027644	ENST00000368195	ENSPCAP00000014220
ENSG00000152894	ENST00000368213	ENSPCAP00000010996
ENSG00000173080	ENST00000368318	
ENSG00000160716	ENST00000368476	
ENSG00000160712	ENST00000368485	ENSPCAP00000007353
ENSG00000047936	ENST00000368508	ENSPCAP00000000812
ENSG00000159164	ENST00000369146	ENSPCAP00000009210
ENSG00000150337	ENST00000369168	ENSPCAP00000009277
ENSG00000043591	ENST00000369295	
ENSG00000135333	ENST00000369303	ENSPCAP00000007683
ENSG00000143127	ENST00000369304	ENSPCAP00000013608
ENSG00000198019	ENST00000369384	ENSPCAP00000009277
ENSG00000116824	ENST00000369478	ENSPCAP00000001074
ENSG00000118432	ENST00000369501	ENSPCAP00000005096
ENSG00000121933	ENST00000369716	ENSPCAP00000004789
ENSG00000125522	ENST00000369768	
ENSG00000166160	ENST00000369929	ENSPCAP00000000873
ENSG00000147380	ENST00000369935	ENSPCAP00000000873
ENSG00000135312	ENST00000369947	ENSPCAP00000006467
ENSG00000102076	ENST00000369951	ENSPCAP00000000873
ENSG00000101204	ENST00000370263	ENSPCAP00000014480
ENSG00000147402	ENST00000370306	ENSPCAP00000015566
ENSG00000011677	ENST00000370314	ENSPCAP00000009674
ENSG00000102287	ENST00000370328	
ENSG00000101188	ENST00000370501	
ENSG00000135298	ENST00000370598	ENSPCAP00000004365
ENSG00000102239	ENST00000370648	ENSPCAP00000009780
ENSG00000162618	ENST00000370742	ENSPCAP00000001190
ENSG00000122420	ENST00000370758	ENSPCAP00000003901
ENSG00000137252	ENST00000370862	ENSPCAP00000009170
ENSG00000185483	ENST00000371079	ENSPCAP00000001818
ENSG00000170927	ENST00000371117	ENSPCAP00000015794
ENSG00000162604	ENST00000371180	ENSPCAP00000008604
ENSG00000184292	ENST00000371225	
ENSG00000153292	ENST00000371253	ENSPCAP00000012744
ENSG00000186188	ENST00000371483	ENSPCAP00000007373
ENSG00000176884	ENST00000371553	ENSPCAP00000004043
ENSG00000131724	ENST00000371666	ENSPCAP00000011874
ENSG00000180772	ENST00000371906	ENSPCAP00000001137
ENSG00000122375	ENST00000372071	ENSPCAP00000006402
ENSG00000148600	ENST00000372117	ENSPCAP00000000698
ENSG00000117425	ENST00000372192	ENSPCAP00000009937
ENSG00000101017	ENST00000372285	
ENSG00000117400	ENST00000372470	ENSPCAP00000001836
ENSG00000066056	ENST00000372476	ENSPCAP00000014922
ENSG00000188828	ENST00000372617	ENSPCAP00000002410
ENSG00000124145	ENST00000372733	
ENSG00000183317	ENST00000373048	ENSPCAP00000003895
ENSG00000096264	ENST00000373089	ENSPCAP00000002882
ENSG00000163873	ENST00000373091	ENSPCAP00000003683
ENSG00000119535	ENST00000373103	ENSPCAP00000005788
ENSG00000095970	ENST00000373113	ENSPCAP00000004752
ENSG00000161911	ENST00000373127	ENSPCAP00000003555
ENSG00000196090	ENST00000373187	ENSPCAP00000015272
ENSG00000106991	ENST00000373203	
ENSG00000112164	ENST00000373256	ENSPCAP00000001930
ENSG00000173198	ENST00000373304	
ENSG00000075073	ENST00000373306	ENSPCAP00000000270
ENSG00000188394	ENST00000373642	ENSPCAP00000014339
ENSG00000121753	ENST00000373658	ENSPCAP00000004352
ENSG00000148215	ENST00000373680	
ENSG00000171501	ENST00000373688	ENSPCAP00000009623
ENSG00000186810	ENST00000373691	
ENSG00000181773	ENST00000374024	ENSPCAP00000009152
ENSG00000124493	ENST00000374181	ENSPCAP00000002362
ENSG00000147168	ENST00000374202	ENSPCAP00000002837
ENSG00000182749	ENST00000374296	ENSPCAP00000001850
ENSG00000204174	ENST00000374312	
ENSG00000096433	ENST00000374316	ENSPCAP00000001305
ENSG00000198121	ENST00000374431	ENSPCAP00000011385
ENSG00000030304	ENST00000374448	ENSPCAP00000011351
ENSG00000188822	ENST00000374472	
ENSG00000101000	ENST00000374477	ENSPCAP00000012120
ENSG00000186912	ENST00000374519	
ENSG00000204217	ENST00000374580	ENSPCAP00000011716
ENSG00000133216	ENST00000374632	ENSPCAP00000003623
ENSG00000177283	ENST00000374694	
ENSG00000131080	ENST00000374719	
ENSG00000165029	ENST00000374736	ENSPCAP00000010223
ENSG00000255800	ENST00000374779	ENSPCAP00000014901
ENSG00000204246	ENST00000374781	
ENSG00000168384	ENST00000374808	
ENSG00000237541	ENST00000374940	ENSPCAP00000003318
ENSG00000106799	ENST00000374994	ENSPCAP00000013638
ENSG00000204293	ENST00000375013	ENSPCAP00000005911
ENSG00000236981	ENST00000375024	
ENSG00000204305	ENST00000375076	ENSPCAP00000011763
ENSG00000204345	ENST00000375352	
ENSG00000179002	ENST00000375371	ENSPCAP00000001498
ENSG00000169071	ENST00000375708	ENSPCAP00000005480
ENSG00000204420	ENST00000375806	ENSPCAP00000012275
ENSG00000148053	ENST00000376214	ENSPCAP00000002047
ENSG00000028137	ENST00000376259	ENSPCAP00000000645
ENSG00000080031	ENST00000376350	
ENSG00000151025	ENST00000376351	ENSPCAP00000006823
ENSG00000169508	ENST00000376414	ENSPCAP00000006567
ENSG00000204580	ENST00000376575	ENSPCAP00000006364
ENSG00000229698	ENST00000376848	
ENSG00000206512	ENST00000376947	
ENSG00000204681	ENST00000377034	ENSPCAP00000011338
ENSG00000178726	ENST00000377103	
ENSG00000204687	ENST00000377127	
ENSG00000204688	ENST00000377136	
ENSG00000204690	ENST00000377140	
ENSG00000112462	ENST00000377143	
ENSG00000204694	ENST00000377148	ENSPCAP00000012001
ENSG00000243729	ENST00000377154	
ENSG00000204695	ENST00000377160	ENSPCAP00000005123
ENSG00000204701	ENST00000377169	
ENSG00000204702	ENST00000377171	
ENSG00000204703	ENST00000377173	
ENSG00000113749	ENST00000377291	ENSPCAP00000007003
ENSG00000180758	ENST00000377411	ENSPCAP00000008872
ENSG00000049249	ENST00000377507	ENSPCAP00000011744
ENSG00000204882	ENST00000377741	
ENSG00000215788	ENST00000377782	ENSPCAP00000002502
ENSG00000158292	ENST00000377893	ENSPCAP00000012897
ENSG00000168828	ENST00000377981	ENSPCAP00000010365
ENSG00000077943	ENST00000378076	ENSPCAP00000009384
ENSG00000171659	ENST00000378142	
ENSG00000205030	ENST00000378397	ENSPCAP00000012611
ENSG00000139679	ENST00000378434	ENSPCAP00000003470
ENSG00000182220	ENST00000378438	ENSPCAP00000011273
ENSG00000187730	ENST00000378585	ENSPCAP00000001789
ENSG00000134569	ENST00000378623	ENSPCAP00000001551
ENSG00000162881	ENST00000378661	
ENSG00000102468	ENST00000378688	ENSPCAP00000007197
ENSG00000169306	ENST00000378993	ENSPCAP00000003578
ENSG00000205213	ENST00000379214	ENSPCAP00000014262
ENSG00000186827	ENST00000379236	ENSPCAP00000010316
ENSG00000165186	ENST00000379361	ENSPCAP00000001127
ENSG00000171873	ENST00000379453	ENSPCAP00000014313
ENSG00000138741	ENST00000379645	ENSPCAP00000010845
ENSG00000205327	ENST00000379662	
ENSG00000205328	ENST00000379665	
ENSG00000205330	ENST00000379668	ENSPCAP00000003593
ENSG00000170782	ENST00000379829	
ENSG00000173698	ENST00000379869	ENSPCAP00000014636
ENSG00000134460	ENST00000379959	ENSPCAP00000010708
ENSG00000178015	ENST00000380007	
ENSG00000120156	ENST00000380036	ENSPCAP00000003374
ENSG00000176239	ENST00000380219	
ENSG00000183251	ENST00000380224	
ENSG00000126010	ENST00000380289	ENSPCAP00000012005
ENSG00000205494	ENST00000380369	
ENSG00000205495	ENST00000380370	ENSPCAP00000005250
ENSG00000205496	ENST00000380371	
ENSG00000205497	ENST00000380373	
ENSG00000176900	ENST00000380378	
ENSG00000132670	ENST00000380393	ENSPCAP00000008220
ENSG00000120907	ENST00000380586	ENSPCAP00000002197
ENSG00000196664	ENST00000380659	ENSPCAP00000009024
ENSG00000139514	ENST00000380752	ENSPCAP00000015308
ENSG00000146938	ENST00000381095	ENSPCAP00000000282
ENSG00000153707	ENST00000381196	ENSPCAP00000008946
ENSG00000182162	ENST00000381297	
ENSG00000134352	ENST00000381298	
ENSG00000120217	ENST00000381577	ENSPCAP00000008597
ENSG00000205809	ENST00000381902	ENSPCAP00000003206
ENSG00000134539	ENST00000381907	ENSPCAP00000008538
ENSG00000172150	ENST00000381951	ENSPCAP00000013090
ENSG00000159110	ENST00000382241	ENSPCAP00000007000
ENSG00000155269	ENST00000382487	
ENSG00000186090	ENST00000382489	ENSPCAP00000010876
ENSG00000112902	ENST00000382496	
ENSG00000231679	ENST00000383126	
ENSG00000206291	ENST00000383224	
ENSG00000206292	ENST00000383226	
ENSG00000206305	ENST00000383251	
ENSG00000206308	ENST00000383259	
ENSG00000184984	ENST00000383263	ENSPCAP00000010474
ENSG00000206320	ENST00000383279	
ENSG00000206396	ENST00000383412	
ENSG00000206430	ENST00000383476	
ENSG00000137403	ENST00000383516	
ENSG00000206466	ENST00000383542	
ENSG00000206470	ENST00000383549	
ENSG00000206471	ENST00000383550	
ENSG00000206472	ENST00000383551	
ENSG00000168787	ENST00000383555	ENSPCAP00000000230
ENSG00000204692	ENST00000383556	
ENSG00000206493	ENST00000383597	
ENSG00000206506	ENST00000383623	
ENSG00000206509	ENST00000383627	
ENSG00000206511	ENST00000383638	
ENSG00000204657	ENST00000383640	
ENSG00000206515	ENST00000383643	
ENSG00000206516	ENST00000383644	
ENSG00000206517	ENST00000383645	
ENSG00000206522	ENST00000383651	
ENSG00000206524	ENST00000383653	
ENSG00000206525	ENST00000383654	
ENSG00000206536	ENST00000383695	
ENSG00000230301	ENST00000383696	
ENSG00000205336	ENST00000388812	ENSPCAP00000010635
ENSG00000136011	ENST00000388887	ENSPCAP00000008000
ENSG00000156886	ENST00000389202	ENSPCAP00000004322
ENSG00000196811	ENST00000389494	ENSPCAP00000015069
ENSG00000080224	ENST00000389672	ENSPCAP00000005573
ENSG00000174948	ENST00000389740	ENSPCAP00000012087
ENSG00000006071	ENST00000389817	ENSPCAP00000000454
ENSG00000184350	ENST00000389832	
ENSG00000212807	ENST00000391496	ENSPCAP00000016061
ENSG00000204689	ENST00000391549	
ENSG00000167633	ENST00000391728	
ENSG00000186818	ENST00000391736	
ENSG00000167613	ENST00000391742	
ENSG00000131042	ENST00000391749	
ENSG00000135898	ENST00000392040	
ENSG00000064989	ENST00000392370	ENSPCAP00000000852
ENSG00000197177	ENST00000392607	
ENSG00000007312	ENST00000392795	ENSPCAP00000002590
ENSG00000106123	ENST00000392957	ENSPCAP00000005462
ENSG00000106278	ENST00000393386	ENSPCAP00000004952
ENSG00000114554	ENST00000393409	ENSPCAP00000015334
ENSG00000175591	ENST00000393597	
ENSG00000184845	ENST00000393752	
ENSG00000144847	ENST00000393775	ENSPCAP00000008544
ENSG00000145864	ENST00000393959	ENSPCAP00000000576
ENSG00000156920	ENST00000394143	ENSPCAP00000003810
ENSG00000179626	ENST00000394256	ENSPCAP00000003551
ENSG00000186867	ENST00000394427	ENSPCAP00000004286
ENSG00000119737	ENST00000394705	ENSPCAP00000007696
ENSG00000188372	ENST00000394857	ENSPCAP00000012603
ENSG00000164082	ENST00000395052	ENSPCAP00000011446
ENSG00000172772	ENST00000395079	
ENSG00000137868	ENST00000395105	ENSPCAP00000006629
ENSG00000181619	ENST00000395116	ENSPCAP00000009805
ENSG00000165215	ENST00000395145	ENSPCAP00000007216
ENSG00000126777	ENST00000395309	ENSPCAP00000011484
ENSG00000197471	ENST00000395389	ENSPCAP00000003622
ENSG00000077238	ENST00000395762	ENSPCAP00000005807
ENSG00000150093	ENST00000396033	ENSPCAP00000006622
ENSG00000179826	ENST00000396275	
ENSG00000183454	ENST00000396573	ENSPCAP00000003177
ENSG00000137101	ENST00000396757	ENSPCAP00000012265
ENSG00000167332	ENST00000396950	ENSPCAP00000004743
ENSG00000180785	ENST00000396952	ENSPCAP00000014392
ENSG00000115232	ENST00000397033	ENSPCAP00000007054
ENSG00000164849	ENST00000397095	
ENSG00000125245	ENST00000397473	ENSPCAP00000003640
ENSG00000162009	ENST00000397547	ENSPCAP00000013922
ENSG00000197646	ENST00000397747	ENSPCAP00000007387
ENSG00000134160	ENST00000397795	ENSPCAP00000002677
ENSG00000160255	ENST00000397852	ENSPCAP00000000448
ENSG00000154928	ENST00000398015	ENSPCAP00000008742
ENSG00000152558	ENST00000398136	ENSPCAP00000005965
ENSG00000120088	ENST00000398285	ENSPCAP00000012836
ENSG00000127418	ENST00000398484	ENSPCAP00000003756
ENSG00000184012	ENST00000398585	ENSPCAP00000001723
ENSG00000231286	ENST00000399088	
ENSG00000206240	ENST00000399450	
ENSG00000171189	ENST00000399907	ENSPCAP00000007494
ENSG00000215522	ENST00000400489	
ENSG00000215764	ENST00000400875	
ENSG00000112486	ENST00000400926	
ENSG00000111886	ENST00000402938	ENSPCAP00000006675
ENSG00000121764	ENST00000403528	ENSPCAP00000015486
ENSG00000100368	ENST00000403662	ENSPCAP00000012926
ENSG00000179915	ENST00000404971	ENSPCAP00000004617
ENSG00000164199	ENST00000405460	ENSPCAP00000005617
ENSG00000132975	ENST00000405846	
ENSG00000170820	ENST00000406846	ENSPCAP00000012193
ENSG00000183671	ENST00000407325	
