gene	enst	transw	trans_sd	transk	extraw	extra_sd	extrak	transcat	extracat	translen	extralen	transpos	extrapos	chemo
OR2K2	ENST00000302681	0.127276445	0.148949735	2.48227	0.280738487	0.268745855	3.41009	2	2	147	139	0	0	1
OR2S2	ENST00000341959	0.214257183	0.25206822	3.84718	0.277728616	0.460850375	4.13711	3	4	132	132	0	4	1
OR2T6	ENST00000355728	0.14211478	0.262177803	3.6291	0.243209136	0.291256188	3.36113	3	3	142	127	8	0	1
OR2V2	ENST00000328275	0.148452635	0.197506391	4.16835	0.211509032	0.219127926	4.63361	2	2	142	133	0	0	1
OR2W1	ENST00000377175	0.189868183	0.218599917	2.03403	0.25637538	0.200699402	2.45923	2	2	134	141	0	0	1
OR2Z1	ENST00000324060	0.201403412	0.218303624	3.16238	0.303446523	0.303330206	2.90677	3	3	142	143	0	8	1
OR4C5	ENST00000319813	0.297045389	0.224668476	2.21562	0.284285681	0.279170166	2.77689	2	2	131	143	0	0	1
OR4D1	ENST00000268912	0.132521216	0.207728916	3.43281	0.199020711	0.226008738	3.88959	3	3	139	129	4	0	1
OR4D11	ENST00000313253	0.127771217	0.224137254	2.6521	0.238903365	0.278783852	3.12334	2	2	142	130	0	0	1
OR4D5	ENST00000307033	0.122435995	0.131250954	2.59049	0.207706424	0.230652063	3.80917	2	2	143	139	0	0	1
OR4D6	ENST00000300127	0.17538738	0.242245889	3.11997	0.202372702	0.235050023	3.47114	2	3	136	130	0	0	1
OR4E2	ENST00000408935	0.176758534	0.264874332	2.90858	0.229406962	0.254852	2.70046	3	3	138	135	7	6	1
OR4F15	ENST00000332238	0.249923281	0.344058779	2.76302	0.286385746	0.268615092	3.11065	4	4	145	130	8	0	1
OR4F6	ENST00000328882	0.253120511	0.193593418	2.83008	0.28132985	0.274260943	2.96652	2	3	148	130	0	0	1
OR4K1	ENST00000285600	0.107664812	0.146852777	2.42697	0.209496543	0.271958569	3.48214	2	3	144	131	0	0	1
OR4K14	ENST00000305045	0.225446239	0.252424781	2.57462	0.246128513	0.237071489	2.71916	2	2	148	130	0	0	1
OR4K2	ENST00000298642	0.130258635	0.145077701	2.65155	0.264492642	0.269086901	3.53568	2	2	137	128	0	0	1
OR4K5	ENST00000315915	0.181687072	0.306656564	3.46517	0.284338458	0.288340872	3.6819	3	2	140	118	5	0	1
OR4L1	ENST00000315683	0.152813894	0.245697063	2.69409	0.339045871	0.419932103	3.09917	3	3	140	128	2	16	1
OR4M1	ENST00000315957	0.090456661	0.178945177	4.1555	0.121147112	0.156389083	2.95173	3	2	144	135	0	0	1
OR4M2	ENST00000332663	0.095391791	0.186985405	3.95688	0.118490058	0.154498863	2.92473	3	2	145	134	0	0	1
OR4N2	ENST00000315947	0.150214103	0.21750128	2.93951	0.214197294	0.276313324	2.72159	2	2	146	128	0	0	1
OR4N5	ENST00000333629	0.107162728	0.167761756	3.07658	0.232270008	0.249917438	3.80378	2	2	138	127	0	0	1
OR4P4	ENST00000314612	0.22727605	0.241700964	2.39932	0.291248672	0.313430504	3.07688	3	3	135	129	6	7	1
OR4S2	ENST00000312422	0.122627527	0.227257422	2.20478	0.192385364	0.228658994	2.42907	3	3	133	130	4	0	1
OR51A7	ENST00000359350	0.195942583	0.205621237	2.92947	0.225571124	0.289770654	3.36783	2	3	139	131	0	10	1
OR51B6	ENST00000380219	0.180686417	0.199680129	2.57247	0.301187288	0.33255037	4.04341	3	2	138	131	0	0	1
OR51D1	ENST00000357605	0.087283293	0.117316172	3.17419	0.200949259	0.360544804	5.26866	2	3	133	117	0	5	1
OR51E1	ENST00000396952	0.116868936	0.176754639	2.48243	0.2024875	0.306020367	2.80407	3	3	147	134	2	8	1
OR51E2	ENST00000396950	0.085132764	0.141554178	3.98742	0.216578229	0.30265142	2.90747	2	3	144	137	0	8	1
OR51G1	ENST00000321961	0.080376183	0.124195812	3.3119	0.227207142	0.345741163	2.87687	2	3	138	136	0	10	1
OR51G2	ENST00000322013	0.115084634	0.164500539	3.19491	0.187286035	0.201299998	3.09676	2	3	142	132	0	0	1
OR51I1	ENST00000380211	0.155149093	0.5282844	3.12354	0.197936125	0.245069079	3.05465	4	3	141	127	2	7	1
OR51I2	ENST00000341449	0.14266574	0.173629195	2.67256	0.235939162	0.280750449	3.78893	3	3	127	106	0	0	1
OR51L1	ENST00000321543	0.162499884	0.227737205	3.61302	0.30155951	0.371525836	3.81138	2	3	137	126	0	13	1
OR51M1	ENST00000328611	0.2531568	0.346168457	2.73485	0.345610971	0.317824969	3.02148	3	3	131	139	8	15	1
OR51S1	ENST00000322101	0.238835885	0.293852434	4.01803	0.338474662	0.289696369	4.32559	2	2	132	141	0	0	1
OR52D1	ENST00000322641	0.180685887	0.287932498	2.36533	0.287334876	0.298600281	2.97171	3	2	129	123	6	0	1
OR52E2	ENST00000321522	0.193953752	0.202806177	2.23096	0.209102994	0.212228186	3.21039	2	2	146	139	0	0	1
OR52E4	ENST00000316987	0.107696471	0.13982523	3.21903	0.203447628	0.277670623	3.25804	2	3	142	127	0	7	1
OR52M1	ENST00000360213	0.103298	0.1671839	4.02484	0.244349593	0.328237365	4.4708	2	3	143	132	0	10	1
OR52N1	ENST00000317078	0.093387208	0.140063235	3.08051	0.184669329	0.198687806	2.91344	2	2	136	135	0	0	1
OR52N2	ENST00000317037	0.119521257	0.144579005	2.39678	0.205996076	0.303442196	2.44797	2	3	133	136	0	0	1
OR52N4	ENST00000317254	0.112951549	0.108354634	2.38759	0.211060857	0.217490723	2.59249	2	2	126	133	0	0	1
OR52W1	ENST00000311352	0.21462447	0.230408771	3.69746	0.42034367	0.466537882	5.69303	2	2	137	131	0	33	1
OR5A1	ENST00000302030	0.153650547	0.199259688	3.81832	0.247630327	0.289107869	4.44367	2	3	130	127	0	3	1
OR5AK2	ENST00000326855	0.2866318	0.21185141	2.18079	0.382328975	0.281492395	2.65082	3	2	137	127	0	0	1
OR5AP2	ENST00000302981	0.200798534	0.146965435	1.72384	0.324851568	0.242452129	2.28995	2	2	146	139	0	0	1
OR5AR1	ENST00000302969	0.132219501	0.198776297	3.91133	0.196826349	0.295624395	3.53138	2	3	141	131	0	9	1
OR5B2	ENST00000302581	0.315143852	0.41827515	2.447	0.289022406	0.336139819	2.43402	3	3	143	128	10	11	1
OR5C1	ENST00000373680	0.097590055	0.115007276	3.6305	0.294498958	0.345120216	3.67772	2	3	135	137	0	0	1
OR5I1	ENST00000301532	0.194380832	0.205182062	2.79231	0.147613646	0.133999966	1.95054	2	2	131	123	0	0	1
OR5J2	ENST00000312298	0.234244172	0.229572818	2.57419	0.265656074	0.228695292	2.42126	3	2	136	127	0	0	1
OR5L1	ENST00000333973	0.229085766	0.201956556	2.45227	0.308449756	0.24936003	2.47121	2	2	136	132	0	0	1
OR5L2	ENST00000378397	0.232026482	0.211104108	2.3591	0.310213252	0.244035068	2.50856	2	2	137	129	0	0	1
OR5M8	ENST00000327216	0.143075019	0.222578603	2.20541	0.177537955	0.166202232	2.20458	3	2	141	138	4	0	1
OR5M9	ENST00000279791	0.088172386	0.156647382	3.0574	0.099542211	0.130811945	3.51211	2	2	146	131	0	0	1
OR5R1	ENST00000312253	0.099030745	0.213773933	2.19902	0.213811303	0.266077998	2.86223	3	3	139	146	0	0	1
OR6A2	ENST00000332601	0.097647737	0.321884657	2.91509	0.252340311	0.346651996	3.3117	3	3	141	143	1	0	1
OR6B1	ENST00000408922	0.08647077	0.145758313	3.03839	0.141943014	0.203850318	4.45432	2	2	138	125	0	0	1
OR6C1	ENST00000379668	0.22142329	0.411955348	2.2111	0.2744086	0.258703264	2.99007	3	2	149	126	9	0	1
OR6C2	ENST00000322678	0.154470049	0.174888669	1.99893	0.204467222	0.175862506	3.31859	2	2	144	134	0	0	1
OR6C6	ENST00000358433	0.170885945	0.193644103	3.19983	0.220079208	0.236221811	2.76058	2	2	143	131	0	0	1
OR6C74	ENST00000343870	0.133068606	0.148144898	2.36147	0.205570473	0.271625529	2.63285	2	3	140	126	0	0	1
OR6F1	ENST00000302084	0.141429853	0.205769483	2.24663	0.224109383	0.250638975	2.8932	2	3	134	123	0	0	1
OR6K2	ENST00000359610	0.148098981	0.172565747	3.25699	0.313161046	0.434393702	3.72235	2	2	134	142	0	26	1
OR6N1	ENST00000335094	0.122736477	0.160623777	3.76226	0.153834888	0.236263619	3.3596	3	2	139	127	0	0	1
OR6N2	ENST00000339258	0.085812777	0.154859499	2.53086	0.211303208	0.290533559	2.80924	2	3	145	139	0	0	1
OR6P1	ENST00000334632	0.132577779	0.211635345	2.86421	0.226543627	0.253322802	3.81437	3	3	138	134	4	0	1
OR6Q1	ENST00000302622	0.174257531	0.306669753	3.29591	0.306585698	0.277525888	2.94211	3	3	140	134	7	8	1
OR6S1	ENST00000320704	0.139624873	0.210698471	4.23423	0.349567576	0.408003538	4.24303	3	3	134	151	0	24	1
OR6V1	ENST00000418316	0.229248412	0.192802027	2.17987	0.278698219	0.222158252	2.8356	3	3	135	132	0	0	1
OR6X1	ENST00000327930	0.149807554	0.236177322	2.79492	0.209610897	0.194226677	4.17199	2	2	142	112	0	0	1
OR6Y1	ENST00000302617	0.151583113	0.293550986	2.82168	0.276588891	0.386414476	3.1825	3	3	139	146	7	16	1
OR7D2	ENST00000344248	0.175810681	0.18779068	2.69374	0.343103565	0.332435313	4.84461	2	2	136	124	0	0	1
OR8B8	ENST00000328064	0.142008524	0.217075803	3.52028	0.294597616	0.339432013	4.00232	3	3	136	123	0	7	1
OR8D4	ENST00000321355	0.228205755	0.176838152	2.46913	0.320793274	0.284708898	2.59414	2	3	136	129	0	0	1
OR8J1	ENST00000303039	0.2021349	0.21597702	2.21083	0.288779739	0.345738911	2.80348	2	3	136	136	0	0	1
OR8J3	ENST00000301529	0.187056927	0.211992535	2.27491	0.29462841	0.361065921	2.68111	3	3	136	133	0	14	1
OR8K1	ENST00000279783	0.149427025	0.220601439	3.13876	0.25978934	0.290478814	2.37779	3	3	140	140	0	0	1
OR8S1	ENST00000310194	0.274443574	0.175530521	2.15448	0.285020396	0.246560436	2.8178	2	3	136	177	0	0	1
OR8U1	ENST00000302270	0.142324361	0.191874501	2.4431	0.205371816	0.244740309	3.32939	2	3	132	125	0	0	1
OR9I1	ENST00000302610	0.226471355	0.246807964	3.36618	0.311288878	0.289589164	3.7309	3	3	142	141	0	0	1
OR9K2	ENST00000305377	0.204088423	0.178563932	2.27012	0.277798569	0.200815795	2.50851	2	2	139	124	0	0	1
OR9Q1	ENST00000335397	0.147627283	0.227334221	2.99351	0.219220369	0.231686568	2.95987	3	2	142	109	0	0	1
OR9Q2	ENST00000311591	0.182355545	0.25400062	2.33621	0.293338866	0.372243467	3.03425	3	4	141	135	0	12	1
OXGR1	ENST00000298440	0.109901221	0.115995919	3.07764	0.231741318	0.260756016	2.25998	2	3	139	162	0	10	0
OXTR	ENST00000316793	0.017759928	0.036434823	5.73392	0.086845735	0.126775215	4.43727	2	2	132	207	0	0	0
P2RY1	ENST00000305097	0.046636319	0.10661084	2.46131	0.081970039	0.146054915	1.8926	3	2	138	199	0	0	0
P2RY12	ENST00000302632	0.049269011	0.089378549	1.88925	0.252361321	0.306386626	2.89985	2	3	132	161	0	0	0
P2RY13	ENST00000325602	0.252524437	0.266782855	2.94423	0.233109558	0.179615815	2.68624	2	2	134	175	0	0	0
P2RY14	ENST00000309170	0.198227221	0.346887685	3.45044	0.309118386	0.314551744	2.61985	3	3	137	160	9	0	0
P2RY2	ENST00000393597	0.093127126	0.143710367	4.49552	0.193313262	0.193362743	3.35979	3	2	135	196	0	0	0
P2RY6	ENST00000540342	0.106460825	0.2102251	7.06062	0.156687649	0.163105267	3.99611	3	2	132	140	0	0	0
PPYR1	ENST00000374312	0.099848596	0.140085481	4.52215	0.225236653	0.222389643	3.26939	3	3	137	176	0	0	0
PROKR1	ENST00000303786	0.063977151	0.160006609	3.37751	0.128814705	0.180280826	3.01082	3	3	139	215	1	0	0
PROKR2	ENST00000546004	0.072632446	0.091422944	3.74734	0.113031395	0.143511155	3.20806	2	2	139	207	0	0	0
PTGDR	ENST00000306051	0.189992882	0.575177352	2.47366	0.320263791	0.311215168	2.68223	3	4	143	169	1	5	0
PTGER1	ENST00000292513	0.083043277	0.086418893	3.74796	0.188102806	0.190479809	3.39022	2	3	130	214	0	0	0
PTGER2	ENST00000245457	0.138517008	0.159947684	2.75704	0.326939946	0.316218816	3.22715	2	3	146	178	0	15	0
PTGER3	ENST00000356595	0.074875002	0.09180818	2.14266	0.1582221	0.167248115	2.32961	2	2	140	231	0	0	0
PTGER4	ENST00000302472	0.02279398	0.069578016	4.76962	0.162662272	0.311622771	2.19728	2	3	139	311	0	29	0
PTGFR	ENST00000370758	0.096055376	0.12519645	2.64406	0.219955654	0.353316845	2.25382	2	4	138	174	0	8	0
PTGIR	ENST00000291294	0.060607812	0.115252371	4.45213	0.1432074	0.131564988	3.23905	3	2	136	200	0	0	0
PTH1R	ENST00000449590	0.072202996	0.093586213	2.69581	0.107178273	0.125493159	2.79056	2	2	130	407	0	0	0
QRFPR	ENST00000394427	0.190023489	0.18526993	1.89736	0.227836831	0.209993139	1.80186	2	2	142	244	0	0	0
RGR	ENST00000359452	0.161625345	0.167555489	4.40768	0.176259371	0.18647706	4.3419	2	3	132	109	0	0	0
RHO	ENST00000296271	0.05912176	0.097985358	2.52044	0.042593753	0.103663905	3.09638	2	3	138	169	0	0	0
RRH	ENST00000317735	0.174786158	0.213862127	3.45005	0.395248071	0.368195389	3.54361	2	3	147	153	0	17	0
RXFP4	ENST00000368318	0.149242524	0.12411144	5.3161	0.294248283	0.210822474	4.15923	2	2	141	199	0	0	0
S1PR1	ENST00000305352	0.013578644	0.038461709	2.58301	0.081631868	0.144048642	2.53341	3	3	134	201	0	0	0
S1PR2	ENST00000317726	0.044375687	0.079718016	4.08384	0.098261037	0.133748932	3.67243	2	3	132	172	0	0	0
S1PR3	ENST00000358157	0.0442168	0.075678771	4.7499	0.134298592	0.16822959	3.34767	2	3	138	195	0	2	0
S1PR4	ENST00000246115	0.12283395	0.171334623	2.45623	0.09732317	0.107319957	2.88006	2	2	139	204	0	0	0
S1PR5	ENST00000439028	0.10291178	0.172119153	3.30235	0.195334091	0.23528552	3.01811	3	3	144	211	2	0	0
SSTR1	ENST00000267377	0.0119095	0	6.3003	0.02835458	0.051673072	4.67152	1	2	139	207	0	0	0
SSTR2	ENST00000357585	0.029487556	0.05524247	3.94879	0.14941416	0.30764825	3.19258	2	3	135	186	0	13	0
SSTR3	ENST00000328544	0.007253293	0.028248953	11.5737	0.15199929	0.200706763	4.69648	2	2	136	237	0	0	0
SSTR5	ENST00000397547	0.066569602	0.168264436	5.92912	0.12678776	0.110919623	3.47916	3	2	144	184	2	0	0
TAAR1	ENST00000275216	0.179169544	0.172628026	3.23547	0.380155106	0.274634445	3.43525	2	2	131	147	0	0	0
TACR1	ENST00000305249	0.025428742	0.061897552	4.83835	0.068953104	0.084813736	3.56168	2	2	137	225	0	0	0
TACR2	ENST00000373306	0.074514061	0.100800906	5.27692	0.212378637	0.260852472	3.5553	3	3	132	215	0	0	0
TACR3	ENST00000304883	0.057034451	0.113291711	3.05657	0.169369486	0.236461799	2.69557	3	3	133	257	1	10	0
TAS1R1	ENST00000333172	0.304299683	0.317317458	3.53983	0.325082457	0.348467885	3.06292	3	3	139	670	0	72	1
TAS1R3	ENST00000339381	0.291888482	0.413770719	5.76666	0.20705181	0.229005898	3.65322	3	4	126	664	14	0	1
TAS2R16	ENST00000249284	0.866518474	0.593313059	2.83317	0.686748726	0.391574513	3.14884	3	3	131	111	47	33	1
TAS2R4	ENST00000247881	0.623709982	0.590859002	2.73498	0.805667873	0.672182093	3.2759	3	4	138	101	27	34	1
TBXA2R	ENST00000411851	0.103858966	0.131411277	2.89823	0.197493721	0.236296778	2.50159	2	3	136	221	0	0	0
TRHR	ENST00000518632	0.049056483	0.111857923	3.05167	0.14601961	0.244752895	2.22624	3	3	136	214	0	12	0
TSHR	ENST00000541158	0.101340649	0.196930832	3.78335	0.178260966	0.205360955	3.30086	2	2	138	560	0	0	0
UTS2R	ENST00000313135	0.106735882	0.093528946	4.06795	0.208137693	0.146987438	3.78235	2	2	142	208	0	0	0
VIPR1	ENST00000325123	0.134622094	0.152461308	4.93881	0.187065165	0.2020727	2.82135	2	3	138	282	0	0	0
XCR1	ENST00000309285	0.166136944	0.278173213	4.25717	0.373482061	0.384223476	2.39424	3	3	131	146	0	24	0
XPR1	ENST00000367590	0.311170913	0.577037081	3.27577	0.129942227	0.253376956	2.3456	3	2	120	489	11	0	0
